Variable:,tasmin
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1943,-0.96,-4.49,-1.25,-0.21,1.79,2.15,-2.70,-3.14,2.35,5.55,4.47,-4.14,-4.34,-4.16,3.48,0.32,1.64
1944,0.35,-2.80,0.54,0.03,3.39,3.19,-1.08,-1.45,4.09,6.87,5.88,-3.08,-3.00,-3.86,4.79,1.77,1.95
1945,-1.28,-4.71,-1.73,-0.35,0.98,2.08,-2.65,-3.78,2.26,4.62,3.81,-4.52,-5.12,-4.30,3.51,-0.70,1.38
1946,-0.22,-3.93,0.17,-0.08,3.32,2.39,-2.09,-2.50,3.37,6.26,5.39,-3.65,-4.16,-3.68,3.98,1.76,1.80
1947,-0.11,-3.68,-0.05,0.19,3.13,2.99,-1.77,-2.51,3.73,6.41,5.50,-3.72,-4.03,-3.95,4.63,1.57,2.20
1948,0.30,-2.98,0.77,0.08,3.88,2.40,-1.40,-1.68,3.86,6.68,5.77,-2.91,-3.24,-3.36,4.02,2.31,1.69
1949,-0.99,-4.11,-1.22,-0.68,1.92,1.65,-2.68,-3.01,2.22,5.16,4.13,-3.91,-4.14,-4.22,3.07,0.79,1.08
1950,-1.43,-4.70,-1.81,-0.73,1.58,1.61,-3.09,-3.70,1.51,5.04,3.90,-4.32,-4.66,-4.73,2.72,0.34,1.16
1951,-0.51,-3.79,-0.88,-0.18,2.15,2.47,-1.88,-2.82,2.85,5.58,4.54,-3.37,-3.98,-3.70,3.97,0.68,1.43
1952,-0.76,-4.37,-0.68,-0.52,2.48,2.42,-2.41,-2.95,3.09,6.00,4.92,-4.57,-4.80,-4.80,4.21,0.91,1.49
1953,0.12,-3.24,-0.12,0.55,2.63,3.08,-1.12,-2.32,3.90,5.94,5.18,-3.00,-3.90,-3.05,4.76,0.90,2.30
1954,-1.60,-5.15,-1.61,-1.43,1.51,1.64,-3.13,-3.78,2.18,5.38,4.24,-5.48,-5.60,-5.79,3.37,0.08,0.69
1955,0.05,-3.59,-0.22,0.33,3.20,3.29,-1.40,-2.61,3.86,6.90,5.89,-3.40,-4.15,-3.61,4.96,1.50,2.21
1956,-0.72,-3.98,-1.04,0.03,1.40,2.75,-1.93,-2.96,3.09,4.88,4.15,-3.96,-4.49,-4.31,4.26,-0.28,1.99
1957,-0.32,-3.46,-0.32,-0.42,3.23,2.04,-1.89,-2.37,2.93,6.45,5.27,-3.38,-3.71,-4.08,3.51,1.95,1.38
1958,0.11,-3.37,0.17,0.46,3.23,3.08,-1.54,-2.14,3.98,6.35,5.50,-3.49,-3.62,-3.78,4.95,1.61,2.32
1959,-0.78,-3.76,-1.44,-0.00,1.28,2.68,-2.09,-2.97,2.69,4.78,3.84,-3.70,-4.01,-4.19,4.31,-0.07,1.83
1960,-1.04,-4.62,-1.21,-0.70,2.48,2.15,-2.84,-3.45,2.60,5.98,4.82,-4.79,-4.95,-4.96,4.05,1.08,1.21
1961,0.81,-2.17,0.87,0.60,4.01,3.56,-0.58,-1.17,4.38,7.15,6.16,-2.28,-2.48,-3.26,5.11,2.34,2.27
1962,1.08,-1.63,0.92,1.09,3.98,3.65,-0.17,-0.69,4.28,7.08,5.96,-1.80,-1.89,-2.65,4.96,2.52,2.64
1963,1.07,-1.84,0.56,1.45,3.12,4.18,0.08,-1.12,4.66,6.51,5.71,-1.52,-2.46,-2.10,5.66,1.30,3.06
1964,-0.31,-3.33,-0.57,-0.22,2.40,2.44,-1.57,-2.39,3.11,5.67,4.67,-3.10,-3.85,-3.65,3.85,0.84,1.54
1965,0.73,-2.14,0.53,1.14,3.07,3.84,-0.34,-1.37,4.14,6.14,5.34,-2.22,-2.72,-2.82,5.05,1.56,2.91
1966,0.25,-3.76,0.57,0.65,4.17,3.54,-1.41,-2.33,4.05,7.49,6.17,-4.17,-4.60,-3.88,5.13,2.58,2.65
1967,0.30,-2.62,0.56,-0.10,3.31,3.20,-1.12,-1.56,3.92,6.18,5.31,-2.62,-2.89,-4.03,4.92,1.92,1.95
1968,-0.38,-3.95,-0.60,0.21,2.64,3.09,-1.85,-2.94,3.33,6.15,5.10,-3.95,-4.67,-4.04,4.73,0.87,2.29
1969,-1.55,-4.96,-1.79,-0.92,1.06,1.94,-2.87,-4.09,2.36,4.55,3.62,-5.10,-5.64,-5.25,3.58,-0.66,1.23
1970,-0.01,-3.41,-0.00,0.28,3.14,3.19,-1.59,-2.30,3.70,6.44,5.35,-3.38,-3.82,-3.93,4.90,1.47,2.32
1971,0.73,-2.41,0.72,0.91,3.58,3.67,-0.63,-1.28,4.35,6.74,5.77,-2.51,-2.90,-3.03,5.23,1.99,2.86
1972,-1.13,-4.63,-1.25,-0.55,2.25,1.64,-2.91,-3.41,1.90,5.39,4.22,-4.33,-5.00,-4.20,2.95,1.03,1.54
1973,0.60,-2.66,0.60,0.87,3.62,3.45,-0.83,-1.74,3.97,6.33,5.44,-2.37,-3.11,-2.77,4.87,2.19,2.72
1974,-0.44,-3.81,-0.10,-0.50,3.20,2.48,-2.15,-2.38,2.94,6.18,4.92,-4.08,-4.26,-4.52,4.01,2.01,1.68
1975,0.80,-2.38,1.18,0.47,4.28,3.30,-0.79,-1.03,4.29,7.19,6.13,-2.39,-2.79,-3.27,4.87,2.93,2.45
1976,-0.77,-4.37,-1.22,0.21,1.99,2.93,-2.31,-3.61,2.86,5.70,4.63,-4.05,-4.81,-4.08,4.42,0.02,2.32
1977,0.56,-2.60,0.62,0.82,3.49,3.63,-0.85,-1.70,4.08,6.33,5.49,-2.62,-3.21,-3.17,5.20,2.00,2.91
1978,0.52,-2.50,-0.00,1.05,2.93,3.68,-0.74,-1.86,3.84,6.24,5.28,-2.15,-2.99,-2.51,5.08,1.23,2.95
1979,0.80,-2.81,1.04,0.88,4.36,3.70,-0.73,-1.81,4.57,7.46,6.46,-2.80,-3.58,-2.90,5.31,2.55,2.83
1980,0.22,-3.29,-0.31,1.50,2.81,4.06,-1.18,-2.61,3.60,6.18,5.16,-3.10,-3.97,-3.00,5.32,1.19,3.68
1981,1.39,-1.84,1.54,1.10,4.95,4.15,-0.14,-0.87,4.97,7.88,6.78,-1.87,-2.33,-2.57,5.89,3.50,3.05
1982,0.77,-2.06,0.51,0.92,3.38,3.52,-0.46,-1.31,3.80,6.05,4.99,-1.74,-2.63,-2.17,4.92,2.21,2.76
1983,2.20,-0.57,2.53,1.73,5.14,4.41,0.96,0.43,5.76,7.53,6.77,-0.50,-1.10,-1.47,6.06,3.64,3.40
1984,-0.63,-4.00,-0.40,-0.72,2.90,2.35,-2.28,-2.72,2.90,6.24,4.92,-4.29,-4.58,-4.74,4.20,1.46,1.49
1985,0.05,-3.26,0.20,-0.02,3.30,3.08,-1.38,-2.41,3.73,6.24,5.33,-3.13,-3.93,-3.82,4.94,1.67,2.03
1986,0.15,-3.26,-0.04,0.50,3.13,3.44,-1.37,-2.44,3.73,6.61,5.66,-3.07,-3.82,-3.31,5.13,1.32,2.56
1987,0.10,-3.24,-0.48,1.20,2.11,3.78,-1.24,-2.39,3.62,5.83,4.96,-2.99,-3.75,-2.85,5.35,0.21,3.25
1988,0.76,-2.34,0.57,0.83,3.32,3.99,-0.54,-1.45,4.56,6.66,5.70,-2.42,-2.89,-2.99,5.87,1.80,2.84
1989,1.14,-1.84,1.03,0.94,4.40,3.47,-0.19,-1.05,4.34,7.42,6.26,-1.76,-2.47,-2.04,4.98,3.03,2.59
1990,1.57,-1.42,1.60,1.59,4.65,4.28,0.08,-0.41,4.81,7.37,6.28,-1.44,-1.85,-1.82,5.84,3.24,3.42
1991,1.05,-2.02,1.09,1.00,4.23,3.79,-0.40,-1.05,4.37,7.05,6.12,-2.12,-2.55,-2.55,5.44,2.78,2.73
1992,0.60,-2.59,0.34,0.96,3.59,3.70,-0.83,-1.90,3.93,6.30,5.34,-2.33,-3.19,-2.57,5.29,2.08,2.87
1993,-0.20,-3.50,-0.24,0.20,2.93,2.78,-1.90,-2.59,3.16,5.90,5.05,-3.40,-3.87,-3.48,4.39,1.31,2.30
1994,0.11,-2.86,-0.79,0.82,2.38,3.46,-1.07,-2.39,3.19,5.81,4.76,-2.59,-3.48,-2.52,4.83,0.87,2.65
1995,1.70,-1.28,2.14,0.97,5.53,3.94,0.12,-0.27,5.05,8.26,7.23,-1.38,-1.72,-2.26,5.74,3.95,2.69
1996,-0.50,-4.12,-0.89,0.18,2.72,2.81,-2.10,-3.26,2.85,6.34,5.13,-3.91,-4.61,-3.65,4.38,0.97,2.25
1997,1.28,-1.75,0.87,1.75,3.75,4.37,0.07,-1.12,4.61,6.80,5.92,-1.57,-2.52,-1.67,5.93,2.03,3.49
1998,0.74,-2.57,0.58,1.26,3.53,3.92,-0.76,-1.49,4.10,6.95,5.81,-2.74,-3.31,-2.42,5.50,1.93,3.31
1999,1.60,-1.90,1.70,1.91,4.81,4.58,0.05,-0.87,5.14,7.80,6.78,-1.90,-2.53,-1.78,6.31,3.21,3.84
2000,1.50,-2.05,1.85,1.51,5.18,4.46,-0.14,-0.89,5.06,7.90,6.85,-2.05,-2.59,-2.40,6.16,3.63,3.68
2001,1.51,-1.77,1.52,1.61,4.68,4.54,0.07,-0.80,4.99,7.78,6.67,-1.78,-2.45,-2.10,6.21,3.09,3.73
2002,2.09,-0.79,1.81,2.47,4.46,5.01,0.96,-0.00,5.41,7.45,6.55,-0.63,-1.46,-1.09,6.39,2.85,4.28
2003,0.88,-2.41,0.71,1.01,3.68,4.01,-0.61,-1.41,4.68,6.78,5.88,-2.32,-2.77,-2.64,5.94,2.09,3.07
2004,2.15,-1.43,2.32,2.37,5.49,5.28,0.63,-0.33,5.90,8.29,7.46,-1.42,-2.05,-1.55,6.95,3.80,4.39
2005,1.73,-1.42,1.74,1.82,4.84,4.79,0.40,-0.60,5.42,7.89,6.96,-1.45,-1.96,-2.39,6.39,3.20,3.92
2006,1.55,-1.75,1.28,2.24,4.14,4.92,0.26,-0.80,4.96,7.24,6.36,-1.84,-2.51,-1.65,6.31,2.60,4.21
2007,1.84,-1.32,1.42,2.30,4.70,4.92,0.45,-0.70,5.13,7.76,6.82,-0.97,-1.70,-1.30,6.28,3.11,4.28
2008,1.64,-1.22,1.35,2.07,4.21,4.74,0.34,-0.31,4.68,7.05,6.07,-1.14,-1.54,-1.71,5.85,2.96,4.05
2009,1.06,-2.62,0.94,1.54,4.19,4.46,-0.51,-1.53,4.91,7.38,6.43,-2.82,-3.31,-2.50,6.21,2.65,3.70
2010,1.36,-2.66,1.80,1.68,5.40,4.79,-0.41,-1.28,5.46,8.45,7.36,-3.40,-3.55,-3.08,6.66,3.78,3.95
