Variable:,tasmin
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
1949,6.36,10.76,7.59,8.33,2.86,4.62
1950,6.03,10.74,7.74,7.54,2.24,4.31
1951,6.54,11.06,7.99,8.24,2.92,4.84
1952,6.62,11.08,7.94,8.41,3.05,4.96
1953,6.86,11.32,8.12,8.69,3.31,5.20
1954,6.47,11.03,7.89,8.21,2.83,4.80
1955,6.36,10.99,7.93,8.09,2.64,4.59
1956,6.48,11.02,8.05,8.27,2.81,4.68
1957,6.30,10.93,7.93,7.93,2.57,4.55
1958,7.10,11.75,8.69,8.75,3.36,5.35
1959,6.72,11.38,8.32,8.33,2.95,5.05
1960,6.43,10.99,8.01,8.10,2.71,4.73
1961,6.38,10.99,7.99,8.05,2.64,4.64
1962,6.20,10.62,7.55,8.12,2.63,4.47
1963,6.16,10.69,7.61,7.94,2.51,4.45
1964,6.46,11.09,8.11,8.03,2.70,4.78
1965,5.85,10.30,7.18,7.82,2.28,4.07
1966,6.28,10.96,7.84,7.81,2.52,4.68
1967,5.86,10.55,7.38,7.41,2.09,4.28
1968,5.95,10.72,7.66,7.40,2.10,4.28
1969,6.48,11.04,7.89,8.19,2.83,4.83
1970,6.27,10.87,7.90,7.82,2.56,4.59
1971,5.68,10.20,7.27,7.33,2.01,3.97
1972,6.07,10.57,7.52,7.80,2.47,4.38
1973,6.49,11.16,8.09,7.97,2.74,4.84
1974,6.33,11.05,7.97,7.75,2.54,4.72
1975,6.09,10.86,7.86,7.48,2.23,4.43
1976,6.21,10.93,7.90,7.65,2.41,4.56
1977,6.40,11.10,8.07,7.88,2.61,4.72
1978,6.11,10.78,7.80,7.61,2.31,4.44
1979,6.64,11.43,8.47,8.01,2.77,4.94
1980,6.64,11.22,8.28,8.26,2.94,4.90
1981,6.18,10.71,7.80,7.85,2.52,4.40
1982,6.14,10.77,7.84,7.75,2.38,4.39
1983,5.76,10.38,7.48,7.39,2.02,3.93
1984,6.48,11.06,8.13,8.07,2.79,4.73
1985,6.83,11.49,8.47,8.36,3.09,5.14
1986,5.99,10.61,7.73,7.59,2.24,4.21
1987,6.42,11.03,8.10,7.99,2.68,4.70
1988,6.85,11.53,8.58,8.37,3.05,5.11
1989,6.41,11.30,8.37,7.63,2.46,4.71
1990,6.62,11.29,8.38,8.25,2.86,4.77
1991,6.36,11.05,8.02,8.04,2.60,4.55
1992,6.13,10.70,7.69,7.94,2.46,4.30
1993,6.55,11.09,8.09,8.36,2.88,4.75
1994,6.65,11.16,8.08,8.52,3.01,4.91
1995,6.79,11.42,8.46,8.47,3.02,5.03
1996,6.80,11.21,8.20,8.69,3.24,5.02
1997,6.19,10.86,7.86,7.88,2.40,4.42
1998,7.17,11.95,8.94,8.68,3.31,5.41
1999,7.40,11.98,8.97,9.10,3.67,5.68
2000,7.01,11.46,8.42,8.89,3.39,5.29
2001,7.15,11.59,8.62,9.07,3.54,5.36
2002,7.12,11.66,8.51,9.09,3.47,5.36
2003,7.03,11.70,8.64,8.65,3.29,5.31
2004,7.18,11.78,8.68,8.80,3.48,5.54
2005,7.23,12.00,9.00,8.70,3.37,5.52
2006,7.65,12.16,9.22,9.40,3.98,5.90
2007,7.34,11.89,9.01,8.98,3.65,5.57
2008,7.21,11.82,8.95,8.84,3.41,5.47
2009,7.56,12.13,9.14,9.34,3.88,5.77
2010,7.71,12.32,9.31,9.44,3.99,5.95
2011,7.17,11.69,8.73,9.05,3.48,5.35
2012,6.99,11.34,8.28,9.09,3.48,5.17
2013,6.91,11.42,8.45,8.71,3.23,5.19
2014,7.01,11.49,8.54,8.81,3.34,5.29
2015,7.00,11.32,8.30,9.09,3.49,5.24
2016,7.68,11.90,8.83,9.82,4.28,5.96
2017,7.54,11.83,8.80,9.68,4.09,5.71
2018,7.31,11.52,8.34,9.63,3.97,5.48
2019,7.12,11.58,8.64,9.05,3.52,5.25
2020,6.99,11.46,8.50,8.93,3.39,5.10
