Variable:,tasmin
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1935,9.65,5.26,17.60,4.35,4.09,9.23,10.03,7.39,2.62,8.46,17.06,11.07,10.02,15.60,9.37,2.66,12.48,5.18,5.55,8.70,11.21,13.87,7.44,3.42,9.13,2.13,4.66,10.04,4.50,11.09
1936,9.61,4.98,17.05,4.11,3.98,9.08,9.64,7.30,2.44,8.61,16.84,10.74,10.06,15.24,9.06,2.47,12.41,4.94,5.36,8.62,11.23,14.27,7.27,3.28,9.01,2.04,4.66,10.07,4.31,10.93
1937,9.47,5.19,17.18,4.11,4.26,9.06,9.67,7.46,2.60,8.13,16.84,10.89,9.86,15.30,9.07,2.67,12.43,5.03,5.45,8.53,10.99,13.86,7.27,3.58,8.88,2.21,4.86,9.79,4.46,10.99
1938,9.94,5.23,17.36,4.48,4.20,9.59,9.93,7.77,2.86,8.99,17.05,10.97,10.25,15.56,9.39,2.73,12.99,5.26,5.92,9.29,11.84,14.37,7.95,3.41,9.34,2.44,5.02,10.72,4.86,11.59
1939,9.98,5.25,17.24,4.42,4.32,9.59,9.86,7.93,2.89,9.07,17.03,10.94,10.26,15.46,9.30,2.82,13.11,5.22,5.94,9.42,11.92,14.47,8.05,3.60,9.36,2.54,5.09,10.82,5.02,11.62
1940,10.39,5.60,17.73,4.79,4.48,9.90,10.35,8.03,3.15,9.63,17.47,11.28,10.73,15.86,9.74,3.11,13.28,5.51,6.14,9.64,12.32,14.96,8.22,3.81,9.82,2.72,5.19,11.24,5.15,11.82
1941,10.44,5.29,17.53,4.63,3.85,9.94,10.26,7.79,2.99,9.92,17.59,11.02,10.89,15.65,9.55,2.71,13.15,5.35,6.10,9.66,12.49,15.39,8.23,3.16,9.82,2.42,4.75,11.36,4.99,11.87
1942,9.97,5.00,17.59,4.40,3.88,9.49,10.14,7.44,2.59,9.07,17.38,10.84,10.45,15.53,9.39,2.47,12.64,5.07,5.68,9.00,11.69,14.73,7.66,3.21,9.38,2.10,4.62,10.54,4.58,11.35
1943,9.38,4.83,16.95,3.95,3.67,8.84,9.50,7.12,2.31,8.23,16.83,10.63,9.84,15.12,8.83,2.22,12.22,4.79,5.25,8.43,10.94,14.08,7.15,2.97,8.72,1.83,4.39,9.75,4.19,10.80
1944,10.02,5.32,17.41,4.55,4.20,9.63,10.02,7.78,2.92,9.08,17.14,11.04,10.39,15.61,9.46,2.74,12.99,5.32,5.94,9.32,11.88,14.54,7.95,3.42,9.49,2.46,5.02,10.70,4.87,11.59
1945,9.24,4.45,17.00,3.87,2.85,8.60,9.54,6.39,1.78,8.30,16.82,10.44,9.95,15.07,8.83,1.72,11.64,4.54,4.73,8.01,10.71,14.10,6.60,2.28,8.76,1.15,3.52,9.55,3.53,10.25
1946,9.57,4.60,17.55,4.18,3.46,8.96,10.03,6.76,1.99,8.46,17.30,10.58,10.27,15.38,9.24,1.95,11.97,4.75,5.00,8.29,10.98,14.48,6.87,2.81,9.08,1.51,4.08,9.80,3.82,10.55
1947,10.19,5.46,18.09,4.61,4.25,9.54,10.55,7.54,2.80,9.18,17.68,11.20,10.73,15.83,9.73,2.86,12.70,5.35,5.69,9.02,11.69,15.03,7.63,3.66,9.61,2.31,4.82,10.50,4.62,11.26
1948,9.65,4.79,17.26,4.21,3.56,9.02,9.82,7.07,2.27,8.63,17.10,10.68,10.28,15.37,9.19,2.15,12.16,4.89,5.21,8.38,11.09,14.73,7.04,2.76,9.10,1.82,4.41,9.89,4.11,10.73
1949,8.91,4.34,16.67,3.61,3.01,8.19,9.18,6.31,1.61,7.58,16.67,10.28,9.61,14.83,8.53,1.62,11.38,4.33,4.47,7.56,10.09,14.13,6.23,2.32,8.29,1.09,3.64,8.94,3.34,9.90
1950,8.86,4.45,16.91,3.81,3.23,8.42,9.32,6.56,1.83,7.39,16.46,10.39,9.43,15.03,8.76,1.81,11.54,4.52,4.69,7.66,10.16,13.40,6.37,2.52,8.44,1.37,3.92,8.98,3.53,10.10
1951,9.76,5.01,17.65,4.22,3.89,8.98,10.29,7.02,2.25,8.69,17.66,10.79,10.55,15.45,9.40,2.40,12.01,4.85,5.00,8.08,10.86,14.76,6.74,3.18,9.25,1.84,4.56,9.70,3.93,10.44
1952,9.58,5.09,17.47,3.97,4.21,8.78,10.02,7.14,2.23,8.60,17.31,10.79,10.07,15.23,9.13,2.52,12.09,4.78,4.89,8.06,10.82,14.23,6.66,3.49,9.00,1.95,4.79,9.79,3.93,10.33
1953,9.76,4.65,17.43,3.93,3.70,8.85,10.08,6.94,1.96,9.16,17.57,10.42,10.44,15.11,9.11,2.12,12.01,4.55,4.74,8.10,11.01,14.86,6.64,2.95,9.14,1.66,4.38,9.95,3.77,10.22
1954,9.83,5.38,17.89,4.40,4.26,9.14,10.40,7.17,2.46,8.62,17.73,11.15,10.49,15.68,9.58,2.75,12.08,5.11,5.14,8.08,10.82,14.69,6.80,3.65,9.29,2.05,4.67,9.60,4.07,10.58
