Variable:,tasmin
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1979,3.47,3.88,4.10,2.45,2.45,4.59,4.05,4.41,2.62,4.80,3.29,4.07,5.49,2.46,4.06,4.90
1980,3.55,4.06,4.29,2.87,2.44,4.86,4.23,4.58,2.13,5.03,3.38,4.11,5.71,2.57,4.23,5.00
1981,3.60,4.13,4.28,2.79,2.44,5.01,4.12,4.67,2.60,5.21,3.47,3.88,5.54,2.44,4.02,5.04
1982,3.62,4.33,4.43,3.12,2.10,4.95,4.43,4.64,2.15,5.05,3.56,3.98,5.93,2.87,4.24,5.19
1983,3.67,4.24,3.95,2.92,2.69,4.48,4.22,4.21,2.73,4.59,3.19,3.76,6.51,3.65,3.73,4.85
1984,3.24,4.00,3.96,2.57,1.80,4.39,4.05,4.12,1.64,4.52,3.10,3.62,5.98,3.24,3.86,4.74
1985,3.73,4.08,4.46,2.99,2.73,4.90,4.41,4.47,2.58,4.90,3.52,4.29,5.93,3.17,4.35,5.17
1986,3.61,4.33,4.09,3.47,2.03,4.80,4.84,4.78,2.00,5.08,3.88,3.69,5.82,2.77,3.76,5.55
1987,3.95,4.38,4.71,3.15,2.69,5.22,4.65,4.81,2.62,5.30,3.82,4.43,6.69,3.89,4.53,5.46
1988,3.24,3.85,3.34,2.56,2.13,4.02,3.87,3.92,2.45,4.19,3.08,3.23,5.78,3.09,3.09,4.79
1989,3.61,4.13,3.79,3.32,2.32,4.65,4.64,4.80,2.48,5.04,3.89,3.56,5.82,2.85,3.35,5.54
1990,3.56,4.11,3.90,2.95,2.52,4.63,4.26,4.46,2.51,4.83,3.52,3.60,5.84,3.00,3.45,5.18
1991,3.52,4.48,3.86,3.56,1.71,4.67,4.96,4.84,1.74,4.99,3.97,3.31,5.83,2.80,3.51,5.69
1992,3.43,4.32,3.90,2.90,1.95,4.60,4.36,4.56,1.78,4.85,3.63,3.46,6.00,3.02,3.65,5.33
1993,3.60,4.33,4.16,2.96,2.33,4.90,4.26,4.61,2.23,5.02,3.59,3.60,6.08,3.18,3.77,5.19
1994,3.92,4.84,4.43,3.91,2.28,5.21,5.36,5.42,1.64,5.55,4.51,3.95,6.37,3.34,4.09,6.08
1995,3.55,4.41,4.03,3.43,2.02,4.60,4.43,4.47,1.74,4.73,3.50,3.80,6.22,3.36,3.87,5.18
1996,3.61,4.12,4.18,3.12,2.36,4.81,4.51,4.71,2.21,5.05,3.70,4.00,5.76,2.88,4.05,5.31
1997,4.06,4.98,4.78,3.90,2.31,5.37,5.14,5.21,1.84,5.59,4.15,4.60,6.64,3.67,4.79,5.86
1998,4.18,4.59,4.63,3.23,3.30,5.12,4.71,4.90,3.06,5.30,3.84,4.75,6.76,3.99,4.65,5.49
1999,3.59,4.02,4.34,2.71,2.35,5.02,4.30,4.69,2.34,5.21,3.60,4.08,5.81,2.91,4.19,5.24
2000,3.34,4.11,4.03,2.58,1.53,4.64,4.05,4.39,1.96,4.79,3.36,3.72,6.10,3.33,3.95,5.02
2001,3.58,4.35,4.30,3.15,1.84,5.04,4.65,4.97,1.89,5.31,3.98,3.85,5.80,2.77,4.11,5.60
2002,3.46,4.35,4.18,2.97,1.77,4.59,4.27,4.44,1.78,4.76,3.45,4.04,6.00,3.06,4.26,5.11
2003,3.73,4.31,4.14,3.41,2.40,4.83,4.73,5.00,2.41,5.16,4.05,4.04,5.54,2.49,4.04,5.60
2004,3.98,4.34,4.56,3.19,2.93,5.09,4.56,4.96,2.98,5.30,3.83,4.43,6.19,3.38,4.44,5.40
2005,3.57,4.17,4.08,3.03,2.28,4.57,4.41,4.49,2.31,4.75,3.44,3.94,5.96,3.11,3.99,5.11
2006,3.93,4.84,4.13,3.88,2.25,4.86,5.11,5.14,2.34,5.28,4.19,3.88,6.36,3.31,3.96,5.83
2007,3.15,3.83,3.41,2.64,2.01,3.99,3.91,3.97,1.91,4.24,2.99,3.37,5.57,2.68,3.32,4.65
2008,3.73,4.01,4.48,3.22,2.78,5.10,4.67,4.87,2.37,5.28,3.84,4.36,5.37,2.28,4.44,5.49
2009,3.61,4.32,3.74,3.51,2.29,4.54,4.84,4.71,2.09,4.84,3.82,3.55,5.92,2.97,3.59,5.50
