Variable:,tasmin
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
1973,23.09,23.09,23.09,23.09,23.09,23.11,23.09,23.09,23.09,23.09
1974,22.61,22.61,22.61,22.61,22.61,22.63,22.61,22.61,22.61,22.61
1975,22.48,22.48,22.48,22.48,22.48,22.50,22.48,22.48,22.48,22.48
1976,22.44,22.44,22.44,22.44,22.44,22.45,22.44,22.44,22.44,22.44
1977,22.78,22.78,22.78,22.78,22.78,22.79,22.78,22.78,22.78,22.78
1978,22.99,22.99,22.99,22.99,22.99,23.01,22.99,22.99,22.99,22.99
1979,22.99,22.99,22.99,22.99,22.99,23.00,22.99,22.99,22.99,22.99
1980,22.97,22.97,22.97,22.97,22.97,22.98,22.97,22.97,22.97,22.97
1981,23.06,23.06,23.06,23.06,23.06,23.08,23.06,23.06,23.06,23.06
1982,23.14,23.14,23.14,23.14,23.14,23.16,23.14,23.14,23.14,23.14
1983,23.39,23.39,23.39,23.39,23.39,23.41,23.39,23.39,23.39,23.39
1984,22.77,22.77,22.77,22.77,22.77,22.78,22.77,22.77,22.77,22.77
1985,22.85,22.85,22.85,22.85,22.85,22.86,22.85,22.85,22.85,22.85
1986,23.00,23.00,23.00,23.00,23.00,23.01,23.00,23.00,23.00,23.00
1987,23.38,23.38,23.38,23.38,23.38,23.39,23.38,23.38,23.38,23.38
1988,23.41,23.41,23.41,23.41,23.41,23.42,23.41,23.41,23.41,23.41
1989,23.10,23.10,23.10,23.10,23.10,23.11,23.10,23.10,23.10,23.10
1990,23.48,23.48,23.48,23.48,23.48,23.49,23.48,23.48,23.48,23.48
1991,23.53,23.53,23.53,23.53,23.53,23.54,23.53,23.53,23.53,23.53
1992,23.43,23.43,23.43,23.43,23.43,23.44,23.43,23.43,23.43,23.43
1993,23.44,23.44,23.44,23.44,23.44,23.44,23.44,23.44,23.44,23.44
1994,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52
1995,23.74,23.74,23.74,23.74,23.74,23.75,23.74,23.74,23.74,23.74
1996,23.58,23.58,23.58,23.58,23.58,23.58,23.58,23.58,23.58,23.58
1997,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88
1998,24.21,24.21,24.21,24.21,24.21,24.21,24.21,24.21,24.21,24.21
1999,23.61,23.61,23.61,23.61,23.61,23.61,23.61,23.61,23.61,23.61
2000,23.73,23.73,23.73,23.73,23.73,23.74,23.73,23.73,23.73,23.73
2001,23.79,23.79,23.79,23.79,23.79,23.80,23.79,23.79,23.79,23.79
2002,24.03,24.03,24.03,24.03,24.03,24.03,24.03,24.03,24.03,24.03
2003,23.87,23.87,23.87,23.87,23.87,23.88,23.87,23.87,23.87,23.87
2004,23.77,23.77,23.77,23.77,23.77,23.77,23.77,23.77,23.77,23.77
2005,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83
2006,23.78,23.78,23.78,23.78,23.78,23.78,23.78,23.78,23.78,23.78
2007,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88
2008,23.78,23.78,23.78,23.78,23.78,23.78,23.78,23.78,23.78,23.78
2009,24.02,24.02,24.02,24.02,24.02,24.03,24.02,24.02,24.02,24.02
2010,24.30,24.30,24.30,24.30,24.30,24.29,24.30,24.30,24.30,24.30
2011,24.11,24.11,24.11,24.11,24.11,24.11,24.11,24.11,24.11,24.11
2012,24.13,24.13,24.13,24.13,24.13,24.13,24.13,24.13,24.13,24.13
2013,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34
2014,24.11,24.11,24.11,24.11,24.11,24.11,24.11,24.11,24.11,24.11
2015,24.21,24.21,24.21,24.21,24.21,24.22,24.21,24.21,24.21,24.21
2016,24.59,24.59,24.59,24.59,24.59,24.59,24.59,24.59,24.59,24.59
2017,24.12,24.12,24.12,24.12,24.12,24.12,24.12,24.12,24.12,24.12
2018,23.68,23.68,23.68,23.68,23.68,23.67,23.68,23.68,23.68,23.68
2019,24.11,24.11,24.11,24.11,24.11,24.10,24.11,24.11,24.11,24.11
2020,23.97,23.97,23.97,23.97,23.97,23.97,23.97,23.97,23.97,23.97
