Variable:,tasmin
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1934,4.32,3.82,3.67,4.49,4.17,4.04,3.02,3.38,4.63,5.61,3.80,6.59,4.40,4.49,3.45,4.40,6.02,3.78,4.43,3.00,4.71,4.57,4.53,3.43,4.79,4.25
1935,3.52,2.94,2.78,3.19,3.81,3.91,1.53,3.16,4.21,4.30,3.04,6.25,3.34,3.01,3.34,3.73,5.12,3.24,2.96,2.35,3.27,3.44,3.05,1.91,4.59,2.96
1936,4.63,4.15,3.88,4.61,4.75,4.67,2.77,4.05,5.33,5.69,4.23,7.26,4.49,4.15,4.11,4.94,6.36,4.27,4.23,3.45,4.60,4.85,4.24,3.07,5.48,4.20
1937,4.49,3.91,3.64,4.30,4.80,4.78,2.49,4.03,5.44,5.31,4.07,7.46,4.16,3.88,4.14,4.86,6.17,4.15,3.84,3.33,4.26,4.49,3.89,2.85,5.66,3.81
1938,4.63,4.06,4.00,4.19,4.97,5.09,2.38,4.50,5.37,5.35,4.13,7.25,4.42,3.82,4.70,4.79,6.06,4.42,4.05,3.75,4.23,4.56,4.07,2.76,5.75,4.01
1939,4.32,3.92,3.63,3.95,4.61,4.56,2.17,3.66,5.16,5.18,4.01,7.08,4.21,3.71,3.73,4.74,6.07,4.02,3.89,3.05,4.10,4.42,3.91,2.46,5.40,3.84
1940,2.23,1.71,1.33,1.48,2.89,3.21,-0.50,2.17,3.60,2.45,1.93,5.87,1.77,0.82,2.54,2.81,4.15,2.06,0.86,1.14,1.26,2.00,0.82,-0.19,3.97,1.02
1941,2.49,1.95,1.29,2.28,2.95,3.25,0.43,2.08,3.73,3.03,2.19,5.87,1.95,1.71,2.44,3.10,4.69,2.07,1.34,0.97,2.04,2.44,1.40,0.83,4.03,1.38
1942,1.39,0.54,-0.01,1.33,1.66,2.07,-0.26,0.70,2.52,2.15,0.84,5.19,0.74,1.24,1.18,1.74,3.50,0.60,0.67,-0.51,1.29,1.33,0.88,0.47,2.85,0.42
1943,3.43,2.77,2.71,3.09,3.58,3.75,1.55,2.84,4.04,4.35,2.89,6.09,3.24,3.16,3.08,3.58,5.09,2.97,3.26,2.05,3.34,3.33,3.37,2.05,4.48,3.05
1944,4.20,3.72,3.53,3.65,4.66,4.83,1.84,4.06,5.02,4.76,3.86,6.85,3.96,3.30,4.28,4.57,5.81,4.06,3.46,3.22,3.69,4.03,3.47,2.12,5.39,3.48
1945,2.54,2.00,1.70,2.94,2.28,2.18,1.36,1.56,3.07,3.88,2.05,5.00,2.37,2.84,1.59,2.81,4.43,1.97,2.59,1.16,3.03,2.80,2.80,1.83,2.99,2.30
