Variable:,tasmin
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1940,5.83,5.75,5.13,6.26,6.55,5.19,5.86,5.89,6.72,5.73,5.56,5.40,4.96,6.18,5.37,5.63,5.85,5.63,5.05,5.05,5.51,5.40,5.30,5.63,5.89,5.45,6.56,6.06
1941,5.57,5.53,4.91,5.96,6.28,4.96,5.71,5.59,6.41,5.49,5.32,5.14,4.68,5.89,5.11,5.45,5.53,5.44,4.87,4.87,5.25,5.11,4.99,5.37,5.67,5.21,6.34,5.88
1942,5.67,5.63,4.99,6.07,6.35,5.06,5.76,5.71,6.51,5.60,5.42,5.25,4.78,6.00,5.21,5.49,5.65,5.50,4.94,4.94,5.34,5.21,5.11,5.47,5.72,5.29,6.41,5.95
1943,6.27,6.16,5.59,6.71,6.98,5.63,6.37,6.33,7.16,6.15,6.00,5.83,5.37,6.63,5.79,6.12,6.26,6.10,5.53,5.53,5.93,5.81,5.71,6.07,6.32,5.89,6.97,6.52
1944,6.02,5.96,5.35,6.46,6.75,5.37,6.14,6.05,6.91,5.94,5.77,5.61,5.09,6.39,5.56,5.90,5.95,5.87,5.32,5.32,5.71,5.55,5.37,5.83,6.09,5.66,6.78,6.32
1945,6.67,6.60,5.96,7.11,7.38,6.02,6.75,6.73,7.57,6.59,6.41,6.26,5.73,7.04,6.22,6.50,6.64,6.49,5.92,5.92,6.38,6.21,6.06,6.48,6.71,6.31,7.39,6.94
1946,5.82,5.76,5.12,6.25,6.56,5.14,5.92,5.85,6.70,5.74,5.58,5.41,4.87,6.19,5.34,5.66,5.76,5.65,5.09,5.09,5.50,5.33,5.21,5.64,5.91,5.45,6.58,6.10
1947,5.75,5.67,5.05,6.18,6.49,5.09,5.83,5.79,6.65,5.66,5.50,5.31,4.78,6.09,5.27,5.62,5.69,5.59,5.03,5.03,5.42,5.27,5.09,5.55,5.86,5.38,6.50,6.01
1948,6.29,6.23,5.58,6.72,7.05,5.63,6.36,6.34,7.18,6.19,6.07,5.87,5.34,6.66,5.80,6.12,6.23,6.11,5.55,5.55,5.97,5.84,5.65,6.11,6.39,5.91,7.05,6.55
1949,6.61,6.56,5.86,7.08,7.37,5.90,6.71,6.67,7.54,6.53,6.39,6.20,5.61,7.01,6.10,6.42,6.51,6.39,5.85,5.85,6.29,6.12,5.94,6.46,6.73,6.21,7.39,6.90
1950,5.70,5.63,4.98,6.10,6.46,5.05,5.82,5.72,6.58,5.61,5.47,5.28,4.74,6.05,5.22,5.52,5.61,5.52,4.93,4.93,5.40,5.20,5.03,5.51,5.81,5.33,6.49,6.00
1951,5.48,5.45,4.76,5.90,6.23,4.84,5.62,5.51,6.35,5.43,5.27,5.09,4.51,5.86,4.99,5.33,5.37,5.32,4.71,4.71,5.19,4.99,4.79,5.31,5.59,5.11,6.30,5.81
1952,5.56,5.47,4.79,6.00,6.33,4.88,5.63,5.61,6.48,5.45,5.35,5.14,4.58,5.94,5.05,5.32,5.51,5.33,4.75,4.75,5.21,5.08,4.92,5.40,5.69,5.14,6.33,5.82
1953,6.16,6.08,5.52,6.56,6.84,5.70,6.29,6.18,7.00,6.06,5.88,5.72,5.28,6.48,5.69,6.12,6.09,6.02,5.52,5.52,5.84,5.68,5.55,5.93,6.20,5.79,6.90,6.44
1954,5.80,5.76,5.07,6.23,6.55,5.13,5.93,5.84,6.69,5.74,5.56,5.39,4.84,6.18,5.30,5.63,5.71,5.62,5.04,5.04,5.49,5.32,5.13,5.63,5.89,5.42,6.59,6.11
1955,5.51,5.45,4.79,5.95,6.27,4.83,5.61,5.56,6.41,5.40,5.28,5.07,4.54,5.88,5.04,5.35,5.45,5.33,4.75,4.75,5.15,5.05,4.87,5.34,5.62,5.12,6.30,5.80
1956,5.57,5.51,4.90,5.99,6.26,4.97,5.70,5.62,6.43,5.48,5.33,5.14,4.63,5.92,5.10,5.44,5.54,5.43,4.86,4.86,5.23,5.12,4.96,5.38,5.65,5.21,6.32,5.85
1957,6.18,6.14,5.52,6.56,6.90,5.58,6.32,6.18,7.02,6.11,5.96,5.77,5.25,6.51,5.72,6.10,6.08,6.06,5.50,5.50,5.87,5.68,5.52,6.00,6.29,5.83,6.97,6.48
1958,5.98,5.95,5.27,6.39,6.71,5.32,6.08,6.01,6.86,5.89,5.75,5.55,5.03,6.34,5.48,5.80,5.93,5.80,5.22,5.22,5.65,5.53,5.35,5.80,6.08,5.59,6.75,6.27
1959,6.31,6.25,5.65,6.71,7.03,5.74,6.49,6.32,7.15,6.25,6.06,5.89,5.39,6.65,5.84,6.26,6.23,6.19,5.64,5.64,5.99,5.82,5.67,6.12,6.40,5.95,7.11,6.66
1960,5.63,5.57,5.01,6.00,6.33,5.13,5.82,5.62,6.44,5.56,5.39,5.20,4.76,5.94,5.18,5.62,5.52,5.53,5.02,5.02,5.31,5.14,5.01,5.42,5.74,5.28,6.48,5.98
1961,5.87,5.87,5.20,6.25,6.56,5.30,6.07,5.90,6.70,5.81,5.63,5.42,4.91,6.18,5.39,5.86,5.80,5.76,5.20,5.20,5.51,5.39,5.22,5.64,5.94,5.49,6.71,6.22
1962,4.97,4.90,4.29,5.37,5.68,4.45,5.09,5.02,5.79,4.81,4.69,4.48,4.07,5.30,4.51,4.88,4.92,4.83,4.27,4.27,4.60,4.52,4.35,4.75,5.02,4.58,5.74,5.26
1963,4.95,4.90,4.26,5.35,5.69,4.33,5.08,4.98,5.82,4.84,4.72,4.53,4.00,5.31,4.49,4.84,4.87,4.79,4.22,4.22,4.64,4.48,4.29,4.76,5.05,4.59,5.74,5.25
1964,5.92,5.88,5.23,6.35,6.66,5.29,6.04,5.97,6.79,5.82,5.67,5.50,4.95,6.29,5.45,5.81,5.85,5.76,5.19,5.19,5.62,5.46,5.24,5.75,6.02,5.57,6.70,6.21
1965,5.17,5.10,4.53,5.57,5.87,4.57,5.35,5.21,5.99,5.07,4.93,4.75,4.24,5.49,4.70,5.13,5.12,5.07,4.49,4.49,4.85,4.71,4.52,4.99,5.27,4.83,5.96,5.48
1966,5.88,5.80,5.20,6.30,6.60,5.19,6.05,5.93,6.75,5.80,5.62,5.45,4.91,6.23,5.39,5.79,5.82,5.75,5.14,5.14,5.55,5.40,5.22,5.69,5.96,5.51,6.66,6.19
1967,5.66,5.65,5.06,6.02,6.32,5.14,5.87,5.67,6.45,5.60,5.42,5.24,4.78,5.95,5.23,5.70,5.59,5.61,5.05,5.05,5.34,5.22,5.05,5.44,5.74,5.33,6.48,6.02
1968,5.53,5.58,4.80,5.92,6.26,4.86,5.76,5.53,6.37,5.51,5.35,5.15,4.52,5.88,5.03,5.46,5.38,5.40,4.77,4.77,5.22,5.02,4.79,5.37,5.66,5.15,6.42,5.94
1969,5.33,5.30,4.68,5.72,6.02,4.78,5.49,5.36,6.16,5.25,5.10,4.91,4.41,5.65,4.89,5.31,5.26,5.23,4.65,4.65,5.00,4.89,4.71,5.12,5.42,4.98,6.12,5.64
1970,5.73,5.66,5.12,6.11,6.40,5.17,5.87,5.76,6.56,5.65,5.45,5.29,4.83,6.03,5.29,5.71,5.69,5.64,5.11,5.11,5.39,5.29,5.15,5.49,5.77,5.38,6.48,6.02
1971,6.14,6.08,5.54,6.51,6.81,5.63,6.30,6.14,6.95,6.07,5.89,5.71,5.27,6.44,5.72,6.16,6.08,6.09,5.54,5.54,5.80,5.69,5.55,5.91,6.20,5.81,6.90,6.43
1972,5.25,5.30,4.62,5.59,5.92,4.74,5.47,5.22,6.03,5.25,5.06,4.88,4.34,5.54,4.77,5.28,5.13,5.17,4.66,4.66,4.96,4.75,4.63,5.05,5.37,4.91,6.10,5.64
1973,6.00,5.92,5.31,6.42,6.72,5.34,6.09,6.06,6.87,5.93,5.77,5.59,5.02,6.34,5.50,5.85,5.92,5.85,5.27,5.27,5.69,5.51,5.33,5.82,6.10,5.64,6.75,6.26
1974,5.60,5.59,4.99,5.96,6.27,5.09,5.80,5.61,6.42,5.55,5.34,5.17,4.70,5.88,5.15,5.63,5.56,5.54,5.00,5.00,5.26,5.14,5.01,5.35,5.66,5.26,6.40,5.95
1975,6.06,6.06,5.38,6.45,6.79,5.46,6.22,6.07,6.91,6.02,5.86,5.67,5.12,6.40,5.55,5.98,5.96,5.92,5.38,5.38,5.77,5.58,5.41,5.88,6.18,5.70,6.86,6.38
1976,5.95,5.89,5.38,6.29,6.57,5.49,6.15,5.95,6.72,5.93,5.69,5.54,5.10,6.21,5.53,6.01,5.90,5.91,5.39,5.39,5.67,5.51,5.39,5.70,5.98,5.65,6.70,6.26
1977,5.76,5.80,5.09,6.14,6.46,5.12,6.00,5.77,6.58,5.77,5.56,5.38,4.79,6.08,5.24,5.73,5.65,5.68,5.08,5.08,5.47,5.25,5.07,5.56,5.87,5.40,6.62,6.16
1978,5.97,5.86,5.35,6.34,6.62,5.43,6.17,6.00,6.78,5.94,5.70,5.57,5.08,6.27,5.57,5.96,5.93,5.90,5.35,5.35,5.72,5.55,5.40,5.74,6.00,5.67,6.70,6.29
1979,5.12,5.09,4.43,5.52,5.82,4.51,5.33,5.14,5.96,5.10,4.87,4.70,4.15,5.44,4.63,5.06,5.05,5.02,4.42,4.42,4.80,4.63,4.46,4.90,5.18,4.74,5.92,5.48
1980,5.83,5.77,5.20,6.22,6.53,5.28,5.98,5.83,6.66,5.76,5.58,5.40,4.90,6.15,5.39,5.80,5.75,5.75,5.20,5.20,5.50,5.37,5.21,5.61,5.89,5.49,6.58,6.12
1981,5.93,5.80,5.22,6.39,6.70,5.23,6.00,5.99,6.84,5.82,5.66,5.49,4.94,6.32,5.45,5.74,5.84,5.75,5.19,5.19,5.62,5.45,5.25,5.76,6.02,5.56,6.66,6.18
1982,5.84,5.82,5.16,6.27,6.61,5.18,5.95,5.84,6.72,5.77,5.65,5.44,4.86,6.22,5.36,5.71,5.70,5.69,5.16,5.16,5.53,5.31,5.16,5.68,6.00,5.48,6.67,6.15
1983,6.29,6.20,5.65,6.73,7.03,5.65,6.39,6.32,7.15,6.20,6.05,5.89,5.33,6.67,5.84,6.20,6.19,6.16,5.66,5.66,6.00,5.82,5.62,6.12,6.37,5.96,7.03,6.55
1984,5.55,5.56,4.95,5.88,6.22,5.05,5.82,5.50,6.32,5.51,5.33,5.15,4.65,5.85,5.08,5.62,5.41,5.48,5.03,5.03,5.25,5.04,4.93,5.34,5.63,5.22,6.42,5.95
1985,5.33,5.26,4.68,5.72,6.08,4.72,5.47,5.33,6.18,5.24,5.07,4.89,4.38,5.68,4.88,5.26,5.25,5.21,4.69,4.69,5.00,4.82,4.67,5.14,5.42,4.98,6.12,5.64
1986,4.86,4.77,4.29,5.21,5.54,4.39,5.02,4.85,5.65,4.77,4.56,4.40,4.00,5.15,4.48,4.90,4.81,4.80,4.32,4.32,4.53,4.41,4.30,4.61,4.87,4.54,5.61,5.15
1987,5.60,5.55,4.94,5.97,6.32,5.02,5.76,5.60,6.42,5.55,5.37,5.19,4.67,5.93,5.14,5.52,5.53,5.48,4.94,4.94,5.30,5.10,4.97,5.40,5.68,5.25,6.38,5.93
1988,6.10,6.08,5.50,6.44,6.77,5.57,6.27,6.08,6.89,6.04,5.84,5.67,5.21,6.38,5.68,6.11,6.02,6.02,5.52,5.52,5.77,5.65,5.51,5.86,6.18,5.77,6.90,6.43
1989,6.30,6.30,5.63,6.67,6.99,5.66,6.53,6.28,7.11,6.33,6.11,5.93,5.33,6.61,5.80,6.28,6.19,6.20,5.65,5.65,6.00,5.80,5.65,6.10,6.42,5.93,7.14,6.68
1990,6.47,6.45,5.89,6.82,7.14,5.93,6.66,6.45,7.26,6.44,6.23,6.06,5.58,6.75,6.04,6.50,6.40,6.42,5.92,5.92,6.15,5.99,5.87,6.26,6.56,6.15,7.29,6.81
1991,6.07,5.99,5.48,6.44,6.73,5.51,6.23,6.08,6.87,6.04,5.79,5.67,5.20,6.37,5.63,6.05,6.01,6.00,5.49,5.49,5.78,5.61,5.48,5.86,6.09,5.76,6.76,6.34
1992,6.06,6.00,5.46,6.42,6.73,5.50,6.26,6.05,6.87,6.03,5.81,5.65,5.16,6.35,5.59,6.07,5.96,6.01,5.47,5.47,5.76,5.58,5.43,5.85,6.13,5.72,6.83,6.39
1993,5.92,5.85,5.31,6.28,6.60,5.33,6.07,5.93,6.74,5.86,5.67,5.53,5.02,6.21,5.45,5.92,5.87,5.86,5.35,5.35,5.65,5.47,5.33,5.71,5.97,5.61,6.65,6.20
1994,6.11,6.06,5.45,6.50,6.85,5.48,6.26,6.09,6.96,6.06,5.88,5.70,5.15,6.45,5.61,6.06,6.03,6.02,5.45,5.45,5.81,5.60,5.47,5.92,6.21,5.76,6.95,6.44
1995,6.36,6.27,5.65,6.79,7.09,5.67,6.51,6.37,7.25,6.30,6.12,5.93,5.37,6.71,5.88,6.26,6.28,6.23,5.62,5.62,6.04,5.86,5.70,6.16,6.46,5.99,7.15,6.68
1996,5.61,5.53,4.99,6.02,6.26,5.09,5.76,5.64,6.44,5.54,5.33,5.19,4.72,5.94,5.16,5.58,5.58,5.53,4.98,4.98,5.30,5.17,5.03,5.40,5.65,5.28,6.32,5.89
1997,6.69,6.62,6.04,7.10,7.37,6.10,6.84,6.70,7.52,6.61,6.46,6.30,5.74,7.02,6.20,6.65,6.63,6.59,6.01,6.01,6.39,6.21,6.05,6.52,6.78,6.36,7.45,6.99
1998,6.64,6.57,6.01,7.01,7.30,6.06,6.82,6.65,7.45,6.59,6.38,6.21,5.71,6.94,6.20,6.65,6.60,6.58,6.02,6.02,6.32,6.17,6.02,6.43,6.71,6.31,7.40,6.97
1999,6.56,6.47,5.92,6.94,7.24,5.99,6.80,6.56,7.40,6.50,6.31,6.13,5.65,6.87,6.11,6.55,6.52,6.47,5.93,5.93,6.23,6.07,5.96,6.34,6.63,6.22,7.32,6.93
2000,6.09,6.02,5.46,6.46,6.77,5.60,6.31,6.08,6.91,6.04,5.82,5.64,5.20,6.40,5.64,6.08,6.02,6.00,5.49,5.49,5.74,5.57,5.50,5.87,6.16,5.72,6.88,6.45
2001,5.95,5.91,5.32,6.31,6.62,5.43,6.19,5.95,6.75,5.90,5.69,5.51,5.06,6.24,5.48,5.95,5.88,5.87,5.33,5.33,5.60,5.46,5.34,5.72,6.01,5.58,6.77,6.31
2002,6.47,6.42,5.86,6.81,7.13,6.00,6.74,6.45,7.25,6.40,6.22,6.05,5.58,6.76,6.01,6.52,6.39,6.42,5.92,5.92,6.16,5.97,5.85,6.24,6.53,6.13,7.33,6.85
2003,6.41,6.35,5.77,6.80,7.10,5.94,6.60,6.42,7.23,6.33,6.15,5.96,5.51,6.72,5.94,6.42,6.35,6.32,5.82,5.82,6.07,5.93,5.82,6.18,6.47,6.04,7.18,6.72
2004,6.47,6.40,5.86,6.82,7.13,6.04,6.72,6.47,7.26,6.40,6.20,6.04,5.59,6.75,6.00,6.55,6.41,6.42,5.93,5.93,6.15,5.99,5.88,6.23,6.52,6.12,7.30,6.83
2005,6.67,6.63,6.03,7.04,7.37,6.17,6.87,6.67,7.50,6.59,6.41,6.23,5.75,6.97,6.20,6.68,6.60,6.58,6.06,6.06,6.33,6.19,6.05,6.44,6.73,6.31,7.46,6.99
2006,6.67,6.63,6.05,7.04,7.35,6.18,6.92,6.66,7.48,6.60,6.43,6.25,5.76,6.98,6.22,6.71,6.58,6.60,6.09,6.09,6.35,6.19,6.04,6.46,6.75,6.32,7.49,7.03
2007,6.77,6.73,6.15,7.17,7.44,6.29,6.97,6.79,7.58,6.70,6.51,6.33,5.88,7.07,6.32,6.77,6.73,6.69,6.18,6.18,6.44,6.31,6.16,6.53,6.82,6.42,7.54,7.10
2008,6.21,6.16,5.58,6.58,6.87,5.72,6.42,6.21,7.00,6.14,5.95,5.78,5.29,6.51,5.74,6.21,6.14,6.12,5.62,5.62,5.87,5.74,5.60,5.98,6.26,5.86,7.00,6.56
2009,6.24,6.16,5.64,6.62,6.88,5.82,6.44,6.25,7.03,6.16,5.97,5.81,5.36,6.52,5.81,6.27,6.19,6.15,5.70,5.70,5.91,5.77,5.66,5.99,6.26,5.90,6.99,6.56
2010,5.02,4.96,4.38,5.40,5.70,4.55,5.21,5.03,5.84,4.96,4.77,4.58,4.13,5.32,4.57,4.99,4.96,4.92,4.40,4.40,4.69,4.55,4.42,4.78,5.07,4.67,5.80,5.35
2011,6.36,6.34,5.76,6.70,7.02,5.94,6.54,6.34,7.15,6.30,6.12,5.95,5.51,6.64,5.92,6.37,6.27,6.27,5.82,5.82,6.06,5.87,5.77,6.13,6.43,6.03,7.16,6.69
2012,6.15,6.10,5.51,6.53,6.84,5.63,6.29,6.18,6.96,6.07,5.90,5.73,5.25,6.46,5.69,6.09,6.11,6.02,5.50,5.50,5.84,5.70,5.54,5.94,6.22,5.80,6.94,6.47
2013,6.07,6.02,5.43,6.44,6.74,5.55,6.28,6.06,6.87,6.02,5.84,5.66,5.16,6.37,5.59,6.06,5.99,5.99,5.44,5.44,5.74,5.60,5.46,5.85,6.14,5.72,6.85,6.41
2014,6.67,6.64,6.08,7.01,7.35,6.24,6.87,6.64,7.47,6.60,6.41,6.24,5.81,6.98,6.23,6.70,6.58,6.60,6.14,6.14,6.34,6.16,6.08,6.44,6.73,6.33,7.47,7.00
2015,5.84,5.81,5.20,6.20,6.52,5.31,6.10,5.85,6.64,5.80,5.60,5.43,4.91,6.15,5.37,5.85,5.74,5.77,5.23,5.23,5.53,5.37,5.18,5.63,5.92,5.49,6.67,6.22
2016,6.26,6.19,5.66,6.62,6.89,5.83,6.50,6.27,7.02,6.18,5.99,5.83,5.41,6.54,5.80,6.30,6.20,6.20,5.72,5.72,5.95,5.81,5.68,6.02,6.30,5.91,7.04,6.60
2017,6.57,6.54,5.96,6.94,7.21,6.09,6.82,6.58,7.34,6.50,6.30,6.14,5.67,6.86,6.11,6.61,6.48,6.52,5.99,5.99,6.24,6.11,5.94,6.34,6.62,6.22,7.34,6.92
2018,6.09,6.04,5.50,6.45,6.74,5.61,6.33,6.09,6.88,6.01,5.82,5.65,5.22,6.38,5.65,6.15,6.03,6.06,5.53,5.53,5.76,5.63,5.49,5.85,6.12,5.75,6.88,6.43
2019,6.36,6.26,5.76,6.73,7.00,5.93,6.57,6.38,7.15,6.28,6.08,5.92,5.49,6.64,5.93,6.40,6.33,6.29,5.80,5.80,6.03,5.91,5.78,6.11,6.37,6.02,7.11,6.68
