Variable:,tasmin
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1913,-10.68,-6.80,-5.14,-8.60,-1.47,-6.57,-14.63,1.14,-18.33,-5.98,0.75,-8.14,-7.22,-13.54
1914,-10.63,-6.51,-4.46,-8.22,-3.32,-7.11,-14.17,-0.36,-18.38,-6.29,-0.80,-9.05,-6.71,-12.13
1915,-9.62,-5.40,-3.51,-7.62,-0.91,-5.90,-13.01,1.45,-17.89,-4.97,1.25,-7.40,-5.99,-11.53
1916,-11.06,-7.58,-5.97,-9.48,-1.99,-6.58,-14.59,0.31,-18.57,-6.50,0.21,-8.32,-8.14,-13.47
1917,-11.56,-7.89,-5.85,-9.82,-3.01,-6.71,-15.50,-0.27,-18.66,-7.81,-0.46,-9.06,-8.52,-14.22
1918,-10.99,-6.86,-5.00,-8.39,-3.00,-7.70,-15.17,-0.19,-18.50,-6.12,-0.46,-8.92,-7.14,-14.14
1919,-10.80,-7.37,-5.75,-8.52,-1.98,-6.99,-14.96,0.64,-18.30,-5.22,0.62,-8.28,-7.23,-14.00
1920,-10.59,-6.77,-5.36,-8.05,-2.29,-6.85,-14.30,0.36,-18.25,-5.71,0.23,-8.22,-6.48,-14.26
1921,-10.26,-6.35,-5.13,-7.39,-1.87,-7.62,-13.90,0.49,-18.17,-4.59,0.46,-8.11,-6.08,-13.56
1922,-11.00,-7.15,-5.78,-7.89,-2.32,-7.48,-14.71,0.40,-19.03,-5.65,0.24,-8.87,-6.96,-13.82
1923,-10.74,-6.22,-4.43,-8.35,-3.30,-7.88,-14.30,-0.47,-18.32,-6.28,-0.72,-9.44,-6.86,-12.58
1924,-10.50,-6.67,-4.73,-8.66,-2.53,-7.02,-14.37,0.35,-17.45,-6.68,0.08,-8.15,-7.15,-13.33
1925,-10.64,-6.46,-4.54,-8.24,-2.38,-7.22,-14.69,0.36,-18.03,-6.13,0.12,-8.72,-6.76,-13.78
1926,-10.33,-5.13,-3.62,-8.20,-3.11,-7.57,-13.24,-0.22,-17.96,-6.89,-0.67,-9.76,-6.12,-11.02
1927,-10.75,-7.53,-5.63,-8.54,-1.57,-6.72,-14.94,1.25,-18.04,-5.79,1.01,-7.82,-7.75,-14.18
1928,-9.84,-5.21,-4.13,-7.25,-2.03,-6.98,-13.35,0.84,-17.41,-5.26,0.58,-8.29,-5.87,-12.49
1929,-10.88,-6.82,-5.12,-9.28,-2.44,-6.96,-14.25,0.35,-18.36,-6.54,-0.02,-9.11,-7.65,-12.36
1930,-9.83,-5.22,-4.71,-7.49,-1.80,-5.96,-13.56,0.75,-17.52,-4.86,0.46,-7.65,-5.87,-13.25
1931,-9.00,-4.65,-3.83,-5.89,-0.41,-5.67,-12.97,1.96,-17.06,-3.31,1.83,-6.88,-4.64,-12.43
1932,-10.52,-6.84,-5.12,-8.40,-1.27,-6.60,-14.60,1.04,-17.90,-5.39,1.00,-8.08,-6.98,-14.33
1933,-11.30,-7.68,-5.82,-8.92,-2.11,-6.99,-15.84,0.60,-18.82,-6.07,0.36,-8.75,-7.36,-15.20
1934,-10.31,-5.14,-3.77,-7.47,-2.97,-7.50,-14.05,0.02,-18.25,-5.96,-0.57,-9.05,-5.54,-12.92
1935,-10.85,-6.89,-5.08,-8.34,-2.44,-7.23,-14.89,0.23,-18.43,-5.87,-0.11,-8.73,-7.13,-14.05
1936,-11.13,-6.62,-4.96,-9.22,-1.98,-6.51,-15.68,0.87,-18.85,-6.61,0.55,-8.72,-7.36,-14.07
1937,-10.00,-6.43,-5.11,-8.05,-0.93,-6.20,-13.46,1.78,-17.72,-5.24,1.55,-7.19,-6.96,-12.26
1938,-9.45,-4.96,-4.06,-6.78,-1.70,-6.87,-12.85,1.03,-17.14,-4.75,0.81,-7.57,-5.30,-12.30
1939,-10.09,-5.18,-3.95,-7.74,-2.58,-7.41,-13.61,0.34,-17.60,-5.59,0.04,-8.76,-6.00,-12.95
1940,-9.45,-5.34,-3.57,-6.86,-2.31,-6.20,-12.70,0.48,-16.86,-5.44,0.14,-7.93,-5.73,-11.54
1941,-9.61,-4.94,-3.32,-6.86,-1.91,-6.45,-13.57,0.61,-17.53,-4.76,0.55,-7.84,-5.42,-12.52
1942,-9.65,-5.37,-3.95,-7.55,-1.57,-6.19,-12.99,0.97,-17.44,-5.09,0.96,-7.64,-6.04,-11.88
1943,-9.92,-5.32,-4.37,-7.93,-2.44,-7.05,-12.34,0.34,-17.60,-6.11,0.24,-8.59,-6.06,-11.36
1944,-9.13,-4.48,-3.41,-6.91,-1.62,-6.28,-11.81,0.89,-17.08,-4.66,0.93,-7.67,-5.49,-10.68
1945,-10.22,-6.69,-4.53,-8.18,-1.45,-6.59,-13.95,1.04,-17.88,-5.54,1.07,-7.74,-6.98,-12.39
1946,-10.29,-6.21,-4.62,-7.88,-1.91,-7.17,-14.07,0.76,-17.87,-5.27,0.71,-8.44,-6.46,-12.93
1947,-9.74,-5.94,-4.03,-7.91,-1.44,-5.85,-13.82,1.38,-16.97,-5.38,1.16,-7.37,-6.70,-11.80
1948,-10.35,-6.59,-5.16,-7.68,-2.23,-6.65,-14.30,0.31,-18.00,-5.06,0.38,-7.76,-6.88,-13.84
1949,-10.28,-6.38,-5.11,-7.97,-1.10,-6.82,-13.55,1.57,-18.34,-5.26,1.57,-7.93,-6.69,-12.66
1950,-11.29,-7.99,-6.06,-9.80,-1.96,-7.18,-14.78,0.64,-18.70,-6.86,0.46,-8.56,-8.29,-13.86
1951,-10.69,-7.89,-5.93,-8.65,-1.08,-5.60,-14.89,1.92,-18.26,-5.26,1.78,-7.34,-8.18,-13.99
1952,-9.22,-5.31,-4.31,-6.58,-0.84,-5.13,-12.92,1.85,-17.08,-4.10,1.69,-6.70,-5.71,-12.04
1953,-9.05,-4.69,-3.51,-6.44,-0.17,-5.70,-12.53,2.40,-17.42,-3.80,2.31,-6.72,-5.09,-11.98
1954,-9.82,-5.59,-4.48,-7.16,-1.05,-6.23,-13.55,1.58,-17.69,-4.86,1.52,-7.67,-5.71,-13.06
1955,-10.15,-7.32,-6.00,-7.89,-1.37,-4.99,-14.49,1.15,-17.53,-4.58,1.27,-6.66,-7.27,-13.99
1956,-10.66,-6.13,-5.17,-8.44,-2.21,-6.46,-14.49,0.63,-18.60,-5.79,0.49,-8.31,-6.72,-13.98
1957,-10.19,-5.78,-4.72,-7.94,-1.48,-6.49,-13.91,1.04,-18.40,-5.29,1.05,-7.78,-6.35,-12.19
1958,-9.28,-4.66,-3.13,-7.14,-1.31,-4.86,-12.91,1.59,-17.34,-5.11,1.43,-7.08,-5.28,-12.11
1959,-10.28,-5.79,-4.34,-7.75,-1.39,-6.43,-14.54,1.22,-18.23,-5.41,1.24,-7.91,-6.07,-13.77
1960,-9.44,-5.42,-3.94,-7.71,-0.87,-4.93,-13.39,1.85,-17.12,-5.08,1.75,-6.73,-6.02,-11.91
1961,-10.19,-5.67,-4.09,-7.85,-1.36,-5.69,-14.86,1.26,-18.73,-4.78,0.92,-7.08,-6.17,-13.89
1962,-10.15,-5.62,-4.10,-8.27,-1.98,-6.69,-13.66,0.52,-18.00,-5.60,0.34,-8.31,-6.34,-12.22
1963,-9.85,-5.17,-3.57,-7.48,-2.23,-6.55,-13.30,0.54,-17.75,-5.60,0.32,-8.25,-5.65,-12.20
1964,-10.57,-5.91,-4.62,-8.11,-1.84,-6.87,-14.61,0.58,-18.76,-5.50,0.46,-8.24,-6.40,-13.89
1965,-10.73,-6.61,-4.74,-8.78,-2.32,-6.58,-14.43,0.15,-18.29,-6.17,0.13,-8.71,-7.26,-13.67
1966,-10.35,-7.00,-4.85,-9.00,-0.67,-4.73,-14.96,1.68,-17.98,-5.49,1.74,-6.52,-7.34,-14.74
1967,-10.57,-6.11,-4.17,-8.67,-2.02,-6.55,-14.41,0.75,-18.52,-6.10,0.45,-8.39,-6.86,-13.25
1968,-9.79,-5.73,-4.65,-7.62,-1.80,-5.83,-13.73,0.80,-17.42,-4.85,0.58,-7.27,-5.82,-13.05
1969,-9.68,-6.39,-4.70,-7.74,-0.56,-4.92,-13.44,2.13,-17.10,-4.89,2.01,-6.87,-6.61,-13.01
1970,-10.19,-6.06,-4.56,-8.30,-1.57,-5.98,-13.77,1.04,-18.01,-5.58,0.79,-7.92,-6.66,-12.62
1971,-10.04,-6.21,-5.09,-7.50,-1.74,-5.71,-13.94,1.13,-17.36,-5.10,1.00,-7.59,-6.39,-14.44
1972,-11.93,-7.16,-5.68,-9.58,-2.90,-8.70,-15.33,0.03,-20.39,-6.91,-0.42,-10.10,-7.51,-14.97
1973,-9.36,-5.49,-4.79,-6.84,-0.37,-5.48,-12.99,1.71,-17.16,-4.05,1.52,-6.56,-5.27,-13.76
1974,-10.73,-5.92,-4.33,-8.50,-2.06,-7.30,-14.96,0.72,-18.82,-5.85,0.41,-8.53,-6.37,-13.94
1975,-10.17,-6.24,-5.14,-7.53,-1.78,-6.74,-14.09,0.79,-17.86,-4.88,0.65,-7.54,-6.38,-13.90
1976,-10.03,-4.56,-3.65,-7.78,-2.09,-6.96,-12.96,1.07,-18.16,-6.21,0.71,-8.82,-5.55,-12.06
1977,-8.99,-4.79,-3.84,-6.39,-1.35,-5.23,-12.58,1.36,-16.67,-4.41,1.10,-6.78,-5.22,-11.69
1978,-10.48,-5.51,-4.15,-8.28,-2.38,-6.63,-13.60,0.36,-19.02,-6.24,0.21,-8.78,-6.53,-11.70
1979,-10.13,-5.99,-4.54,-8.65,0.08,-4.81,-13.72,2.24,-18.62,-5.63,2.14,-7.02,-6.88,-12.33
1980,-9.50,-5.02,-3.66,-7.52,-1.76,-5.69,-12.82,0.72,-17.02,-5.66,0.43,-7.69,-5.56,-11.92
1981,-7.96,-3.42,-2.69,-5.52,-0.16,-3.87,-11.32,2.25,-15.86,-3.82,2.09,-5.94,-3.83,-10.00
1982,-11.03,-7.31,-5.12,-8.74,-1.93,-7.11,-15.12,0.79,-18.99,-5.78,0.53,-8.48,-7.64,-13.98
1983,-9.77,-5.11,-3.75,-6.96,-0.24,-5.86,-13.87,2.41,-18.39,-4.41,2.22,-7.52,-5.29,-12.84
1984,-9.69,-5.11,-3.93,-6.93,-0.82,-6.39,-13.52,1.92,-18.08,-4.55,1.64,-7.56,-5.37,-12.12
1985,-9.99,-5.76,-4.61,-8.32,-2.01,-6.13,-13.84,0.61,-17.27,-5.65,0.27,-7.64,-6.65,-12.29
1986,-9.88,-4.41,-3.43,-7.19,-2.21,-6.83,-13.65,0.61,-18.56,-4.76,0.14,-8.33,-4.86,-12.14
1987,-8.39,-2.97,-2.50,-4.96,-1.35,-5.38,-11.85,1.14,-17.42,-3.03,0.82,-6.81,-3.10,-10.60
1988,-9.17,-4.35,-3.27,-7.03,-1.29,-6.03,-12.77,1.29,-16.84,-4.89,0.92,-7.50,-5.10,-11.27
1989,-10.40,-5.66,-3.88,-8.64,-2.41,-6.68,-13.60,0.48,-18.44,-6.28,0.08,-8.69,-6.60,-12.56
1990,-10.15,-5.67,-4.02,-7.79,-0.51,-7.22,-14.10,1.93,-18.40,-4.57,1.74,-8.09,-6.02,-13.17
1991,-9.58,-4.67,-3.32,-7.15,-1.42,-7.40,-13.31,1.38,-17.64,-4.56,1.06,-8.00,-5.20,-11.79
1992,-9.90,-4.42,-2.96,-7.42,-1.98,-7.67,-13.02,0.53,-18.30,-5.41,0.19,-9.01,-5.02,-11.77
1993,-9.67,-4.58,-3.37,-7.58,-2.17,-7.68,-12.23,0.38,-17.87,-5.32,0.09,-8.57,-5.51,-10.74
1994,-9.49,-5.21,-3.39,-7.29,-1.63,-6.74,-12.89,1.26,-17.04,-4.89,0.81,-7.88,-5.61,-12.11
1995,-9.41,-5.30,-3.57,-7.40,-1.45,-6.28,-12.87,1.42,-17.13,-4.88,0.97,-7.48,-5.54,-11.45
1996,-10.18,-7.10,-5.46,-8.76,-0.72,-5.30,-13.79,1.68,-17.19,-5.81,1.37,-7.11,-7.31,-14.05
1997,-9.26,-4.49,-2.98,-6.99,-2.11,-6.32,-12.31,0.69,-17.09,-5.30,0.31,-7.90,-5.07,-11.16
1998,-7.74,-3.80,-2.73,-5.20,0.13,-4.79,-10.65,2.65,-15.52,-2.68,2.42,-5.84,-3.82,-10.79
1999,-8.27,-4.10,-3.24,-5.39,0.31,-4.34,-11.87,2.84,-16.37,-3.26,2.76,-5.72,-4.06,-12.06
2000,-9.19,-5.36,-3.71,-7.14,-1.03,-5.13,-12.62,1.72,-17.02,-4.77,1.50,-6.88,-5.67,-11.10
2001,-8.41,-4.27,-3.43,-5.76,-0.82,-5.00,-11.80,1.73,-16.45,-3.36,1.52,-6.06,-4.46,-11.09
2002,-9.50,-5.63,-3.75,-7.63,-1.24,-6.63,-12.75,1.33,-17.02,-4.73,1.04,-7.85,-6.07,-11.13
2003,-9.10,-5.07,-3.38,-7.10,-1.67,-5.86,-12.39,1.07,-16.25,-5.08,0.80,-7.35,-5.56,-11.46
2004,-9.94,-5.28,-3.00,-8.31,-1.73,-5.60,-13.96,1.05,-18.24,-5.49,0.78,-7.79,-6.10,-11.75
2005,-8.38,-4.12,-2.79,-6.13,-0.66,-5.18,-11.68,1.84,-16.14,-4.05,1.65,-6.51,-4.36,-10.33
2006,-7.78,-3.86,-3.50,-5.39,0.54,-4.01,-11.20,2.88,-15.02,-3.03,2.72,-5.28,-3.95,-11.83
2007,-9.15,-4.91,-3.48,-7.04,-1.67,-5.98,-12.53,0.84,-16.66,-4.59,0.72,-7.37,-5.34,-11.72
2008,-9.50,-5.60,-4.24,-8.05,-0.92,-5.60,-12.92,1.67,-16.83,-5.32,1.54,-7.00,-6.28,-12.18
2009,-9.36,-6.01,-4.48,-7.46,-1.11,-5.32,-12.85,1.34,-16.36,-5.10,1.17,-6.95,-6.19,-12.17
2010,-7.33,-4.24,-2.94,-5.38,1.09,-2.99,-10.73,3.41,-14.25,-3.15,3.41,-4.60,-4.30,-10.38
2011,-8.89,-5.04,-3.90,-6.68,-0.18,-5.08,-12.27,2.30,-16.38,-4.42,2.08,-6.60,-5.20,-11.90
2012,-8.44,-4.56,-3.90,-5.80,0.25,-4.33,-12.34,2.83,-16.09,-2.94,2.58,-5.89,-4.35,-12.78
2013,-9.40,-4.99,-3.20,-8.45,-0.81,-5.31,-12.66,1.76,-17.11,-5.56,1.55,-7.01,-6.21,-11.68
2014,-9.48,-5.33,-3.53,-8.37,-1.13,-5.98,-12.67,1.43,-16.88,-5.96,1.23,-7.35,-6.09,-10.91
2015,-9.01,-3.99,-2.41,-6.17,-1.26,-6.97,-11.97,1.24,-17.46,-4.48,0.96,-8.03,-4.40,-10.14
2016,-8.15,-3.35,-2.30,-5.48,-0.21,-6.03,-11.23,2.40,-16.22,-3.43,2.04,-7.04,-3.68,-9.33
2017,-8.87,-4.71,-3.73,-6.68,-0.46,-5.55,-12.12,2.15,-16.78,-4.12,1.81,-6.71,-4.93,-11.03
2018,-9.77,-5.53,-3.61,-8.02,-1.00,-6.26,-13.00,1.58,-18.05,-5.12,1.16,-7.80,-6.28,-10.86
2019,-9.41,-5.71,-3.58,-7.84,-1.40,-5.74,-12.34,1.30,-17.45,-5.24,0.97,-7.18,-6.29,-9.86
2020,-9.18,-5.17,-3.58,-6.86,-0.21,-4.89,-13.10,2.43,-17.63,-3.79,2.07,-6.37,-5.48,-12.02
