Variable:,tasmin
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1935,-0.81,-0.27,0.04,-0.92,-1.65,-0.61,0.20,-2.08,1.66,1.08,0.17,0.17,-0.09,-1.40,-1.03,0.11,-1.61,0.77,-0.55,-0.37,-2.30,0.07,-0.65,0.12,0.32
1936,-1.43,-0.88,-0.58,-1.56,-2.23,-1.24,-0.45,-2.76,1.07,0.46,-0.47,-0.47,-0.70,-2.00,-1.70,-0.49,-2.27,0.14,-1.19,-0.93,-2.93,-0.53,-1.33,-0.47,-0.26
1937,-1.07,-0.50,-0.25,-1.17,-1.87,-0.86,-0.09,-2.36,1.42,0.82,-0.10,-0.10,-0.40,-1.66,-1.33,-0.13,-1.88,0.47,-0.86,-0.58,-2.54,-0.25,-0.92,-0.19,0.11
1938,-0.94,-0.38,-0.12,-1.04,-1.75,-0.74,0.03,-2.19,1.54,0.97,0.02,0.02,-0.26,-1.56,-1.09,-0.02,-1.70,0.61,-0.73,-0.49,-2.43,-0.09,-0.80,-0.04,0.22
1939,-0.50,0.12,0.37,-0.57,-1.38,-0.22,0.55,-1.78,2.10,1.48,0.55,0.55,0.24,-1.16,-0.75,0.44,-1.28,1.14,-0.22,-0.13,-2.00,0.42,-0.32,0.47,0.65
1940,-1.14,-0.55,-0.38,-1.27,-1.89,-0.94,-0.18,-2.47,1.36,0.76,-0.19,-0.19,-0.51,-1.69,-1.43,-0.16,-1.98,0.38,-0.98,-0.61,-2.61,-0.34,-1.04,-0.29,0.08
1941,0.08,0.71,0.87,0.00,-0.71,0.33,1.06,-1.21,2.57,2.04,1.08,1.08,0.69,-0.54,-0.25,1.08,-0.72,1.61,0.28,0.51,-1.40,0.83,0.25,0.88,1.29
1942,-0.85,-0.26,-0.10,-0.97,-1.62,-0.65,0.11,-2.18,1.62,1.06,0.11,0.11,-0.25,-1.43,-1.18,0.14,-1.69,0.67,-0.69,-0.35,-2.34,-0.09,-0.72,-0.04,0.37
1943,-1.34,-0.75,-0.65,-1.48,-2.05,-1.14,-0.42,-2.67,1.12,0.56,-0.40,-0.40,-0.81,-1.88,-1.67,-0.32,-2.19,0.13,-1.22,-0.80,-2.80,-0.66,-1.25,-0.62,-0.08
1944,-1.39,-0.80,-0.65,-1.51,-2.15,-1.18,-0.45,-2.71,1.07,0.51,-0.43,-0.43,-0.81,-1.95,-1.71,-0.39,-2.21,0.10,-1.23,-0.85,-2.86,-0.67,-1.27,-0.62,-0.17
1945,-0.55,0.05,0.23,-0.68,-1.31,-0.33,0.42,-1.90,1.98,1.39,0.42,0.42,0.09,-1.13,-0.90,0.45,-1.40,0.99,-0.37,-0.05,-2.03,0.24,-0.43,0.29,0.68
1946,-0.39,0.21,0.39,-0.51,-1.15,-0.17,0.57,-1.72,2.12,1.52,0.59,0.59,0.25,-0.96,-0.70,0.60,-1.22,1.15,-0.21,0.11,-1.87,0.40,-0.27,0.45,0.82
1947,-0.82,-0.24,0.09,-0.86,-1.72,-0.57,0.23,-2.03,1.69,1.12,0.19,0.19,-0.03,-1.51,-0.97,0.05,-1.56,0.77,-0.51,-0.46,-2.29,0.12,-0.61,0.18,0.27
1948,-0.84,-0.26,-0.07,-0.95,-1.62,-0.64,0.14,-2.14,1.68,1.05,0.13,0.13,-0.21,-1.43,-1.12,0.12,-1.66,0.69,-0.65,-0.35,-2.31,-0.04,-0.71,0.00,0.36
1949,-1.76,-1.21,-1.08,-1.89,-2.46,-1.60,-0.89,-3.08,0.69,0.09,-0.87,-0.87,-1.22,-2.26,-2.04,-0.80,-2.60,-0.34,-1.64,-1.18,-3.20,-1.09,-1.65,-1.03,-0.52
1950,-1.10,-0.54,-0.34,-1.24,-1.80,-0.94,-0.17,-2.45,1.41,0.79,-0.19,-0.19,-0.49,-1.61,-1.39,-0.14,-2.00,0.36,-0.94,-0.52,-2.59,-0.36,-1.00,-0.30,0.14
1951,-1.75,-1.13,-1.02,-1.93,-2.43,-1.55,-0.83,-3.16,0.81,0.19,-0.81,-0.81,-1.18,-2.30,-2.10,-0.71,-2.66,-0.26,-1.63,-1.20,-3.25,-1.00,-1.67,-0.96,-0.42
1952,-1.38,-0.77,-0.49,-1.43,-2.20,-1.10,-0.32,-2.77,1.16,0.62,-0.33,-0.33,-0.64,-1.98,-1.73,-0.43,-2.22,0.27,-1.10,-0.91,-2.94,-0.49,-1.17,-0.45,-0.23
1953,-0.37,0.17,0.34,-0.41,-1.16,-0.23,0.53,-1.64,2.01,1.47,0.49,0.49,0.19,-0.85,-0.54,0.52,-1.13,1.05,-0.21,0.18,-1.78,0.31,-0.21,0.36,0.71
1954,-0.99,-0.48,-0.18,-1.03,-1.82,-0.83,0.01,-2.30,1.44,0.89,-0.06,-0.06,-0.34,-1.46,-1.18,-0.15,-1.79,0.57,-0.82,-0.41,-2.45,-0.18,-0.82,-0.13,0.07
1955,-1.41,-0.89,-0.46,-1.42,-2.37,-1.21,-0.38,-2.59,1.05,0.48,-0.42,-0.42,-0.58,-2.03,-1.64,-0.54,-2.08,0.17,-1.11,-0.99,-2.93,-0.45,-1.20,-0.40,-0.36
1956,-0.64,-0.09,0.06,-0.69,-1.48,-0.43,0.26,-1.93,1.82,1.26,0.29,0.29,-0.08,-1.15,-0.84,0.25,-1.42,0.85,-0.53,-0.11,-2.07,0.07,-0.45,0.13,0.45
1957,-0.93,-0.46,0.15,-0.96,-1.88,-0.78,0.16,-2.15,1.58,0.99,0.03,0.03,0.05,-1.54,-1.09,-0.12,-1.68,0.74,-0.51,-0.49,-2.44,0.19,-0.70,0.25,0.08
1958,-1.20,-0.61,-0.32,-1.44,-1.89,-1.04,-0.20,-2.70,1.43,0.78,-0.21,-0.21,-0.43,-1.76,-1.54,-0.14,-2.18,0.50,-0.97,-0.65,-2.80,-0.25,-1.14,-0.19,0.13
1959,-0.53,-0.04,0.16,-0.76,-1.17,-0.46,0.28,-1.91,1.78,1.23,0.30,0.30,0.00,-0.95,-0.72,0.47,-1.44,0.83,-0.47,0.15,-1.98,0.17,-0.56,0.22,0.76
1960,-0.14,0.39,0.86,-0.35,-0.86,-0.01,0.90,-1.59,2.33,1.74,0.80,0.80,0.75,-0.72,-0.52,0.86,-1.09,1.47,0.16,0.39,-1.76,0.91,-0.06,0.96,1.15
1961,-0.78,-0.35,0.09,-1.15,-1.31,-0.78,0.11,-2.23,1.66,0.99,0.04,0.04,-0.00,-1.13,-1.10,0.16,-1.80,0.71,-0.63,0.12,-2.35,0.14,-0.92,0.20,0.46
1962,-1.41,-0.86,-0.44,-1.52,-2.26,-1.17,-0.27,-2.71,1.14,0.53,-0.29,-0.29,-0.57,-2.08,-1.74,-0.51,-2.20,0.36,-1.06,-0.91,-2.97,-0.43,-1.28,-0.37,-0.28
1963,-1.33,-0.62,-0.75,-1.75,-1.78,-1.09,-0.43,-2.97,1.41,0.79,-0.32,-0.32,-0.92,-1.84,-1.87,-0.08,-2.49,0.30,-1.41,-0.62,-2.99,-0.58,-1.45,-0.55,0.27
1964,-0.54,0.07,0.37,-0.72,-1.35,-0.26,0.58,-1.91,2.14,1.54,0.56,0.56,0.21,-1.20,-0.93,0.44,-1.43,1.24,-0.31,-0.07,-2.10,0.48,-0.43,0.52,0.67
1965,-1.71,-0.77,-0.91,-2.09,-2.53,-1.29,-0.72,-3.29,1.29,0.69,-0.58,-0.58,-1.01,-2.58,-2.28,-0.25,-2.82,0.11,-1.69,-1.59,-3.37,-0.54,-1.77,-0.52,-0.04
1966,-2.14,-1.57,-1.44,-2.55,-2.63,-2.09,-1.39,-3.66,0.53,-0.16,-1.33,-1.33,-1.50,-2.59,-2.48,-0.96,-3.21,-0.63,-2.13,-1.43,-3.74,-1.26,-2.36,-1.20,-0.64
1967,-2.22,-1.52,-1.53,-2.48,-2.76,-2.00,-1.36,-3.74,0.54,-0.12,-1.28,-1.28,-1.66,-2.88,-2.71,-0.98,-3.22,-0.67,-2.16,-1.72,-3.83,-1.38,-2.24,-1.35,-0.66
1968,-2.11,-1.07,-1.45,-2.35,-2.82,-1.58,-1.05,-3.82,1.01,0.33,-0.88,-0.88,-1.64,-3.08,-2.87,-0.53,-3.24,-0.30,-2.10,-2.08,-3.87,-1.22,-1.99,-1.20,-0.24
1969,-2.46,-1.67,-1.99,-2.82,-3.02,-2.21,-1.61,-4.03,0.36,-0.29,-1.49,-1.49,-2.18,-3.10,-2.95,-1.09,-3.55,-0.87,-2.59,-2.04,-4.03,-1.81,-2.51,-1.82,-0.76
1970,-1.92,-1.23,-1.14,-2.08,-2.57,-1.65,-0.90,-3.42,0.68,0.12,-0.88,-0.88,-1.30,-2.56,-2.38,-0.79,-2.87,-0.28,-1.73,-1.42,-3.55,-1.08,-1.80,-1.05,-0.50
1971,-1.73,-0.83,-1.33,-1.97,-2.36,-1.37,-0.90,-3.28,1.16,0.53,-0.72,-0.72,-1.57,-2.37,-2.24,-0.32,-2.75,-0.22,-1.90,-1.33,-3.33,-1.28,-1.71,-1.27,-0.07
1972,-0.10,0.35,0.46,-0.22,-0.76,-0.01,0.73,-1.35,2.05,1.55,0.75,0.75,0.28,-0.40,-0.23,0.69,-0.90,1.21,-0.07,0.69,-1.43,0.41,-0.02,0.47,0.93
1973,-1.96,-1.26,-1.20,-1.98,-2.76,-1.64,-0.89,-3.31,0.69,0.07,-0.86,-0.86,-1.40,-2.66,-2.41,-0.90,-2.76,-0.36,-1.75,-1.59,-3.46,-1.30,-1.73,-1.25,-0.68
1974,-0.36,0.19,0.35,-0.44,-1.16,-0.16,0.62,-1.68,1.99,1.43,0.60,0.60,0.19,-0.79,-0.61,0.49,-1.17,1.10,-0.20,0.31,-1.79,0.33,-0.20,0.38,0.66
1975,-1.63,-0.79,-1.06,-1.74,-2.34,-1.20,-0.62,-3.17,1.05,0.51,-0.49,-0.49,-1.32,-2.29,-2.18,-0.42,-2.59,-0.07,-1.62,-1.19,-3.22,-1.08,-1.43,-1.05,-0.19
