Variable:,pr
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1957,205.52,251.10,279.94,135.70,357.92,339.60,332.12,120.37,137.81,194.31,89.67,292.19,119.70,337.29,81.31,385.52,180.82,373.17,229.14,264.61,271.68,275.51,194.31
1958,245.10,295.72,312.09,190.70,320.16,283.69,302.92,198.08,205.75,267.05,154.80,317.10,168.51,324.68,172.12,311.30,247.67,302.85,216.54,305.17,317.23,333.99,280.34
1959,278.90,345.66,287.55,211.68,411.46,397.10,380.80,228.42,216.55,313.57,164.83,406.34,157.76,379.16,149.01,425.45,271.83,433.36,329.70,361.44,370.41,320.86,287.48
1960,232.48,328.40,280.13,150.54,451.40,405.37,309.68,154.80,167.37,253.60,94.28,327.56,125.77,385.22,109.03,470.83,222.27,430.06,215.86,341.27,351.45,307.19,221.69
1961,241.34,316.37,299.92,193.74,388.36,360.77,294.40,163.92,171.70,223.79,170.34,301.72,165.21,353.21,126.82,402.41,231.26,389.24,209.44,307.31,311.32,320.37,278.05
1962,221.69,319.47,176.08,144.11,437.23,370.34,350.35,133.45,164.85,205.63,87.70,333.68,95.17,383.89,117.67,455.90,233.91,403.19,220.76,290.05,287.99,239.31,196.63
1963,216.50,338.13,212.51,141.25,474.26,361.62,267.95,122.24,138.15,187.67,90.68,269.38,119.94,421.86,100.13,478.09,211.99,398.34,189.46,279.76,270.37,291.02,252.52
1964,288.60,445.21,237.10,230.46,557.45,502.99,315.16,190.42,248.77,314.35,160.43,380.90,137.51,425.19,168.82,609.78,322.85,527.64,262.15,419.38,418.87,313.99,320.19
1965,192.25,311.78,200.14,144.21,428.26,348.18,235.90,102.11,112.57,168.61,92.94,247.32,100.18,357.04,80.39,456.76,193.89,389.79,165.25,253.28,252.68,219.58,221.62
1966,235.86,306.29,294.66,181.24,417.03,396.04,288.32,130.65,186.02,229.15,140.09,290.21,145.77,341.22,141.55,452.71,250.74,425.00,201.90,319.20,324.07,328.46,245.36
1967,247.97,328.22,263.63,140.22,485.80,431.72,287.35,195.27,180.88,272.57,108.79,323.21,139.71,458.31,120.17,516.58,201.27,460.97,227.14,358.05,377.17,341.23,281.47
1968,216.49,306.88,253.33,154.05,448.93,348.95,277.73,123.47,143.27,192.30,122.80,283.02,119.92,372.68,110.07,466.65,202.91,394.08,194.83,274.82,277.57,269.08,224.30
1969,225.78,276.96,276.35,175.78,356.14,332.69,293.29,157.85,161.37,214.18,140.36,291.83,153.31,313.00,150.13,361.58,212.86,361.26,216.97,295.94,318.09,257.74,246.46
1970,215.86,261.09,281.40,132.62,359.13,335.26,283.94,179.42,155.24,253.22,101.64,304.76,142.06,315.60,98.67,398.12,170.87,368.86,235.69,307.38,334.00,325.96,217.34
1971,224.71,322.22,237.72,173.96,418.38,357.69,274.65,147.95,191.42,246.29,120.81,289.44,129.64,360.42,128.54,435.65,233.72,407.45,195.23,326.96,337.42,223.43,217.60
1972,188.10,290.74,218.74,155.69,383.97,317.43,217.41,116.92,127.20,167.62,116.12,210.84,97.22,333.35,73.27,417.84,192.37,350.00,168.61,248.25,249.85,226.17,212.20
1973,268.86,370.77,249.92,198.99,503.24,497.44,287.90,246.52,218.89,340.77,148.88,359.94,130.45,392.43,161.07,551.19,249.65,527.94,250.77,420.60,452.65,256.43,272.37
1974,223.72,288.58,165.31,185.73,393.69,359.37,313.38,152.42,175.30,248.22,144.66,324.55,94.83,322.54,125.40,407.70,229.08,382.35,240.72,318.33,325.64,220.23,202.51
