Variable:,tasmax
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1984,8.70,8.81,8.69,8.68,8.68,8.68,8.68,8.78,8.68,8.68,8.68,8.68
1985,8.96,9.06,8.95,8.94,8.94,8.94,8.94,9.04,8.94,8.94,8.94,8.94
1986,9.16,9.26,9.15,9.14,9.14,9.14,9.14,9.24,9.14,9.14,9.14,9.14
1987,8.89,8.99,8.88,8.87,8.87,8.87,8.87,8.97,8.87,8.87,8.87,8.87
1988,9.83,9.93,9.82,9.81,9.81,9.81,9.81,9.91,9.81,9.81,9.81,9.81
1989,10.35,10.45,10.34,10.33,10.33,10.33,10.33,10.43,10.33,10.33,10.33,10.33
1990,10.45,10.56,10.44,10.43,10.43,10.43,10.43,10.53,10.43,10.43,10.43,10.43
1991,9.32,9.42,9.31,9.30,9.30,9.30,9.30,9.40,9.30,9.30,9.30,9.30
1992,10.04,10.14,10.03,10.02,10.02,10.02,10.02,10.12,10.02,10.02,10.02,10.02
1993,9.47,9.57,9.46,9.45,9.45,9.45,9.45,9.55,9.45,9.45,9.45,9.45
1994,10.60,10.70,10.59,10.58,10.58,10.58,10.58,10.68,10.58,10.58,10.58,10.58
1995,9.39,9.49,9.38,9.37,9.37,9.37,9.37,9.47,9.37,9.37,9.37,9.37
1996,8.66,8.76,8.65,8.64,8.64,8.64,8.64,8.74,8.64,8.64,8.64,8.64
1997,10.19,10.29,10.18,10.17,10.17,10.17,10.17,10.27,10.17,10.17,10.17,10.17
1998,9.76,9.87,9.75,9.74,9.74,9.74,9.74,9.84,9.74,9.74,9.74,9.74
1999,9.55,9.66,9.54,9.53,9.53,9.53,9.53,9.63,9.53,9.53,9.53,9.53
2000,10.48,10.58,10.47,10.46,10.46,10.46,10.46,10.56,10.46,10.46,10.46,10.46
2001,9.93,10.04,9.92,9.91,9.91,9.91,9.91,10.01,9.91,9.91,9.91,9.91
2002,10.53,10.63,10.52,10.51,10.51,10.51,10.51,10.61,10.51,10.51,10.51,10.51
2003,10.94,11.05,10.93,10.92,10.92,10.92,10.92,11.02,10.92,10.92,10.92,10.92
2004,9.78,9.89,9.77,9.76,9.76,9.76,9.76,9.86,9.76,9.76,9.76,9.76
2005,9.63,9.74,9.62,9.61,9.61,9.61,9.61,9.71,9.61,9.61,9.61,9.61
2006,10.50,10.60,10.49,10.48,10.48,10.48,10.48,10.58,10.48,10.48,10.48,10.48
2007,10.65,10.75,10.64,10.63,10.63,10.63,10.63,10.73,10.63,10.63,10.63,10.63
2008,10.20,10.30,10.19,10.18,10.18,10.18,10.18,10.28,10.18,10.18,10.18,10.18
2009,10.20,10.31,10.19,10.18,10.18,10.18,10.18,10.28,10.18,10.18,10.18,10.18
2010,8.81,8.92,8.80,8.79,8.79,8.79,8.79,8.89,8.79,8.79,8.79,8.79
2011,11.23,11.33,11.22,11.21,11.21,11.21,11.21,11.31,11.21,11.21,11.21,11.21
2012,10.35,10.45,10.34,10.33,10.33,10.33,10.33,10.43,10.33,10.33,10.33,10.33
2013,9.60,9.71,9.59,9.58,9.58,9.58,9.58,9.69,9.58,9.58,9.58,9.58
2014,11.12,11.23,11.11,11.10,11.10,11.10,11.10,11.20,11.10,11.10,11.10,11.10
2015,11.39,11.50,11.38,11.37,11.37,11.37,11.37,11.47,11.37,11.37,11.37,11.37
2016,10.61,10.71,10.60,10.59,10.59,10.59,10.59,10.69,10.59,10.59,10.59,10.59
2017,10.82,10.93,10.81,10.80,10.80,10.80,10.80,10.90,10.80,10.80,10.80,10.80
2018,11.59,11.70,11.58,11.57,11.57,11.57,11.57,11.68,11.57,11.57,11.57,11.57
2019,11.27,11.38,11.26,11.25,11.25,11.25,11.25,11.35,11.25,11.25,11.25,11.25
2020,11.85,11.96,11.84,11.83,11.83,11.83,11.83,11.94,11.83,11.83,11.83,11.83
