Variable:,tasmin
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
1938,6.03,5.81,8.29,6.18,5.22,6.63,7.02,2.71,6.44,5.95,8.36,1.91,6.10,6.84,7.44
1939,6.28,6.09,8.60,6.43,5.35,6.92,7.30,2.99,6.78,6.18,8.65,2.19,6.43,7.18,7.74
1940,6.74,6.76,9.09,7.08,5.85,7.42,7.79,3.52,7.18,6.80,9.08,2.60,6.81,7.56,8.11
1941,6.94,7.07,9.45,7.35,5.75,7.81,8.03,3.88,7.60,7.05,9.53,3.08,7.27,7.93,8.64
1942,5.96,6.10,8.46,6.52,4.75,6.95,7.04,2.90,6.67,6.37,8.62,2.09,6.33,6.86,7.67
1943,5.11,5.54,7.49,5.84,4.00,6.09,5.98,2.19,5.81,5.64,7.75,1.24,5.46,5.87,6.76
1944,6.36,5.93,8.52,6.45,5.51,7.11,7.19,2.94,6.88,6.46,8.79,2.24,6.54,7.15,7.85
1945,5.01,5.03,7.55,5.49,3.82,6.11,6.02,1.92,5.84,5.43,7.66,1.15,5.41,5.86,6.69
1946,5.71,5.71,7.93,6.05,4.91,6.40,6.53,2.48,6.16,5.89,8.02,1.58,5.79,6.42,7.08
1947,6.25,6.27,8.71,6.58,5.22,7.19,7.20,3.02,6.95,6.53,8.71,2.21,6.52,7.06,7.74
1948,5.86,5.33,7.99,5.70,5.27,6.44,6.70,2.20,6.14,5.73,7.91,1.40,5.71,6.57,6.90
1949,4.61,4.76,6.88,5.05,3.66,5.46,5.43,1.53,5.22,4.88,7.14,0.66,4.88,5.36,6.13
1950,4.16,4.70,6.49,4.90,3.10,5.10,4.94,1.39,4.85,4.60,6.86,0.40,4.56,4.87,5.85
1951,5.27,5.15,7.70,5.78,4.11,6.27,6.07,2.23,6.03,5.72,8.06,1.49,5.77,6.11,7.05
1952,5.64,5.55,8.08,6.17,4.45,6.69,6.41,2.59,6.47,6.13,8.41,1.87,6.13,6.50,7.42
1953,6.21,5.82,8.65,6.43,5.19,7.05,7.20,2.83,6.84,6.36,8.63,2.12,6.44,7.11,7.72
1954,4.84,5.02,7.45,5.30,3.65,5.91,5.80,1.70,5.65,5.25,7.53,0.93,5.28,5.68,6.46
1955,6.40,6.17,8.87,6.54,5.40,7.17,7.44,3.07,6.98,6.37,8.90,2.36,6.67,7.28,7.97
1956,5.59,6.16,8.12,6.32,4.31,6.56,6.51,2.68,6.35,5.94,8.26,1.80,6.04,6.54,7.31
1957,5.11,4.92,7.35,5.20,4.38,5.75,6.07,1.64,5.49,4.98,7.36,0.87,5.15,5.85,6.47
1958,6.47,6.16,8.91,6.60,5.40,7.36,7.38,3.11,7.15,6.52,9.06,2.51,6.84,7.38,8.21
1959,5.45,6.03,8.12,6.35,3.91,6.65,6.35,2.79,6.47,5.98,8.47,2.00,6.21,6.48,7.56
1960,5.46,5.51,8.13,5.92,4.23,6.40,6.62,2.37,6.15,5.59,8.12,1.67,5.89,6.39,7.29
1961,6.51,6.06,8.83,6.46,5.68,7.04,7.55,3.09,6.85,6.18,8.80,2.39,6.61,7.42,8.00
1962,6.21,6.07,8.46,6.42,5.33,6.79,7.01,2.99,6.60,6.01,8.68,2.27,6.42,7.09,7.84
1963,6.84,6.84,9.30,7.17,5.74,7.52,7.85,3.75,7.35,6.73,9.35,2.96,7.11,7.86,8.51
1964,5.17,5.24,7.51,5.39,4.26,5.72,6.21,1.91,5.56,4.92,7.43,1.06,5.26,6.11,6.64
1965,6.25,6.33,8.70,6.54,5.19,7.02,7.23,3.17,6.80,6.19,8.73,2.33,6.51,7.19,7.88
1966,6.52,6.52,9.06,6.84,5.39,7.42,7.49,3.34,7.22,6.62,9.02,2.57,6.85,7.45,8.18
1967,6.13,6.15,8.52,6.54,5.01,6.87,7.00,3.06,6.78,6.06,8.75,2.32,6.53,7.12,7.92
1968,6.03,6.30,8.68,6.65,4.66,7.18,6.99,3.11,6.98,6.40,8.87,2.36,6.66,6.95,8.01
1969,4.91,5.58,7.43,5.75,3.56,5.95,5.71,2.13,5.77,5.48,7.74,1.24,5.50,5.84,6.81
1970,6.23,6.80,8.79,6.99,4.97,7.19,7.20,3.40,7.01,6.53,8.93,2.51,6.70,7.12,8.05
1971,6.54,7.01,9.04,7.13,5.42,7.32,7.51,3.53,7.17,6.65,8.96,2.59,6.82,7.46,8.13
1972,4.36,5.40,6.67,5.44,3.23,5.23,5.14,1.75,5.06,4.72,7.02,0.65,4.75,5.14,6.11
1973,6.21,6.60,8.65,6.71,5.19,6.92,7.16,3.18,6.78,6.15,8.61,2.25,6.43,7.10,7.81
1974,5.27,5.98,7.60,6.10,4.08,6.25,5.93,2.54,6.12,5.58,8.06,1.63,5.80,6.13,7.18
1975,6.23,6.21,8.46,6.36,5.47,6.64,7.16,2.98,6.59,5.73,8.48,2.13,6.28,7.10,7.71
1976,5.64,6.49,8.11,6.66,4.24,6.69,6.37,3.17,6.56,6.06,8.59,2.21,6.28,6.60,7.69
1977,6.56,7.19,9.08,7.34,5.29,7.62,7.38,3.75,7.42,6.94,9.26,2.83,7.04,7.44,8.36
1978,6.26,6.80,8.71,6.99,4.94,7.30,6.98,3.53,7.13,6.61,9.10,2.65,6.82,7.20,8.16
1979,6.79,7.00,9.01,7.32,5.88,7.47,7.57,3.76,7.23,6.85,9.33,2.87,6.98,7.61,8.38
1980,6.35,7.51,8.93,7.62,4.79,7.54,7.06,4.14,7.37,6.99,9.48,3.08,7.13,7.32,8.52
1981,7.22,7.24,9.64,7.57,6.18,7.90,8.07,4.10,7.74,7.15,9.74,3.31,7.47,8.16,8.87
1982,5.82,6.42,8.26,6.71,4.49,6.77,6.49,3.22,6.63,6.14,8.75,2.33,6.42,6.81,7.83
1983,7.41,6.93,9.67,7.33,6.61,7.88,8.27,3.93,7.77,7.01,9.63,3.21,7.46,8.34,8.81
1984,5.50,6.11,8.07,6.45,4.08,6.76,6.15,2.81,6.52,6.29,8.46,1.96,6.22,6.33,7.53
1985,6.28,6.55,8.85,7.03,4.98,7.42,7.12,3.37,7.20,6.85,9.12,2.60,6.87,7.12,8.17
1986,6.41,6.74,8.96,7.09,5.12,7.43,7.28,3.61,7.22,6.75,9.22,2.77,6.96,7.34,8.30
1987,6.40,6.86,9.13,7.33,4.82,7.67,7.30,3.90,7.46,7.01,9.57,3.12,7.24,7.37,8.68
1988,6.94,7.15,9.57,7.60,5.51,7.98,7.75,4.16,7.77,7.29,9.82,3.40,7.54,7.99,8.95
1989,6.27,6.02,8.58,6.31,5.44,6.80,7.26,2.95,6.64,5.98,8.68,2.19,6.40,7.14,7.76
1990,6.91,7.21,9.28,7.52,5.76,7.71,7.76,4.09,7.57,7.06,9.61,3.32,7.35,7.82,8.85
1991,6.67,6.68,9.21,7.02,5.55,7.43,7.61,3.57,7.30,6.56,9.10,2.78,6.96,7.64,8.37
1992,6.36,6.75,8.95,7.02,5.00,7.28,7.20,3.59,7.15,6.48,9.08,2.77,6.87,7.42,8.34
1993,5.87,6.12,8.54,6.58,4.57,7.00,6.82,2.99,6.76,6.30,8.62,2.13,6.38,6.74,7.66
1994,5.87,6.52,8.70,6.82,4.38,7.01,6.95,3.39,6.81,6.16,8.73,2.46,6.44,6.84,7.99
1995,7.06,6.82,9.54,7.01,6.27,7.40,8.11,3.59,7.45,6.21,9.09,2.76,7.01,8.04,8.45
1996,5.61,6.21,8.35,6.42,4.26,6.74,6.58,2.89,6.53,5.95,8.33,1.96,6.10,6.47,7.53
1997,6.84,7.17,9.56,7.22,5.59,7.57,7.88,4.06,7.56,6.41,9.30,3.18,7.16,7.92,8.81
1998,6.56,7.37,9.24,7.50,5.16,7.60,7.52,4.11,7.48,6.74,9.47,3.18,7.19,7.46,8.76
1999,7.40,7.80,9.94,8.03,6.15,8.36,8.22,4.57,8.22,7.56,10.10,3.71,7.90,8.35,9.32
2000,7.26,7.75,9.78,7.99,6.09,8.03,8.10,4.47,7.97,7.08,9.85,3.56,7.63,8.20,9.15
2001,7.25,7.90,9.93,8.15,5.93,8.14,8.24,4.66,8.05,7.08,10.03,3.69,7.77,8.25,9.18
2002,7.43,7.90,9.94,8.15,6.30,8.11,8.51,4.66,8.04,7.08,10.00,3.67,7.77,8.38,9.18
2003,7.06,7.55,9.72,7.90,5.69,7.99,8.08,4.34,7.85,7.03,9.88,3.40,7.61,8.13,9.04
2004,8.14,8.58,10.57,8.83,7.04,8.81,9.07,5.33,8.72,7.87,10.75,4.36,8.47,9.12,9.90
2005,7.59,7.97,10.07,8.20,6.50,8.24,8.61,4.69,8.17,7.24,10.15,3.72,7.89,8.58,9.32
2006,7.36,8.22,9.96,8.40,6.01,8.35,8.35,4.88,8.13,7.51,10.18,3.83,7.90,8.29,9.32
2007,7.46,8.15,9.87,8.32,6.33,8.17,8.35,4.85,8.06,7.32,10.06,3.75,7.81,8.39,9.23
2008,6.74,7.73,9.09,7.87,5.49,7.56,7.39,4.39,7.37,7.08,9.57,3.34,7.21,7.65,8.82
2009,7.35,7.64,9.95,7.99,6.03,8.21,8.19,4.45,8.09,7.41,10.09,3.65,7.85,8.41,9.25
2010,7.75,8.12,10.21,8.39,6.50,8.53,8.41,4.89,8.46,7.69,10.50,4.09,8.24,8.81,9.67
2011,6.72,7.73,9.44,7.99,5.10,8.02,7.42,4.42,7.80,7.28,9.82,3.40,7.54,7.71,8.90
2012,6.63,6.96,9.15,7.18,5.45,7.58,7.37,3.63,7.36,6.69,9.26,2.73,7.05,7.56,8.36
2013,7.98,7.99,10.32,8.28,6.99,8.53,8.81,4.82,8.41,7.67,10.40,4.00,8.16,8.98,9.58
2014,6.35,7.01,8.93,7.32,5.00,7.45,7.06,3.78,7.19,6.86,9.23,2.81,6.94,7.23,8.37
2015,8.04,8.35,10.51,8.65,6.81,8.83,8.78,5.18,8.72,7.96,10.73,4.33,8.48,9.10,9.91
2016,8.27,8.20,10.71,8.57,7.15,8.99,8.98,5.05,8.84,8.13,10.78,4.29,8.56,9.34,9.88
2017,7.35,7.44,9.88,7.88,6.12,8.26,8.07,4.38,8.10,7.46,10.14,3.65,7.87,8.31,9.18
2018,7.23,7.63,10.12,8.04,5.57,8.68,8.04,4.51,8.42,7.91,10.32,3.72,8.08,8.26,9.30
2019,8.11,8.23,10.69,8.49,6.78,9.03,8.80,5.08,8.96,8.04,10.87,4.39,8.63,9.23,9.94
2020,7.40,7.63,9.61,7.87,6.35,8.08,7.95,4.42,8.02,7.29,10.01,3.57,7.78,8.38,9.11
