Variable:,tasmin
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1947,7.91,8.71,11.65,2.46,15.45,3.77,10.35,15.25,11.91,16.75,1.93,7.76,8.29,5.24,14.91,3.44,5.35,9.14,4.01,9.46,2.23,12.46,13.74,0.67,10.28
1948,7.94,8.50,11.55,2.89,15.94,3.63,10.49,15.42,11.94,17.31,2.59,7.41,8.36,4.97,15.16,3.05,4.97,9.79,3.83,9.40,2.22,12.61,14.16,0.56,10.78
1949,7.95,8.64,11.65,2.33,15.60,3.96,10.35,15.47,12.09,16.97,2.01,7.67,8.18,4.92,15.22,3.40,5.40,9.16,3.74,9.26,2.65,12.53,13.70,1.15,10.18
1950,7.93,8.62,11.63,2.58,15.67,3.55,10.62,15.43,12.09,16.92,2.13,7.69,8.47,5.14,15.21,3.10,5.03,9.31,3.95,9.65,2.23,12.62,14.00,0.90,10.53
1951,8.15,8.84,12.03,2.68,15.80,3.86,10.91,15.53,12.45,17.07,2.24,7.70,8.64,5.21,15.10,3.66,5.23,9.46,4.06,9.57,2.76,12.95,14.10,1.55,10.48
1952,8.16,8.87,12.14,2.51,15.52,4.50,10.36,15.50,12.48,16.85,1.93,7.79,8.53,5.12,15.23,3.99,5.71,9.12,4.12,9.16,3.13,12.64,13.68,1.69,10.22
1953,8.16,8.56,11.90,2.89,16.06,4.08,10.61,15.81,12.53,17.34,2.32,7.53,8.63,5.11,15.60,3.74,5.45,9.58,4.05,9.34,2.67,12.92,14.21,1.60,10.69
1954,7.75,8.46,11.75,2.45,15.46,3.71,10.25,15.29,12.03,16.78,1.43,7.28,8.32,4.76,15.26,3.46,5.06,8.77,3.82,9.07,2.20,12.36,13.58,1.15,10.12
1955,7.44,7.99,11.33,2.15,15.12,3.46,9.75,14.83,11.58,16.53,1.32,6.82,8.00,4.61,14.82,3.29,4.77,8.63,3.57,8.62,2.12,11.90,13.26,1.29,9.88
1956,7.14,7.83,11.16,1.56,14.18,3.55,9.35,14.45,11.27,15.53,0.45,6.71,7.57,4.19,14.49,3.19,4.75,7.65,3.13,8.20,2.54,11.48,12.55,1.72,9.25
1957,7.72,8.54,11.87,2.37,15.03,3.70,10.20,15.36,12.17,16.32,1.28,7.24,8.31,5.04,15.15,3.36,4.96,8.48,3.87,9.11,2.37,12.43,13.41,1.12,10.04
1958,7.99,8.90,12.09,2.57,15.50,3.86,10.64,15.54,12.38,16.73,1.85,7.62,8.40,4.98,15.41,3.29,5.19,9.04,3.83,9.41,2.46,12.81,13.86,1.03,10.36
1959,7.42,8.17,11.48,1.98,15.20,3.53,9.64,15.42,11.80,16.67,1.47,6.91,7.49,4.32,15.44,2.91,4.63,8.66,2.87,8.47,2.10,12.08,13.19,0.28,9.85
1960,7.99,8.98,12.23,2.60,15.40,3.99,10.73,15.56,12.64,16.60,1.49,7.68,8.06,4.88,15.26,3.39,5.19,8.85,3.19,9.39,2.58,12.96,13.95,0.98,10.53
1961,8.06,8.64,11.89,3.14,16.33,3.48,10.69,15.88,12.34,17.65,2.53,7.56,8.65,4.99,15.99,3.05,4.93,10.01,3.82,9.53,1.83,12.96,14.52,0.21,11.38
1962,7.56,8.08,10.81,2.44,14.21,4.30,9.81,14.08,11.11,15.58,1.19,7.39,8.19,4.74,14.08,3.24,5.22,8.51,3.69,9.01,3.02,11.51,13.08,1.50,10.20
1963,8.22,8.99,12.35,3.10,16.54,4.03,10.80,16.00,12.55,17.93,2.47,7.39,8.67,4.61,16.16,3.17,5.15,9.90,3.75,9.27,2.53,13.14,14.56,0.97,11.23
1964,7.38,7.69,10.92,2.38,14.68,3.82,9.94,14.17,10.86,16.11,1.77,6.59,8.00,4.39,14.47,2.91,4.65,8.92,3.48,8.84,2.34,11.61,13.35,0.89,10.26
1965,7.92,8.52,11.70,2.70,15.58,3.97,10.57,15.30,12.22,16.94,1.88,7.27,8.43,4.65,15.28,3.08,5.02,9.27,3.85,9.20,2.56,12.77,13.97,1.62,10.53
1966,7.77,8.48,11.49,2.41,15.25,3.98,10.39,14.98,11.79,16.63,1.47,7.33,8.23,4.52,15.24,2.97,5.06,8.81,3.54,9.10,2.71,12.46,13.65,1.20,10.21
1967,7.98,8.61,11.79,2.93,15.48,3.94,10.58,15.33,12.25,16.78,2.17,7.41,8.60,4.67,15.23,2.75,4.99,9.48,3.68,9.30,2.90,12.69,14.09,1.23,10.86
1968,8.00,8.72,11.72,2.79,15.13,4.18,10.76,14.80,12.03,16.37,1.90,7.55,8.52,4.82,14.39,3.07,5.27,9.20,3.76,9.50,3.09,12.54,14.00,1.43,10.67
1969,8.10,9.01,12.04,3.14,15.27,4.05,11.03,14.75,11.98,16.55,2.21,7.64,8.97,5.10,14.65,2.83,5.20,9.46,4.18,9.80,2.79,12.60,14.20,1.28,10.86
