Variable:,tas
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
1951,15.60,13.56,16.68,16.09,18.66,16.66,18.22
1952,15.64,13.63,16.59,16.24,18.59,16.67,18.15
1953,14.68,12.67,15.66,15.23,17.71,15.72,17.27
1954,15.55,13.54,16.52,16.16,18.48,16.59,18.02
1955,16.03,14.01,16.97,16.65,18.99,17.06,18.55
1956,14.75,12.71,15.76,15.30,17.79,15.81,17.35
1957,15.06,13.03,16.11,15.64,18.09,16.12,17.63
1958,15.42,13.36,16.48,15.90,18.56,16.47,18.14
1959,14.45,12.41,15.45,15.02,17.53,15.47,17.06
1960,16.00,13.97,16.94,16.55,19.12,16.97,18.69
1961,14.87,12.85,15.88,15.49,17.83,15.91,17.38
1962,16.03,14.00,17.00,16.66,19.03,17.06,18.59
1963,15.57,13.54,16.56,16.14,18.63,16.60,18.20
1964,14.57,12.55,15.56,15.17,17.57,15.62,17.11
1965,15.06,13.03,16.07,15.60,18.13,16.10,17.69
1966,16.00,14.01,16.94,16.69,18.85,17.03,18.39
1967,14.16,12.11,15.14,14.73,17.21,15.19,16.78
1968,15.31,13.31,16.29,16.00,18.15,16.37,17.67
1969,15.48,13.49,16.47,16.13,18.32,16.55,17.84
1970,15.43,13.46,16.40,16.16,18.16,16.49,17.66
1971,14.81,12.81,15.78,15.50,17.69,15.85,17.22
1972,14.37,12.32,15.37,14.90,17.46,15.41,17.03
1973,14.99,12.99,16.00,15.65,17.83,16.06,17.33
1974,14.91,12.90,15.90,15.61,17.75,15.96,17.26
1975,14.62,12.58,15.60,15.24,17.65,15.64,17.21
1976,14.39,12.32,15.42,14.91,17.53,15.42,17.11
1977,14.77,12.74,15.73,15.36,17.81,15.79,17.39
1978,15.18,13.18,16.15,15.82,18.09,16.22,17.63
1979,15.51,13.47,16.46,16.09,18.54,16.51,18.12
1980,14.72,12.65,15.71,15.22,17.89,15.74,17.48
1981,15.17,13.17,16.17,15.82,18.04,16.24,17.57
1982,14.22,12.17,15.26,14.76,17.28,15.29,16.84
1983,14.34,12.34,15.35,15.01,17.15,15.42,16.66
1984,14.72,12.69,15.71,15.28,17.71,15.78,17.26
1985,15.24,13.20,16.28,15.78,18.28,16.29,17.84
1986,15.16,13.16,16.11,15.81,18.07,16.17,17.63
1987,14.99,12.98,15.99,15.60,17.93,16.04,17.48
1988,14.90,12.85,15.90,15.45,17.98,15.94,17.56
1989,15.11,13.10,16.11,15.70,18.05,16.15,17.59
1990,15.21,13.18,16.19,15.80,18.24,16.24,17.81
1991,15.19,13.16,16.23,15.73,18.23,16.23,17.78
1992,14.05,11.98,15.10,14.57,17.18,15.11,16.74
1993,15.09,13.04,16.15,15.62,18.18,16.16,17.70
1994,15.93,13.91,16.96,16.56,18.88,16.98,18.40
1995,15.35,13.35,16.40,15.93,18.25,16.43,17.78
1996,15.72,13.68,16.73,16.24,18.84,16.73,18.42
1997,14.83,12.75,15.89,15.27,18.09,15.88,17.69
1998,16.33,14.29,17.34,16.88,19.41,17.37,18.95
1999,16.29,14.27,17.28,16.86,19.29,17.33,18.85
2000,15.61,13.60,16.59,16.22,18.56,16.65,18.11
2001,16.47,14.47,17.43,17.11,19.38,17.51,18.93
2002,16.04,14.02,17.02,16.61,19.03,17.07,18.58
2003,16.07,14.05,17.08,16.65,19.05,17.13,18.59
2004,15.91,13.89,16.93,16.47,18.92,16.97,18.46
2005,15.78,13.75,16.82,16.33,18.80,16.86,18.34
2006,15.69,13.67,16.70,16.28,18.64,16.76,18.19
2007,16.04,14.00,17.07,16.59,19.06,17.11,18.61
2008,16.20,14.16,17.22,16.76,19.21,17.28,18.76
2009,16.23,14.18,17.28,16.75,19.28,17.32,18.83
2010,17.62,15.58,18.66,18.14,20.66,18.69,20.22
2011,15.61,13.55,16.64,16.17,18.67,16.68,18.22
2012,16.43,14.38,17.44,17.00,19.48,17.49,19.04
2013,16.31,14.28,17.33,16.87,19.31,17.36,18.85
2014,16.45,14.44,17.45,17.06,19.41,17.50,18.96
2015,16.09,14.07,17.06,16.64,19.12,17.11,18.69
2016,16.55,14.52,17.53,17.12,19.60,17.58,19.16
2017,16.24,14.21,17.19,16.80,19.30,17.24,18.88
2018,17.03,14.99,18.05,17.63,20.01,18.10,19.55
2019,16.42,14.37,17.44,17.00,19.43,17.49,18.97
2020,16.57,14.54,17.60,17.21,19.49,17.66,19.02
