Variable:,tasmin
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
1919,2.10,3.16,4.08,5.10,4.80,4.45,3.16,-0.56,-2.00,2.23,-1.95,0.69,5.64
1920,0.55,1.67,2.54,3.60,3.29,2.82,1.57,-2.15,-3.51,0.73,-3.51,-0.89,4.04
1921,0.76,1.74,2.62,3.67,3.39,3.23,1.92,-1.85,-3.39,0.81,-3.29,-0.64,4.38
1922,1.88,2.93,3.78,4.86,4.60,4.17,2.92,-0.74,-2.16,2.03,-2.18,0.49,5.42
1923,2.17,3.36,4.15,5.22,4.94,4.36,3.16,-0.54,-1.84,2.40,-1.89,0.77,5.60
1924,1.68,2.68,3.61,4.67,4.40,3.97,2.83,-0.99,-2.42,1.82,-2.31,0.27,5.31
1925,1.51,2.65,3.45,4.50,4.24,3.83,2.50,-1.15,-2.53,1.69,-2.59,0.07,5.00
1926,1.45,2.50,3.34,4.42,4.17,3.73,2.51,-1.14,-2.57,1.63,-2.65,0.05,5.05
1927,1.49,2.46,3.38,4.45,4.20,3.85,2.63,-1.15,-2.57,1.62,-2.56,0.10,5.06
1928,0.51,1.64,2.53,3.59,3.32,2.67,1.54,-2.26,-3.47,0.75,-3.51,-0.90,4.01
1929,0.79,1.91,2.93,3.95,3.57,2.98,1.80,-1.99,-3.23,1.06,-3.25,-0.67,4.19
1930,1.93,3.03,4.11,5.18,4.82,4.00,2.89,-0.88,-2.07,2.26,-2.03,0.44,5.33
1931,1.05,2.36,3.09,4.15,3.81,3.18,1.96,-1.72,-2.94,1.40,-3.04,-0.43,4.38
1932,0.82,2.00,2.80,3.86,3.57,3.07,1.78,-1.90,-3.18,1.07,-3.27,-0.65,4.23
1933,0.52,1.74,2.43,3.50,3.22,2.81,1.46,-2.22,-3.47,0.82,-3.60,-0.94,3.90
1934,1.09,2.53,3.05,4.12,3.76,3.25,1.91,-1.67,-2.85,1.48,-3.10,-0.38,4.33
1935,1.66,2.78,3.62,4.71,4.41,3.93,2.62,-1.06,-2.32,1.90,-2.44,0.23,5.06
1936,1.69,3.14,3.61,4.71,4.37,3.86,2.58,-1.10,-2.29,2.05,-2.49,0.18,5.04
1937,2.18,3.68,4.17,5.29,4.91,4.28,3.01,-0.65,-1.75,2.61,-2.00,0.63,5.46
1938,1.77,3.06,3.58,4.67,4.41,4.09,2.70,-0.88,-2.25,2.02,-2.41,0.32,5.23
1939,1.77,3.11,3.74,4.82,4.47,3.97,2.72,-1.00,-2.30,2.06,-2.35,0.30,5.13
1940,1.73,2.86,3.89,4.93,4.50,3.95,2.75,-1.02,-2.42,1.94,-2.24,0.26,5.10
1941,1.09,2.31,3.13,4.19,3.84,3.31,2.05,-1.68,-3.00,1.35,-2.96,-0.37,4.47
1942,1.19,2.26,3.21,4.27,3.95,3.43,2.18,-1.50,-2.90,1.37,-2.83,-0.18,4.54
1943,1.20,2.48,3.22,4.27,3.91,3.42,2.14,-1.56,-2.85,1.48,-2.89,-0.29,4.61
1944,1.69,2.94,3.57,4.67,4.42,3.95,2.63,-1.02,-2.35,1.95,-2.45,0.25,5.08
1945,0.08,1.22,2.18,3.24,2.87,2.29,1.04,-2.70,-4.05,0.31,-3.94,-1.35,3.43
1946,1.03,2.44,3.14,4.22,3.79,3.14,1.88,-1.80,-3.03,1.38,-3.02,-0.48,4.32
1947,1.78,3.05,3.91,4.97,4.58,3.89,2.70,-1.05,-2.25,2.08,-2.20,0.30,5.11
1948,1.08,2.34,3.15,4.21,3.82,3.31,1.97,-1.68,-2.95,1.39,-3.03,-0.39,4.40
1949,0.51,1.78,2.55,3.65,3.28,2.68,1.43,-2.26,-3.53,0.82,-3.55,-0.95,3.83
1950,0.85,2.16,2.84,3.92,3.60,3.02,1.75,-1.92,-3.16,1.16,-3.28,-0.58,4.24
1951,1.44,2.81,3.39,4.48,4.18,3.59,2.35,-1.33,-2.53,1.79,-2.72,0.01,4.83
1952,1.69,2.97,3.72,4.80,4.48,3.85,2.63,-1.06,-2.37,1.98,-2.42,0.26,5.07
1953,0.95,1.95,2.87,3.95,3.70,3.26,2.00,-1.69,-3.17,1.09,-3.10,-0.39,4.43
1954,1.52,2.68,3.61,4.68,4.31,3.68,2.48,-1.27,-2.56,1.81,-2.50,0.07,4.88
1955,2.27,3.41,4.40,5.45,5.08,4.49,3.26,-0.48,-1.87,2.47,-1.71,0.82,5.65
1956,-0.17,0.92,1.79,2.85,2.56,2.15,0.87,-2.85,-4.31,-0.01,-4.25,-1.57,3.27
1957,1.61,2.96,3.66,4.75,4.36,3.75,2.51,-1.18,-2.40,1.94,-2.49,0.13,4.98
1958,1.24,2.37,3.24,4.31,4.00,3.53,2.26,-1.42,-2.90,1.39,-2.82,-0.14,4.68
1959,0.52,1.71,2.63,3.67,3.29,2.72,1.53,-2.24,-3.62,0.73,-3.52,-0.92,3.92
1960,1.58,2.75,3.66,4.72,4.36,3.82,2.60,-1.14,-2.56,1.75,-2.45,0.13,4.98
1961,1.76,2.85,3.67,4.74,4.43,4.20,2.74,-0.86,-2.31,1.94,-2.42,0.31,5.22
1962,2.44,3.55,4.39,5.46,5.20,4.84,3.50,-0.26,-1.72,2.56,-1.66,0.95,5.94
1963,1.95,2.81,4.01,5.03,4.79,4.31,3.11,-0.72,-2.25,1.97,-1.98,0.55,5.53
1964,0.60,1.85,2.49,3.58,3.28,2.95,1.46,-2.05,-3.41,0.88,-3.62,-0.89,4.08
1965,1.04,2.16,2.92,4.03,3.82,3.37,2.06,-1.64,-3.05,1.25,-3.07,-0.42,4.58
1966,3.45,4.49,5.29,6.36,6.23,5.81,4.50,0.86,-0.62,3.55,-0.61,2.05,7.04
1967,1.19,2.41,2.93,4.03,3.93,3.51,2.20,-1.43,-2.89,1.34,-2.97,-0.17,4.74
1968,1.78,2.93,3.67,4.76,4.57,4.04,2.83,-0.93,-2.26,1.95,-2.31,0.34,5.28
1969,0.83,2.00,2.84,3.92,3.64,3.09,1.97,-2.03,-3.28,1.00,-3.14,-0.71,4.22
1970,2.19,3.18,4.14,5.19,4.99,4.46,3.30,-0.48,-1.88,2.28,-1.81,0.85,5.65
1971,1.78,3.22,3.71,4.80,4.51,3.93,2.57,-0.98,-2.14,2.11,-2.41,0.34,5.06
1972,0.76,2.55,2.82,3.92,3.48,2.70,1.42,-2.15,-3.04,1.35,-3.49,-0.83,3.98
1973,0.70,2.16,2.73,3.80,3.40,2.79,1.48,-2.08,-3.20,1.13,-3.48,-0.78,4.03
1974,1.25,2.70,3.08,4.18,3.91,3.42,2.11,-1.47,-2.62,1.59,-2.93,-0.22,4.69
1975,1.73,3.05,3.56,4.66,4.43,3.99,2.59,-0.93,-2.23,2.01,-2.49,0.30,5.14
1976,0.78,1.84,2.77,3.81,3.46,3.12,1.80,-1.88,-3.24,0.97,-3.30,-0.65,4.25
1977,1.10,2.37,3.16,4.21,3.84,3.29,2.03,-1.68,-2.91,1.40,-2.96,-0.42,4.51
1978,1.41,2.39,3.36,4.40,4.15,3.75,2.48,-1.24,-2.64,1.53,-2.62,-0.01,4.88
1979,2.59,3.59,4.69,5.73,5.43,4.75,3.63,-0.07,-1.47,2.78,-1.37,1.22,6.15
1980,1.54,2.54,3.39,4.45,4.16,3.90,2.59,-1.01,-2.45,1.72,-2.62,0.15,5.11
1981,2.66,3.76,4.64,5.69,5.37,4.89,3.66,0.09,-1.35,2.85,-1.43,1.28,6.24
1982,0.98,2.05,3.02,4.10,3.70,3.16,2.03,-1.64,-3.10,1.21,-3.06,-0.40,4.58
1983,1.40,2.52,3.40,4.48,4.12,3.64,2.50,-1.31,-2.75,1.56,-2.58,-0.01,4.90
1984,1.65,2.78,3.56,4.62,4.32,3.98,2.74,-1.01,-2.38,1.80,-2.42,0.22,5.13
1985,1.13,2.19,3.36,4.40,3.91,3.25,2.14,-1.65,-2.88,1.46,-2.87,-0.29,4.49
1986,1.89,3.09,3.96,5.03,4.72,4.06,2.86,-0.94,-2.11,2.17,-2.11,0.40,5.22
1987,1.38,2.15,3.24,4.28,4.10,3.84,2.55,-1.19,-2.74,1.40,-2.63,0.06,4.92
1988,1.53,2.62,3.18,4.25,4.11,4.01,2.63,-0.98,-2.51,1.61,-2.71,0.22,5.19
1989,1.96,3.10,3.73,4.79,4.56,4.41,2.96,-0.56,-2.07,2.08,-2.30,0.60,5.51
1990,1.68,2.90,3.39,4.50,4.39,4.07,2.63,-0.93,-2.36,1.85,-2.49,0.26,5.18
1991,1.86,2.83,3.71,4.77,4.58,4.25,2.91,-0.76,-2.17,1.96,-2.22,0.47,5.41
1992,0.29,1.47,2.10,3.20,2.96,2.66,1.31,-2.30,-3.80,0.47,-3.91,-1.16,3.83
1993,0.46,1.56,2.43,3.47,3.17,2.82,1.53,-2.23,-3.67,0.57,-3.58,-0.95,3.97
1994,1.72,2.79,3.81,4.82,4.51,3.96,2.74,-1.05,-2.35,1.89,-2.27,0.32,5.18
1995,2.14,3.22,4.01,5.08,4.83,4.51,3.14,-0.47,-1.88,2.33,-2.02,0.68,5.61
1996,2.29,3.25,4.27,5.29,5.03,4.67,3.35,-0.41,-1.75,2.46,-1.75,0.88,5.82
1997,1.41,2.49,3.21,4.28,4.10,3.81,2.42,-1.26,-2.61,1.59,-2.74,-0.00,4.86
1998,2.48,3.31,4.35,5.40,5.22,4.95,3.62,-0.19,-1.49,2.52,-1.57,1.14,6.02
1999,2.51,3.56,4.40,5.47,5.21,4.91,3.53,-0.17,-1.49,2.66,-1.61,1.08,5.99
2000,1.89,2.82,3.72,4.81,4.55,4.42,3.01,-0.71,-2.20,2.02,-2.28,0.45,5.46
2001,2.59,3.47,4.59,5.63,5.37,4.93,3.64,-0.12,-1.42,2.75,-1.43,1.22,6.09
2002,1.60,2.66,3.60,4.64,4.37,3.92,2.62,-1.11,-2.47,1.75,-2.45,0.18,5.09
2003,1.84,2.63,3.91,4.93,4.67,4.17,2.91,-0.86,-2.15,1.98,-2.15,0.47,5.37
2004,1.63,2.68,3.58,4.61,4.30,4.06,2.58,-0.99,-2.38,1.81,-2.52,0.13,5.03
2005,1.99,3.09,3.91,4.97,4.69,4.40,2.95,-0.67,-2.05,2.15,-2.12,0.58,5.40
2006,2.28,3.27,4.32,5.35,5.01,4.61,3.28,-0.44,-1.76,2.45,-1.74,0.85,5.72
2007,1.88,3.17,3.73,4.83,4.53,4.24,2.82,-0.82,-2.15,2.13,-2.24,0.34,5.28
2008,1.66,2.67,3.52,4.58,4.31,4.11,2.75,-0.93,-2.47,1.73,-2.40,0.28,5.22
2009,2.31,3.47,4.27,5.31,4.97,4.68,3.31,-0.34,-1.75,2.46,-1.78,0.85,5.77
2010,3.86,4.99,6.00,7.01,6.58,6.18,4.83,1.12,-0.24,4.04,-0.17,2.36,7.27
2011,1.72,2.80,3.81,4.84,4.46,4.01,2.71,-1.01,-2.39,1.90,-2.24,0.25,5.13
2012,2.30,3.36,4.30,5.34,5.04,4.64,3.39,-0.40,-1.89,2.40,-1.66,0.89,5.88
2013,2.20,3.29,4.03,5.11,4.88,4.60,3.22,-0.39,-1.91,2.33,-1.91,0.77,5.73
2014,2.90,4.02,4.86,5.92,5.65,5.13,3.92,0.18,-1.17,3.11,-1.04,1.48,6.40
2015,2.63,3.77,4.49,5.61,5.38,4.87,3.61,-0.01,-1.41,2.86,-1.44,1.19,6.08
2016,2.23,3.38,4.16,5.23,4.99,4.45,3.17,-0.38,-1.81,2.45,-1.82,0.81,5.63
2017,2.21,3.26,3.98,5.11,4.96,4.49,3.21,-0.38,-1.78,2.43,-1.83,0.84,5.67
2018,3.72,4.76,5.80,6.84,6.50,5.95,4.78,0.94,-0.40,3.91,-0.16,2.31,7.17
2019,2.89,3.96,4.77,5.87,5.66,5.15,3.87,0.25,-1.15,3.10,-1.10,1.50,6.32
2020,2.90,4.14,4.74,5.86,5.69,5.09,3.77,0.26,-1.04,3.20,-1.24,1.50,6.17
