Variable:,tasmax
,"British Virgin Islands",Anegada,"Jost van Dyke","Other Islands",Tortola,"Virgin Gorda"
1991,30.29,30.29,30.29,30.29,30.29,30.29
1992,30.29,30.29,30.29,30.29,30.29,30.29
1993,30.47,30.47,30.47,30.47,30.47,30.47
1994,30.38,30.38,30.38,30.38,30.38,30.38
1995,30.65,30.65,30.65,30.65,30.65,30.65
1996,30.23,30.23,30.23,30.23,30.23,30.23
1997,30.53,30.53,30.53,30.53,30.53,30.53
1998,30.62,30.62,30.62,30.62,30.62,30.62
1999,30.16,30.16,30.16,30.16,30.16,30.16
2000,30.09,30.09,30.09,30.09,30.09,30.09
2001,30.53,30.53,30.53,30.53,30.53,30.53
2002,30.55,30.55,30.55,30.55,30.55,30.55
2003,30.24,30.24,30.24,30.24,30.24,30.24
2004,29.96,29.96,29.96,29.96,29.96,29.96
2005,30.42,30.42,30.42,30.42,30.42,30.42
2006,30.24,30.24,30.24,30.24,30.24,30.24
2007,30.33,30.33,30.33,30.33,30.33,30.33
2008,29.94,29.94,29.94,29.94,29.94,29.94
2009,30.41,30.41,30.41,30.41,30.41,30.41
2010,30.59,30.59,30.59,30.59,30.59,30.59
2011,30.12,30.12,30.12,30.12,30.12,30.12
2012,30.38,30.38,30.38,30.38,30.38,30.38
2013,30.42,30.42,30.42,30.42,30.42,30.42
2014,30.45,30.45,30.45,30.45,30.45,30.45
2015,30.69,30.69,30.69,30.69,30.69,30.69
2016,30.68,30.68,30.68,30.68,30.68,30.68
2017,30.55,30.55,30.55,30.55,30.55,30.55
2018,30.23,30.23,30.23,30.23,30.23,30.23
2019,30.66,30.66,30.66,30.66,30.66,30.66
2020,30.67,30.67,30.67,30.67,30.67,30.67
