Variable:,tasmin
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1913,-2.17,1.04,1.41,-0.46,-7.23,-2.55,1.89,-0.09,-0.93,-3.10,2.38,-2.97,1.21,2.97,-0.77,0.94,-0.56,-6.36,2.59,2.84
1914,-1.71,1.41,1.81,-0.16,-6.67,-2.10,2.22,0.28,-0.42,-2.54,2.73,-2.60,1.53,3.34,-0.34,1.27,-0.24,-5.72,2.99,3.17
1915,-4.27,-1.40,-0.57,-2.69,-8.76,-5.05,-0.17,-2.32,-3.36,-5.30,0.06,-5.28,-1.17,0.99,-3.18,-1.12,-2.70,-8.13,0.67,0.55
1916,-2.59,0.46,0.95,-0.95,-7.46,-3.12,1.47,-0.59,-1.45,-3.46,1.75,-3.45,0.66,2.57,-1.32,0.50,-1.04,-6.56,2.16,2.25
1917,-3.62,-0.73,-0.06,-2.07,-8.72,-4.14,0.44,-1.39,-2.20,-4.43,0.62,-4.46,-0.53,1.50,-2.11,-0.40,-2.15,-7.80,1.18,1.08
1918,-2.33,0.31,0.86,-1.06,-6.73,-3.17,1.40,-0.49,-1.07,-2.70,1.66,-3.49,0.50,2.48,-1.19,0.50,-1.16,-5.70,2.08,2.11
1919,-3.44,-0.61,-0.17,-2.09,-7.74,-4.15,0.33,-1.66,-2.30,-4.08,0.69,-4.55,-0.45,1.40,-2.33,-0.61,-2.18,-7.06,1.03,1.15
1920,-1.38,0.95,1.29,-0.54,-5.06,-2.32,1.87,0.25,0.07,-1.52,2.20,-2.78,1.08,2.89,-0.22,1.04,-0.69,-4.33,2.49,2.64
1921,-2.39,0.57,0.97,-1.01,-6.59,-3.10,1.36,-0.68,-1.43,-3.06,1.98,-3.55,0.73,2.48,-1.41,0.39,-1.08,-5.91,2.16,2.41
1922,-3.12,-0.71,-0.22,-2.10,-6.65,-4.10,0.39,-1.49,-2.17,-3.53,0.53,-4.47,-0.53,1.42,-2.26,-0.47,-2.23,-6.13,1.01,1.00
1923,-2.98,-0.34,0.02,-1.91,-6.65,-3.76,0.42,-1.38,-1.81,-3.58,0.96,-4.27,-0.20,1.53,-1.87,-0.48,-2.03,-6.18,1.21,1.36
1924,-2.20,0.33,0.62,-1.13,-6.42,-2.83,1.25,-0.36,-0.62,-2.56,1.48,-3.35,0.46,2.23,-0.77,0.40,-1.31,-5.59,1.81,1.94
1925,-2.32,0.49,0.95,-0.98,-6.75,-3.06,1.37,-0.51,-0.98,-2.84,1.89,-3.48,0.69,2.48,-1.09,0.43,-1.05,-5.92,2.16,2.33
1926,-2.59,0.53,0.94,-0.89,-7.68,-2.98,1.43,-0.40,-1.23,-3.60,1.86,-3.34,0.73,2.52,-1.03,0.52,-1.01,-6.90,2.13,2.32
1927,-2.69,0.10,0.43,-1.43,-7.35,-3.16,0.84,-0.68,-0.98,-3.34,1.44,-3.70,0.24,1.94,-1.04,0.01,-1.55,-6.53,1.62,1.82
1928,-2.71,-0.17,0.18,-1.64,-6.69,-3.53,0.69,-0.96,-1.29,-3.12,1.14,-3.99,-0.01,1.72,-1.44,-0.14,-1.77,-5.99,1.38,1.55
1929,-2.47,0.03,0.04,-1.52,-6.58,-3.06,0.76,-0.63,-0.80,-2.72,1.15,-3.68,0.12,1.61,-0.95,0.03,-1.78,-5.64,1.16,1.54
1930,-0.94,1.85,1.82,0.26,-5.70,-1.23,2.50,1.13,0.94,-1.34,2.95,-1.88,1.95,3.37,0.83,1.75,-0.00,-4.66,2.94,3.33
1931,-2.67,-0.22,0.07,-1.70,-6.29,-3.51,0.61,-1.11,-1.34,-3.03,1.02,-4.06,-0.05,1.57,-1.48,-0.25,-1.86,-5.66,1.20,1.43
1932,-1.62,1.13,1.23,-0.52,-5.80,-2.20,1.72,0.03,-0.03,-1.92,2.37,-2.87,1.24,2.71,-0.25,0.82,-0.70,-4.92,2.32,2.75
1933,-1.65,1.12,1.34,-0.30,-6.28,-2.08,2.05,0.38,-0.21,-2.30,2.26,-2.59,1.24,2.94,-0.10,1.24,-0.52,-5.31,2.47,2.69
1934,-0.48,2.50,2.38,0.73,-4.95,-0.80,2.88,1.31,1.16,-0.99,3.71,-1.54,2.60,3.83,1.09,2.02,0.53,-4.06,3.45,4.09
1935,-1.84,1.13,1.18,-0.52,-6.04,-2.33,1.68,-0.11,-0.57,-2.55,2.43,-2.94,1.26,2.66,-0.52,0.80,-0.71,-5.33,2.28,2.78
1936,-1.70,1.25,1.36,-0.34,-6.21,-2.08,1.89,0.20,-0.17,-2.50,2.50,-2.69,1.38,2.86,-0.17,1.04,-0.52,-5.49,2.49,2.88
1937,-1.45,1.11,1.13,-0.57,-5.21,-2.11,1.66,0.13,0.23,-1.74,2.31,-2.79,1.19,2.63,-0.13,0.85,-0.76,-4.57,2.28,2.65
1938,-0.66,1.73,1.73,0.04,-3.82,-1.63,2.29,0.61,0.72,-0.62,2.98,-2.29,1.83,3.26,0.31,1.38,-0.14,-3.16,2.83,3.39
1939,-2.20,0.58,0.87,-0.93,-6.68,-2.85,1.46,-0.32,-0.66,-2.65,1.94,-3.32,0.72,2.44,-0.87,0.59,-1.06,-5.86,2.04,2.32
1940,-3.64,-1.27,-0.69,-2.50,-7.46,-4.79,0.02,-1.95,-2.56,-3.91,0.05,-5.03,-1.03,1.01,-2.72,-0.87,-2.61,-6.66,0.52,0.54
1941,-3.86,-1.47,-0.89,-2.67,-8.13,-4.86,-0.13,-1.97,-2.62,-4.11,-0.16,-5.09,-1.28,0.85,-2.74,-0.97,-2.81,-6.96,0.34,0.30
1942,-3.90,-1.48,-1.01,-2.74,-8.05,-4.83,-0.17,-2.00,-2.61,-4.30,-0.26,-5.11,-1.29,0.72,-2.72,-1.01,-2.93,-7.20,0.20,0.24
1943,-1.47,1.30,1.46,-0.34,-5.42,-2.15,1.97,0.18,-0.10,-1.95,2.58,-2.73,1.41,3.01,-0.29,1.05,-0.46,-4.83,2.63,2.97
1944,-1.77,0.93,1.20,-0.61,-5.47,-2.62,1.69,-0.25,-0.62,-2.30,2.31,-3.12,1.09,2.73,-0.78,0.73,-0.72,-4.98,2.36,2.72
1945,-1.97,1.08,1.46,-0.39,-6.94,-2.54,1.96,-0.06,-0.71,-2.54,2.47,-2.96,1.24,2.99,-0.71,1.01,-0.49,-5.74,2.61,2.86
1946,-1.90,0.67,0.97,-0.74,-6.10,-2.72,1.66,-0.13,-0.49,-2.19,1.99,-3.13,0.81,2.56,-0.71,0.80,-0.90,-5.15,2.13,2.40
1947,-3.12,-0.58,-0.04,-1.91,-7.19,-4.02,0.58,-1.32,-1.86,-3.60,0.76,-4.37,-0.40,1.58,-1.98,-0.34,-2.02,-6.51,1.16,1.20
1948,-1.94,0.58,1.05,-0.85,-6.03,-2.87,1.57,-0.26,-0.56,-2.10,1.92,-3.31,0.76,2.64,-0.81,0.63,-0.94,-5.12,2.26,2.37
1949,-1.28,1.85,2.00,0.17,-5.71,-1.82,2.38,0.40,-0.11,-1.89,3.19,-2.41,2.00,3.48,-0.12,1.36,0.06,-4.82,3.13,3.62
1950,-1.98,0.52,0.98,-0.89,-5.66,-3.06,1.53,-0.35,-0.88,-2.31,1.91,-3.39,0.72,2.56,-1.04,0.65,-0.98,-5.00,2.17,2.34
1951,-2.39,0.63,1.02,-0.86,-6.86,-3.04,1.53,-0.47,-1.43,-3.23,2.00,-3.41,0.82,2.60,-1.23,0.58,-0.95,-6.13,2.19,2.44
1952,-3.14,-0.46,-0.01,-1.92,-6.89,-4.10,0.45,-1.47,-2.18,-3.76,0.92,-4.44,-0.27,1.55,-2.20,-0.45,-2.03,-6.37,1.20,1.37
1953,-0.99,1.64,1.95,0.17,-5.30,-1.76,2.54,0.78,0.39,-1.21,2.89,-2.24,1.81,3.56,0.22,1.67,-0.01,-4.20,3.11,3.36
1954,-2.07,0.22,0.68,-1.18,-5.52,-3.21,1.27,-0.54,-0.93,-2.23,1.52,-3.59,0.40,2.32,-1.18,0.42,-1.27,-4.82,1.88,1.96
1955,-3.61,-0.32,0.26,-1.72,-8.77,-4.03,0.66,-1.48,-2.66,-4.71,1.00,-4.34,-0.09,1.82,-2.30,-0.38,-1.77,-7.91,1.45,1.54
1956,-3.38,-0.76,-0.09,-2.01,-7.86,-4.23,0.52,-1.43,-2.22,-3.92,0.55,-4.45,-0.53,1.55,-2.21,-0.35,-2.09,-6.92,1.11,1.11
1957,-2.11,0.61,0.94,-0.91,-6.10,-2.97,1.42,-0.50,-0.96,-2.48,1.97,-3.41,0.78,2.50,-1.10,0.48,-1.03,-5.32,2.11,2.37
1958,-3.06,-0.42,0.22,-1.76,-7.44,-4.02,0.73,-1.30,-1.93,-3.40,0.95,-4.30,-0.22,1.82,-2.05,-0.19,-1.80,-6.34,1.44,1.43
1959,-1.40,1.11,1.42,-0.39,-5.34,-2.38,1.98,0.18,-0.04,-1.44,2.43,-2.82,1.26,2.98,-0.35,1.09,-0.55,-4.28,2.57,2.91
1960,-2.27,0.34,0.71,-1.07,-6.32,-3.15,1.38,-0.54,-1.20,-2.62,1.62,-3.51,0.49,2.38,-1.26,0.50,-1.20,-5.42,1.91,2.02
1961,-1.45,1.20,1.53,-0.30,-5.62,-2.22,2.01,0.28,-0.04,-1.69,2.52,-2.71,1.36,3.08,-0.28,1.13,-0.43,-4.77,2.70,2.99
1962,-3.16,-0.59,0.09,-1.84,-7.56,-4.02,0.60,-1.28,-1.96,-3.55,0.76,-4.32,-0.39,1.69,-2.03,-0.31,-1.90,-6.67,1.33,1.31
1963,-2.76,-0.65,-0.23,-1.91,-6.95,-3.73,0.58,-0.89,-1.16,-2.52,0.54,-4.11,-0.51,1.41,-1.49,-0.10,-2.15,-5.57,1.00,1.01
1964,-2.07,0.18,0.59,-1.20,-6.03,-3.05,1.19,-0.42,-0.55,-1.91,1.45,-3.53,0.33,2.16,-0.94,0.38,-1.39,-4.84,1.78,1.95
1965,-3.13,-0.61,0.07,-1.88,-7.62,-4.00,0.61,-1.23,-1.77,-3.45,0.74,-4.31,-0.43,1.66,-1.94,-0.26,-1.94,-6.60,1.32,1.21
1966,-3.75,-0.78,-0.18,-2.13,-8.70,-4.39,0.33,-1.69,-2.65,-4.47,0.61,-4.67,-0.60,1.39,-2.52,-0.60,-2.21,-7.61,1.06,1.01
1967,-2.02,0.78,1.21,-0.74,-6.17,-2.78,1.59,-0.28,-0.91,-2.55,2.19,-3.22,0.93,2.71,-0.90,0.66,-0.84,-5.44,2.42,2.60
1968,-3.34,-0.53,0.40,-1.82,-8.16,-4.25,0.67,-1.47,-2.21,-3.85,1.08,-4.47,-0.31,1.90,-2.30,-0.32,-1.74,-6.98,1.68,1.51
1969,-3.17,-0.50,0.23,-1.75,-7.58,-4.14,0.70,-1.34,-2.13,-3.64,0.96,-4.35,-0.31,1.80,-2.18,-0.23,-1.78,-6.52,1.42,1.44
1970,-3.08,-0.90,-0.20,-2.11,-6.90,-4.22,0.40,-1.38,-1.84,-3.16,0.43,-4.50,-0.73,1.40,-2.09,-0.43,-2.20,-5.98,1.03,0.90
1971,-2.57,0.66,1.19,-0.77,-8.28,-2.87,1.60,-0.34,-1.16,-3.30,2.04,-3.27,0.83,2.71,-1.03,0.63,-0.84,-6.85,2.33,2.47
1972,-1.51,0.97,1.12,-0.63,-5.19,-2.46,1.67,0.03,-0.14,-1.49,2.30,-2.98,1.09,2.65,-0.47,0.84,-0.81,-4.23,2.24,2.63
1973,-2.28,0.72,1.14,-0.79,-7.25,-2.69,1.53,-0.30,-0.80,-2.87,2.03,-3.22,0.86,2.64,-0.83,0.59,-0.91,-6.23,2.29,2.49
1974,-1.10,1.57,1.80,-0.02,-4.74,-2.05,2.31,0.33,-0.04,-1.40,2.88,-2.55,1.71,3.38,-0.25,1.35,-0.14,-3.99,2.97,3.24
1975,-1.52,1.60,1.97,-0.04,-6.21,-2.08,2.22,0.13,-0.22,-1.99,2.98,-2.67,1.72,3.42,-0.38,1.17,-0.11,-5.14,3.12,3.41
1976,-3.01,-0.03,0.63,-1.42,-7.69,-3.75,0.98,-1.15,-1.98,-3.71,1.45,-4.07,0.14,2.15,-1.95,0.01,-1.43,-6.76,1.79,1.90
1977,-2.65,0.38,0.71,-1.17,-7.09,-3.33,1.12,-0.94,-1.58,-3.25,1.75,-3.77,0.54,2.25,-1.59,0.13,-1.27,-6.22,1.87,2.15
1978,-3.15,-0.08,0.59,-1.46,-8.09,-3.84,0.97,-1.23,-2.25,-3.91,1.35,-4.12,0.13,2.17,-2.05,-0.05,-1.44,-6.89,1.83,1.81
1979,-3.07,-0.71,-0.26,-2.18,-6.84,-4.15,0.19,-1.53,-1.76,-2.97,0.64,-4.56,-0.56,1.27,-2.11,-0.64,-2.28,-5.77,0.91,1.08
1980,-3.05,-0.42,0.40,-1.64,-7.73,-3.94,0.87,-1.18,-1.88,-3.41,0.93,-4.19,-0.22,2.03,-1.96,-0.08,-1.63,-6.52,1.69,1.46
1981,-3.45,-0.47,0.15,-1.91,-8.13,-4.15,0.48,-1.58,-2.36,-4.15,0.95,-4.50,-0.31,1.66,-2.32,-0.50,-1.93,-7.24,1.37,1.41
1982,-1.99,0.79,1.15,-0.60,-6.50,-2.77,1.77,-0.19,-0.78,-2.33,2.03,-3.12,0.98,2.80,-0.86,0.84,-0.76,-5.39,2.33,2.54
1983,-1.83,1.41,1.56,-0.23,-6.75,-2.23,1.99,0.05,-0.55,-2.46,2.66,-2.74,1.57,3.09,-0.51,0.99,-0.41,-5.74,2.67,3.12
1984,-1.56,1.41,1.45,-0.23,-5.90,-2.20,2.01,0.15,-0.30,-1.95,2.70,-2.71,1.59,3.02,-0.41,1.09,-0.42,-4.97,2.57,3.07
1985,-3.74,-1.14,-0.47,-2.31,-8.36,-4.64,0.22,-1.67,-2.65,-4.27,0.18,-4.77,-0.88,1.22,-2.54,-0.60,-2.42,-7.30,0.79,0.62
1986,-2.73,-0.04,0.11,-1.55,-6.88,-3.48,0.75,-0.97,-1.46,-3.02,1.10,-3.92,0.13,1.74,-1.57,-0.06,-1.78,-5.95,1.25,1.52
1987,-3.13,-0.84,-0.17,-1.98,-7.65,-4.04,0.63,-1.04,-1.72,-3.35,0.30,-4.26,-0.63,1.59,-1.79,-0.10,-2.08,-6.54,1.10,0.83
1988,-1.89,1.33,1.69,-0.19,-7.31,-2.20,2.15,0.26,-0.47,-2.60,2.58,-2.64,1.50,3.26,-0.35,1.20,-0.30,-6.15,2.85,3.04
1989,-0.73,2.19,2.26,0.50,-4.83,-1.34,2.65,0.89,0.51,-1.10,3.45,-1.95,2.33,3.75,0.41,1.74,0.30,-3.98,3.34,3.88
1990,-0.49,2.41,2.57,0.78,-4.97,-1.12,2.96,1.21,0.84,-0.70,3.70,-1.65,2.56,4.03,0.67,2.08,0.57,-3.72,3.68,4.08
1991,-1.45,1.42,1.56,-0.17,-5.99,-2.06,2.09,0.34,-0.04,-1.65,2.62,-2.57,1.58,3.11,-0.20,1.24,-0.38,-4.84,2.68,3.02
1992,-1.11,1.84,1.98,0.20,-5.44,-1.75,2.43,0.55,0.05,-1.48,3.07,-2.29,1.98,3.49,-0.00,1.52,-0.00,-4.36,3.13,3.45
1993,-2.12,0.59,0.86,-0.95,-6.44,-2.91,1.37,-0.46,-0.80,-2.19,1.86,-3.39,0.73,2.41,-1.03,0.49,-1.11,-5.23,1.98,2.27
1994,-2.28,0.68,1.21,-0.86,-6.50,-3.15,1.52,-0.67,-1.41,-2.84,2.11,-3.53,0.88,2.72,-1.42,0.47,-0.90,-5.66,2.43,2.55
1995,-2.00,0.95,1.28,-0.59,-6.59,-2.62,1.68,-0.23,-0.72,-2.42,2.27,-3.10,1.11,2.78,-0.81,0.73,-0.72,-5.56,2.39,2.71
1996,-2.72,-0.28,0.10,-1.69,-6.62,-3.81,0.77,-1.16,-1.43,-2.66,0.98,-4.18,-0.13,1.75,-1.81,-0.13,-1.82,-5.63,1.26,1.43
1997,-1.47,1.49,1.78,0.01,-6.43,-1.97,2.35,0.40,-0.03,-1.82,2.65,-2.48,1.62,3.40,-0.16,1.38,-0.12,-5.13,2.88,3.18
1998,-1.81,1.36,1.59,-0.17,-7.41,-2.07,2.08,0.36,-0.18,-2.25,2.51,-2.57,1.50,3.13,-0.19,1.24,-0.34,-5.91,2.68,2.96
1999,-1.34,1.66,1.95,0.20,-6.28,-1.85,2.48,0.61,-0.00,-1.85,2.85,-2.27,1.80,3.54,-0.01,1.61,0.01,-5.06,3.08,3.29
2000,-0.49,2.52,2.55,0.93,-4.95,-0.98,2.94,1.32,0.82,-0.93,3.75,-1.54,2.61,4.01,0.83,2.17,0.67,-4.00,3.62,4.01
2001,-2.02,0.81,1.07,-0.77,-6.42,-2.70,1.63,-0.27,-0.71,-2.39,2.11,-3.21,0.91,2.66,-0.82,0.71,-0.86,-5.39,2.22,2.43
2002,-1.47,1.48,1.94,0.05,-6.50,-2.03,2.47,0.56,-0.08,-2.02,2.83,-2.45,1.62,3.50,-0.10,1.54,-0.03,-5.36,3.10,3.25
2003,-1.40,1.10,1.66,-0.13,-5.87,-2.18,2.42,0.57,-0.13,-1.82,2.40,-2.49,1.28,3.32,-0.16,1.58,-0.30,-4.88,2.81,2.91
2004,-1.26,1.22,1.86,-0.02,-5.58,-2.13,2.49,0.61,-0.01,-1.63,2.57,-2.44,1.39,3.47,-0.11,1.61,-0.11,-4.67,3.02,3.06
2005,-1.13,1.36,1.86,-0.03,-5.17,-2.00,2.43,0.58,0.14,-1.43,2.70,-2.44,1.47,3.44,-0.05,1.54,-0.12,-4.35,2.98,3.16
2006,-0.77,1.86,2.47,0.58,-5.42,-1.46,3.07,1.22,0.57,-1.24,3.17,-1.83,2.02,4.07,0.53,2.18,0.48,-4.37,3.64,3.69
2007,-1.11,1.56,2.19,0.11,-5.34,-1.96,2.51,0.56,0.14,-1.46,2.98,-2.43,1.71,3.75,-0.05,1.48,0.17,-4.46,3.42,3.44
2008,-0.88,2.07,2.53,0.61,-5.77,-1.46,2.93,1.06,0.59,-1.42,3.44,-1.92,2.19,4.08,0.50,1.98,0.56,-4.76,3.69,3.85
2009,-1.36,1.31,1.85,-0.01,-5.96,-2.18,2.46,0.55,0.01,-1.76,2.64,-2.51,1.48,3.48,-0.16,1.55,-0.12,-4.88,3.07,3.12
2010,-3.39,-1.02,-0.26,-2.26,-7.09,-4.60,0.33,-1.79,-2.42,-3.76,0.39,-4.87,-0.85,1.40,-2.61,-0.67,-2.28,-6.40,0.99,0.96
2011,-0.70,1.64,2.09,0.19,-4.64,-1.67,2.64,0.89,0.71,-0.62,2.96,-2.14,1.75,3.72,0.39,1.77,0.07,-3.52,3.32,3.32
2012,-1.94,0.85,1.36,-0.56,-6.37,-2.68,1.86,-0.11,-0.73,-2.50,2.20,-3.08,1.00,2.98,-0.77,0.88,-0.63,-5.55,2.55,2.64
2013,-1.67,0.74,1.25,-0.68,-5.53,-2.64,1.79,-0.02,-0.43,-1.81,2.08,-3.07,0.86,2.93,-0.63,0.87,-0.78,-4.73,2.50,2.47
2014,-0.19,2.98,3.26,1.41,-5.24,-0.62,3.69,1.78,1.17,-0.83,4.24,-1.08,3.12,4.78,1.18,2.74,1.29,-4.14,4.43,4.63
2015,-0.61,1.95,2.21,0.54,-4.70,-1.44,2.85,1.14,0.65,-0.82,3.16,-1.83,2.10,3.80,0.52,2.05,0.30,-3.75,3.38,3.58
2016,-0.89,1.63,2.05,0.24,-4.71,-1.84,2.60,0.73,0.26,-1.24,2.96,-2.21,1.82,3.62,0.11,1.72,0.08,-3.88,3.22,3.39
2017,-1.22,1.46,1.88,0.11,-5.78,-1.90,2.51,0.69,0.19,-1.66,2.77,-2.27,1.65,3.51,0.11,1.66,-0.07,-4.78,3.07,3.20
2018,-1.26,1.54,2.03,0.09,-5.54,-2.04,2.44,0.48,-0.10,-1.77,2.94,-2.43,1.73,3.55,-0.17,1.49,0.01,-4.70,3.20,3.38
2019,-1.28,1.82,2.27,0.32,-6.29,-1.79,2.67,0.75,0.07,-2.01,3.19,-2.19,2.00,3.76,0.07,1.75,0.24,-5.31,3.43,3.63
2020,-0.14,2.82,3.02,1.23,-4.77,-0.68,3.44,1.75,1.26,-0.58,4.05,-1.16,2.95,4.46,1.19,2.62,1.05,-3.84,4.18,4.43
