Variable:,tasmin
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1938,3.54,3.26,2.64,2.62,3.95,3.14,2.88,4.13,2.87,3.06,4.13,2.71,4.77,5.06,3.71,2.56,2.93,3.57,2.96,2.80,3.97,4.38,4.42,4.13,3.03,3.44,4.96
1939,2.80,2.56,1.63,1.71,3.24,2.32,2.19,3.52,1.99,2.34,3.42,1.99,4.15,4.50,2.84,1.79,2.18,2.82,2.24,2.05,3.20,3.81,3.75,3.49,2.15,2.54,4.34
1940,-0.03,-0.30,-1.10,-1.08,0.36,-0.55,-0.70,0.63,-0.87,-0.55,0.53,-0.85,1.38,1.68,0.11,-1.02,-0.70,-0.03,-0.66,-0.84,0.35,0.95,1.00,0.65,-0.65,-0.22,1.58
1941,-0.31,-0.58,-1.60,-1.51,0.16,-0.95,-0.88,0.56,-1.31,-0.82,0.37,-1.18,1.30,1.65,-0.33,-1.42,-1.05,-0.35,-0.89,-1.15,0.09,0.90,0.81,0.52,-1.12,-0.71,1.40
1942,-0.49,-0.70,-1.50,-1.44,-0.01,-1.05,-1.05,0.19,-1.34,-0.92,0.15,-1.27,0.85,1.24,-0.48,-1.38,-1.12,-0.47,-1.03,-1.22,-0.10,0.48,0.37,0.13,-1.16,-0.77,0.90
1943,3.21,2.93,2.25,2.29,3.64,2.70,2.53,3.86,2.38,2.70,3.86,2.33,4.56,4.87,3.42,2.24,2.55,3.14,2.56,2.44,3.64,4.13,4.19,3.86,2.59,3.09,4.73
1944,2.83,2.53,1.79,1.81,3.26,2.28,2.13,3.55,1.96,2.31,3.49,1.92,4.27,4.58,2.99,1.77,2.14,2.78,2.18,2.02,3.26,3.85,3.84,3.54,2.18,2.66,4.41
1945,2.10,1.78,0.93,0.97,2.54,1.48,1.23,2.98,1.14,1.44,2.81,1.02,3.79,4.16,2.22,0.94,1.34,2.02,1.29,1.13,2.54,3.35,3.33,2.97,1.34,1.84,3.97
1946,2.07,1.78,1.05,1.06,2.47,1.59,1.36,2.76,1.28,1.56,2.71,1.15,3.47,3.78,2.18,1.05,1.41,2.02,1.48,1.24,2.49,3.05,3.06,2.76,1.45,1.85,3.59
1947,1.10,0.82,0.12,0.20,1.44,0.58,0.41,1.73,0.32,0.58,1.60,0.26,2.49,2.80,1.21,0.19,0.46,1.10,0.49,0.34,1.46,2.05,2.09,1.77,0.49,0.88,2.61
