Variable:,tasmin
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1999,5.62,4.93,5.02,5.92,6.18,5.05,5.91,5.96,5.65,6.82,4.94,6.74,5.44,5.50,5.77,6.17
2000,6.18,5.50,5.69,6.58,6.74,5.66,6.42,6.48,6.18,7.36,5.49,7.32,5.98,6.16,6.41,6.77
2001,4.99,4.29,4.81,5.34,5.61,4.31,5.29,5.29,5.02,6.37,4.37,6.29,4.72,5.00,5.24,5.73
2002,5.83,5.16,5.29,6.05,6.38,5.17,6.15,6.21,5.81,6.99,5.23,6.98,5.64,5.73,5.98,6.42
2003,5.12,4.46,4.48,5.30,5.65,4.52,5.41,5.47,5.06,6.20,4.51,6.28,4.98,5.02,5.24,5.69
2004,5.39,4.73,4.61,5.48,5.93,4.77,5.77,5.78,5.41,6.42,4.83,6.46,5.23,5.16,5.39,5.83
2005,5.40,4.71,4.69,5.53,5.96,4.78,5.72,5.75,5.40,6.52,4.79,6.55,5.21,5.24,5.44,5.91
2006,6.07,5.39,5.32,6.18,6.65,5.43,6.40,6.44,6.10,7.19,5.45,7.23,5.90,5.89,6.10,6.58
2007,6.27,5.60,5.63,6.40,6.88,5.57,6.63,6.62,6.31,7.44,5.69,7.46,6.06,6.14,6.36,6.83
2008,6.20,5.56,5.59,6.41,6.70,5.64,6.48,6.57,6.13,7.24,5.53,7.30,6.05,6.10,6.32,6.71
2009,5.54,4.90,4.76,5.69,6.06,4.94,5.86,5.93,5.51,6.57,4.92,6.63,5.41,5.36,5.57,5.99
2010,3.77,3.08,3.31,4.05,4.42,3.07,4.07,4.08,3.81,5.08,3.13,5.05,3.53,3.72,3.95,4.42
2011,5.78,5.13,5.06,5.96,6.29,5.25,6.07,6.15,5.75,6.83,5.14,6.90,5.61,5.64,5.84,6.28
2012,5.17,4.49,4.44,5.25,5.69,4.58,5.52,5.54,5.21,6.29,4.55,6.29,4.98,4.99,5.16,5.67
2013,5.28,4.57,4.60,5.43,5.87,4.63,5.61,5.64,5.31,6.42,4.69,6.46,5.04,5.14,5.34,5.83
2014,6.92,6.27,6.05,7.02,7.42,6.42,7.20,7.31,6.88,7.94,6.25,7.98,6.78,6.72,6.90,7.35
2015,5.97,5.27,5.49,6.16,6.51,5.41,6.26,6.33,5.96,7.16,5.29,7.11,5.80,5.85,6.04,6.49
2016,5.85,5.15,5.34,6.05,6.43,5.26,6.18,6.20,5.89,7.08,5.20,7.01,5.67,5.72,5.93,6.39
2017,5.79,5.09,5.31,5.98,6.42,5.12,6.20,6.11,5.89,7.02,5.20,6.97,5.53,5.68,5.88,6.35
2018,6.06,5.38,5.65,6.27,6.69,5.37,6.46,6.39,6.15,7.29,5.50,7.22,5.79,5.96,6.15,6.59
2019,6.26,5.56,5.86,6.49,6.85,5.58,6.62,6.60,6.29,7.53,5.65,7.46,6.03,6.19,6.39,6.85
2020,6.65,6.00,6.15,6.80,7.13,6.18,6.90,6.97,6.58,7.76,5.96,7.76,6.49,6.51,6.70,7.15
