Variable:,tasmax
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1911,12.40,19.13,14.56,18.65,21.67,11.69,24.43,23.94,18.98,27.70,13.94,6.51,18.57,18.91,19.95,18.48,21.29,9.36,11.92,9.58,12.95,4.64,14.69,17.11,19.04,13.33,14.20,16.63,12.37,4.32,20.33,19.41
1912,12.49,19.68,14.90,18.98,21.87,11.73,24.72,24.03,19.10,27.66,14.31,5.90,19.15,19.46,20.38,19.00,21.69,9.11,11.94,9.56,13.27,4.64,15.16,17.52,19.46,13.96,14.24,16.96,12.42,4.39,20.39,19.83
1913,12.48,19.55,15.14,18.95,21.80,11.74,24.53,23.88,19.04,27.51,14.52,6.49,19.08,19.31,20.21,18.82,21.55,9.64,12.19,9.87,13.29,4.60,15.19,17.50,19.28,14.06,14.18,17.11,12.16,4.18,20.31,19.73
1914,12.95,20.54,16.04,19.49,22.30,11.78,25.08,24.52,19.43,28.15,15.39,7.46,19.93,20.17,20.92,20.00,22.29,10.45,13.22,10.31,13.29,4.65,15.57,18.59,20.40,14.66,14.36,18.13,12.73,4.35,20.39,20.50
1915,12.61,20.03,14.66,19.09,22.47,11.73,25.26,24.49,19.30,28.18,14.13,5.10,19.34,19.76,20.75,19.34,22.12,8.25,11.52,9.12,13.17,4.80,15.12,17.74,19.97,13.86,14.49,16.87,12.86,4.79,20.70,20.28
1916,12.61,19.60,15.18,18.75,22.04,11.57,24.81,24.09,19.16,27.67,14.49,6.76,18.94,19.20,20.24,19.01,21.67,9.73,12.35,9.63,12.71,4.75,14.72,17.63,19.61,13.76,14.48,17.23,12.51,4.63,20.56,19.91
1917,12.47,19.42,14.76,18.82,21.18,11.58,24.19,23.78,19.00,27.32,14.14,6.61,18.92,19.21,20.08,18.72,21.25,9.44,11.98,9.58,12.71,4.70,14.77,17.29,19.09,13.55,14.33,16.81,12.71,4.17,20.30,19.33
1918,12.43,19.41,14.88,18.70,21.50,11.44,24.40,23.93,19.04,27.55,14.20,6.74,18.75,19.02,20.06,18.87,21.33,9.66,12.36,9.70,12.33,4.69,14.51,17.44,19.29,13.38,14.28,17.00,12.25,4.39,20.16,19.51
1919,12.77,20.07,15.64,19.25,21.75,11.71,24.79,24.29,19.41,27.84,14.98,6.92,19.51,19.77,20.61,19.47,21.82,10.18,12.90,10.00,13.10,4.81,15.27,18.16,19.86,14.27,14.68,17.71,12.31,4.52,20.88,19.91
1920,12.68,19.68,15.97,19.03,21.63,11.77,24.31,23.93,19.21,27.57,15.25,7.50,19.35,19.39,20.14,19.16,21.43,10.64,13.21,10.27,13.33,4.75,15.32,18.17,19.47,14.42,14.50,18.00,11.84,4.53,20.55,19.62
1921,12.77,19.45,15.63,19.16,21.67,11.61,24.84,24.48,19.51,27.94,14.90,7.51,18.90,19.29,20.49,18.86,21.55,10.36,12.85,10.12,12.86,4.72,15.02,17.75,19.48,14.08,14.59,17.62,12.39,4.75,20.76,19.68
1922,12.90,20.21,15.96,19.65,22.02,11.89,24.97,24.41,19.68,27.93,15.27,6.17,19.72,20.14,21.03,19.50,22.10,9.59,12.65,9.80,13.60,4.84,15.63,18.26,19.97,14.69,14.80,17.96,12.82,4.79,20.89,20.13
1923,12.90,19.92,15.52,19.88,22.05,12.04,25.34,24.83,19.95,28.31,14.89,6.52,19.54,20.24,21.29,19.10,22.17,9.52,12.30,9.88,13.72,4.87,15.75,17.84,19.69,14.50,14.96,17.53,12.60,4.74,21.01,20.05
1924,12.83,19.85,15.64,19.36,21.74,11.98,24.93,24.46,19.40,28.03,14.98,6.50,19.63,19.87,20.79,19.11,21.74,9.68,12.52,9.99,13.78,4.88,15.75,18.00,19.43,14.58,14.56,17.65,12.58,4.76,20.85,19.58
1925,12.84,19.84,15.43,19.53,21.42,11.93,24.43,23.98,19.27,27.46,14.84,7.56,19.74,20.06,20.70,18.93,21.66,10.22,12.62,10.44,13.73,4.68,15.95,17.74,19.17,14.58,14.46,17.37,12.76,4.24,20.22,19.39
1926,12.92,20.13,15.82,19.70,21.80,11.89,24.69,24.24,19.61,27.64,15.17,7.14,19.68,20.00,20.77,19.40,21.88,10.08,12.73,10.37,13.54,4.84,15.80,18.07,19.82,14.60,14.91,17.78,12.67,4.46,20.75,19.90
1927,12.87,20.40,15.72,19.77,21.62,11.89,24.73,24.35,19.59,27.95,15.06,6.99,19.91,20.22,20.81,19.73,21.88,9.97,12.75,10.08,13.43,4.78,15.72,18.30,19.95,14.47,14.83,17.81,12.58,4.43,20.63,19.94
1928,12.85,20.38,15.76,19.96,21.88,12.01,24.96,24.47,19.74,28.05,15.12,6.35,20.19,20.53,21.16,19.45,22.11,9.40,12.45,9.85,13.97,4.88,16.21,18.25,19.64,14.89,15.00,17.81,12.12,4.82,21.12,19.81
1929,12.65,20.07,15.52,19.51,22.00,11.80,25.15,24.51,19.50,28.24,14.87,6.38,19.65,19.98,20.86,19.34,22.02,9.70,12.74,9.73,13.33,4.76,15.49,18.11,19.68,14.26,14.67,17.67,11.88,4.61,20.59,19.84
1930,12.69,19.90,15.87,19.19,22.01,11.88,24.91,24.29,19.29,28.05,15.18,7.05,19.50,19.61,20.46,19.29,21.78,10.20,13.08,10.19,13.70,4.76,15.58,18.25,19.70,14.49,14.59,17.93,11.78,4.48,20.37,19.83
1931,12.60,19.31,15.48,19.06,21.72,11.97,25.00,24.59,19.40,28.44,14.82,5.88,19.13,19.14,20.12,18.71,21.28,9.05,12.26,9.80,13.68,4.89,15.45,17.79,19.04,14.28,14.77,17.49,11.94,4.81,21.03,19.33
1932,13.06,20.14,16.06,19.65,21.76,12.49,24.89,24.16,19.23,27.92,15.45,7.25,20.08,20.16,20.69,19.54,21.77,10.30,13.29,10.67,14.49,5.06,16.34,18.47,19.74,15.07,14.84,18.06,12.53,4.77,20.42,19.80
1933,12.84,19.77,15.10,19.58,22.01,12.42,25.09,24.43,19.53,28.23,14.49,6.85,19.39,19.74,20.49,19.10,21.73,9.76,12.44,9.99,14.05,5.20,15.90,17.66,19.54,14.23,15.04,17.14,12.37,4.52,20.95,19.86
1934,12.58,20.08,15.10,19.16,21.76,11.70,24.53,24.02,19.25,27.51,14.52,7.41,19.38,19.68,20.37,19.42,21.71,9.99,12.52,9.98,13.24,4.75,15.33,17.78,19.81,14.01,14.56,17.19,11.46,4.60,20.78,19.96
1935,12.98,20.44,16.45,19.39,22.12,11.93,25.07,24.54,19.62,28.09,15.72,7.18,19.94,19.98,20.73,19.84,22.10,10.42,13.51,10.44,13.67,5.10,15.72,18.73,20.09,14.85,14.85,18.52,11.83,4.90,21.43,20.15
1936,12.49,19.82,15.29,19.19,22.05,11.65,24.82,24.04,19.08,27.71,14.66,6.19,19.56,19.75,20.44,18.89,21.86,8.85,11.76,9.48,13.45,4.71,15.55,17.59,19.19,14.35,14.42,17.29,11.97,4.52,20.54,19.70
1937,12.67,19.98,15.80,19.35,22.49,11.76,25.33,24.59,19.64,28.09,15.13,6.25,19.60,19.74,20.69,19.35,22.15,9.59,12.78,9.79,13.86,4.96,15.77,18.15,19.81,14.69,14.84,17.96,11.48,4.65,21.23,20.13
1938,13.06,20.47,15.83,19.45,22.74,12.18,25.26,24.47,19.54,27.94,15.21,7.27,20.06,20.18,20.97,19.58,22.51,10.28,13.03,10.49,14.15,5.27,16.16,18.13,20.07,15.06,14.78,17.89,12.29,4.87,20.62,20.53
1939,13.26,20.33,16.36,19.68,22.40,12.67,25.39,24.56,19.61,27.96,15.75,7.67,20.19,20.17,20.88,19.67,22.20,10.76,13.59,10.88,14.68,5.49,16.55,18.67,19.83,15.34,15.16,18.48,12.50,4.74,20.79,19.94
1940,13.30,20.53,16.47,19.86,22.75,12.50,25.85,25.08,20.04,28.37,15.77,6.90,20.27,20.47,21.39,19.73,22.63,10.18,13.16,10.47,14.42,5.41,16.36,18.57,19.97,15.28,15.15,18.43,12.96,4.73,21.09,20.33
1941,13.69,21.04,16.94,20.59,23.11,13.52,25.78,25.06,20.36,28.42,16.30,6.02,21.04,20.92,21.49,20.18,22.75,9.57,13.10,10.62,15.51,6.17,17.43,19.12,20.41,16.08,15.94,18.94,13.53,5.16,21.42,20.79
1942,13.41,20.78,16.84,20.35,23.12,12.83,25.63,24.86,20.27,28.21,16.19,6.55,20.72,20.67,21.26,19.92,22.69,10.14,13.21,10.63,14.82,5.68,16.93,19.00,20.14,15.84,15.74,18.85,12.38,5.21,21.60,20.63
1943,13.31,20.81,16.95,19.79,23.37,12.14,25.81,24.91,19.98,28.22,16.21,7.89,20.32,20.20,21.24,20.00,22.80,10.72,13.46,10.95,14.24,5.16,16.34,18.95,20.39,15.47,15.17,18.92,12.18,5.01,21.17,20.76
1944,12.90,20.17,16.19,18.94,22.74,11.56,25.16,24.10,19.05,27.71,15.46,7.45,19.60,19.51,20.39,19.39,22.15,10.18,13.01,10.30,13.48,5.00,15.48,18.38,19.73,14.56,14.57,18.23,12.20,5.06,20.63,20.24
1945,13.07,20.17,16.40,19.89,22.28,12.79,24.78,24.21,19.74,27.36,15.77,6.41,20.27,20.20,20.66,19.27,21.95,9.39,12.61,10.59,14.70,5.70,16.61,18.45,19.54,15.40,15.31,18.35,12.15,4.71,21.16,20.09
1946,13.64,21.21,16.62,20.58,23.52,13.20,26.04,25.41,20.74,28.43,15.94,7.20,20.59,20.88,21.82,20.28,23.20,10.38,13.27,10.82,14.96,6.14,16.87,18.92,20.75,15.47,16.03,18.68,12.49,5.35,21.81,21.19
1947,12.95,20.40,14.82,20.00,22.22,12.49,24.69,24.00,19.64,27.28,14.38,6.63,20.15,20.56,20.95,19.30,22.28,9.10,11.68,9.49,14.48,5.76,16.43,17.70,19.64,14.56,15.43,16.98,12.26,5.27,21.11,20.22
1948,13.31,20.62,16.47,19.61,22.21,12.64,24.95,24.33,19.56,27.80,15.79,8.43,20.19,20.23,20.85,20.03,22.15,11.04,13.56,11.11,14.52,5.56,16.30,18.81,20.25,15.10,15.11,18.53,12.48,4.62,20.94,20.35
1949,12.94,20.32,15.92,19.46,22.50,11.92,25.45,24.70,19.56,28.36,15.31,7.84,19.87,19.98,20.85,19.58,22.23,10.70,13.42,10.52,13.63,4.96,15.73,18.46,19.86,14.55,14.71,18.10,11.81,4.61,20.84,20.29
1950,12.82,20.03,16.17,19.04,22.60,11.86,25.31,24.23,19.04,27.96,15.35,7.45,19.55,19.64,20.49,19.37,22.25,10.75,13.52,10.57,13.77,4.83,15.72,18.25,19.88,14.64,14.49,18.14,11.74,4.51,20.68,20.28
1951,13.03,20.13,15.71,19.47,22.34,12.28,24.73,24.01,19.49,27.53,15.12,7.40,19.54,19.95,20.58,19.35,22.06,10.66,13.41,10.53,13.86,5.06,15.90,18.21,19.78,14.49,15.12,17.80,12.38,4.88,21.03,20.09
1952,12.82,19.40,15.22,19.32,22.34,12.11,25.37,24.62,19.64,28.45,14.64,6.43,19.01,19.49,20.48,18.69,21.78,10.22,13.04,9.85,13.82,5.24,15.72,17.68,19.42,14.17,15.16,17.32,11.86,5.19,21.37,19.81
1953,13.17,20.44,15.41,19.64,22.08,12.49,24.85,24.21,19.40,28.06,14.95,7.15,20.19,20.12,20.52,19.94,21.89,10.32,12.87,10.39,14.19,5.47,16.28,18.26,20.12,14.93,15.36,17.45,12.56,5.24,21.29,19.98
1954,12.32,19.17,14.73,18.75,22.43,11.45,25.20,24.17,18.84,28.27,14.02,6.77,18.74,19.02,20.08,18.49,21.82,9.44,12.10,9.41,13.08,5.00,15.01,17.20,18.99,13.49,14.61,16.72,10.93,4.86,20.57,19.58
1955,12.93,20.26,15.90,19.43,22.45,11.93,25.43,24.45,19.21,28.46,15.20,7.10,19.96,20.02,20.74,19.56,22.35,10.35,13.07,10.28,13.83,4.87,15.93,18.41,19.88,14.72,14.51,17.96,12.47,4.65,20.18,20.23
1956,12.39,19.25,14.23,19.08,22.00,11.69,24.88,24.06,18.90,27.88,13.58,5.56,18.86,19.60,20.46,18.36,21.90,8.81,11.56,8.96,13.23,4.78,15.16,16.95,19.06,13.33,14.33,16.35,12.33,4.87,20.21,19.47
1957,12.30,18.95,14.86,18.76,21.91,11.60,24.56,23.69,18.63,27.74,14.14,6.34,18.88,19.29,19.88,18.16,21.46,9.30,11.94,9.30,13.37,4.27,15.37,17.10,18.83,13.90,14.11,17.01,11.98,4.41,20.46,19.33
1958,13.04,19.79,15.61,19.26,22.42,12.02,25.29,24.59,19.45,28.19,14.88,7.18,19.27,19.71,20.65,19.01,22.16,10.37,13.03,10.37,13.67,5.40,15.42,17.94,19.63,14.11,14.86,17.71,12.43,5.43,20.86,19.90
1959,12.92,20.16,15.47,19.54,22.39,11.76,25.10,24.07,19.23,28.07,14.81,7.99,19.75,20.17,20.71,19.32,22.08,11.08,13.40,10.41,13.43,4.96,15.64,18.21,19.99,14.17,14.62,17.51,12.07,4.86,20.42,20.07
1960,12.91,20.16,15.84,19.54,22.68,12.06,25.35,24.49,19.54,28.13,15.20,6.19,19.80,20.06,20.90,19.39,22.32,9.87,12.80,10.22,13.95,5.23,15.91,18.29,20.00,14.71,14.87,17.75,11.98,5.04,21.02,20.28
1961,13.18,20.66,16.37,19.63,22.37,11.75,25.13,24.36,19.46,28.15,15.67,7.65,20.23,20.36,20.92,19.88,22.17,11.12,13.76,10.87,13.57,4.68,15.75,18.88,20.20,14.74,14.67,18.31,12.93,4.70,20.69,20.39
1962,12.92,20.07,15.79,19.37,22.12,11.76,25.09,24.30,19.28,27.77,15.00,7.34,19.77,19.89,20.74,19.33,21.92,10.52,13.10,10.45,13.59,4.56,15.69,18.06,19.61,14.36,14.45,17.61,12.96,4.34,20.43,19.77
1963,13.17,19.92,15.66,19.67,22.87,12.21,25.73,24.88,19.95,28.21,14.88,7.53,19.33,20.00,21.39,19.05,22.63,10.63,13.05,10.84,13.65,4.86,15.44,17.75,19.83,14.09,14.72,17.42,13.39,4.25,20.78,20.33
1964,12.49,19.39,14.39,18.54,22.28,11.36,24.89,24.00,18.78,27.67,13.65,6.67,18.13,18.84,20.13,18.77,21.79,9.74,12.32,9.71,12.60,4.96,14.27,16.93,19.61,12.84,14.40,16.43,12.10,4.96,20.39,19.88
1965,12.83,19.83,16.44,18.99,22.03,12.17,25.06,24.29,19.08,27.98,15.60,5.95,19.80,19.61,20.37,19.22,21.63,9.47,12.89,10.48,14.00,4.57,15.90,18.34,19.41,15.00,14.04,18.23,13.10,4.16,20.34,19.51
1966,12.93,20.51,15.60,19.59,22.77,12.00,25.65,24.65,19.64,28.43,14.97,6.20,20.22,20.21,20.90,19.73,22.28,9.52,12.57,9.86,13.88,5.14,15.98,18.32,20.14,14.43,14.91,17.68,12.42,4.89,20.96,20.35
1967,12.38,19.79,14.97,18.63,22.21,10.76,24.65,23.66,18.81,27.23,14.35,7.85,18.96,19.16,20.06,19.09,21.71,10.76,12.91,10.02,12.29,3.85,14.54,17.68,19.58,13.37,14.06,17.28,11.84,4.08,20.13,19.94
1968,12.72,20.06,15.62,18.82,22.03,11.61,24.78,23.77,18.80,27.66,14.98,7.78,19.67,19.69,20.36,19.39,21.83,10.37,12.96,10.10,12.98,4.60,15.21,18.28,19.63,14.17,14.14,17.93,12.58,4.16,20.20,19.83
1969,12.39,18.96,14.14,19.17,21.82,12.07,24.57,24.04,19.50,27.60,13.58,5.22,18.63,19.05,20.08,18.30,21.27,8.58,11.49,8.86,13.52,5.54,15.25,16.77,19.00,13.32,15.13,16.29,11.75,5.04,21.17,19.34
1970,12.55,19.12,15.00,18.74,21.52,11.38,24.32,23.50,18.83,27.25,14.35,7.16,18.99,18.98,19.68,18.53,20.94,10.04,12.48,9.75,13.00,4.53,15.04,17.41,19.02,13.73,14.34,17.01,12.48,4.85,20.42,19.22
1971,12.88,19.77,15.35,19.13,22.63,12.03,24.98,24.00,19.17,27.26,14.67,7.41,19.10,19.42,20.50,19.12,22.18,10.13,12.74,10.23,13.46,4.86,15.30,17.66,19.77,13.86,14.48,17.42,12.96,4.66,20.14,20.17
1972,12.76,19.17,15.63,19.13,22.14,12.21,24.77,24.03,19.21,27.49,14.83,6.58,18.86,19.19,20.24,18.48,21.60,9.87,12.71,10.22,13.59,5.32,15.42,17.52,19.22,14.17,14.81,17.58,12.04,5.07,20.65,19.56
1973,13.07,19.78,15.44,19.53,22.20,12.26,25.01,24.36,19.51,28.06,14.75,7.28,19.42,19.63,20.44,19.13,21.76,10.43,12.98,10.43,13.75,5.06,15.75,17.95,19.48,14.27,14.94,17.59,13.10,4.87,20.77,19.81
1974,12.52,19.51,15.30,18.76,22.34,11.55,24.83,23.90,18.89,27.35,14.55,6.44,18.99,19.32,20.35,18.81,21.87,9.51,12.48,9.80,13.10,4.61,15.09,17.54,19.35,13.90,14.33,17.31,11.98,4.85,20.18,19.72
1975,12.99,19.63,16.41,19.08,21.99,11.49,24.54,23.93,19.15,27.49,15.52,8.77,19.24,19.38,20.13,19.11,21.44,11.41,13.87,11.13,13.02,4.55,15.12,18.14,19.54,14.34,14.48,18.33,12.43,4.76,20.77,19.68
1976,12.36,19.51,14.66,18.39,21.84,11.14,24.28,23.35,18.33,27.20,13.97,7.08,18.88,19.09,19.74,18.76,21.39,9.49,12.05,9.73,12.52,4.34,14.63,17.29,19.13,13.38,13.98,16.72,12.07,4.70,20.14,19.49
1977,12.67,19.70,15.55,19.10,22.75,11.45,25.37,24.11,18.85,28.04,14.90,6.84,19.60,19.56,20.31,19.19,21.98,9.96,12.94,9.96,13.15,4.12,15.67,18.14,19.51,14.44,14.12,17.71,12.70,4.33,20.08,20.02
1978,13.04,20.63,15.89,19.83,22.53,12.06,24.83,24.23,19.61,27.64,15.26,7.32,20.25,20.43,21.00,20.02,22.35,10.39,13.19,10.51,13.53,4.68,15.94,18.63,20.13,14.72,14.58,18.12,12.94,4.21,20.74,20.36
1979,13.08,20.51,15.63,19.58,22.69,12.00,25.07,24.35,19.50,28.05,14.96,7.28,19.94,20.26,20.90,19.84,22.36,10.41,13.21,10.36,13.68,4.94,15.90,18.25,20.19,14.53,14.72,17.73,12.79,4.75,21.20,20.51
1980,12.84,19.29,15.30,18.82,22.43,12.08,25.10,24.31,19.12,28.01,14.64,6.43,18.99,19.07,20.12,18.64,21.59,9.32,12.18,9.99,13.63,5.02,15.41,17.52,19.14,14.28,14.44,17.33,13.24,4.63,21.05,19.73
1981,12.81,19.57,15.73,19.04,22.31,11.80,24.90,24.19,19.31,27.79,15.10,6.89,19.33,19.35,20.33,19.06,21.64,9.98,12.92,10.09,13.30,5.00,15.27,18.23,19.40,14.33,14.63,18.08,12.51,4.64,20.82,19.77
1982,12.99,19.75,16.61,18.68,22.20,11.78,24.68,23.98,18.92,27.70,15.82,8.29,19.39,19.18,20.06,19.30,21.64,11.55,14.08,11.05,13.53,4.36,15.45,18.61,19.65,14.84,14.14,18.69,12.83,4.34,20.49,20.00
1983,12.74,20.06,16.53,18.92,22.56,11.18,24.73,24.13,19.08,27.58,15.73,6.97,19.54,19.60,20.59,19.47,22.08,10.45,13.69,10.40,12.93,3.74,15.11,18.70,19.74,14.48,13.99,18.71,12.87,4.08,20.33,20.18
1984,12.36,19.12,15.23,18.43,21.63,11.09,24.00,23.40,18.55,27.05,14.44,6.42,18.38,18.77,19.61,18.57,21.09,9.56,12.59,9.52,12.47,4.95,14.34,17.40,19.06,13.49,14.41,17.29,11.70,5.14,20.65,19.45
1985,12.52,19.26,14.65,18.89,21.98,11.72,24.35,23.78,18.94,27.15,14.02,6.69,18.59,19.14,20.17,18.58,21.53,9.68,12.12,9.64,13.06,4.61,14.98,17.09,19.36,13.60,13.99,16.75,12.54,4.76,20.33,19.89
1986,12.80,19.91,15.44,19.03,22.49,11.76,25.09,24.31,19.13,27.84,14.86,7.28,19.63,19.72,20.65,19.25,22.14,9.71,12.51,10.19,13.32,4.57,15.55,18.06,19.73,14.52,14.39,17.62,12.56,4.41,20.61,20.18
1987,13.13,20.12,15.85,19.63,22.79,12.66,25.47,25.01,19.97,28.67,15.22,6.23,19.76,19.87,20.95,19.48,22.31,9.61,12.69,10.19,14.45,5.49,16.28,18.20,20.11,15.06,15.10,17.76,12.73,4.95,21.09,20.52
1988,13.08,20.02,15.76,19.11,22.31,11.92,24.67,23.97,19.24,27.52,15.16,7.40,19.55,19.67,20.43,19.47,21.84,10.40,13.30,10.43,13.21,5.54,15.23,18.37,19.93,14.24,14.69,18.01,12.78,5.27,20.87,20.23
1989,12.93,19.36,16.41,18.51,22.14,11.57,24.92,24.08,18.82,27.77,15.60,8.42,18.91,18.80,19.97,19.02,21.50,11.33,14.18,11.04,13.03,4.50,14.95,18.33,19.56,14.33,13.99,18.48,12.76,4.48,20.48,19.76
1990,13.30,20.09,15.79,19.50,22.43,12.32,25.13,24.42,19.47,28.02,15.09,8.29,19.54,19.77,20.68,19.61,22.00,10.71,13.35,10.93,13.90,5.23,15.79,18.27,20.30,14.61,14.49,17.77,13.58,4.69,20.56,20.41
1991,12.89,19.39,15.58,18.65,22.38,12.06,25.23,24.29,18.79,28.32,14.81,7.13,19.10,19.11,20.09,18.76,21.71,10.05,12.89,10.37,13.74,5.06,15.57,17.86,19.30,14.40,14.14,17.62,13.03,4.51,20.59,19.90
1992,12.72,19.83,15.82,18.98,21.83,11.43,24.65,24.07,18.99,27.51,15.10,7.63,19.48,19.63,20.47,19.25,21.72,10.41,13.26,10.43,12.99,4.29,15.26,18.29,19.54,14.32,13.81,18.07,12.57,4.24,20.23,19.75
1993,12.69,19.24,15.75,18.61,22.18,11.48,24.81,24.07,18.90,27.86,14.96,7.39,18.87,18.87,19.90,18.67,21.45,10.16,13.07,10.33,13.01,4.60,14.95,17.88,19.12,14.11,13.98,17.85,12.41,4.72,20.52,19.79
1994,13.34,20.47,16.59,19.36,22.54,12.26,25.15,24.19,19.15,28.08,15.86,7.63,20.06,19.86,20.32,19.92,22.01,10.80,13.85,11.04,13.84,5.34,16.00,18.87,20.31,15.12,14.81,18.66,13.13,4.99,21.10,20.55
1995,13.07,20.16,16.18,19.24,22.02,11.59,24.54,23.73,18.89,27.44,15.51,8.28,20.06,19.90,20.40,19.52,21.77,10.82,13.53,11.09,13.44,4.47,16.07,18.48,19.74,15.06,14.22,18.24,12.87,4.74,20.58,19.97
1996,12.72,19.47,15.43,18.60,22.29,11.46,24.76,23.86,18.73,27.47,14.73,7.55,19.01,19.19,20.08,18.80,21.69,10.33,13.02,10.27,12.81,4.66,15.09,17.74,19.44,14.14,14.11,17.41,12.46,4.73,20.49,19.91
1997,13.23,20.27,16.65,19.46,22.12,12.36,24.75,23.88,18.96,27.76,15.86,7.93,20.22,19.98,20.28,19.73,21.70,11.08,13.96,11.27,14.27,4.19,16.55,18.85,20.06,15.52,14.17,18.56,14.05,3.67,20.51,20.08
1998,13.80,20.72,16.78,20.18,23.09,12.87,25.64,25.04,20.12,28.43,16.02,8.24,20.39,20.68,21.42,19.99,22.79,11.39,14.16,11.53,14.59,5.57,16.84,18.86,20.60,15.77,15.14,18.59,13.66,5.18,21.44,20.85
1999,13.65,20.18,16.83,19.73,22.71,12.64,25.45,24.51,19.48,27.81,16.03,7.44,20.29,20.23,20.84,19.50,22.27,10.73,13.82,11.23,14.38,5.58,16.69,18.89,19.86,15.73,15.00,18.68,13.84,5.50,21.06,20.26
2000,13.02,19.99,16.02,19.12,22.31,12.01,25.02,23.93,18.70,27.57,15.28,7.16,19.57,19.78,20.25,19.26,21.87,10.24,13.34,10.72,13.81,4.67,16.03,18.24,19.81,14.80,14.29,18.01,13.26,4.61,20.32,20.11
2001,13.47,20.22,16.51,19.80,22.80,12.47,25.24,24.06,19.31,27.79,15.60,7.69,19.96,20.33,20.76,19.34,22.33,10.74,13.64,11.13,14.10,5.26,16.40,18.34,19.94,15.15,14.88,18.17,13.65,5.18,20.79,20.40
