Variable:,tasmax
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
2007,30.48,29.58,29.69,29.71,35.76,30.25,33.19,28.28,27.82,29.10,29.73
2008,30.25,29.36,29.49,29.55,35.25,30.04,32.87,28.05,27.59,28.92,29.53
2009,30.57,29.66,29.70,29.79,36.14,30.21,33.38,28.31,27.82,29.10,29.70
2010,30.64,29.63,29.76,29.95,36.07,30.37,33.34,28.40,27.87,29.30,29.90
2011,30.38,29.46,29.56,29.61,35.73,30.12,33.09,28.26,27.71,28.96,29.67
2012,30.15,29.05,29.40,29.53,35.29,30.03,32.65,27.86,27.46,28.99,29.50
2013,30.28,29.23,29.45,29.64,35.48,30.11,32.85,28.13,27.60,29.03,29.68
2014,30.21,29.03,29.40,29.58,35.42,30.13,32.69,27.99,27.52,29.06,29.69
2015,30.53,29.61,29.80,29.86,35.36,30.40,33.06,28.40,27.91,29.24,29.90
2016,30.62,29.58,29.85,30.05,35.55,30.46,33.11,28.42,27.92,29.43,29.95
2017,30.17,28.90,29.45,29.70,34.88,30.26,32.41,27.97,27.52,29.20,29.81
2018,30.20,28.99,29.52,29.75,34.76,30.29,32.43,27.97,27.56,29.27,29.78
2019,30.12,28.87,29.42,29.70,34.79,30.15,32.34,27.80,27.41,29.17,29.63
2020,30.79,29.92,30.11,30.28,35.33,30.55,33.31,28.44,28.08,29.52,29.93
