Variable:,tasmax
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1949,25.32,27.67,19.24,15.25,17.20,16.63,23.43,16.94,20.03,14.85,24.23,20.95,21.38,22.34,26.84,17.30,31.34,29.28,17.54,24.00,27.89,16.92,28.60,18.90,29.92,30.47
1950,24.92,27.05,18.62,14.99,17.01,16.31,22.77,16.73,19.77,14.41,23.66,20.55,20.89,21.68,26.16,16.74,30.95,29.05,17.45,23.46,27.20,16.82,27.98,18.86,29.29,30.02
1951,25.45,27.89,19.52,15.48,17.60,16.81,23.73,17.14,20.14,15.06,24.39,21.22,21.52,22.65,27.22,17.60,31.33,29.22,17.86,24.14,28.29,17.21,28.77,19.18,30.31,30.38
1952,25.25,27.52,19.19,15.26,17.47,16.57,23.32,17.11,20.00,14.75,24.09,20.96,21.25,22.28,26.75,17.31,31.21,29.13,17.91,23.84,27.79,17.21,28.47,19.21,29.85,30.13
1953,25.63,28.10,19.86,15.46,17.57,16.81,23.98,17.61,20.15,15.15,24.71,21.29,21.69,22.95,27.45,17.86,31.57,29.29,18.09,24.34,28.49,17.33,29.08,19.57,30.47,30.54
1954,25.06,27.23,18.75,14.92,16.96,16.27,22.99,17.26,19.80,14.55,23.80,20.58,21.07,21.90,26.37,16.92,31.12,29.07,17.79,23.55,27.39,17.15,28.23,19.34,29.44,30.14
1955,25.11,27.40,19.03,14.89,16.95,16.18,23.18,17.12,19.79,14.49,23.98,20.52,21.09,22.15,26.57,17.04,31.16,29.13,17.57,23.68,27.59,17.07,28.41,19.05,29.62,30.17
1956,24.91,27.23,18.82,14.69,16.76,15.99,23.02,16.95,19.55,14.29,23.76,20.33,20.86,21.96,26.44,16.83,30.97,28.87,17.37,23.46,27.47,16.82,28.20,18.89,29.49,29.92
1957,25.70,28.43,19.93,15.68,17.81,17.06,24.29,17.77,20.22,15.33,24.80,21.60,21.74,23.10,27.87,18.02,31.57,29.19,18.20,24.43,28.95,17.33,29.11,19.75,30.94,30.45
1958,25.74,27.96,19.59,15.87,18.22,17.16,23.81,18.00,20.55,15.31,24.51,21.50,21.70,22.73,27.28,17.72,31.61,29.63,18.80,24.26,28.29,17.91,28.90,20.24,30.26,30.59
1959,25.62,27.97,19.57,15.41,17.59,16.81,23.78,17.73,20.15,15.16,24.52,21.26,21.66,22.71,27.22,17.66,31.70,29.30,18.17,24.26,28.22,17.41,28.93,19.68,30.22,30.58
1960,25.64,27.85,19.57,15.40,17.60,16.82,23.65,17.53,20.16,15.20,24.60,21.25,21.74,22.63,27.02,17.67,31.80,29.26,18.01,24.38,27.94,17.35,28.95,19.47,29.93,30.69
1961,25.89,27.88,19.70,15.74,17.76,17.12,23.72,17.89,20.64,15.53,24.78,21.48,22.04,22.75,27.10,17.89,31.90,30.01,18.35,24.56,27.99,17.84,29.10,19.81,29.97,31.11
1962,25.79,27.86,19.60,15.64,17.39,17.02,23.62,17.57,20.51,15.52,24.69,21.39,21.99,22.67,26.95,17.79,31.90,29.86,17.87,24.47,27.94,17.51,29.05,19.32,29.97,31.04
1963,25.94,28.11,19.89,15.73,17.63,17.13,23.95,17.52,20.52,15.52,24.93,21.52,22.11,22.97,27.30,18.00,32.11,29.82,17.86,24.69,28.19,17.34,29.29,19.35,30.20,31.18
1964,25.63,27.68,19.40,15.41,17.37,16.73,23.38,17.40,20.28,15.06,24.50,21.04,21.57,22.43,26.66,17.38,31.85,29.60,17.98,24.13,27.64,17.53,28.92,19.39,29.64,30.82
1965,26.04,28.29,20.28,15.96,18.03,17.38,24.33,18.18,20.65,15.71,25.17,21.79,22.23,23.32,27.88,18.30,31.89,29.76,18.58,24.78,28.76,17.85,29.37,20.10,30.74,31.09
1966,25.81,28.04,19.80,15.47,17.44,16.87,23.87,17.82,20.31,15.22,24.83,21.23,21.75,22.88,27.22,17.68,31.99,29.62,18.23,24.39,28.15,17.61,29.22,19.78,30.16,30.92
1967,25.41,27.53,19.25,15.13,17.13,16.52,23.32,17.52,19.98,14.85,24.30,20.88,21.34,22.30,26.68,17.24,31.58,29.36,17.86,23.91,27.62,17.33,28.70,19.41,29.65,30.53
1968,25.46,27.59,19.26,15.36,17.18,16.70,23.37,17.28,20.18,14.99,24.38,21.04,21.51,22.34,26.70,17.40,31.59,29.50,17.57,24.14,27.66,17.04,28.75,19.12,29.70,30.71
1969,26.30,28.61,20.41,16.19,18.05,17.64,24.58,18.34,20.93,15.97,25.41,22.06,22.44,23.54,28.06,18.50,32.19,30.16,18.64,25.13,28.91,17.97,29.67,20.22,30.88,31.45
1970,25.68,27.87,19.46,15.48,17.47,16.93,23.62,17.74,20.30,15.26,24.57,21.30,21.68,22.57,26.95,17.58,31.81,29.60,18.10,24.32,27.93,17.48,28.96,19.65,29.99,30.80
1971,25.32,27.51,19.24,15.18,17.06,16.57,23.35,17.12,19.96,14.95,24.34,20.96,21.47,22.32,26.75,17.37,31.39,29.18,17.55,24.10,27.68,16.94,28.65,19.04,29.65,30.54
1972,26.22,28.94,20.75,15.98,17.87,17.51,24.98,17.87,20.55,16.03,25.52,22.13,22.48,23.92,28.60,18.73,32.13,29.56,18.18,25.13,29.48,17.32,29.92,19.74,31.36,31.21
1973,25.51,27.63,19.38,15.53,17.56,17.01,23.44,17.60,20.25,15.31,24.43,21.42,21.71,22.38,26.83,17.66,31.45,29.39,18.09,24.24,27.82,17.34,28.70,19.57,29.81,30.62
1974,24.91,27.20,18.95,14.88,16.85,16.30,23.03,16.89,19.65,14.58,23.89,20.72,21.05,21.99,26.49,17.06,30.82,28.89,17.19,23.63,27.50,16.55,28.16,18.74,29.50,30.01
1975,24.96,27.21,18.94,14.89,16.69,16.29,23.03,16.95,19.76,14.61,23.95,20.66,21.16,21.98,26.47,17.10,30.87,29.10,17.04,23.80,27.47,16.60,28.20,18.60,29.47,30.21
1976,25.46,27.94,19.96,15.51,17.34,16.92,24.00,17.45,20.18,15.25,24.67,21.42,21.81,23.00,27.66,18.07,31.11,29.25,17.59,24.42,28.59,17.05,28.82,19.13,30.51,30.50
1977,25.61,28.03,19.91,15.69,17.64,17.11,23.95,17.43,20.31,15.41,24.74,21.57,21.96,22.95,27.51,18.09,31.38,29.33,17.79,24.58,28.49,17.05,28.94,19.30,30.49,30.69
1978,25.53,28.12,19.72,15.35,17.23,16.85,23.94,17.08,20.05,15.23,24.61,21.33,21.82,22.87,27.36,17.86,31.53,29.14,17.31,24.46,28.36,16.72,29.02,18.84,30.37,30.68
1979,25.84,28.45,20.04,15.68,17.59,17.13,24.29,17.52,20.35,15.50,24.97,21.62,22.10,23.22,27.65,18.17,31.82,29.40,17.70,24.80,28.58,17.07,29.35,19.28,30.59,30.99
1980,25.95,28.48,20.08,15.85,17.91,17.33,24.31,17.88,20.49,15.64,25.02,21.81,22.20,23.26,27.67,18.25,31.92,29.46,18.13,24.85,28.52,17.37,29.41,19.73,30.43,31.02
1981,25.57,28.15,19.69,15.34,17.30,16.77,23.81,17.32,19.95,15.05,24.64,21.23,21.67,22.76,27.13,17.75,31.76,29.01,17.55,24.41,28.27,16.78,29.02,19.16,30.32,30.61
1982,25.97,28.74,20.17,15.78,17.84,17.17,24.53,17.77,20.35,15.41,25.03,21.59,22.01,23.35,28.02,18.18,32.04,29.35,18.12,24.75,29.13,17.28,29.48,19.69,31.21,30.86
1983,26.67,29.35,20.97,16.61,18.78,18.00,25.21,18.81,21.15,16.28,25.84,22.49,22.86,24.06,28.74,19.08,32.54,30.06,19.15,25.58,29.73,18.22,30.10,20.73,31.70,31.58
1984,25.57,28.19,19.83,15.28,17.13,16.77,23.96,17.25,19.92,15.14,24.76,21.27,21.73,22.88,27.35,17.83,31.71,29.09,17.35,24.43,28.40,16.65,29.11,18.96,30.41,30.70
1985,25.38,27.84,19.39,15.13,17.05,16.53,23.54,17.24,19.89,14.81,24.38,20.97,21.47,22.48,26.90,17.52,31.51,29.18,17.38,24.14,27.98,16.73,28.74,19.04,29.99,30.51
1986,25.55,28.11,19.69,15.23,17.16,16.68,23.85,17.43,19.98,15.02,24.67,21.13,21.68,22.77,27.29,17.76,31.66,29.19,17.53,24.39,28.35,16.84,29.00,19.13,30.39,30.67
1987,26.32,28.76,20.68,16.29,18.18,17.74,24.75,18.41,21.01,16.11,25.50,22.25,22.66,23.74,28.31,18.84,32.02,30.16,18.50,25.30,29.29,17.84,29.67,20.14,31.22,31.42
1988,25.69,27.91,19.66,15.44,17.25,16.89,23.62,17.67,20.40,15.36,24.76,21.37,21.96,22.63,26.95,17.86,31.68,29.80,17.71,24.59,28.02,17.26,28.94,19.33,30.11,31.00
1989,25.38,27.74,19.50,15.20,17.07,16.69,23.53,17.28,19.92,15.09,24.51,21.19,21.67,22.52,26.92,17.72,31.41,29.07,17.40,24.31,27.97,16.73,28.74,18.99,29.99,30.54
1990,25.67,28.23,19.87,15.40,17.18,16.91,24.00,17.27,20.11,15.37,24.80,21.46,21.91,22.97,27.40,17.98,31.77,29.27,17.47,24.59,28.56,16.81,29.16,19.07,30.63,30.79
1991,25.81,28.33,20.03,15.52,17.36,17.00,24.15,17.71,20.23,15.43,24.95,21.51,22.01,23.10,27.61,18.10,31.87,29.38,17.85,24.68,28.67,17.14,29.26,19.52,30.71,30.91
1992,26.18,28.68,20.77,15.94,17.73,17.45,24.65,17.83,20.58,15.91,25.66,22.01,22.55,23.76,28.05,18.77,32.13,29.63,17.93,25.33,28.98,17.25,29.82,19.50,30.92,31.39
1993,25.95,28.48,20.40,15.83,17.64,17.29,24.40,17.85,20.43,15.69,25.30,21.81,22.27,23.41,27.87,18.46,31.81,29.52,17.94,25.02,28.81,17.24,29.47,19.54,30.79,31.08
1994,25.98,28.29,20.13,15.91,17.70,17.28,24.15,17.99,20.68,15.62,25.10,21.69,22.21,23.14,27.55,18.24,31.86,29.94,18.17,24.85,28.50,17.67,29.35,19.74,30.49,31.19
1995,25.99,28.48,20.12,15.64,17.36,17.14,24.22,17.52,20.42,15.60,25.14,21.61,22.24,23.21,27.55,18.20,32.14,29.66,17.65,24.89,28.60,17.15,29.49,19.14,30.68,31.28
1996,25.37,27.73,19.29,15.24,16.80,16.66,23.35,16.85,20.02,15.02,24.36,21.07,21.59,22.33,26.61,17.46,31.53,29.31,17.01,24.21,27.78,16.62,28.73,18.52,29.96,30.69
1997,26.41,29.15,20.96,16.12,17.84,17.66,25.06,17.82,20.74,16.12,25.80,22.22,22.73,24.06,28.53,18.90,32.39,29.81,17.97,25.47,29.55,17.36,30.10,19.48,31.58,31.57
1998,26.63,29.20,20.99,16.40,18.08,17.97,25.05,18.15,21.03,16.46,25.98,22.51,23.05,24.03,28.50,19.13,32.63,30.12,18.27,25.73,29.50,17.66,30.17,19.74,31.52,31.87
1999,25.49,27.91,19.73,15.31,16.93,16.86,23.71,16.96,19.94,15.30,24.78,21.34,21.92,22.72,27.07,17.91,31.56,29.05,17.07,24.55,28.07,16.51,28.92,18.59,30.09,30.84
2000,25.65,28.05,19.99,15.31,16.93,16.88,23.92,17.09,20.05,15.43,24.99,21.42,22.06,23.00,27.32,18.08,31.74,29.28,17.08,24.75,28.20,16.63,29.23,18.65,30.14,31.03
2001,25.48,27.83,19.61,15.19,16.76,16.78,23.64,17.24,19.99,15.31,24.64,21.35,21.86,22.64,27.03,17.85,31.57,29.28,17.09,24.49,28.04,16.66,28.86,18.84,30.09,30.77
2002,25.93,28.52,20.28,15.54,17.17,17.09,24.39,17.38,20.29,15.62,25.21,21.64,22.23,23.38,27.83,18.34,32.06,29.52,17.36,24.92,28.85,16.90,29.53,18.91,30.86,31.12
2003,25.90,28.38,20.18,15.54,17.40,17.07,24.27,17.54,20.27,15.57,25.11,21.62,22.17,23.27,27.67,18.28,32.01,29.38,17.78,24.83,28.66,17.11,29.43,19.32,30.65,31.02
2004,25.97,28.44,20.27,15.61,17.25,17.14,24.32,17.51,20.39,15.69,25.24,21.69,22.34,23.33,27.70,18.39,32.03,29.65,17.52,25.00,28.72,17.03,29.51,19.12,30.73,31.23
2005,25.78,28.25,20.06,15.30,16.82,16.87,24.09,17.07,20.15,15.51,25.10,21.45,22.21,23.09,27.44,18.22,31.94,29.48,17.00,24.92,28.46,16.61,29.32,18.56,30.50,31.18
2006,25.90,28.38,20.28,15.58,17.20,17.16,24.28,17.45,20.33,15.67,25.24,21.75,22.26,23.32,27.69,18.37,31.92,29.53,17.43,25.00,28.69,16.96,29.47,19.03,30.70,31.15
2007,25.38,27.68,19.48,14.96,16.60,16.53,23.52,16.95,19.87,15.13,24.56,21.07,21.75,22.51,26.86,17.69,31.50,29.22,16.99,24.37,27.87,16.56,28.77,18.55,29.92,30.74
2008,25.69,28.23,20.15,15.24,16.95,16.81,24.15,17.25,19.98,15.38,25.11,21.37,22.06,23.19,27.54,18.19,31.75,29.12,17.27,24.84,28.53,16.70,29.33,18.84,30.50,31.00
2009,26.02,28.55,20.33,15.71,17.37,17.29,24.40,17.47,20.39,15.77,25.29,21.83,22.36,23.40,27.84,18.42,32.11,29.53,17.60,25.05,28.86,17.01,29.54,19.14,30.88,31.28
2010,25.98,28.33,20.06,15.57,17.23,17.15,24.12,17.58,20.47,15.75,25.12,21.65,22.38,23.10,27.50,18.27,32.11,29.76,17.69,24.98,28.53,17.17,29.33,19.27,30.55,31.37
2011,25.68,28.04,19.94,15.47,16.99,17.00,23.90,17.08,20.23,15.49,24.94,21.51,22.08,22.92,27.32,18.07,31.73,29.47,17.06,24.77,28.31,16.73,29.08,18.58,30.33,31.07
2012,25.91,28.34,20.39,15.72,17.20,17.26,24.27,17.35,20.42,15.79,25.31,21.82,22.36,23.38,27.71,18.48,31.87,29.55,17.26,25.10,28.69,16.88,29.44,18.85,30.66,31.24
2013,25.51,27.88,19.58,15.20,16.72,16.75,23.67,16.89,20.04,15.27,24.61,21.24,21.87,22.64,27.05,17.77,31.69,29.29,16.92,24.48,28.09,16.56,28.87,18.47,30.13,30.87
2014,25.90,28.44,20.21,15.57,17.10,17.12,24.30,17.34,20.33,15.66,25.14,21.67,22.25,23.28,27.79,18.32,31.99,29.58,17.31,24.92,28.80,16.89,29.40,18.88,30.85,31.14
2015,26.48,29.07,20.95,16.14,17.64,17.73,24.99,17.90,20.89,16.27,25.82,22.32,22.86,24.02,28.50,18.98,32.51,30.11,17.81,25.58,29.48,17.42,30.08,19.40,31.49,31.73
2016,26.48,28.96,20.80,16.14,17.92,17.68,24.85,18.32,20.93,16.17,25.73,22.21,22.76,23.86,28.27,18.82,32.47,30.09,18.46,25.45,29.26,17.84,30.01,20.09,31.25,31.68
2017,26.18,28.82,20.69,15.68,17.30,17.25,24.73,17.65,20.52,15.78,25.58,21.77,22.47,23.74,28.17,18.53,32.25,29.79,17.61,25.21,29.13,17.14,29.94,19.21,31.10,31.50
2018,25.77,28.32,19.93,15.38,16.95,16.95,24.15,17.33,20.15,15.47,24.96,21.52,22.04,23.06,27.60,18.04,31.94,29.39,17.25,24.70,28.63,16.79,29.30,18.92,30.65,30.99
2019,26.10,28.90,20.17,15.57,17.21,17.11,24.72,17.53,20.42,15.61,25.17,21.61,22.24,23.50,28.17,18.15,32.33,29.72,17.55,24.92,29.24,17.13,29.72,19.17,31.23,31.29
2020,26.17,28.65,20.17,15.82,17.63,17.31,24.49,17.93,20.66,15.74,25.21,21.73,22.38,23.38,27.93,18.22,32.25,29.92,18.12,25.02,28.94,17.55,29.66,19.69,30.93,31.41
