Variable:,tasmax
,Bhutan,Bumthang,Chhukha,Gasa,Lhuentse,Monggar,Paro,Punakha,Thimphu,Trashiyangtse,Trashigang,Trongsa,Tsirang,Wangduephodrang,Dagana,Haa,Pemagatshel,Samdrupjongkhar,Samtse,Sarpang,Zhemgang
1915,17.20,13.52,20.44,8.44,16.65,22.39,9.28,11.30,9.77,17.44,19.94,17.61,22.05,15.47,18.95,13.05,25.39,24.67,20.90,23.67,22.40
1916,16.95,13.29,20.14,8.17,16.44,22.19,8.98,11.02,9.47,17.23,19.72,17.37,21.80,15.21,18.65,12.73,25.19,24.47,20.59,23.43,22.18
1917,16.62,12.96,19.82,7.83,16.12,21.87,8.61,10.68,9.12,16.92,19.42,17.04,21.47,14.86,18.34,12.40,24.88,24.15,20.25,23.11,21.87
1918,16.65,12.96,19.88,7.89,16.12,21.86,8.71,10.75,9.20,16.91,19.44,17.04,21.49,14.90,18.39,12.47,24.86,24.15,20.32,23.12,21.85
1919,17.12,13.46,20.34,8.34,16.62,22.36,9.12,11.20,9.64,17.42,19.92,17.54,21.95,15.38,18.85,12.92,25.36,24.66,20.76,23.59,22.35
1920,17.12,13.44,20.38,8.35,16.58,22.33,9.16,11.23,9.67,17.36,19.88,17.54,21.99,15.39,18.89,12.94,25.36,24.62,20.82,23.62,22.35
1921,17.06,13.37,20.32,8.31,16.52,22.27,9.16,11.18,9.64,17.30,19.78,17.46,21.91,15.31,18.82,12.91,25.27,24.52,20.79,23.54,22.26
1922,17.27,13.60,20.50,8.47,16.75,22.51,9.31,11.34,9.80,17.56,20.06,17.68,22.13,15.52,19.01,13.07,25.51,24.79,20.94,23.77,22.51
1923,17.27,13.56,20.56,8.51,16.72,22.46,9.38,11.40,9.87,17.49,19.98,17.66,22.12,15.53,19.06,13.15,25.48,24.71,21.01,23.75,22.47
1924,17.37,13.68,20.64,8.61,16.82,22.57,9.45,11.48,9.95,17.59,20.08,17.79,22.24,15.64,19.15,13.22,25.59,24.82,21.11,23.86,22.59
1925,16.47,12.80,19.71,7.68,15.95,21.72,8.53,10.55,9.01,16.73,19.23,16.88,21.32,14.72,18.21,12.30,24.72,23.97,20.17,22.96,21.70
1926,16.99,13.30,20.23,8.20,16.46,22.22,9.04,11.08,9.53,17.26,19.75,17.40,21.85,15.25,18.73,12.82,25.24,24.49,20.68,23.47,22.21
1927,16.90,13.21,20.17,8.13,16.33,22.10,8.98,11.01,9.46,17.12,19.63,17.32,21.78,15.17,18.67,12.76,25.12,24.36,20.63,23.40,22.12
1928,17.25,13.55,20.53,8.47,16.71,22.47,9.32,11.34,9.80,17.49,19.98,17.67,22.14,15.51,19.02,13.11,25.49,24.74,20.99,23.76,22.48
1929,16.99,13.31,20.24,8.21,16.45,22.22,9.06,11.08,9.55,17.24,19.73,17.40,21.85,15.25,18.75,12.82,25.23,24.48,20.69,23.49,22.23
1930,16.95,13.28,20.22,8.17,16.42,22.17,9.01,11.05,9.50,17.20,19.69,17.36,21.81,15.20,18.72,12.79,25.20,24.44,20.67,23.44,22.18
1931,17.25,13.57,20.49,8.48,16.73,22.47,9.31,11.34,9.80,17.51,20.00,17.66,22.11,15.51,19.00,13.07,25.50,24.75,20.94,23.75,22.48
1932,17.27,13.58,20.52,8.49,16.72,22.49,9.35,11.37,9.83,17.52,20.00,17.68,22.14,15.53,19.02,13.11,25.50,24.75,20.98,23.76,22.49
1933,17.12,13.45,20.36,8.30,16.60,22.38,9.11,11.20,9.63,17.41,19.93,17.53,21.98,15.35,18.87,12.90,25.41,24.68,20.77,23.62,22.38
1934,17.13,13.44,20.37,8.35,16.59,22.37,9.16,11.23,9.67,17.39,19.92,17.54,21.99,15.38,18.87,12.94,25.39,24.67,20.81,23.62,22.36
1935,17.64,13.99,20.86,8.87,17.12,22.88,9.67,11.74,10.18,17.90,20.40,18.06,22.52,15.90,19.38,13.43,25.89,25.12,21.29,24.14,22.87
1936,17.07,13.38,20.34,8.26,16.53,22.31,9.11,11.15,9.60,17.31,19.82,17.49,21.96,15.32,18.84,12.92,25.33,24.59,20.77,23.60,22.33
1937,17.14,13.45,20.38,8.28,16.61,22.41,9.12,11.16,9.62,17.41,19.95,17.56,22.03,15.38,18.89,12.92,25.44,24.71,20.79,23.67,22.40
1938,17.32,13.67,20.50,8.58,16.84,22.56,9.37,11.41,9.86,17.62,20.07,17.73,22.15,15.58,19.02,13.12,25.55,24.79,20.95,23.78,22.53
1939,17.29,13.61,20.53,8.53,16.76,22.49,9.34,11.39,9.84,17.54,20.03,17.69,22.14,15.56,19.04,13.13,25.47,24.76,20.97,23.76,22.48
1940,17.21,13.55,20.44,8.48,16.68,22.42,9.27,11.35,9.77,17.45,19.92,17.63,22.06,15.48,18.95,13.04,25.40,24.65,20.89,23.68,22.41
1941,17.36,13.65,20.68,8.59,16.77,22.52,9.48,11.49,9.96,17.54,20.03,17.76,22.22,15.62,19.17,13.25,25.55,24.80,21.14,23.85,22.57
1942,17.75,14.09,20.97,9.04,17.22,22.93,9.83,11.88,10.32,18.00,20.47,18.17,22.58,16.02,19.48,13.58,25.92,25.18,21.43,24.20,22.95
1943,17.44,13.78,20.68,8.72,16.91,22.63,9.52,11.57,10.01,17.70,20.16,17.86,22.29,15.72,19.18,13.28,25.61,24.87,21.14,23.90,22.62
1944,17.74,14.07,20.99,8.99,17.22,22.97,9.80,11.85,10.30,18.00,20.48,18.15,22.61,16.01,19.49,13.57,25.95,25.21,21.44,24.23,22.94
1945,17.12,13.41,20.38,8.31,16.57,22.34,9.14,11.20,9.65,17.36,19.89,17.54,22.00,15.38,18.89,12.92,25.38,24.63,20.81,23.64,22.38
1946,17.73,14.06,20.94,8.97,17.22,22.97,9.77,11.83,10.27,18.01,20.49,18.14,22.56,15.98,19.45,13.54,25.96,25.21,21.38,24.19,22.95
1947,17.82,14.14,21.07,9.08,17.27,23.01,9.92,11.95,10.41,18.04,20.51,18.25,22.70,16.10,19.58,13.68,26.00,25.23,21.52,24.30,23.02
1948,16.87,13.13,20.21,8.07,16.27,22.07,8.98,10.98,9.45,17.05,19.57,17.25,21.74,15.11,18.69,12.80,25.11,24.34,20.68,23.38,22.10
1949,16.72,13.03,20.03,7.93,16.14,21.93,8.80,10.81,9.28,16.93,19.42,17.13,21.61,14.98,18.52,12.59,24.96,24.18,20.50,23.24,21.96
1950,17.13,13.44,20.44,8.36,16.56,22.32,9.22,11.25,9.71,17.32,19.82,17.54,22.02,15.40,18.94,13.02,25.35,24.57,20.88,23.65,22.35
1951,17.44,13.72,20.74,8.68,16.87,22.62,9.54,11.57,10.04,17.63,20.09,17.86,22.35,15.72,19.25,13.32,25.61,24.82,21.20,23.96,22.65
1952,17.58,13.94,20.75,8.88,17.06,22.80,9.60,11.72,10.12,17.84,20.32,18.01,22.40,15.86,19.27,13.35,25.80,25.05,21.18,24.02,22.79
1953,17.68,14.04,20.91,8.97,17.15,22.86,9.73,11.82,10.26,17.91,20.39,18.08,22.50,15.97,19.43,13.49,25.88,25.12,21.34,24.13,22.87
1954,17.52,13.83,20.74,8.85,17.02,22.76,9.60,11.70,10.10,17.80,20.26,17.89,22.30,15.79,19.24,13.36,25.70,24.97,21.20,23.93,22.68
1955,17.31,13.61,20.63,8.57,16.72,22.42,9.42,11.45,9.92,17.49,19.93,17.72,22.19,15.59,19.14,13.20,25.50,24.75,21.06,23.82,22.53
1956,17.50,13.82,20.69,8.77,16.98,22.74,9.71,11.63,10.13,17.76,20.23,17.89,22.30,15.74,19.19,13.47,25.65,24.94,21.19,23.90,22.65
1957,17.45,13.75,20.75,8.66,16.87,22.64,9.59,11.54,10.05,17.65,20.18,17.85,22.34,15.70,19.23,13.34,25.68,24.91,21.29,23.96,22.66
1958,17.99,14.24,21.32,9.26,17.40,23.13,10.11,12.11,10.59,18.16,20.63,18.40,22.90,16.29,19.80,13.89,26.17,25.39,21.86,24.50,23.18
1959,17.24,13.58,20.43,8.43,16.75,22.50,9.19,11.30,9.74,17.56,20.07,17.70,22.14,15.52,18.99,12.93,25.50,24.76,20.85,23.76,22.51
1960,17.75,14.08,20.99,8.73,17.23,23.07,9.70,11.61,10.19,18.05,20.62,18.21,22.69,15.98,19.54,13.47,26.09,25.38,21.38,24.34,23.09
1961,17.29,13.65,20.50,8.38,16.86,22.61,9.25,11.27,9.75,17.65,20.14,17.74,22.21,15.51,19.04,13.03,25.59,24.84,20.88,23.86,22.60
1962,17.10,13.33,20.46,8.00,16.53,22.42,9.00,10.92,9.52,17.37,19.90,17.54,22.11,15.33,19.03,12.83,25.54,24.75,20.75,23.77,22.48
1963,16.61,12.80,20.04,7.48,15.96,21.92,8.58,10.42,9.05,16.78,19.40,17.03,21.66,14.83,18.57,12.41,25.10,24.31,20.43,23.34,22.01
1964,17.41,13.78,20.57,8.65,16.98,22.68,9.41,11.48,9.93,17.71,20.05,17.90,22.31,15.71,19.11,13.15,25.62,24.81,21.02,23.93,22.69
1965,16.67,12.84,20.11,7.65,16.04,21.91,8.76,10.55,9.17,16.82,19.37,17.10,21.72,14.90,18.58,12.58,25.03,24.24,20.62,23.33,21.99
1966,17.43,13.71,20.73,8.50,16.90,22.71,9.43,11.41,9.96,17.68,20.17,17.88,22.39,15.70,19.28,13.18,25.69,24.93,21.14,24.01,22.72
1967,16.77,13.06,20.13,7.86,16.17,22.01,8.82,10.79,9.31,16.92,19.46,17.20,21.71,15.03,18.66,12.61,25.03,24.26,20.54,23.35,22.05
1968,16.51,12.84,19.79,7.55,15.99,21.78,8.43,10.43,8.95,16.77,19.34,16.95,21.43,14.78,18.34,12.23,24.82,24.08,20.17,23.08,21.81
1969,17.48,13.80,20.78,8.64,16.91,22.70,9.53,11.56,10.05,17.67,20.19,17.93,22.39,15.79,19.32,13.28,25.69,24.92,21.22,23.99,22.70
1970,17.25,13.51,20.56,8.55,16.62,22.40,9.46,11.53,9.94,17.35,19.81,17.66,22.13,15.52,19.04,13.22,25.39,24.57,21.11,23.73,22.44
1971,16.78,13.05,20.10,8.09,16.14,21.97,8.97,11.01,9.43,16.93,19.47,17.18,21.57,15.03,18.56,12.74,24.91,24.18,20.52,23.20,21.97
1972,17.73,14.05,21.01,9.12,17.12,22.83,9.99,12.05,10.46,17.83,20.23,18.15,22.60,16.06,19.50,13.76,25.83,25.02,21.48,24.16,22.85
1973,17.40,13.79,20.60,8.70,16.92,22.60,9.42,11.55,9.97,17.67,20.13,17.84,22.23,15.73,19.16,13.15,25.57,24.83,20.90,23.85,22.60
1974,17.47,13.85,20.69,8.90,16.98,22.66,9.62,11.72,10.13,17.71,20.09,17.87,22.19,15.81,19.21,13.37,25.55,24.76,21.11,23.81,22.58
1975,17.59,13.87,20.92,8.86,17.06,22.76,9.73,11.75,10.19,17.82,20.23,17.99,22.47,15.86,19.39,13.57,25.75,24.97,21.36,24.07,22.76
1976,17.62,13.99,20.82,8.97,17.09,22.75,9.69,11.86,10.24,17.82,20.24,18.05,22.49,15.94,19.35,13.43,25.76,24.98,21.27,24.09,22.79
1977,16.88,13.11,20.28,8.21,16.24,21.96,9.10,11.13,9.59,16.99,19.44,17.25,21.78,15.18,18.77,12.87,24.98,24.19,20.73,23.35,21.99
1978,16.74,12.97,20.12,7.89,16.13,21.96,8.80,10.80,9.29,16.92,19.48,17.12,21.65,14.97,18.61,12.61,25.01,24.27,20.53,23.31,22.00
1979,17.50,13.74,20.88,8.65,16.88,22.65,9.57,11.51,10.05,17.67,20.22,17.87,22.47,15.75,19.39,13.39,25.78,25.03,21.34,24.10,22.73
1980,17.30,13.58,20.62,8.51,16.72,22.47,9.35,11.39,9.84,17.47,19.99,17.68,22.19,15.56,19.11,13.17,25.56,24.80,21.08,23.84,22.52
1981,17.28,13.65,20.51,8.56,16.77,22.48,9.34,11.46,9.85,17.52,20.04,17.70,22.09,15.56,19.00,13.09,25.44,24.72,20.94,23.72,22.48
1982,17.32,13.65,20.59,8.60,16.75,22.50,9.43,11.47,9.91,17.51,20.03,17.71,22.17,15.59,19.07,13.19,25.54,24.79,21.09,23.80,22.51
1983,17.12,13.46,20.35,8.41,16.52,22.32,9.26,11.28,9.70,17.27,19.82,17.51,21.95,15.37,18.81,13.02,25.36,24.57,20.90,23.60,22.33
1984,17.64,13.99,20.76,9.11,17.09,22.87,9.78,11.93,10.26,17.90,20.42,18.02,22.38,15.86,19.23,13.50,25.79,25.03,21.27,24.03,22.82
1985,17.36,13.63,20.62,8.74,16.75,22.55,9.57,11.61,10.00,17.53,20.03,17.73,22.20,15.58,19.07,13.36,25.56,24.78,21.18,23.83,22.54
1986,17.05,13.34,20.31,8.31,16.45,22.28,9.25,11.19,9.65,17.26,19.78,17.42,21.87,15.27,18.76,13.04,25.26,24.50,20.84,23.49,22.23
1987,17.28,13.61,20.56,8.48,16.76,22.52,9.34,11.34,9.83,17.58,19.97,17.71,22.17,15.54,19.07,13.12,25.49,24.72,20.99,23.78,22.50
1988,17.67,14.03,20.87,8.98,17.16,22.91,9.78,11.84,10.26,17.95,20.41,18.09,22.47,15.93,19.37,13.53,25.84,25.07,21.36,24.09,22.86
1989,17.20,13.50,20.46,8.57,16.60,22.37,9.41,11.44,9.85,17.36,19.87,17.57,21.98,15.44,18.93,13.18,25.38,24.61,20.96,23.60,22.36
1990,17.18,13.49,20.45,8.55,16.60,22.32,9.32,11.40,9.81,17.37,19.86,17.54,21.99,15.43,18.95,13.05,25.35,24.60,20.89,23.64,22.35
1991,16.93,13.23,20.14,8.41,16.33,22.07,9.29,11.31,9.66,17.10,19.57,17.28,21.63,15.13,18.53,13.04,25.02,24.25,20.81,23.27,22.07
1992,16.76,13.03,20.08,8.12,16.11,21.89,9.09,11.07,9.48,16.88,19.43,17.10,21.50,14.98,18.48,12.88,24.88,24.13,20.70,23.14,21.91
1993,17.20,13.50,20.42,8.71,16.60,22.37,9.49,11.62,9.94,17.36,19.83,17.54,21.86,15.41,18.84,13.24,25.27,24.50,21.04,23.51,22.32
1994,17.46,13.80,20.65,8.75,16.89,22.70,9.63,11.69,10.09,17.67,20.20,17.86,22.17,15.70,19.11,13.37,25.61,24.87,21.21,23.82,22.66
1995,17.64,13.98,20.86,8.93,17.08,22.80,9.85,11.80,10.26,17.84,20.31,18.05,22.44,15.94,19.33,13.62,25.82,25.04,21.42,24.06,22.82
1996,17.49,13.77,20.78,8.82,16.91,22.63,9.60,11.67,10.11,17.70,20.22,17.85,22.30,15.75,19.27,13.33,25.68,24.93,21.32,23.94,22.66
1997,16.41,12.68,19.77,7.52,15.82,21.58,8.48,10.51,8.98,16.58,19.13,16.83,21.29,14.71,18.27,12.31,24.62,23.89,20.24,22.92,21.64
1998,17.76,14.04,21.14,9.08,17.11,22.85,9.92,12.02,10.46,17.87,20.39,18.14,22.55,16.08,19.64,13.69,25.88,25.12,21.64,24.18,22.91
1999,17.99,14.35,21.25,9.28,17.44,23.14,10.08,12.15,10.61,18.18,20.63,18.44,22.86,16.32,19.79,13.83,26.11,25.40,21.71,24.45,23.17
2000,17.00,13.27,20.28,8.29,16.42,22.13,9.06,11.13,9.59,17.19,19.69,17.41,21.82,15.34,18.81,12.84,25.16,24.47,20.79,23.43,22.17
2001,17.91,14.20,21.23,9.11,17.36,23.15,9.94,12.00,10.46,18.12,20.58,18.33,22.80,16.16,19.73,13.73,26.17,25.34,21.67,24.44,23.17
2002,17.39,13.62,20.76,8.60,16.82,22.62,9.50,11.49,9.97,17.58,20.07,17.77,22.25,15.62,19.23,13.32,25.63,24.84,21.24,23.90,22.64
2003,17.43,13.70,20.80,8.69,16.87,22.63,9.52,11.53,10.01,17.63,20.11,17.81,22.27,15.68,19.28,13.31,25.64,24.85,21.25,23.90,22.62
2004,17.49,13.78,20.90,8.71,16.89,22.67,9.55,11.58,10.05,17.63,20.10,17.89,22.36,15.75,19.37,13.38,25.71,24.88,21.36,24.00,22.72
2005,17.68,13.97,21.05,8.90,17.12,22.86,9.71,11.76,10.23,17.90,20.41,18.08,22.54,15.94,19.54,13.52,25.88,25.13,21.48,24.17,22.89
2006,18.38,14.67,21.73,9.62,17.82,23.60,10.42,12.47,10.93,18.58,21.04,18.80,23.27,16.66,20.22,14.22,26.61,25.80,22.15,24.90,23.61
2007,18.33,14.67,21.66,9.60,17.78,23.53,10.33,12.44,10.89,18.51,20.97,18.76,23.25,16.63,20.19,14.12,26.54,25.72,22.07,24.86,23.55
2008,17.48,13.75,20.87,8.67,16.94,22.71,9.56,11.55,10.03,17.67,20.11,17.88,22.36,15.73,19.34,13.39,25.73,24.91,21.33,24.00,22.73
2009,18.91,15.21,22.21,10.10,18.39,24.17,10.84,12.96,11.41,19.17,21.65,19.34,23.82,17.18,20.74,14.65,27.17,26.39,22.60,25.46,24.18
2010,18.52,14.85,21.88,9.77,17.95,23.68,10.58,12.62,11.09,18.70,21.16,18.95,23.42,16.82,20.38,14.38,26.69,25.92,22.31,25.03,23.72
2011,17.81,14.12,21.06,8.96,17.32,23.10,9.69,11.82,10.25,18.10,20.57,18.25,22.71,16.05,19.59,13.50,26.11,25.34,21.46,24.38,23.13
2012,17.64,13.94,20.88,8.97,17.11,22.83,9.63,11.76,10.21,17.90,20.35,18.05,22.43,15.96,19.43,13.40,25.83,25.07,21.34,24.06,22.83
2013,17.54,13.80,20.82,8.85,16.99,22.70,9.53,11.64,10.10,17.79,20.28,17.93,22.34,15.86,19.37,13.34,25.71,25.03,21.25,23.97,22.73
2014,17.82,14.19,21.06,9.06,17.34,23.12,9.88,11.91,10.38,18.13,20.63,18.22,22.55,16.06,19.56,13.67,26.01,25.26,21.50,24.20,23.04
2015,17.54,13.92,20.79,8.82,17.05,22.78,9.59,11.63,10.09,17.82,20.28,17.99,22.34,15.82,19.29,13.37,25.69,24.95,21.24,23.95,22.74
2016,17.86,14.25,21.15,9.22,17.36,23.02,10.00,12.06,10.49,18.12,20.56,18.25,22.60,16.14,19.64,13.77,25.90,25.16,21.61,24.21,22.97
2017,17.73,14.11,20.95,9.05,17.25,22.97,9.82,11.87,10.31,18.02,20.50,18.13,22.49,15.99,19.45,13.58,25.84,25.11,21.41,24.11,22.89
2018,17.36,13.75,20.54,8.59,16.88,22.67,9.37,11.40,9.86,17.67,20.18,17.81,22.14,15.63,19.05,13.14,25.56,24.83,20.99,23.79,22.61
2019,17.47,13.80,20.72,8.75,16.92,22.69,9.56,11.63,10.06,17.70,20.22,17.88,22.25,15.74,19.22,13.34,25.63,24.91,21.19,23.88,22.66
2020,17.37,13.77,20.55,8.63,16.90,22.66,9.39,11.44,9.88,17.68,20.18,17.79,22.16,15.62,19.06,13.15,25.53,24.81,20.99,23.79,22.57
