Variable:,tasmin
,Macedonia,Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
1911,4.65,4.21,4.57,3.53,3.63,4.15,4.67,5.64,2.66,4.90,3.42,5.15,3.90,3.80,4.73,4.89,5.37,4.28,4.74,5.32,5.44,4.12,4.52,6.35,4.28,6.10,6.02,3.49,5.89,5.56,4.51
1912,4.09,3.63,4.08,2.96,3.07,3.56,4.20,5.12,2.03,4.35,2.86,4.56,3.22,3.13,4.26,4.19,4.81,3.80,4.21,4.72,4.87,3.65,3.91,5.79,3.80,5.60,5.45,2.85,5.38,5.00,3.93
1913,4.18,3.71,4.22,3.07,3.25,3.64,4.38,5.16,2.17,4.39,3.02,4.60,3.24,3.14,4.43,4.22,4.85,4.02,4.30,4.74,4.93,3.85,4.00,5.83,4.02,5.65,5.48,2.99,5.42,5.03,4.01
1914,3.93,3.59,3.92,2.76,2.88,3.52,4.03,4.99,1.87,4.18,2.67,4.42,3.05,2.96,4.09,4.02,4.64,3.59,4.05,4.55,4.75,3.47,3.72,5.62,3.58,5.53,5.28,2.67,5.26,4.82,3.87
1915,4.70,4.45,4.68,3.50,3.61,4.38,4.78,5.78,2.61,4.97,3.41,5.22,3.89,3.79,4.85,4.86,5.41,4.31,4.84,5.33,5.55,4.21,4.46,6.37,4.30,6.36,6.03,3.39,6.05,5.57,4.72
1916,5.30,4.99,5.26,4.12,4.23,4.93,5.35,6.35,3.25,5.54,4.03,5.83,4.53,4.43,5.42,5.50,6.00,4.89,5.40,5.95,6.13,4.78,5.09,6.98,4.89,6.90,6.63,4.04,6.62,6.16,5.27
1917,4.55,4.25,4.52,3.38,3.48,4.18,4.62,5.59,2.46,4.81,3.27,5.05,3.74,3.64,4.68,4.72,5.25,4.18,4.67,5.17,5.37,4.06,4.34,6.21,4.18,6.14,5.88,3.26,5.86,5.42,4.53
1918,4.51,4.22,4.44,3.33,3.41,4.16,4.53,5.57,2.43,4.76,3.22,5.06,3.74,3.65,4.60,4.69,5.25,4.09,4.59,5.19,5.37,3.97,4.31,6.23,4.08,6.11,5.85,3.27,5.84,5.37,4.50
1919,4.44,4.12,4.42,3.27,3.34,4.05,4.50,5.54,2.32,4.73,3.14,4.96,3.63,3.54,4.57,4.57,5.20,4.06,4.55,5.09,5.28,3.96,4.22,6.14,4.05,6.05,5.76,3.15,5.80,5.30,4.40
1920,4.48,3.98,4.50,3.36,3.57,3.92,4.62,5.43,2.62,4.70,3.34,4.88,3.60,3.50,4.68,4.61,5.11,4.19,4.62,5.03,5.18,4.07,4.33,6.07,4.18,5.92,5.76,3.38,5.69,5.33,4.27
1921,4.49,4.02,4.43,3.41,3.52,3.96,4.56,5.47,2.57,4.72,3.32,4.96,3.66,3.56,4.62,4.67,5.20,4.15,4.57,5.12,5.26,3.99,4.39,6.18,4.15,5.92,5.84,3.40,5.72,5.39,4.32
1922,4.31,3.90,4.39,3.13,3.27,3.83,4.51,5.37,2.20,4.58,3.06,4.77,3.41,3.32,4.58,4.38,5.03,4.04,4.47,4.91,5.10,3.96,4.08,5.99,4.02,5.87,5.65,3.01,5.64,5.19,4.19
1923,5.37,5.09,5.24,4.22,4.26,5.04,5.32,6.44,3.32,5.62,4.08,5.92,4.60,4.50,5.38,5.59,6.09,4.89,5.44,6.04,6.23,4.75,5.21,7.08,4.89,7.00,6.74,4.16,6.71,6.28,5.37
1924,4.26,3.81,4.27,3.15,3.31,3.74,4.41,5.28,2.25,4.49,3.08,4.68,3.31,3.21,4.46,4.30,4.95,4.06,4.37,4.82,5.02,3.88,4.07,5.91,4.06,5.77,5.57,3.05,5.54,5.12,4.10
1925,4.78,4.44,4.72,3.61,3.71,4.37,4.82,5.82,2.72,5.03,3.51,5.29,3.98,3.88,4.88,4.96,5.49,4.39,4.87,5.42,5.60,4.26,4.59,6.47,4.39,6.35,6.14,3.54,6.09,5.68,4.72
1926,5.31,4.92,5.19,4.21,4.28,4.86,5.29,6.32,3.31,5.55,4.08,5.80,4.49,4.38,5.34,5.58,6.02,4.92,5.38,5.94,6.11,4.74,5.19,7.00,4.93,6.82,6.66,4.16,6.58,6.21,5.21
1927,5.47,5.08,5.43,4.33,4.44,5.02,5.53,6.50,3.44,5.72,4.23,5.96,4.63,4.53,5.59,5.69,6.19,5.13,5.56,6.09,6.27,5.00,5.31,7.15,5.13,7.00,6.82,4.27,6.76,6.36,5.37
1928,4.82,4.32,4.79,3.75,3.86,4.26,4.92,5.79,2.87,5.04,3.65,5.24,3.96,3.85,4.97,5.07,5.49,4.55,4.92,5.40,5.55,4.37,4.69,6.45,4.55,6.24,6.12,3.68,6.04,5.69,4.62
1929,4.06,3.64,4.03,2.93,3.09,3.57,4.16,5.02,2.11,4.27,2.87,4.50,3.25,3.15,4.22,4.31,4.72,3.76,4.15,4.65,4.81,3.62,3.90,5.67,3.75,5.51,5.36,2.90,5.27,4.92,3.92
1930,5.15,4.75,5.08,4.03,4.16,4.69,5.21,6.12,3.25,5.35,3.96,5.64,4.42,4.32,5.28,5.44,5.81,4.76,5.22,5.79,5.92,4.61,5.03,6.79,4.76,6.64,6.47,4.04,6.38,6.03,5.04
1931,4.38,3.95,4.36,3.25,3.36,3.88,4.50,5.39,2.34,4.63,3.15,4.85,3.55,3.45,4.56,4.54,5.10,4.07,4.48,5.01,5.17,3.93,4.20,6.07,4.07,5.85,5.73,3.15,5.64,5.27,4.25
1932,4.05,3.61,4.04,2.95,3.09,3.55,4.17,4.99,2.08,4.27,2.87,4.50,3.19,3.09,4.23,4.24,4.71,3.79,4.16,4.64,4.80,3.65,3.89,5.69,3.78,5.48,5.37,2.88,5.25,4.93,3.90
1933,3.28,2.78,3.25,2.24,2.35,2.72,3.40,4.21,1.37,3.48,2.14,3.71,2.44,2.33,3.46,3.51,3.92,3.01,3.38,3.87,4.00,2.84,3.17,4.91,3.01,4.69,4.62,2.17,4.46,4.19,3.08
1934,4.96,4.46,4.90,3.90,4.05,4.40,5.05,5.85,3.08,5.14,3.82,5.41,4.17,4.06,5.11,5.23,5.61,4.67,5.04,5.59,5.70,4.50,4.86,6.62,4.66,6.31,6.31,3.92,6.10,5.87,4.76
1935,4.42,3.94,4.40,3.33,3.46,3.87,4.53,5.38,2.47,4.65,3.25,4.85,3.54,3.43,4.59,4.63,5.10,4.14,4.52,5.01,5.17,3.98,4.28,6.08,4.13,5.83,5.77,3.27,5.63,5.33,4.24
1936,4.99,4.60,4.93,3.89,3.98,4.55,5.06,5.95,3.01,5.20,3.77,5.49,4.18,4.07,5.13,5.26,5.67,4.62,5.07,5.63,5.79,4.49,4.87,6.68,4.61,6.46,6.36,3.85,6.20,5.91,4.89
1937,5.10,4.76,5.05,3.96,4.08,4.70,5.17,6.12,3.08,5.33,3.87,5.61,4.29,4.19,5.23,5.30,5.81,4.77,5.18,5.74,5.92,4.63,4.93,6.79,4.76,6.64,6.44,3.90,6.38,5.98,5.04
1938,4.61,4.23,4.54,3.52,3.59,4.17,4.67,5.59,2.62,4.82,3.39,5.11,3.78,3.68,4.73,4.84,5.30,4.23,4.69,5.24,5.41,4.10,4.47,6.30,4.23,6.11,5.95,3.47,5.85,5.49,4.52
1939,4.78,4.40,4.73,3.64,3.75,4.33,4.86,5.78,2.77,5.01,3.55,5.27,3.96,3.86,4.92,5.02,5.49,4.42,4.87,5.42,5.59,4.29,4.63,6.47,4.41,6.28,6.14,3.59,6.04,5.69,4.69
1940,3.69,3.42,3.66,2.49,2.56,3.35,3.76,4.80,1.54,3.97,2.37,4.23,2.87,2.78,3.83,3.81,4.46,3.30,3.80,4.35,4.57,3.19,3.46,5.42,3.29,5.33,5.06,2.34,5.07,4.58,3.70
1941,4.04,3.63,4.03,2.88,2.99,3.57,4.16,5.06,1.98,4.29,2.79,4.56,3.24,3.15,4.23,4.16,4.79,3.70,4.14,4.71,4.86,3.59,3.83,5.77,3.69,5.52,5.39,2.76,5.31,4.92,3.93
1942,4.07,3.63,4.08,2.94,3.12,3.56,4.21,5.04,2.07,4.30,2.88,4.50,3.18,3.07,4.27,4.28,4.74,3.83,4.19,4.65,4.83,3.68,3.89,5.72,3.83,5.53,5.39,2.85,5.30,4.95,3.92
1943,4.69,4.20,4.63,3.64,3.80,4.14,4.78,5.63,2.78,4.89,3.56,5.11,3.83,3.72,4.82,4.97,5.35,4.47,4.77,5.27,5.42,4.25,4.58,6.32,4.48,6.09,6.01,3.60,5.88,5.58,4.50
1944,4.62,4.26,4.52,3.47,3.56,4.20,4.62,5.62,2.56,4.85,3.35,5.16,3.86,3.76,4.68,4.85,5.34,4.24,4.69,5.30,5.46,4.07,4.46,6.35,4.24,6.14,5.99,3.40,5.88,5.52,4.55
1945,4.60,4.15,4.52,3.55,3.69,4.09,4.66,5.53,2.73,4.78,3.47,5.03,3.74,3.63,4.71,4.90,5.23,4.31,4.67,5.17,5.34,4.13,4.51,6.22,4.31,6.05,5.91,3.53,5.79,5.48,4.45
1946,5.28,4.85,5.18,4.21,4.25,4.81,5.31,6.29,3.33,5.51,4.07,5.76,4.48,4.37,5.38,5.54,5.99,4.86,5.35,5.90,6.05,4.72,5.17,6.94,4.86,6.75,6.62,4.15,6.54,6.18,5.14
1947,5.25,4.84,5.17,4.16,4.25,4.79,5.29,6.24,3.31,5.46,4.06,5.73,4.43,4.32,5.35,5.49,5.94,4.89,5.32,5.87,6.03,4.74,5.12,6.92,4.88,6.75,6.60,4.11,6.50,6.16,5.13
1948,4.42,3.96,4.31,3.38,3.49,3.91,4.46,5.36,2.59,4.60,3.29,4.88,3.60,3.48,4.52,4.80,5.07,4.07,4.48,5.02,5.17,3.89,4.35,6.07,4.06,5.85,5.74,3.39,5.61,5.30,4.25
1949,4.27,3.78,4.15,3.26,3.38,3.73,4.32,5.18,2.50,4.41,3.18,4.67,3.42,3.30,4.37,4.68,4.86,3.95,4.31,4.81,4.96,3.74,4.22,5.84,3.94,5.69,5.53,3.30,5.44,5.10,4.07
1950,5.06,4.67,4.93,3.99,4.06,4.62,5.07,6.03,3.14,5.24,3.87,5.54,4.26,4.15,5.13,5.39,5.72,4.66,5.10,5.68,5.84,4.49,4.97,6.71,4.65,6.56,6.39,3.97,6.29,5.94,4.96
1951,5.29,4.90,5.21,4.18,4.32,4.86,5.35,6.13,3.38,5.43,4.11,5.81,4.59,4.48,5.41,5.66,5.88,4.93,5.35,5.96,6.07,4.78,5.19,6.96,4.93,6.69,6.66,4.17,6.39,6.22,5.19
1952,5.21,4.82,5.18,4.07,4.13,4.76,5.26,6.27,3.17,5.47,3.94,5.69,4.39,4.28,5.33,5.49,5.93,4.79,5.30,5.82,6.00,4.72,5.04,6.86,4.77,6.77,6.54,3.98,6.53,6.09,5.11
1953,4.18,3.77,4.11,3.13,3.21,3.72,4.24,5.05,2.28,4.34,3.02,4.65,3.44,3.33,4.30,4.53,4.77,3.84,4.26,4.80,4.92,3.70,4.07,5.79,3.83,5.59,5.49,3.08,5.31,5.06,4.05
1954,4.22,3.87,4.26,3.04,3.15,3.78,4.27,5.32,2.11,4.52,2.94,4.68,3.34,3.24,4.33,4.39,4.97,3.90,4.35,4.83,5.04,3.83,3.97,5.90,3.88,5.81,5.50,2.92,5.58,5.03,4.15
1955,4.96,4.68,4.89,3.79,3.83,4.61,4.94,6.10,2.83,5.23,3.64,5.48,4.10,4.00,5.00,5.14,5.74,4.55,5.00,5.59,5.83,4.45,4.76,6.67,4.53,6.62,6.32,3.66,6.37,5.86,4.96
1956,3.85,3.51,3.87,2.70,2.80,3.42,3.94,4.95,1.80,4.14,2.60,4.29,2.95,2.85,4.00,4.00,4.58,3.51,3.99,4.44,4.66,3.44,3.63,5.51,3.49,5.47,5.15,2.57,5.22,4.70,3.79
1957,4.72,4.37,4.63,3.60,3.70,4.31,4.72,5.68,2.76,4.92,3.50,5.23,3.96,3.85,4.78,5.06,5.38,4.33,4.79,5.36,5.52,4.18,4.60,6.39,4.33,6.23,6.04,3.59,5.95,5.58,4.65
1958,4.98,4.64,4.91,3.86,3.90,4.59,4.97,6.00,2.97,5.22,3.72,5.48,4.18,4.08,5.04,5.24,5.67,4.54,5.07,5.61,5.79,4.46,4.84,6.64,4.52,6.54,6.34,3.79,6.27,5.90,4.92
1959,4.12,3.74,4.07,3.01,3.15,3.69,4.21,5.03,2.19,4.28,2.94,4.61,3.39,3.29,4.27,4.40,4.74,3.79,4.19,4.76,4.89,3.67,3.99,5.75,3.78,5.57,5.43,2.99,5.29,4.98,4.02
1960,5.04,4.76,5.02,3.84,3.94,4.69,5.11,6.08,2.98,5.29,3.74,5.58,4.28,4.18,5.19,5.28,5.76,4.61,5.14,5.72,5.90,4.55,4.81,6.76,4.58,6.63,6.36,3.76,6.35,5.88,5.04
1961,4.83,4.35,4.83,3.76,3.80,4.30,4.98,5.76,2.87,5.05,3.63,5.31,4.04,3.94,5.06,5.04,5.48,4.44,4.98,5.47,5.58,4.35,4.70,6.50,4.43,6.26,6.18,3.67,6.02,5.74,4.65
1962,4.82,4.48,4.89,3.61,3.66,4.41,4.91,6.07,2.66,5.22,3.48,5.27,3.92,3.83,4.99,4.87,5.65,4.39,4.99,5.40,5.64,4.43,4.54,6.46,4.36,6.52,6.13,3.46,6.33,5.68,4.76
1963,4.88,4.46,4.99,3.72,3.83,4.38,5.04,6.03,2.82,5.22,3.63,5.25,3.85,3.75,5.12,4.91,5.63,4.55,5.07,5.37,5.63,4.56,4.62,6.47,4.52,6.50,6.16,3.57,6.30,5.73,4.74
1964,4.38,3.92,4.39,3.31,3.45,3.86,4.52,5.38,2.48,4.62,3.24,4.79,3.47,3.37,4.58,4.47,5.04,4.12,4.52,4.93,5.11,4.01,4.21,5.98,4.11,5.88,5.63,3.23,5.64,5.20,4.21
1965,4.00,3.66,4.00,2.88,2.96,3.58,4.11,5.01,1.95,4.22,2.76,4.46,3.11,3.01,4.17,4.16,4.68,3.68,4.10,4.59,4.80,3.62,3.81,5.66,3.66,5.54,5.30,2.78,5.27,4.85,3.94
1966,5.18,5.00,5.05,4.00,4.04,4.93,5.16,6.33,3.08,5.41,3.86,5.78,4.46,4.37,5.23,5.37,5.98,4.71,5.16,5.90,6.11,4.63,4.98,6.93,4.69,6.87,6.53,3.93,6.59,6.05,5.27
1967,4.38,4.01,4.38,3.27,3.30,3.95,4.50,5.33,2.32,4.58,3.13,4.88,3.58,3.48,4.58,4.61,5.06,4.00,4.47,5.02,5.18,3.94,4.22,6.06,3.98,5.83,5.71,3.17,5.58,5.26,4.30
1968,4.71,4.42,4.69,3.45,3.56,4.34,4.76,5.79,2.53,5.01,3.36,5.26,3.95,3.85,4.83,4.93,5.48,4.28,4.83,5.41,5.59,4.21,4.48,6.46,4.27,6.31,6.09,3.38,6.05,5.61,4.71
1969,4.65,4.26,4.70,3.40,3.61,4.17,4.75,5.79,2.52,5.01,3.36,5.07,3.69,3.59,4.80,4.73,5.43,4.38,4.83,5.22,5.45,4.25,4.37,6.32,4.37,6.26,5.99,3.29,6.05,5.53,4.55
1970,4.63,4.40,4.60,3.39,3.47,4.32,4.63,5.82,2.47,4.97,3.27,5.15,3.78,3.68,4.70,4.75,5.42,4.18,4.75,5.26,5.51,4.11,4.37,6.33,4.16,6.37,5.98,3.27,6.10,5.51,4.67
1971,4.49,4.13,4.44,3.38,3.51,4.06,4.62,5.46,2.51,4.68,3.30,4.97,3.68,3.58,4.68,4.70,5.14,4.19,4.59,5.11,5.28,4.00,4.33,6.15,4.19,6.01,5.82,3.30,5.73,5.37,4.41
1972,4.79,4.43,4.67,3.68,3.77,4.36,4.83,5.71,2.76,4.98,3.56,5.33,4.07,3.97,4.89,5.08,5.46,4.45,4.86,5.50,5.62,4.24,4.64,6.53,4.45,6.24,6.16,3.59,5.96,5.69,4.72
1973,4.44,4.14,4.38,3.23,3.39,4.07,4.53,5.51,2.30,4.69,3.16,4.98,3.63,3.54,4.58,4.60,5.19,4.16,4.52,5.11,5.30,3.97,4.21,6.17,4.15,6.04,5.77,3.14,5.78,5.29,4.42
1974,4.36,4.07,4.24,3.23,3.27,4.02,4.37,5.42,2.29,4.61,3.08,4.93,3.65,3.56,4.43,4.60,5.10,3.93,4.43,5.06,5.22,3.74,4.18,6.08,3.93,5.96,5.71,3.13,5.69,5.24,4.35
1975,4.37,4.19,4.22,3.18,3.24,4.13,4.38,5.41,2.27,4.58,3.05,5.00,3.67,3.58,4.45,4.58,5.11,3.90,4.41,5.11,5.30,3.72,4.18,6.15,3.90,6.00,5.74,3.12,5.68,5.25,4.47
1976,3.89,3.51,3.86,2.70,2.85,3.46,3.98,4.92,1.82,4.13,2.63,4.40,3.13,3.03,4.04,4.11,4.61,3.56,3.98,4.54,4.69,3.42,3.68,5.57,3.55,5.43,5.22,2.62,5.18,4.76,3.80
1977,4.49,4.13,4.41,3.42,3.42,4.08,4.52,5.52,2.46,4.69,3.25,5.00,3.77,3.67,4.58,4.74,5.16,4.09,4.55,5.13,5.27,3.97,4.36,6.12,4.08,6.08,5.82,3.32,5.80,5.39,4.41
1978,3.96,3.75,3.93,2.77,2.77,3.68,4.00,5.15,1.82,4.27,2.61,4.51,3.13,3.04,4.08,4.09,4.77,3.44,4.05,4.61,4.86,3.43,3.73,5.67,3.42,5.68,5.31,2.65,5.42,4.84,4.02
1979,4.99,4.74,4.87,3.80,3.88,4.68,4.99,6.02,2.94,5.20,3.69,5.58,4.28,4.19,5.06,5.24,5.72,4.50,5.03,5.70,5.87,4.39,4.81,6.73,4.50,6.58,6.38,3.74,6.29,5.90,5.02
1980,4.08,3.83,4.04,2.91,2.94,3.75,4.12,5.17,1.96,4.35,2.76,4.60,3.27,3.18,4.19,4.23,4.83,3.62,4.17,4.72,4.94,3.55,3.86,5.77,3.61,5.70,5.43,2.79,5.43,4.97,4.10
1981,4.37,4.10,4.27,3.19,3.22,4.07,4.36,5.41,2.28,4.61,3.05,4.96,3.70,3.61,4.43,4.65,5.09,3.88,4.44,5.08,5.23,3.78,4.21,6.08,3.87,5.96,5.77,3.12,5.68,5.31,4.38
1982,4.83,4.43,4.75,3.83,3.88,4.38,5.01,5.62,2.92,4.93,3.70,5.31,4.01,3.91,5.08,5.07,5.37,4.53,4.92,5.44,5.58,4.32,4.73,6.47,4.53,6.19,6.16,3.72,5.88,5.73,4.72
1983,4.36,4.03,4.21,3.33,3.36,3.97,4.42,5.20,2.40,4.43,3.17,4.88,3.61,3.51,4.48,4.65,4.94,4.00,4.36,5.02,5.17,3.79,4.30,6.05,4.00,5.80,5.74,3.26,5.47,5.30,4.31
1984,4.55,4.36,4.38,3.35,3.44,4.28,4.49,5.65,2.49,4.79,3.24,5.14,3.80,3.71,4.55,4.74,5.33,4.08,4.56,5.26,5.47,3.92,4.36,6.31,4.07,6.21,5.94,3.29,5.92,5.46,4.63
1985,4.47,4.19,4.43,3.31,3.39,4.11,4.52,5.61,2.37,4.77,3.19,4.96,3.55,3.45,4.58,4.55,5.24,4.10,4.59,5.07,5.33,3.98,4.22,6.17,4.09,6.15,5.79,3.17,5.88,5.33,4.47
1986,4.69,4.37,4.62,3.57,3.68,4.30,4.72,5.79,2.70,4.97,3.47,5.14,3.83,3.73,4.78,4.86,5.43,4.34,4.77,5.26,5.49,4.17,4.52,6.30,4.34,6.29,6.01,3.48,6.05,5.58,4.64
1987,4.70,4.27,4.67,3.60,3.72,4.20,4.79,5.72,2.70,4.94,3.50,5.14,3.81,3.70,4.84,4.92,5.39,4.42,4.81,5.29,5.47,4.25,4.56,6.36,4.42,6.22,6.02,3.53,5.98,5.57,4.56
1988,4.94,4.57,4.86,3.90,3.95,4.49,5.04,5.87,3.02,5.12,3.77,5.40,4.11,4.00,5.11,5.18,5.57,4.57,5.03,5.54,5.72,4.40,4.83,6.59,4.58,6.43,6.28,3.81,6.14,5.84,4.85
1989,4.43,4.05,4.25,3.36,3.39,4.01,4.37,5.33,2.50,4.55,3.21,4.98,3.81,3.71,4.43,4.79,5.06,3.96,4.40,5.15,5.23,3.79,4.37,6.12,3.96,5.89,5.85,3.34,5.60,5.41,4.34
1990,5.06,4.60,4.95,4.04,4.06,4.54,5.10,5.96,3.12,5.20,3.88,5.55,4.31,4.20,5.16,5.38,5.69,4.69,5.09,5.73,5.83,4.51,5.00,6.76,4.69,6.49,6.49,3.94,6.22,6.05,4.90
1991,4.43,4.12,4.29,3.39,3.42,4.07,4.44,5.38,2.50,4.58,3.24,4.94,3.63,3.53,4.50,4.69,5.08,4.03,4.44,5.06,5.24,3.87,4.32,6.09,4.03,5.94,5.77,3.29,5.64,5.33,4.40
1992,4.66,4.20,4.51,3.75,3.78,4.16,4.76,5.45,2.87,4.74,3.60,5.11,3.98,3.88,4.81,4.99,5.19,4.35,4.69,5.28,5.35,4.07,4.66,6.22,4.38,5.97,5.95,3.72,5.70,5.55,4.48
1993,4.38,4.01,4.38,3.32,3.44,3.93,4.56,5.34,2.46,4.58,3.24,4.81,3.49,3.38,4.63,4.55,5.02,4.11,4.50,4.94,5.15,3.96,4.21,6.00,4.11,5.87,5.65,3.24,5.60,5.21,4.29
1994,5.67,5.28,5.51,4.59,4.65,5.27,5.67,6.52,3.72,5.80,4.46,6.23,5.06,4.96,5.73,6.11,6.25,5.26,5.71,6.36,6.43,5.05,5.61,7.31,5.27,7.10,7.02,4.62,6.79,6.58,5.56
1995,4.73,4.47,4.62,3.55,3.54,4.43,4.73,5.73,2.57,4.96,3.37,5.34,4.06,3.96,4.81,5.03,5.45,4.21,4.80,5.46,5.61,4.11,4.58,6.48,4.20,6.29,6.13,3.50,5.99,5.66,4.75
1996,4.79,4.42,4.69,3.63,3.67,4.40,4.81,5.82,2.72,5.02,3.49,5.35,4.15,4.05,4.88,5.19,5.50,4.33,4.85,5.49,5.59,4.22,4.66,6.46,4.32,6.32,6.13,3.60,6.08,5.67,4.71
1997,4.65,4.25,4.58,3.58,3.69,4.21,4.74,5.61,2.73,4.85,3.49,5.14,3.91,3.82,4.80,4.87,5.30,4.33,4.73,5.27,5.40,4.13,4.53,6.26,4.34,6.12,5.95,3.54,5.86,5.52,4.53
1998,5.32,4.99,5.31,4.22,4.23,4.90,5.45,6.38,3.25,5.59,4.06,5.77,4.38,4.28,5.53,5.40,6.04,4.93,5.46,5.90,6.14,4.82,5.16,7.00,4.92,6.90,6.70,4.09,6.65,6.27,5.27
1999,5.58,5.36,5.54,4.36,4.36,5.29,5.62,6.76,3.34,5.88,4.19,6.19,4.77,4.68,5.70,5.70,6.42,5.09,5.67,6.30,6.53,5.04,5.35,7.39,5.07,7.30,6.97,4.24,7.03,6.46,5.65
2000,5.54,5.20,5.45,4.46,4.59,5.15,5.65,6.41,3.60,5.71,4.38,6.05,4.73,4.63,5.71,5.78,6.14,5.24,5.65,6.17,6.34,4.98,5.42,7.21,5.26,6.98,6.87,4.43,6.67,6.42,5.48
2001,5.56,5.24,5.63,4.34,4.47,5.19,5.74,6.61,3.48,5.89,4.27,6.05,4.70,4.60,5.82,5.73,6.32,5.16,5.75,6.16,6.38,5.12,5.30,7.21,5.15,7.06,6.85,4.25,6.85,6.39,5.52
2002,5.82,5.51,5.70,4.71,4.75,5.48,5.85,6.75,3.83,6.03,4.57,6.39,5.18,5.09,5.92,6.13,6.50,5.35,5.89,6.53,6.64,5.23,5.72,7.50,5.35,7.26,7.17,4.74,7.00,6.72,5.79
2003,5.41,4.89,5.43,4.35,4.58,4.82,5.58,6.36,3.54,5.64,4.33,5.72,4.39,4.27,5.63,5.57,6.05,5.28,5.54,5.86,6.07,5.09,5.27,6.93,5.27,6.79,6.68,4.30,6.60,6.29,5.18
2004,5.36,4.98,5.35,4.22,4.32,4.94,5.48,6.34,3.36,5.62,4.12,5.84,4.55,4.45,5.55,5.61,6.05,4.97,5.49,5.95,6.13,4.89,5.20,6.97,4.96,6.80,6.67,4.17,6.59,6.23,5.26
2005,4.95,4.62,4.93,3.79,3.87,4.57,5.03,5.98,2.92,5.22,3.69,5.44,4.15,4.05,5.10,5.19,5.66,4.54,5.06,5.56,5.75,4.45,4.77,6.58,4.53,6.47,6.27,3.73,6.23,5.82,4.90
2006,5.05,4.69,4.98,3.93,4.14,4.64,5.14,5.99,3.16,5.23,3.90,5.50,4.28,4.18,5.19,5.29,5.67,4.79,5.11,5.62,5.78,4.61,4.91,6.59,4.78,6.49,6.33,3.95,6.24,5.91,4.96
2007,5.85,5.45,5.70,4.77,4.79,5.44,5.86,6.77,3.89,6.03,4.62,6.41,5.24,5.14,5.93,6.23,6.50,5.38,5.90,6.55,6.62,5.23,5.79,7.50,5.38,7.27,7.20,4.80,7.02,6.76,5.74
