Variable:,tasmax
,Mali,Bamako,Gao,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou
1942,36.00,34.39,37.21,35.29,35.93,35.06,36.44,35.64,33.87,36.21
1943,35.45,33.84,36.54,34.85,35.18,34.51,35.83,35.04,33.36,35.75
1944,35.85,34.52,36.84,35.46,35.47,35.15,36.33,35.64,33.96,36.06
1945,35.61,34.35,36.32,35.52,34.96,34.98,36.00,35.40,33.79,35.90
1946,35.51,34.11,36.41,35.19,35.09,34.74,35.89,35.23,33.56,35.78
1947,36.01,34.55,37.12,35.49,35.64,35.23,36.49,35.80,34.00,36.24
1948,35.41,33.98,36.26,35.08,34.86,34.64,35.80,35.14,33.46,35.74
1949,35.95,34.37,37.19,35.32,35.65,35.04,36.46,35.63,33.84,36.17
1950,35.10,34.14,35.97,34.99,34.45,34.73,35.46,34.99,33.53,35.25
1951,35.90,34.48,37.11,35.18,35.58,35.14,36.40,35.67,34.03,36.10
1952,35.32,34.18,36.30,34.84,34.69,34.87,35.98,35.38,33.83,35.45
1953,35.45,34.38,36.26,35.30,34.80,35.06,35.89,35.35,33.90,35.62
1954,35.19,34.02,36.12,34.92,34.62,34.66,35.66,35.02,33.49,35.37
1955,35.58,34.11,36.51,35.04,35.13,34.84,35.99,35.29,33.66,35.89
1956,35.56,34.19,36.71,35.01,35.08,34.92,36.14,35.45,33.79,35.73
1957,35.34,34.14,36.34,35.09,34.68,34.85,35.91,35.29,33.73,35.48
1958,35.97,34.46,37.12,35.26,35.49,35.10,36.53,35.69,34.02,36.26
1959,35.79,34.29,37.04,35.12,35.39,34.91,36.36,35.47,33.86,36.02
1960,35.47,34.17,36.68,34.82,35.04,34.71,36.00,35.22,33.68,35.66
1961,35.22,33.92,36.10,34.74,34.55,34.52,35.75,34.94,33.40,35.55
1962,35.22,33.56,36.49,34.33,34.90,34.15,35.67,34.70,33.14,35.55
1963,35.65,34.08,36.90,34.85,35.34,34.64,36.19,35.22,33.69,35.92
1964,35.38,33.81,36.46,34.80,34.94,34.48,35.76,34.90,33.31,35.74
1965,35.27,33.85,36.46,34.56,34.84,34.40,35.78,34.88,33.31,35.54
1966,35.76,34.29,36.94,35.05,35.43,34.88,36.25,35.41,33.76,36.02
1967,35.11,33.68,36.23,34.58,34.72,34.31,35.43,34.74,33.15,35.37
1968,35.66,34.25,36.94,35.32,35.30,34.89,35.89,35.21,33.58,35.85
1969,36.38,35.00,37.57,36.03,35.99,35.67,36.80,36.09,34.39,36.55
1970,36.14,34.85,37.18,35.84,35.63,35.49,36.60,35.90,34.16,36.36
1971,35.87,34.60,37.02,35.44,35.43,35.20,36.28,35.62,33.81,36.06
1972,35.77,34.58,36.92,35.51,35.46,35.15,36.12,35.57,33.86,35.88
1973,35.90,34.73,37.08,35.71,35.42,35.28,36.36,35.77,34.23,35.95
1974,35.06,33.80,35.98,34.84,34.52,34.43,35.50,34.90,33.33,35.25
1975,35.17,33.77,36.20,34.93,34.71,34.43,35.55,34.86,33.23,35.40
1976,34.83,33.50,35.97,34.47,34.45,34.12,35.16,34.56,32.97,34.99
1977,35.65,34.26,36.47,35.39,35.15,34.96,36.03,35.41,33.66,35.95
1978,35.58,33.90,36.51,35.09,35.31,34.62,35.80,35.08,33.28,35.99
1979,35.59,34.05,36.58,35.35,35.27,34.77,35.82,35.18,33.44,35.87
1980,35.97,34.62,36.75,35.72,35.51,35.40,36.36,35.88,33.99,36.22
1981,35.72,34.41,36.52,35.37,35.19,35.08,36.16,35.60,33.90,36.00
1982,35.35,33.80,36.26,34.83,34.99,34.50,35.74,35.09,33.29,35.68
1983,36.09,34.85,36.67,36.06,35.49,35.59,36.48,35.94,34.17,36.39
1984,35.77,34.36,36.66,35.36,35.44,35.05,36.14,35.52,33.67,36.05
1985,35.59,34.31,36.29,35.31,35.19,34.98,35.94,35.35,33.64,35.89
1986,35.36,33.93,36.35,34.76,35.07,34.59,35.74,35.10,33.39,35.62
1987,36.54,35.08,37.39,35.95,36.07,35.81,37.09,36.36,34.48,36.87
1988,35.48,34.11,36.22,35.15,35.13,34.80,35.73,35.21,33.58,35.78
1989,35.58,34.27,36.30,35.38,35.07,34.96,35.94,35.38,33.62,35.88
1990,36.12,34.52,37.03,35.64,35.75,35.27,36.62,35.87,33.92,36.44
1991,35.49,34.18,36.31,35.55,35.13,34.85,35.78,35.10,33.40,35.71
1992,35.42,34.06,36.06,35.37,34.97,34.75,35.64,35.09,33.37,35.76
1993,35.91,34.35,36.93,35.70,35.60,35.11,36.31,35.54,33.64,36.14
1994,35.19,33.60,36.04,34.86,34.95,34.27,35.32,34.62,32.99,35.57
1995,35.77,34.13,36.80,35.33,35.50,34.83,36.01,35.28,33.53,36.10
1996,36.11,34.67,37.22,35.67,35.83,35.30,36.49,35.81,34.09,36.31
1997,36.02,34.42,37.01,35.74,35.78,35.15,36.30,35.57,33.79,36.30
1998,36.19,34.93,37.04,36.25,35.84,35.56,36.48,35.90,34.31,36.34
1999,35.56,33.98,36.71,35.16,35.38,34.64,35.70,35.00,33.41,35.82
2000,35.98,34.38,37.03,35.44,35.73,35.04,36.34,35.52,33.83,36.29
2001,36.23,34.95,37.17,36.04,35.85,35.58,36.57,35.93,34.24,36.45
2002,36.29,35.05,37.11,36.00,35.80,35.70,36.73,36.15,34.43,36.53
2003,36.31,34.90,37.25,35.95,35.99,35.53,36.64,35.95,34.21,36.60
2004,36.34,35.02,37.29,36.15,36.01,35.66,36.67,35.98,34.28,36.56
2005,36.33,35.02,37.23,36.16,35.94,35.67,36.65,36.03,34.33,36.55
2006,36.12,34.84,37.13,36.02,35.70,35.46,36.48,35.80,34.13,36.30
2007,36.25,34.95,37.18,36.08,35.87,35.59,36.56,35.96,34.34,36.45
2008,35.87,34.70,36.62,35.81,35.35,35.28,36.19,35.57,33.95,36.14
2009,36.42,34.88,37.64,35.88,36.33,35.52,36.70,35.91,34.20,36.65
2010,36.68,35.25,37.73,36.56,36.48,35.93,36.78,36.15,34.45,36.91
2011,36.52,35.14,37.53,36.37,36.22,35.77,36.79,36.07,34.37,36.73
2012,35.80,34.48,36.78,35.69,35.56,35.08,35.98,35.37,33.76,36.00
2013,36.15,34.87,37.21,36.00,35.83,35.49,36.45,35.83,34.21,36.30
2014,36.10,34.79,37.20,35.92,35.86,35.41,36.37,35.73,34.12,36.25
2015,36.13,35.09,36.79,36.28,35.55,35.73,36.50,35.99,34.46,36.29
2016,36.35,35.22,37.19,36.47,35.92,35.86,36.67,36.11,34.51,36.49
2017,36.29,35.31,37.04,36.48,35.70,35.91,36.71,36.20,34.59,36.40
2018,36.14,35.00,37.02,36.04,35.78,35.63,36.53,35.92,34.29,36.29
2019,36.02,34.78,36.98,35.88,35.66,35.38,36.37,35.73,34.16,36.19
2020,36.29,35.30,37.00,36.49,35.69,35.92,36.72,36.19,34.59,36.43
