Variable:,pr
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
1999,436.71,475.12,470.23,367.95,533.74,897.06,496.88,759.09,384.05,217.58
2000,628.92,734.52,1017.36,349.68,708.99,1221.30,778.96,1265.81,690.77,288.85
2001,537.86,716.70,768.30,420.33,673.60,925.40,587.75,800.82,626.32,253.91
2002,412.56,532.06,515.68,367.28,529.43,794.67,325.90,524.26,450.19,232.08
2003,372.50,433.66,476.07,296.67,493.99,737.87,411.86,580.77,392.38,167.01
2004,470.69,570.02,690.96,353.08,594.95,825.61,528.73,773.37,518.89,228.83
2005,395.46,447.17,513.91,300.09,521.56,693.43,409.36,597.26,399.82,228.82
2006,567.40,705.31,727.44,383.73,729.31,1023.65,640.40,834.80,565.39,311.40
2007,424.42,497.80,496.09,390.79,534.00,932.84,448.96,585.89,382.91,203.85
2008,437.79,512.22,547.21,366.31,533.84,894.75,418.65,673.92,424.36,238.33
2009,474.64,668.90,723.57,287.06,479.11,833.05,626.12,804.08,545.34,231.77
2010,475.20,677.73,630.28,317.12,558.61,772.96,514.60,659.83,539.91,272.42
2011,541.72,669.27,657.35,375.79,653.34,876.45,548.21,721.23,593.08,363.77
2012,462.35,495.69,530.05,385.87,613.08,930.29,466.78,733.73,380.51,257.44
2013,420.93,407.07,567.41,362.31,555.17,824.27,559.78,701.98,381.38,187.03
2014,450.06,512.80,620.68,358.35,578.93,863.09,497.14,724.81,445.85,221.61
2015,368.00,360.73,478.61,301.08,505.09,836.37,376.83,611.30,305.07,176.23
2016,425.62,455.85,632.08,269.51,457.71,873.08,543.84,738.22,447.44,224.94
2017,426.02,512.29,639.42,236.26,514.13,870.52,483.09,687.07,545.81,195.68
2018,384.54,426.03,542.32,281.60,435.64,837.03,492.80,673.85,379.69,169.76
2019,383.92,506.03,602.23,218.43,446.08,829.43,450.36,670.42,471.02,145.29
2020,462.23,639.11,631.88,301.61,570.91,849.55,494.35,685.37,508.26,234.71
