Variable:,tasmin
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
1969,-0.18,0.09,1.39,-0.71,-0.26,-0.76,-0.72,0.87,0.43,-1.03,0.35,1.52,-0.86,-0.56,-0.21,-1.06,-0.62
1970,0.66,0.83,1.79,0.23,0.56,0.20,0.15,1.43,1.22,0.01,1.10,1.97,0.12,0.45,0.65,-0.01,0.35
1971,1.66,1.80,2.96,0.98,1.57,1.10,0.94,2.50,2.35,0.98,2.16,3.26,1.09,1.47,1.72,1.00,1.23
1972,2.44,2.68,3.74,1.90,2.38,1.97,1.91,3.34,3.05,1.64,2.94,3.88,1.83,2.09,2.44,1.56,2.03
1973,1.83,1.99,3.27,1.21,1.73,1.32,1.20,2.69,2.46,1.08,2.29,3.56,1.22,1.56,1.85,1.07,1.42
1974,3.02,3.30,4.21,2.61,3.00,2.55,2.57,3.83,3.56,2.23,3.51,4.29,2.40,2.67,3.01,2.15,2.69
1975,3.10,3.28,4.43,2.52,3.03,2.58,2.50,3.97,3.75,2.37,3.60,4.62,2.50,2.84,3.13,2.35,2.70
1976,0.13,0.32,1.64,-0.43,0.04,-0.43,-0.50,1.08,0.74,-0.62,0.63,1.82,-0.51,-0.19,0.14,-0.64,-0.30
1977,1.35,1.46,2.56,0.84,1.24,0.86,0.76,2.10,1.93,0.74,1.76,2.83,0.79,1.16,1.36,0.76,1.02
1978,0.36,0.43,1.82,-0.32,0.21,-0.22,-0.38,1.23,1.03,-0.27,0.81,2.14,-0.23,0.20,0.41,-0.19,-0.07
1979,1.18,1.34,2.33,0.78,1.09,0.72,0.68,1.91,1.71,0.55,1.60,2.50,0.64,0.91,1.17,0.50,0.91
1980,0.86,1.03,2.22,0.34,0.79,0.35,0.27,1.70,1.46,0.11,1.33,2.34,0.25,0.58,0.87,0.11,0.50
1981,1.72,1.74,2.75,1.28,1.58,1.29,1.11,2.35,2.29,1.21,2.08,3.04,1.25,1.58,1.71,1.19,1.50
1982,1.86,1.99,3.16,1.38,1.76,1.33,1.25,2.64,2.45,1.21,2.29,3.35,1.28,1.61,1.85,1.19,1.54
1983,2.48,2.53,3.69,1.96,2.32,1.96,1.82,3.23,3.10,1.90,2.89,3.99,1.95,2.31,2.50,1.88,2.17
1984,2.32,2.51,3.73,1.79,2.22,1.85,1.73,3.19,2.92,1.57,2.81,3.86,1.73,2.00,2.28,1.52,1.96
1985,-0.15,-0.10,1.16,-0.68,-0.31,-0.63,-0.80,0.62,0.46,-0.74,0.26,1.45,-0.68,-0.33,-0.17,-0.75,-0.47
1986,1.24,1.33,2.52,0.72,1.09,0.77,0.61,2.00,1.83,0.62,1.66,2.75,0.71,1.05,1.24,0.60,0.96
1987,-0.45,-0.34,0.97,-1.09,-0.63,-0.98,-1.16,0.45,0.20,-1.10,0.03,1.26,-1.01,-0.67,-0.46,-1.12,-0.82
1988,2.16,2.28,3.44,1.63,2.03,1.67,1.56,2.98,2.77,1.53,2.61,3.62,1.62,1.97,2.15,1.54,1.82
1989,3.55,3.65,4.67,3.11,3.41,3.11,2.99,4.25,4.10,2.98,3.95,4.87,3.06,3.35,3.54,2.95,3.30
1990,3.13,3.28,4.46,2.56,3.01,2.61,2.49,3.97,3.77,2.47,3.63,4.68,2.53,2.91,3.12,2.50,2.74
1991,2.60,2.74,3.95,2.05,2.46,2.06,1.99,3.43,3.18,1.99,3.04,4.15,2.05,2.40,2.58,1.99,2.25
1992,2.76,2.89,4.17,2.15,2.65,2.21,2.10,3.62,3.41,2.08,3.24,4.42,2.18,2.52,2.80,2.06,2.34
1993,1.65,1.82,3.10,1.06,1.52,1.06,0.99,2.55,2.30,0.96,2.15,3.34,1.04,1.36,1.66,0.92,1.23
1994,1.66,1.75,3.03,1.10,1.49,1.12,1.03,2.45,2.25,1.08,2.06,3.30,1.11,1.48,1.65,1.11,1.30
