Variable:,tasmin
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1955,12.61,13.21,4.39,-0.30,2.77,2.07,7.91,4.19,6.04,-0.21,10.21,10.95,8.04,8.11,15.27,3.95,20.37,18.00,2.50,10.92,14.63,2.17,15.58,5.24,16.50,19.32
1956,12.44,13.04,4.18,-0.44,2.72,1.90,7.75,4.06,5.90,-0.42,9.99,10.77,7.80,7.92,15.13,3.73,20.18,17.82,2.43,10.69,14.51,2.10,15.37,5.13,16.37,19.08
1957,13.27,14.24,5.29,0.64,3.97,2.99,9.02,5.10,6.68,0.63,11.03,12.04,8.69,9.06,16.57,4.93,20.75,18.24,3.56,11.67,15.99,2.93,16.27,6.23,17.82,19.60
1958,13.24,13.77,4.95,0.68,3.90,2.99,8.54,5.12,6.86,0.61,10.74,11.91,8.65,8.69,15.97,4.63,20.76,18.66,3.52,11.50,15.34,3.25,16.06,6.17,17.14,19.74
1959,13.18,13.78,4.93,0.46,3.77,2.77,8.51,4.89,6.68,0.45,10.74,11.70,8.61,8.67,15.91,4.57,20.83,18.44,3.32,11.50,15.26,2.96,16.10,5.96,17.10,19.73
1960,13.08,13.66,4.93,0.17,3.24,2.66,8.38,4.32,6.41,0.50,10.83,11.66,8.69,8.59,15.72,4.57,20.93,18.10,2.62,11.62,14.98,2.36,16.12,5.27,16.81,19.84
1961,13.42,13.69,5.06,0.74,3.86,3.06,8.45,4.77,7.12,0.84,11.00,11.92,8.99,8.71,15.80,4.80,21.05,19.04,3.38,11.79,15.04,3.13,16.27,5.91,16.85,20.26
1962,13.39,13.67,4.96,0.82,3.96,3.13,8.35,4.65,7.11,0.83,10.92,11.89,8.93,8.63,15.64,4.70,21.07,18.91,3.35,11.71,14.98,3.08,16.22,5.80,16.85,20.20
1963,13.54,13.92,5.25,0.72,3.92,3.01,8.68,4.88,7.09,0.82,11.16,11.92,9.06,8.93,16.00,4.90,21.25,18.96,3.53,11.93,15.23,3.18,16.46,6.12,17.08,20.33
1964,13.17,13.50,4.76,0.30,3.36,2.56,8.11,4.53,6.73,0.35,10.73,11.45,8.52,8.39,15.35,4.28,21.02,18.67,3.20,11.37,14.68,3.06,16.09,5.75,16.51,19.98
1965,13.60,14.10,5.65,0.91,4.10,3.23,9.06,5.31,7.18,1.01,11.39,12.19,9.17,9.28,16.57,5.21,21.01,18.94,3.86,12.01,15.80,3.50,16.53,6.38,17.62,20.24
1966,13.37,13.85,5.16,0.46,3.56,2.76,8.60,4.83,6.83,0.52,11.06,11.65,8.70,8.84,15.92,4.59,21.15,18.77,3.39,11.62,15.19,3.15,16.39,5.93,17.04,20.08
1967,13.04,13.34,4.61,0.22,3.57,2.47,8.05,4.86,6.64,0.14,10.52,11.31,8.29,8.26,15.38,4.15,20.77,18.59,3.57,11.15,14.66,3.23,15.87,6.16,16.52,19.68
1968,13.14,13.40,4.62,0.53,3.78,2.66,8.10,4.88,6.93,0.28,10.60,11.46,8.46,8.30,15.40,4.31,20.77,18.85,3.55,11.38,14.71,3.25,15.91,6.14,16.58,19.86
1969,13.97,14.42,5.78,1.43,4.69,3.65,9.31,5.73,7.72,1.27,11.63,12.49,9.39,9.50,16.75,5.41,21.36,19.53,4.48,12.36,15.95,4.04,16.84,7.02,17.76,20.60
