Variable:,tasmin
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1954,-2.07,3.33,-2.66,-1.43,4.15,3.03,-3.34,1.70,2.72,2.45,-5.59,0.23,1.84,3.55,1.88,2.59,1.98,-0.43,-4.05,-2.75,0.67,2.03
1955,-3.73,2.90,-3.56,-2.61,3.68,2.41,-4.88,1.01,2.20,1.86,-8.62,-0.59,1.17,3.03,1.15,1.83,1.05,-1.14,-6.38,-4.51,-0.17,1.35
1956,-3.82,2.21,-4.02,-3.10,2.84,1.96,-4.81,0.49,1.48,1.29,-8.01,-1.22,0.48,2.48,0.34,0.97,0.27,-1.63,-6.21,-4.63,-0.92,0.88
1957,-2.03,3.85,-2.42,-1.32,4.54,3.50,-3.30,2.09,3.14,2.89,-5.96,0.48,2.17,4.09,2.06,2.75,2.08,-0.06,-4.20,-2.77,0.84,2.41
1958,-3.16,3.05,-3.54,-2.53,3.69,2.62,-4.44,1.16,2.26,2.03,-7.17,-0.54,1.22,3.37,1.09,1.72,1.01,-1.12,-5.51,-4.15,-0.20,1.45
1959,-1.25,4.41,-1.78,-0.60,5.09,4.06,-2.44,2.68,3.72,3.47,-4.96,1.08,2.77,4.57,2.68,3.38,2.72,0.44,-3.27,-1.95,1.42,2.94
1960,-2.31,3.58,-2.56,-1.47,4.23,3.18,-3.57,1.83,2.89,2.64,-6.29,0.40,2.03,3.90,1.94,2.61,1.95,-0.32,-4.64,-3.14,0.72,2.07
1961,-1.20,4.45,-1.57,-0.36,5.37,4.11,-2.33,2.83,3.90,3.58,-5.21,1.34,3.01,4.70,2.93,3.58,2.93,0.60,-3.24,-1.75,1.70,3.09
1962,-3.21,2.79,-3.57,-2.49,3.55,2.44,-4.38,1.07,2.10,1.86,-7.31,-0.60,1.13,3.10,1.02,1.65,0.93,-1.27,-5.42,-4.04,-0.27,1.32
1963,-2.81,2.43,-3.38,-2.23,3.04,2.20,-3.73,0.82,1.82,1.57,-6.33,-0.71,0.90,2.76,0.87,1.56,0.91,-1.36,-4.63,-3.47,-0.37,1.10
1964,-1.99,3.26,-2.49,-1.31,3.85,2.99,-2.99,1.68,2.63,2.40,-5.56,0.25,1.79,3.56,1.73,2.35,1.75,-0.41,-3.86,-2.62,0.56,1.98
1965,-3.12,2.65,-3.48,-2.33,3.31,2.37,-4.16,0.95,1.98,1.72,-7.19,-0.59,1.08,2.97,1.02,1.65,0.99,-1.24,-5.20,-3.76,-0.23,1.31
1966,-3.78,2.82,-3.84,-2.88,3.17,2.48,-5.02,0.99,1.97,1.87,-8.36,-0.68,0.99,3.28,0.78,1.36,0.64,-1.36,-6.39,-4.77,-0.47,1.26
1967,-1.92,4.24,-2.12,-1.03,4.60,3.89,-3.18,2.46,3.46,3.28,-6.14,0.94,2.57,4.59,2.40,2.98,2.34,0.27,-4.34,-2.76,1.20,2.79
1968,-3.19,3.62,-3.53,-2.40,4.05,3.19,-4.58,1.75,2.87,2.63,-7.72,-0.16,1.78,3.91,1.55,2.13,1.31,-1.02,-5.76,-4.24,0.11,1.85
1969,-3.31,3.06,-3.59,-2.54,3.16,2.75,-4.59,1.24,2.22,2.11,-7.56,-0.44,1.23,3.36,1.05,1.60,0.93,-1.15,-5.78,-4.32,-0.22,1.56
1970,-3.20,2.55,-3.79,-2.68,2.91,2.18,-4.32,0.65,1.67,1.55,-6.82,-1.00,0.62,2.92,0.49,1.13,0.53,-1.55,-5.15,-3.93,-0.74,0.98
1971,-2.50,3.79,-2.36,-1.38,4.24,3.58,-3.42,2.07,3.02,2.90,-7.35,0.55,2.11,4.17,1.93,2.51,1.90,0.04,-4.97,-3.15,0.78,2.51
1972,-1.33,4.04,-1.68,-0.48,4.79,3.76,-2.49,2.43,3.46,3.19,-5.09,1.28,2.77,4.26,2.75,3.40,2.84,0.49,-3.41,-2.00,1.62,2.83
1973,-2.02,3.95,-2.03,-0.86,4.66,3.51,-2.91,2.09,3.26,2.97,-6.59,0.71,2.34,4.17,2.28,2.91,2.31,0.10,-4.17,-2.38,1.08,2.43
1974,-0.95,4.35,-1.28,-0.12,4.95,4.15,-2.23,2.72,3.64,3.49,-4.61,1.60,2.93,4.66,2.95,3.59,3.10,1.00,-2.99,-1.54,1.92,3.26
1975,-1.06,4.76,-1.19,-0.02,5.46,4.44,-2.29,3.03,4.08,3.84,-5.36,1.70,3.25,4.99,3.24,3.86,3.29,1.03,-3.17,-1.51,2.07,3.44
