Variable:,tasmin
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1933,2.74,1.50,1.06,2.60,2.34,1.87,5.55,2.48,3.90,3.83,3.27,3.79,3.12
1934,4.51,3.23,2.72,4.38,4.17,3.61,7.14,4.25,5.77,5.79,5.02,5.52,4.86
1935,3.50,2.19,1.66,3.37,3.16,2.61,6.18,3.25,4.75,4.73,4.02,4.54,3.86
1936,4.11,2.87,2.35,4.01,3.72,3.26,6.83,3.87,5.29,5.23,4.63,5.14,4.47
1937,3.89,2.63,2.12,3.75,3.57,3.00,6.57,3.62,5.12,5.13,4.40,4.93,4.23
1938,3.61,2.34,1.83,3.49,3.25,2.72,6.31,3.35,4.86,4.84,4.13,4.63,3.96
1939,3.84,2.57,2.03,3.71,3.53,2.96,6.53,3.59,5.07,5.02,4.37,4.88,4.21
1940,2.14,0.99,0.60,2.04,1.69,1.29,5.01,1.91,3.11,2.97,2.62,3.15,2.49
1941,2.59,1.39,0.92,2.48,2.20,1.74,5.39,2.36,3.69,3.58,3.10,3.63,2.95
1942,3.14,1.98,1.59,3.04,2.68,2.30,6.05,2.92,4.13,3.98,3.63,4.16,3.49
1943,4.02,2.82,2.41,3.90,3.60,3.16,6.86,3.77,5.11,5.04,4.51,5.05,4.37
1944,3.48,2.19,1.69,3.33,3.19,2.59,6.13,3.21,4.73,4.73,4.01,4.51,3.84
1945,3.94,2.63,2.10,3.79,3.60,3.04,6.61,3.65,5.24,5.25,4.45,4.99,4.28
1946,4.23,2.97,2.46,4.11,3.89,3.37,6.90,3.98,5.44,5.32,4.79,5.34,4.62
1947,3.95,2.78,2.31,3.87,3.49,3.17,6.70,3.72,5.00,4.86,4.44,5.02,4.29
1948,4.10,2.91,2.42,3.98,3.68,3.25,6.82,3.86,5.20,5.16,4.60,5.12,4.46
1949,4.17,2.95,2.37,4.09,3.81,3.33,6.78,3.95,5.35,5.26,4.71,5.24,4.55
1950,4.36,3.14,2.57,4.29,4.01,3.52,6.98,4.15,5.50,5.40,4.89,5.47,4.75
1951,4.67,3.41,2.96,4.54,4.23,3.89,7.35,4.43,5.79,5.83,5.18,5.71,5.03
1952,3.74,2.41,1.98,3.67,3.33,2.97,6.45,3.50,4.92,4.81,4.30,4.82,4.13
1953,3.95,2.79,2.40,3.83,3.50,3.20,6.78,3.72,4.99,4.87,4.40,4.95,4.25
1954,3.22,2.07,1.73,3.05,2.74,2.49,6.08,2.96,4.24,4.14,3.66,4.17,3.51
1955,3.44,2.26,1.91,3.28,2.96,2.76,6.30,3.20,4.48,4.40,3.88,4.41,3.74
1956,2.78,1.60,1.19,2.61,2.38,1.99,5.57,2.55,3.88,3.74,3.28,3.77,3.13
1957,4.10,2.96,2.52,3.90,3.69,3.26,6.84,3.85,5.22,5.13,4.62,5.06,4.47
1958,4.29,3.04,2.56,4.21,3.87,3.42,6.93,4.07,5.45,5.37,4.85,5.36,4.70
1959,4.10,2.93,2.55,3.99,3.63,3.33,6.93,3.85,5.15,5.04,4.54,5.11,4.40
1960,4.07,2.79,2.40,4.01,3.62,3.31,6.82,3.84,5.17,5.16,4.56,5.13,4.41
1961,4.32,3.21,2.70,4.20,3.85,3.50,7.07,4.10,5.38,5.27,4.81,5.33,4.67
1962,2.85,1.68,1.27,2.72,2.37,2.04,5.67,2.63,3.91,3.80,3.35,3.85,3.21
1963,3.26,2.13,1.72,3.14,2.74,2.55,6.12,3.03,4.27,4.14,3.70,4.25,3.55
1964,3.68,2.63,2.18,3.52,3.24,2.90,6.51,3.46,4.68,4.51,4.12,4.63,3.99
1965,3.29,2.07,1.58,3.17,2.93,2.39,5.96,3.07,4.41,4.35,3.84,4.32,3.69
1966,4.52,3.24,2.75,4.40,4.15,3.56,7.11,4.28,5.73,5.74,5.08,5.58,4.93
1967,4.28,3.02,2.51,4.22,3.88,3.34,6.87,4.06,5.45,5.42,4.84,5.36,4.70
1968,4.01,2.76,2.28,3.93,3.57,3.17,6.69,3.79,5.15,5.11,4.54,5.06,4.39
1969,3.46,2.34,1.91,3.37,2.94,2.65,6.30,3.24,4.47,4.40,3.90,4.46,3.77
1970,3.48,2.18,1.70,3.40,3.07,2.55,6.11,3.26,4.69,4.62,4.06,4.54,3.91
1971,3.73,2.66,2.18,3.59,3.23,2.95,6.56,3.51,4.74,4.65,4.17,4.70,4.04
1972,3.90,2.77,2.37,3.82,3.35,3.22,6.85,3.67,4.87,4.77,4.30,4.90,4.16
1973,3.55,2.35,1.93,3.41,3.10,2.73,6.33,3.31,4.65,4.59,4.04,4.54,3.89
1974,4.16,2.93,2.45,3.98,3.81,3.31,6.80,3.91,5.33,5.40,4.69,5.16,4.54
1975,4.43,3.25,2.81,4.27,3.99,3.60,7.17,4.19,5.53,5.48,4.93,5.41,4.79
1976,3.53,2.39,1.95,3.42,3.06,2.74,6.32,3.28,4.58,4.59,3.94,4.51,3.80
1977,4.33,3.13,2.62,4.17,3.98,3.47,6.98,4.08,5.51,5.48,4.83,5.34,4.68
1978,3.03,1.91,1.48,2.81,2.59,2.19,5.84,2.77,4.12,4.10,3.48,3.97,3.33
1979,3.97,2.71,2.26,3.91,3.52,3.21,6.71,3.74,5.09,5.06,4.44,5.01,4.29
1980,3.24,2.06,1.63,3.10,2.78,2.42,6.07,2.99,4.32,4.23,3.68,4.24,3.54
1981,3.82,2.49,1.97,3.75,3.45,2.92,6.40,3.58,5.05,5.11,4.36,4.90,4.20
1982,4.37,3.23,2.83,4.27,3.87,3.66,7.28,4.13,5.39,5.31,4.75,5.36,4.60
1983,4.20,2.98,2.45,4.08,3.85,3.32,6.85,3.97,5.36,5.37,4.70,5.23,4.56
1984,3.56,2.30,1.85,3.53,3.12,2.75,6.33,3.32,4.66,4.71,4.00,4.61,3.85
1985,3.38,2.23,1.84,3.28,2.87,2.62,6.31,3.14,4.39,4.26,3.78,4.39,3.64
1986,3.58,2.47,2.08,3.48,3.03,2.85,6.55,3.32,4.55,4.48,3.92,4.55,3.78
1987,3.81,2.68,2.25,3.71,3.32,3.07,6.68,3.57,4.86,4.77,4.22,4.81,4.07
1988,4.35,3.14,2.67,4.18,3.95,3.47,7.06,4.08,5.51,5.64,4.83,5.33,4.67
1989,4.36,3.16,2.61,4.17,4.06,3.39,6.92,4.10,5.60,5.51,4.91,5.39,4.76
1990,4.40,3.15,2.71,4.31,3.98,3.60,7.16,4.15,5.52,5.53,4.86,5.45,4.71
1991,3.79,2.65,2.16,3.66,3.35,3.02,6.56,3.57,4.84,4.78,4.25,4.79,4.10
1992,4.98,3.71,3.20,4.86,4.65,4.11,7.56,4.74,6.20,6.15,5.52,6.02,5.36
1993,4.37,3.15,2.65,4.24,4.03,3.49,7.02,4.12,5.54,5.44,4.88,5.39,4.73
1994,5.65,4.40,3.89,5.59,5.30,4.76,8.24,5.42,6.81,6.76,6.18,6.72,6.04
1995,4.48,3.17,2.67,4.42,4.13,3.58,7.06,4.24,5.67,5.68,5.01,5.55,4.86
1996,3.87,2.73,2.26,3.81,3.39,3.09,6.70,3.65,4.90,4.66,4.33,4.89,4.18
1997,4.62,3.50,3.04,4.51,4.21,3.82,7.40,4.40,5.67,5.40,5.11,5.63,4.97
1998,4.88,3.69,3.18,4.77,4.50,3.98,7.55,4.65,6.02,6.00,5.37,5.90,5.23
1999,5.04,3.83,3.37,4.97,4.62,4.17,7.74,4.82,6.14,6.06,5.53,6.08,5.39
2000,5.64,4.32,3.84,5.56,5.31,4.71,8.24,5.38,6.89,6.79,6.17,6.73,6.00
2001,4.70,3.46,2.99,4.58,4.28,3.88,7.41,4.48,5.83,5.74,5.22,5.70,5.07
2002,5.43,4.21,3.78,5.33,4.96,4.61,8.22,5.19,6.54,6.43,5.92,6.46,5.76
2003,4.55,3.35,2.98,4.49,4.01,3.82,7.51,4.34,5.51,5.38,5.01,5.57,4.88
2004,4.42,3.21,2.79,4.32,3.97,3.62,7.27,4.17,5.52,5.50,4.87,5.44,4.72
2005,3.95,2.72,2.27,3.82,3.53,3.09,6.73,3.71,5.10,5.04,4.45,4.96,4.30
2006,4.69,3.46,3.05,4.70,4.20,3.96,7.52,4.47,5.74,5.57,5.14,5.79,4.99
2007,5.40,4.13,3.70,5.33,4.92,4.59,8.15,5.15,6.57,6.50,5.88,6.45,5.72
2008,5.35,4.05,3.62,5.31,4.87,4.55,8.11,5.08,6.51,6.52,5.80,6.42,5.63
2009,5.25,3.98,3.53,5.20,4.79,4.41,7.96,5.02,6.41,6.32,5.74,6.31,5.59
2010,4.40,3.13,2.73,4.36,3.94,3.62,7.20,4.16,5.49,5.42,4.86,5.46,4.71
2011,5.27,4.07,3.63,5.28,4.82,4.48,8.07,5.09,6.22,6.12,5.75,6.33,5.64
2012,5.38,4.10,3.65,5.35,4.94,4.55,8.09,5.13,6.52,6.44,5.88,6.49,5.71
2013,5.21,3.95,3.49,5.14,4.82,4.34,7.91,4.97,6.36,6.29,5.73,6.28,5.58
2014,5.97,4.73,4.31,5.85,5.51,5.18,8.75,5.71,7.10,7.07,6.44,6.98,6.28
2015,5.60,4.37,3.93,5.49,5.15,4.77,8.37,5.33,6.75,6.70,6.09,6.61,5.93
2016,5.38,4.11,3.69,5.32,4.93,4.57,8.14,5.12,6.53,6.43,5.87,6.45,5.71
2017,5.13,3.84,3.36,5.05,4.70,4.31,7.81,4.86,6.33,6.28,5.65,6.20,5.47
2018,6.01,4.78,4.36,5.89,5.56,5.23,8.81,5.76,7.16,7.07,6.48,7.01,6.32
2019,5.78,4.50,4.04,5.69,5.40,4.93,8.46,5.53,6.95,6.89,6.31,6.86,6.15
2020,5.58,4.43,3.94,5.46,5.17,4.73,8.28,5.37,6.68,6.61,6.06,6.59,5.92
