Variable:,tasmin
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1965,1.44,1.52,1.42,1.42,1.42,1.42,1.42,1.50,1.42,1.42,1.42,1.42
1966,2.35,2.43,2.33,2.33,2.33,2.33,2.33,2.41,2.33,2.33,2.33,2.33
1967,2.18,2.26,2.16,2.16,2.16,2.16,2.16,2.24,2.16,2.16,2.16,2.16
1968,2.04,2.12,2.02,2.02,2.02,2.02,2.02,2.10,2.02,2.02,2.02,2.02
1969,1.68,1.77,1.66,1.66,1.66,1.66,1.66,1.75,1.66,1.66,1.66,1.66
1970,1.58,1.67,1.57,1.56,1.56,1.56,1.56,1.65,1.56,1.56,1.56,1.56
1971,2.04,2.12,2.02,2.02,2.02,2.02,2.02,2.10,2.02,2.02,2.02,2.02
1972,2.05,2.14,2.03,2.03,2.03,2.03,2.03,2.12,2.03,2.03,2.03,2.03
1973,1.97,2.06,1.95,1.95,1.95,1.95,1.95,2.04,1.95,1.95,1.95,1.95
1974,2.54,2.64,2.53,2.52,2.52,2.52,2.52,2.61,2.52,2.52,2.52,2.52
1975,2.56,2.65,2.55,2.54,2.54,2.54,2.54,2.63,2.54,2.54,2.54,2.54
1976,2.22,2.31,2.21,2.20,2.20,2.20,2.20,2.29,2.20,2.20,2.20,2.20
1977,2.65,2.74,2.64,2.63,2.63,2.63,2.63,2.72,2.63,2.63,2.63,2.63
1978,1.73,1.83,1.72,1.71,1.71,1.71,1.71,1.81,1.71,1.71,1.71,1.71
1979,2.20,2.30,2.19,2.18,2.18,2.18,2.18,2.27,2.18,2.18,2.18,2.18
1980,1.69,1.79,1.68,1.67,1.67,1.67,1.67,1.76,1.67,1.67,1.67,1.67
1981,2.09,2.18,2.08,2.07,2.07,2.07,2.07,2.16,2.07,2.07,2.07,2.07
1982,2.95,3.04,2.93,2.93,2.93,2.93,2.93,3.02,2.93,2.93,2.93,2.93
1983,2.85,2.94,2.83,2.83,2.83,2.83,2.83,2.92,2.83,2.83,2.83,2.83
1984,1.97,2.06,1.95,1.95,1.95,1.95,1.95,2.04,1.95,1.95,1.95,1.95
1985,1.77,1.86,1.75,1.75,1.75,1.75,1.75,1.84,1.75,1.75,1.75,1.75
1986,2.24,2.33,2.23,2.22,2.22,2.22,2.22,2.31,2.22,2.22,2.22,2.22
1987,2.35,2.44,2.33,2.33,2.33,2.33,2.33,2.42,2.33,2.33,2.33,2.33
1988,3.01,3.10,3.00,2.99,2.99,2.99,2.99,3.08,2.99,2.99,2.99,2.99
1989,3.19,3.28,3.17,3.17,3.17,3.17,3.17,3.26,3.17,3.17,3.17,3.17
1990,3.10,3.19,3.08,3.08,3.08,3.08,3.08,3.17,3.08,3.08,3.08,3.08
1991,2.37,2.46,2.35,2.35,2.35,2.35,2.35,2.44,2.35,2.35,2.35,2.35
1992,3.24,3.33,3.22,3.22,3.22,3.22,3.22,3.31,3.22,3.22,3.22,3.22
1993,2.73,2.82,2.71,2.71,2.71,2.71,2.71,2.80,2.71,2.71,2.71,2.71
1994,3.93,4.02,3.91,3.91,3.91,3.91,3.91,4.00,3.91,3.91,3.91,3.91
1995,2.85,2.94,2.83,2.83,2.83,2.83,2.83,2.92,2.83,2.83,2.83,2.83
1996,2.28,2.36,2.26,2.26,2.26,2.26,2.26,2.34,2.26,2.26,2.26,2.26
1997,3.26,3.35,3.24,3.24,3.24,3.24,3.24,3.33,3.24,3.24,3.24,3.24
1998,3.00,3.09,2.98,2.98,2.98,2.98,2.98,3.07,2.98,2.98,2.98,2.98
1999,3.10,3.19,3.08,3.08,3.08,3.08,3.08,3.17,3.08,3.08,3.08,3.08
2000,3.63,3.72,3.61,3.61,3.61,3.61,3.61,3.70,3.61,3.61,3.61,3.61
2001,2.79,2.88,2.77,2.77,2.77,2.77,2.77,2.86,2.77,2.77,2.77,2.77
2002,3.58,3.67,3.56,3.56,3.56,3.56,3.56,3.65,3.56,3.56,3.56,3.56
2003,2.81,2.90,2.79,2.79,2.79,2.79,2.79,2.88,2.79,2.79,2.79,2.79
2004,2.70,2.79,2.68,2.68,2.68,2.68,2.68,2.77,2.68,2.68,2.68,2.68
2005,2.44,2.53,2.42,2.42,2.42,2.42,2.42,2.51,2.42,2.42,2.42,2.42
2006,3.16,3.25,3.14,3.14,3.14,3.14,3.14,3.23,3.14,3.14,3.14,3.14
2007,3.25,3.34,3.23,3.23,3.23,3.23,3.23,3.32,3.23,3.23,3.23,3.23
2008,2.96,3.05,2.94,2.94,2.94,2.94,2.94,3.03,2.94,2.94,2.94,2.94
2009,3.10,3.19,3.08,3.08,3.08,3.08,3.08,3.17,3.08,3.08,3.08,3.08
2010,2.23,2.31,2.21,2.21,2.21,2.21,2.21,2.29,2.21,2.21,2.21,2.21
2011,3.64,3.73,3.62,3.62,3.62,3.62,3.62,3.71,3.62,3.62,3.62,3.62
2012,3.20,3.28,3.18,3.18,3.18,3.18,3.18,3.26,3.18,3.18,3.18,3.18
2013,3.12,3.20,3.10,3.10,3.10,3.10,3.10,3.18,3.10,3.10,3.10,3.10
2014,4.19,4.28,4.17,4.17,4.17,4.17,4.17,4.26,4.17,4.17,4.17,4.17
2015,3.93,4.02,3.92,3.91,3.91,3.91,3.91,4.00,3.91,3.91,3.91,3.91
2016,3.62,3.71,3.60,3.60,3.60,3.60,3.60,3.69,3.60,3.60,3.60,3.60
2017,3.45,3.54,3.44,3.43,3.43,3.43,3.43,3.52,3.43,3.43,3.43,3.43
2018,4.12,4.22,4.11,4.10,4.10,4.10,4.10,4.20,4.10,4.10,4.10,4.10
2019,3.84,3.93,3.82,3.82,3.82,3.82,3.82,3.91,3.82,3.82,3.82,3.82
2020,3.92,4.02,3.91,3.90,3.90,3.90,3.90,4.00,3.90,3.90,3.90,3.90
