Variable:,tasmin
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
1985,0.91,1.72,1.28,1.14,0.92,1.10,0.49,0.08
1986,1.97,2.61,2.39,2.08,1.96,2.13,1.58,1.25
1987,0.31,1.19,0.65,0.53,0.30,0.47,-0.18,-0.50
1988,2.62,3.28,2.90,2.80,2.65,2.83,2.21,1.99
1989,4.29,4.62,4.71,4.27,4.37,4.58,4.05,3.74
1990,4.09,4.58,4.47,4.15,4.22,4.43,3.76,3.42
1991,3.29,3.71,3.65,3.25,3.34,3.53,3.02,2.75
1992,3.28,3.86,3.58,3.41,3.35,3.51,2.86,2.67
1993,2.40,3.04,2.81,2.50,2.44,2.58,2.03,1.68
1994,2.88,3.81,3.31,3.10,2.92,3.08,2.34,1.96
1995,2.96,3.52,3.30,3.06,2.99,3.18,2.62,2.36
1996,1.47,2.14,1.86,1.54,1.51,1.73,1.13,0.72
1997,2.60,3.15,2.80,2.77,2.71,2.90,2.17,2.07
1998,2.89,3.59,3.23,3.03,2.97,3.17,2.44,2.15
1999,3.59,4.23,4.03,3.68,3.61,3.77,3.24,2.82
2000,4.09,4.72,4.42,4.20,4.16,4.31,3.66,3.43
2001,3.11,3.77,3.48,3.25,3.17,3.35,2.73,2.38
2002,3.42,4.23,3.82,3.64,3.49,3.65,2.94,2.54
2003,2.82,3.39,3.06,2.98,2.94,3.12,2.37,2.24
2004,3.01,3.67,3.42,3.12,3.04,3.22,2.63,2.23
2005,2.93,3.52,3.38,3.00,2.99,3.18,2.60,2.13
2006,3.06,3.74,3.37,3.32,3.15,3.29,2.59,2.34
2007,4.04,4.73,4.54,4.16,4.06,4.28,3.71,3.13
2008,4.47,5.10,4.75,4.62,4.57,4.70,4.08,3.78
2009,3.52,4.10,4.02,3.56,3.55,3.73,3.21,2.71
2010,2.90,3.58,3.47,2.93,2.95,3.18,2.64,1.94
2011,3.61,4.23,3.91,3.75,3.70,3.84,3.23,2.95
2012,3.20,3.84,3.73,3.25,3.22,3.41,2.92,2.32
2013,3.93,4.58,4.41,4.04,3.97,4.09,3.60,3.07
2014,3.86,4.61,4.13,4.06,3.95,4.13,3.45,3.06
2015,4.49,5.09,4.91,4.55,4.58,4.80,4.15,3.72
2016,3.95,4.63,4.35,4.11,4.03,4.20,3.55,3.15
2017,4.01,4.66,4.45,4.11,4.09,4.33,3.69,3.16
2018,4.00,4.78,4.33,4.20,4.10,4.30,3.55,3.18
2019,4.69,5.32,5.10,4.78,4.78,4.98,4.36,3.88
2020,5.09,5.54,5.50,5.07,5.19,5.46,4.83,4.43
