Variable:,tasmin
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
1935,9.54,7.36,8.67,9.33,8.70,10.53,12.38,9.26,9.87,9.58
1936,9.84,7.72,8.95,9.55,9.04,10.91,12.61,9.55,10.17,9.87
1937,10.16,8.03,9.19,9.96,9.48,11.14,12.74,9.74,10.41,10.22
1938,10.16,8.11,9.60,9.60,9.31,11.55,13.24,10.31,10.54,9.95
1939,9.96,7.76,9.00,9.86,9.23,11.12,12.56,9.74,10.02,10.02
1940,10.04,8.01,9.36,9.42,9.20,11.58,13.04,10.14,10.37,9.88
1941,10.12,8.07,9.59,9.52,9.27,11.83,13.40,10.42,10.43,9.78
1942,10.29,8.31,9.83,9.75,9.50,11.83,13.47,10.50,10.68,9.95
1943,9.63,7.62,9.13,8.99,8.79,11.25,12.88,9.97,9.97,9.30
1944,9.97,7.90,9.45,9.52,9.12,11.51,13.09,10.21,10.28,9.68
1945,10.11,7.91,9.17,9.92,9.33,11.29,12.59,9.84,10.30,10.23
1946,10.13,8.05,9.64,9.52,9.22,11.67,13.22,10.41,10.51,9.91
1947,10.31,8.25,9.82,9.68,9.42,11.72,13.41,10.51,10.76,10.12
1948,9.86,7.71,9.27,9.35,8.93,11.33,12.95,10.04,10.18,9.71
1949,10.15,8.02,9.50,9.75,9.32,11.59,13.13,10.26,10.38,10.01
1950,10.27,8.22,9.65,9.70,9.50,11.77,13.23,10.43,10.54,10.09
1951,9.56,7.31,9.10,9.10,8.49,11.09,12.97,10.00,9.85,9.30
1952,10.20,8.12,9.91,9.53,9.24,11.86,13.70,10.78,10.58,9.79
1953,9.91,7.68,9.15,9.59,9.10,11.20,12.92,9.99,10.02,9.83
1954,9.69,7.56,9.23,9.23,8.74,11.26,13.05,10.06,9.95,9.39
1955,9.37,7.14,8.94,8.98,8.29,10.93,12.88,9.87,9.60,9.08
1956,9.79,7.75,9.58,9.01,8.74,11.49,13.33,10.43,10.20,9.41
1957,10.18,8.16,9.97,9.32,9.10,11.97,13.89,10.94,10.64,9.69
1958,10.09,8.08,9.91,9.19,8.95,11.85,13.78,10.84,10.63,9.66
1959,10.01,7.78,9.44,9.53,9.01,11.51,13.44,10.41,10.25,9.76
1960,10.23,8.16,9.36,9.80,9.51,11.58,13.23,10.39,10.42,10.03
1961,10.49,8.56,9.97,9.71,9.57,12.02,13.61,10.87,10.93,10.24
1962,10.15,8.10,9.53,9.57,9.47,11.86,13.37,10.56,10.30,9.78
1963,10.42,8.17,9.45,10.36,9.63,11.73,12.98,10.25,10.43,10.50
1964,9.89,7.74,9.27,9.47,9.08,11.57,13.09,10.19,10.13,9.55
1965,10.00,8.00,9.32,9.34,9.22,11.50,12.98,10.12,10.37,9.80
1966,10.42,8.43,9.73,9.63,9.50,11.81,13.56,10.45,10.85,10.32
1967,10.17,8.03,9.33,9.55,9.49,11.71,13.16,10.21,10.32,10.03
1968,9.79,7.75,9.29,9.08,8.84,11.42,13.19,10.27,10.06,9.47
1969,10.48,8.68,10.01,9.42,9.68,12.22,13.68,10.94,10.97,10.13
1970,10.28,8.40,9.78,9.25,9.50,11.86,13.53,10.64,10.75,9.96
1971,10.16,8.23,9.60,9.30,9.42,11.79,13.12,10.45,10.47,9.93
1972,10.25,8.11,9.53,9.79,9.41,11.84,12.97,10.31,10.46,10.20
1973,10.41,8.30,9.78,9.89,9.30,11.74,13.59,10.68,10.74,10.30
1974,10.29,8.26,9.51,9.94,9.61,11.82,13.08,10.35,10.48,10.07
1975,9.94,7.78,9.56,9.62,9.13,11.76,12.99,10.36,10.29,9.54
1976,9.98,7.81,9.22,9.74,9.29,11.64,12.87,10.09,10.13,9.72
1977,10.36,8.18,9.82,10.04,9.73,12.13,13.46,10.70,10.54,9.93
1978,10.05,8.05,9.86,9.52,9.23,11.99,13.29,10.64,10.48,9.52
1979,10.59,8.80,10.22,9.95,9.68,12.13,13.49,10.90,11.06,10.32
1980,10.16,8.04,9.35,9.72,9.43,11.76,12.88,10.19,10.24,10.07
1981,9.97,7.83,9.33,9.58,9.10,11.48,12.78,10.16,10.37,9.80
1982,10.39,8.43,9.94,9.72,9.55,11.96,13.39,10.62,10.76,10.15
1983,10.95,9.23,10.68,9.84,10.14,12.52,14.16,11.37,11.52,10.61
1984,10.74,8.81,10.30,10.07,9.76,12.10,13.79,10.99,11.29,10.55
1985,10.89,8.89,10.31,10.34,10.17,12.32,13.61,10.94,11.14,10.79
1986,10.83,8.91,10.38,10.26,9.88,12.21,13.55,10.94,11.15,10.78
1987,10.98,9.17,10.62,10.05,10.00,12.69,14.05,11.45,11.37,10.72
1988,10.67,8.62,10.16,10.14,9.79,12.27,13.54,10.94,10.92,10.50
1989,10.35,8.14,9.94,9.95,9.48,12.07,13.78,10.71,10.40,9.99
1990,10.39,8.37,10.04,9.63,9.18,12.00,13.76,10.77,10.85,10.20
1991,10.58,8.53,10.05,9.90,9.76,12.38,13.70,10.90,10.91,10.28
1992,10.73,8.55,10.57,9.94,9.75,12.51,14.33,11.35,11.21,10.31
1993,11.10,8.91,10.55,10.39,10.00,12.67,14.27,11.43,11.37,11.02
1994,10.19,7.60,9.24,10.08,9.19,11.37,12.93,10.10,10.07,10.47
1995,10.82,8.60,10.38,10.08,9.51,12.29,14.09,11.20,11.20,10.80
1996,10.47,8.39,10.17,9.71,9.30,12.15,13.69,10.99,10.81,10.30
1997,10.66,8.45,10.33,10.08,9.56,12.39,13.59,11.07,10.99,10.56
1998,10.88,8.69,10.57,10.26,9.68,12.51,14.06,11.37,11.16,10.77
1999,11.30,9.10,10.36,10.83,10.32,12.53,13.90,11.18,11.47,11.53
2000,10.52,8.38,10.06,9.98,9.52,12.12,13.55,10.87,10.75,10.37
2001,10.77,8.80,10.21,10.14,9.74,12.30,13.79,11.00,11.07,10.63
2002,10.39,8.34,9.86,9.80,9.37,11.99,13.46,10.69,10.73,10.23
2003,10.70,8.56,10.02,10.17,9.59,12.13,13.69,10.82,11.07,10.66
2004,11.19,9.07,10.61,10.65,10.05,12.54,14.26,11.37,11.61,11.16
2005,10.95,8.80,10.60,10.19,9.65,12.58,14.63,11.59,11.43,10.67
2006,10.77,8.50,10.19,10.35,9.65,12.23,14.20,11.25,10.97,10.57
2007,10.75,8.51,10.18,10.34,9.60,12.22,13.95,11.04,11.08,10.62
2008,11.04,8.84,10.45,10.59,9.88,12.46,14.08,11.26,11.43,10.99
2009,11.05,8.78,10.31,10.66,9.89,12.36,14.07,11.15,11.37,11.09
2010,11.10,8.91,10.44,10.66,10.12,12.61,14.18,11.35,11.33,10.98
2011,10.46,8.26,9.74,10.10,9.54,12.06,13.49,10.67,10.61,10.31
2012,10.47,8.19,9.75,10.17,9.56,12.18,13.54,10.75,10.59,10.26
2013,10.50,8.10,9.59,10.27,9.52,12.05,13.50,10.70,10.52,10.47
2014,10.93,8.61,10.09,10.68,9.96,12.41,13.81,11.05,11.03,10.92
2015,11.19,8.86,10.46,10.76,10.23,12.70,14.25,11.45,11.38,11.13
2016,11.30,9.13,10.62,10.78,10.36,12.90,14.16,11.42,11.55,11.23
2017,10.82,8.59,10.28,10.29,9.81,12.48,14.17,11.30,11.04,10.57
2018,11.05,8.80,10.57,10.57,9.86,12.65,14.35,11.52,11.37,10.87
2019,11.55,9.34,11.02,11.03,10.45,13.07,14.74,11.88,11.92,11.40
2020,11.02,8.79,10.43,10.52,9.83,12.49,14.29,11.40,11.33,10.91
