Variable:,tasmin
,Malawi,"Central Region","Northern Region","Southern Region","Area under National Administration"
1992,16.93,16.35,15.48,18.08,17.98
1993,16.90,16.33,15.30,18.20,17.88
1994,16.91,16.37,15.51,17.96,18.01
1995,17.26,16.74,15.72,18.48,18.25
1996,16.85,16.33,15.30,18.04,17.88
1997,17.02,16.49,15.57,18.11,18.11
1998,17.23,16.66,15.78,18.33,18.35
1999,16.77,16.17,15.32,17.91,17.89
2000,16.76,16.15,15.37,17.85,17.90
2001,16.93,16.34,15.55,18.00,18.05
2002,17.01,16.47,15.60,18.01,18.15
2003,17.10,16.50,15.64,18.21,18.23
2004,16.99,16.45,15.47,18.17,18.05
2005,17.67,17.10,16.10,18.92,18.72
2006,17.17,16.64,15.57,18.41,18.20
2007,17.14,16.62,15.63,18.27,18.22
2008,16.79,16.23,15.38,17.83,17.92
2009,16.95,16.38,15.52,18.02,18.08
2010,17.52,17.00,16.01,18.68,18.56
2011,16.90,16.30,15.44,18.05,17.98
2012,16.83,16.27,15.36,17.95,17.89
2013,16.89,16.33,15.42,18.04,17.96
2014,17.02,16.38,15.66,18.11,18.16
2015,17.26,16.71,15.82,18.35,18.34
2016,17.34,16.74,15.91,18.50,18.40
2017,17.09,16.44,15.72,18.17,18.23
2018,17.08,16.47,15.65,18.24,18.16
2019,17.29,16.64,15.88,18.45,18.41
2020,17.40,16.83,15.91,18.57,18.47
