Variable:,tasmin
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
1921,5.48,-4.09,3.61,2.68,7.95,-1.55,9.21,5.22,1.94,-0.00,11.11,6.26,9.04,3.44,9.90,2.23,8.35,5.82,9.32,6.89,3.02,9.41,13.51,-1.06,7.11,4.25,3.16,1.51,3.87,-0.18,6.23,1.06,-2.40,0.77,4.40
1922,5.94,-3.37,4.47,3.31,8.81,-1.05,9.78,6.10,2.06,0.60,11.21,7.10,9.96,3.86,9.85,2.72,8.52,6.31,10.12,7.34,3.35,9.80,13.76,-0.51,7.10,4.49,3.91,2.28,4.59,0.16,6.22,1.39,-1.86,1.24,4.52
1923,4.88,-4.38,2.95,2.31,7.56,-2.15,8.41,4.64,1.31,-0.75,10.38,5.53,8.58,2.98,9.21,1.81,7.79,5.38,9.04,6.47,2.51,8.95,12.89,-1.46,6.47,3.68,2.74,0.94,3.57,-0.72,5.58,0.33,-2.79,0.33,3.60
1924,5.07,-4.22,3.12,2.48,7.79,-1.97,8.64,4.81,1.48,-0.57,10.60,5.71,8.81,3.19,9.40,2.02,8.00,5.56,9.20,6.65,2.73,9.14,13.09,-1.27,6.66,3.91,2.96,1.14,3.76,-0.55,5.73,0.49,-2.59,0.52,3.79
1925,5.49,-4.05,3.69,2.87,8.34,-1.52,9.23,5.36,1.80,-0.03,11.00,6.34,9.37,3.51,9.71,2.32,8.24,5.81,9.63,6.93,3.02,9.41,13.57,-1.06,6.86,4.17,3.45,1.65,4.05,-0.19,6.01,0.95,-2.32,0.88,4.19
1926,5.58,-3.84,4.04,2.81,8.44,-1.49,9.41,5.69,1.71,0.21,11.03,6.62,9.57,3.38,9.65,2.20,8.07,5.77,9.72,6.84,2.90,9.30,13.57,-1.02,6.73,4.03,3.44,1.86,4.18,-0.27,5.94,1.04,-2.39,0.74,4.24
1927,5.47,-3.83,3.84,2.89,8.32,-1.53,9.20,5.53,1.64,0.04,10.85,6.39,9.43,3.51,9.51,2.38,8.09,5.94,9.71,7.01,2.97,9.37,13.41,-0.90,6.67,4.06,3.39,1.76,4.22,-0.27,5.80,0.90,-2.19,0.86,4.09
1928,5.25,-4.12,3.32,2.56,7.75,-1.77,8.86,4.98,1.73,-0.33,10.83,5.90,8.87,3.31,9.64,2.16,8.14,5.73,9.20,6.81,2.88,9.26,13.26,-1.10,6.89,4.04,2.94,1.26,3.86,-0.38,6.01,0.87,-2.44,0.61,4.18
1929,4.87,-4.69,2.95,2.11,7.33,-2.27,8.44,4.61,1.40,-0.70,10.46,5.47,8.43,3.10,9.31,1.90,7.97,5.50,8.72,6.60,2.72,9.14,12.91,-1.44,6.70,3.94,2.47,0.84,3.37,-0.73,5.70,0.35,-2.81,0.29,3.74
1930,4.88,-4.46,3.04,2.33,7.63,-2.21,8.40,4.73,1.26,-0.68,10.34,5.56,8.68,3.15,9.15,1.96,7.88,5.46,9.09,6.57,2.66,9.10,12.80,-1.37,6.55,3.88,2.72,1.00,3.62,-0.73,5.52,0.25,-2.67,0.43,3.51
1931,5.38,-3.77,3.48,3.03,8.11,-1.53,8.82,5.18,1.96,-0.13,10.63,5.95,9.02,3.93,9.49,2.74,8.69,6.35,9.77,7.44,3.46,9.97,12.86,-0.57,7.05,4.65,3.45,1.48,4.29,0.10,5.98,0.94,-1.96,1.16,4.14
1932,5.42,-3.69,3.34,3.12,8.23,-1.38,8.71,5.09,2.17,-0.18,10.64,5.81,9.06,4.06,9.65,2.83,8.83,6.43,9.83,7.51,3.60,10.03,12.85,-0.54,7.31,4.79,3.58,1.62,4.38,0.24,6.24,1.01,-1.91,1.26,4.18
1933,5.48,-3.88,3.78,3.00,8.33,-1.47,9.07,5.45,1.91,0.02,10.79,6.28,9.33,3.76,9.55,2.55,8.42,6.09,9.77,7.21,3.28,9.67,13.16,-0.83,6.89,4.41,3.54,1.71,4.20,0.01,5.99,0.99,-2.15,1.05,4.17
1934,5.15,-4.35,3.12,2.56,7.57,-1.95,8.73,4.76,1.72,-0.38,10.79,5.66,8.47,3.53,9.58,2.27,8.38,5.91,9.14,7.00,3.12,9.57,13.08,-1.03,6.98,4.33,2.93,1.00,3.67,-0.29,5.96,0.71,-2.47,0.74,4.01
1935,5.11,-4.49,3.62,2.43,7.73,-1.94,8.90,5.23,1.35,-0.25,10.54,6.14,8.98,3.22,9.16,2.02,7.92,5.57,9.09,6.67,2.76,9.16,12.99,-1.32,6.40,3.91,2.92,1.32,3.59,-0.51,5.52,0.61,-2.66,0.52,3.85
1936,5.39,-4.20,3.62,2.66,8.09,-1.65,9.17,5.23,1.73,-0.16,10.92,6.27,9.10,3.36,9.68,2.18,8.21,5.76,9.44,6.79,2.92,9.30,13.41,-1.15,6.87,4.13,3.24,1.50,3.90,-0.29,6.01,0.82,-2.45,0.72,4.13
1937,4.82,-4.66,2.94,2.19,7.46,-2.17,8.48,4.52,1.24,-0.76,10.34,5.60,8.39,2.92,9.15,1.72,7.87,5.35,8.90,6.40,2.49,8.93,12.78,-1.53,6.49,3.72,2.72,0.80,3.37,-0.77,5.49,0.27,-2.88,0.24,3.60
1938,5.55,-4.00,3.92,2.86,8.30,-1.51,9.32,5.51,1.86,0.07,11.05,6.55,9.40,3.42,9.77,2.21,8.23,5.69,9.66,6.79,3.01,9.30,13.56,-1.13,6.98,4.19,3.43,1.72,4.12,-0.17,6.12,0.99,-2.36,0.83,4.25
1939,5.60,-3.81,3.94,2.95,8.46,-1.46,9.29,5.56,1.90,0.09,11.05,6.57,9.54,3.54,9.77,2.33,8.30,5.87,9.81,6.95,3.11,9.41,13.53,-0.96,7.00,4.27,3.52,1.82,4.28,-0.10,6.11,1.03,-2.25,0.88,4.26
1940,6.14,-3.13,4.59,3.49,9.04,-0.92,9.85,6.25,2.36,0.65,11.53,7.18,10.19,4.08,10.15,2.91,8.78,6.45,10.39,7.53,3.63,9.97,14.09,-0.36,7.36,4.79,4.06,2.43,4.90,0.41,6.48,1.52,-1.67,1.42,4.68
1941,6.75,-2.69,5.05,4.04,9.46,-0.30,10.44,6.68,3.09,1.25,12.23,7.68,10.61,4.68,10.99,3.49,9.47,7.01,10.89,8.11,4.25,10.58,14.68,0.18,8.19,5.42,4.63,2.93,5.37,1.05,7.32,2.28,-1.11,2.02,5.48
1942,5.98,-3.31,4.19,3.43,8.82,-0.93,9.60,5.83,2.36,0.43,11.38,6.78,9.78,4.08,10.09,2.89,8.84,6.47,10.22,7.52,3.65,10.01,13.86,-0.37,7.37,4.82,3.98,2.17,4.72,0.43,6.45,1.46,-1.70,1.40,4.64
1943,5.44,-3.76,3.31,3.04,8.16,-1.36,8.90,4.93,2.08,-0.23,10.90,5.94,8.86,3.77,9.78,2.55,8.70,6.18,9.77,7.22,3.35,9.81,13.22,-0.69,7.16,4.57,3.53,1.35,4.28,0.11,6.17,0.97,-2.05,1.05,4.28
1944,5.75,-3.51,4.25,3.17,8.74,-1.24,9.35,5.93,1.98,0.34,11.06,6.66,9.91,3.72,9.74,2.55,8.38,6.07,10.07,7.17,3.24,9.55,13.62,-0.74,7.01,4.39,3.76,2.20,4.59,0.06,6.13,1.22,-2.04,1.09,4.33
1945,5.20,-4.29,3.40,2.52,7.90,-1.86,8.91,5.03,1.56,-0.28,10.71,6.04,8.96,3.22,9.46,2.02,8.07,5.62,9.25,6.67,2.81,9.23,13.16,-1.21,6.69,4.02,3.08,1.31,3.72,-0.47,5.79,0.74,-2.57,0.53,4.00
1946,5.77,-3.66,3.69,3.18,8.39,-1.08,9.18,5.35,2.50,0.10,11.28,6.24,9.25,3.99,10.26,2.75,9.01,6.36,9.88,7.42,3.63,10.01,13.59,-0.53,7.71,4.89,3.71,1.78,4.35,0.37,6.68,1.34,-1.89,1.25,4.65
1947,6.26,-3.38,4.50,3.54,8.93,-0.72,9.85,6.13,2.81,0.77,11.81,7.03,10.05,4.20,10.61,2.96,9.12,6.43,10.29,7.54,3.89,10.06,14.25,-0.41,7.86,5.10,4.07,2.40,4.75,0.70,6.99,1.89,-1.66,1.57,5.09
1948,5.65,-4.19,3.85,2.82,8.21,-1.33,9.37,5.45,2.23,0.25,11.28,6.44,9.35,3.49,10.05,2.26,8.47,5.64,9.55,6.81,3.21,9.30,13.74,-1.20,7.31,4.48,3.37,1.72,4.00,0.03,6.42,1.33,-2.35,0.88,4.54
1949,5.00,-4.54,2.76,2.41,7.45,-1.76,8.55,4.33,1.70,-0.57,10.64,5.41,8.24,3.16,9.63,1.95,8.22,5.51,9.02,6.63,2.77,9.19,12.91,-1.37,6.86,4.03,2.88,0.80,3.49,-0.40,5.99,0.76,-2.63,0.55,4.11
1950,4.24,-4.98,2.33,1.73,7.02,-2.61,7.72,4.05,0.69,-1.33,9.67,4.82,7.97,2.43,8.50,1.24,7.17,4.78,8.53,5.85,1.91,8.36,12.10,-2.06,5.81,3.09,2.25,0.40,3.03,-1.33,4.88,-0.20,-3.36,-0.25,3.04
1951,5.52,-4.04,3.54,2.99,8.17,-1.37,9.24,5.16,2.00,-0.06,11.02,6.32,9.07,3.62,9.71,2.41,8.40,5.93,9.72,7.04,3.20,9.57,13.59,-0.93,7.07,4.37,3.48,1.51,4.20,-0.04,6.20,1.06,-2.15,0.98,4.35
1952,5.57,-3.66,3.76,3.19,8.47,-1.27,9.04,5.44,2.17,0.00,10.75,6.31,9.40,3.89,9.61,2.67,8.67,6.21,10.01,7.32,3.44,9.85,13.20,-0.65,7.21,4.64,3.70,1.73,4.47,0.11,6.26,1.13,-1.95,1.17,4.36
1953,6.18,-3.25,4.29,3.66,8.86,-0.65,9.80,5.86,2.79,0.74,11.47,7.04,9.75,4.34,10.28,3.13,9.28,6.75,10.38,7.83,3.94,10.36,13.90,-0.11,7.87,5.15,4.14,2.20,4.85,0.71,6.97,1.89,-1.43,1.70,5.11
1954,5.35,-4.29,3.40,2.62,7.75,-1.56,9.12,4.96,1.91,-0.22,10.94,6.22,8.79,3.32,9.69,2.13,8.27,5.63,9.24,6.74,2.95,9.22,13.52,-1.21,6.99,4.20,3.10,1.23,3.70,-0.26,6.14,0.98,-2.45,0.72,4.30
1955,5.80,-3.62,4.44,3.09,8.62,-1.25,9.63,6.07,2.09,0.44,11.03,7.05,9.95,3.66,9.70,2.47,8.33,5.91,9.98,7.02,3.22,9.41,13.60,-0.87,7.09,4.43,3.67,2.21,4.42,-0.04,6.23,1.31,-2.14,1.02,4.49
1956,5.56,-3.71,3.73,2.96,8.36,-1.38,9.29,5.40,1.84,0.02,11.02,6.43,9.28,3.57,9.65,2.40,8.24,5.91,9.76,7.01,3.06,9.46,13.61,-0.91,6.87,4.22,3.54,1.70,4.25,-0.13,6.05,1.04,-2.19,0.91,4.27
1957,4.91,-4.74,3.06,2.05,7.40,-2.15,8.83,4.66,1.14,-0.61,10.67,5.86,8.55,2.69,9.26,1.49,7.47,5.05,8.74,6.10,2.25,8.64,13.21,-1.77,6.17,3.38,2.57,0.90,3.21,-0.93,5.37,0.38,-3.07,0.08,3.66
1958,6.17,-3.34,4.31,3.58,8.82,-0.72,9.72,6.07,2.72,0.64,11.64,6.87,10.05,4.26,10.53,3.08,9.05,6.57,10.26,7.68,3.86,10.15,14.01,-0.23,7.76,5.07,4.01,2.33,4.73,0.60,6.93,1.77,-1.50,1.63,5.05
1959,5.71,-3.76,3.63,2.99,8.27,-1.24,9.44,5.32,2.18,0.12,11.38,6.36,9.25,3.68,10.20,2.44,8.47,5.95,9.73,7.07,3.26,9.56,13.83,-0.85,7.22,4.41,3.47,1.58,4.22,0.10,6.48,1.25,-2.13,1.04,4.60
1960,5.40,-4.03,3.57,2.79,8.10,-1.52,9.03,5.21,1.87,-0.05,10.77,6.22,9.13,3.46,9.68,2.30,8.38,5.76,9.54,6.86,3.00,9.41,13.13,-1.05,7.04,4.23,3.27,1.55,4.03,-0.25,6.19,0.97,-2.28,0.81,4.23
1961,5.68,-3.91,4.20,2.83,8.50,-1.45,9.61,5.75,1.78,0.35,11.17,6.90,9.69,3.40,9.79,2.21,8.10,5.67,9.74,6.80,2.92,9.23,13.67,-1.11,6.83,4.09,3.44,1.97,4.19,-0.27,6.10,1.09,-2.37,0.78,4.36
1962,5.46,-3.77,3.94,2.94,8.36,-1.34,9.05,5.55,1.88,0.13,10.57,6.50,9.47,3.52,9.41,2.34,8.21,5.85,9.76,6.96,3.04,9.41,12.90,-0.93,6.91,4.20,3.50,1.79,4.24,-0.14,6.07,1.09,-2.23,0.93,4.23
1963,6.41,-3.24,4.91,3.45,9.07,-0.88,10.51,6.38,2.44,1.01,12.02,7.77,10.24,3.96,10.57,2.80,8.73,6.26,10.38,7.38,3.53,9.78,14.62,-0.55,7.53,4.78,4.07,2.58,4.86,0.33,6.79,1.72,-1.77,1.36,5.02
1964,4.80,-4.72,2.83,1.94,7.28,-2.31,8.59,4.32,1.21,-0.83,10.47,5.68,8.25,2.67,9.25,1.44,7.76,5.07,8.68,6.13,2.31,8.72,12.95,-1.82,6.46,3.62,2.46,0.65,3.23,-0.92,5.60,0.29,-3.18,-0.02,3.61
1965,5.69,-3.99,4.39,2.66,8.34,-1.48,9.78,5.93,1.77,0.39,11.22,7.06,9.67,3.27,9.74,2.07,8.00,5.51,9.60,6.68,2.88,9.07,13.84,-1.29,6.76,4.05,3.26,1.88,4.04,-0.25,5.99,1.11,-2.52,0.65,4.32
1966,5.82,-3.51,4.57,3.09,8.77,-1.25,9.68,6.18,1.96,0.50,11.04,7.12,10.00,3.67,9.65,2.47,8.21,5.91,10.07,7.06,3.21,9.45,13.63,-0.84,6.87,4.30,3.71,2.16,4.51,0.04,6.07,1.22,-2.13,1.04,4.37
1967,5.50,-3.88,3.78,2.66,8.23,-1.59,9.32,5.47,1.73,0.05,11.09,6.43,9.44,3.25,9.63,2.05,7.99,5.72,9.59,6.69,2.82,9.20,13.71,-1.13,6.67,3.99,3.25,1.65,4.07,-0.30,5.94,0.99,-2.52,0.64,4.22
1968,5.63,-3.70,4.21,2.95,8.59,-1.45,9.59,5.91,1.51,0.22,11.07,6.85,9.81,3.45,9.52,2.28,7.77,5.69,9.89,6.87,2.87,9.19,13.76,-1.03,6.34,3.85,3.55,1.96,4.33,-0.22,5.59,0.92,-2.29,0.87,4.06
1969,5.73,-3.83,3.40,3.07,8.06,-1.12,9.46,4.87,2.35,-0.02,11.54,6.14,8.75,3.83,10.27,2.61,8.81,6.31,9.67,7.28,3.47,9.88,14.08,-0.64,7.46,4.72,3.50,1.36,4.21,0.31,6.66,1.43,-2.00,1.18,4.76
1970,6.10,-3.11,4.33,3.49,8.88,-0.97,9.87,5.95,2.34,0.57,11.50,7.02,9.86,4.06,10.22,2.91,8.77,6.52,10.33,7.54,3.55,10.04,14.08,-0.32,7.43,4.71,4.02,2.21,4.84,0.34,6.62,1.53,-1.67,1.42,4.79
1971,6.06,-3.12,4.54,3.42,8.90,-1.05,9.85,6.18,2.20,0.73,11.32,7.21,10.00,3.95,10.06,2.83,8.56,6.43,10.33,7.45,3.38,9.94,13.75,-0.41,7.24,4.53,3.98,2.28,4.82,0.19,6.45,1.52,-1.76,1.30,4.77
1972,4.44,-4.48,2.28,2.04,7.12,-2.44,7.92,3.98,0.96,-1.31,9.79,4.99,7.99,2.74,8.61,1.55,7.55,5.40,8.67,6.29,2.23,8.91,12.31,-1.56,6.09,3.44,2.43,0.42,3.33,-1.02,5.22,-0.08,-3.07,0.04,3.17
1973,5.60,-3.57,3.91,2.96,8.40,-1.49,9.36,5.60,1.79,0.09,10.93,6.63,9.50,3.52,9.70,2.34,8.25,6.04,9.80,7.00,3.01,9.56,13.42,-0.83,6.90,4.16,3.47,1.74,4.33,-0.21,6.08,1.03,-2.24,0.86,4.26
1974,5.09,-4.04,3.05,2.56,7.87,-1.86,8.72,4.74,1.41,-0.57,10.59,5.75,8.82,3.17,9.33,1.98,7.88,5.65,9.30,6.65,2.68,9.16,13.15,-1.21,6.46,3.81,3.04,1.15,3.88,-0.51,5.64,0.56,-2.60,0.53,3.86
1975,5.13,-4.25,3.66,2.30,7.89,-2.04,9.05,5.30,1.26,-0.27,10.57,6.40,9.18,2.89,9.18,1.71,7.58,5.20,9.16,6.32,2.44,8.72,13.13,-1.57,6.30,3.56,2.85,1.33,3.65,-0.74,5.50,0.50,-2.90,0.27,3.72
1976,5.58,-3.65,3.71,2.93,8.37,-1.43,9.41,5.36,1.77,0.08,11.11,6.50,9.37,3.44,9.71,2.28,8.05,5.90,9.79,6.92,2.96,9.37,13.66,-0.92,6.71,4.07,3.50,1.72,4.29,-0.17,5.94,1.04,-2.26,0.85,4.22
1977,6.51,-2.85,4.84,3.73,9.20,-0.58,10.49,6.42,2.64,1.06,12.07,7.61,10.32,4.26,10.63,3.11,8.87,6.68,10.61,7.74,3.80,10.14,14.65,-0.12,7.52,4.89,4.30,2.60,5.08,0.68,6.79,1.96,-1.43,1.66,5.23
1978,6.00,-3.24,4.30,3.40,8.90,-0.95,9.84,5.98,2.20,0.57,11.36,6.96,9.94,3.88,9.96,2.76,8.50,6.31,10.24,7.34,3.38,9.73,13.95,-0.49,7.12,4.49,3.98,2.32,4.73,0.27,6.32,1.47,-1.78,1.31,4.66
1979,5.90,-3.02,4.49,3.57,9.13,-0.97,9.49,6.27,1.97,0.58,10.97,6.86,10.23,3.92,9.63,2.86,8.30,6.36,10.52,7.43,3.29,9.74,13.45,-0.37,6.87,4.33,4.17,2.51,4.96,0.16,6.03,1.33,-1.65,1.38,4.39
1980,6.25,-2.92,4.54,3.60,9.17,-0.86,10.13,6.25,2.19,0.73,11.83,7.14,10.19,4.02,10.40,2.92,8.53,6.45,10.61,7.52,3.42,9.87,14.42,-0.32,7.15,4.56,4.25,2.49,5.05,0.31,6.41,1.57,-1.60,1.44,4.79
1981,6.34,-2.92,5.08,3.65,9.30,-0.74,10.31,6.74,2.30,1.05,11.69,7.52,10.55,4.04,10.29,2.92,8.50,6.41,10.62,7.49,3.50,9.83,14.17,-0.31,7.16,4.56,4.28,2.73,5.08,0.41,6.43,1.69,-1.57,1.51,4.86
1982,5.55,-3.66,3.89,2.90,8.43,-1.44,9.46,5.58,1.57,0.17,11.11,6.45,9.51,3.30,9.63,2.19,7.74,5.68,9.77,6.77,2.74,9.10,13.62,-1.06,6.38,3.78,3.53,1.88,4.26,-0.34,5.73,1.06,-2.32,0.77,4.21
1983,5.99,-3.39,4.86,3.23,9.15,-1.08,10.00,6.60,1.81,0.88,11.32,7.27,10.52,3.49,9.88,2.42,7.84,5.73,10.34,6.92,2.95,9.16,13.82,-0.90,6.59,3.99,3.97,2.67,4.69,-0.08,5.97,1.39,-2.03,1.01,4.57
1984,5.86,-3.31,3.99,3.44,8.77,-0.91,9.47,5.69,2.28,0.41,11.21,6.46,9.61,3.93,9.97,2.79,8.60,6.44,10.28,7.41,3.40,9.92,13.56,-0.40,7.21,4.56,4.06,2.08,4.75,0.29,6.44,1.52,-1.76,1.35,4.73
1985,6.24,-2.91,4.44,3.88,9.31,-0.55,9.79,6.22,2.57,0.85,11.54,6.88,10.25,4.20,10.22,3.14,8.84,6.60,10.74,7.66,3.69,10.08,13.97,-0.13,7.52,4.82,4.47,2.67,5.19,0.57,6.73,1.85,-1.33,1.69,5.02
1986,5.82,-3.32,4.24,3.36,9.04,-1.11,9.47,6.13,1.89,0.52,11.22,6.63,10.17,3.63,9.69,2.57,8.00,5.91,10.34,7.05,3.06,9.33,13.77,-0.76,6.68,4.12,4.03,2.45,4.79,-0.03,5.95,1.27,-1.92,1.12,4.39
1987,6.41,-2.89,4.65,4.01,9.51,-0.42,10.01,6.48,2.74,1.04,11.72,7.12,10.50,4.37,10.46,3.27,9.01,6.66,10.87,7.81,3.90,10.16,14.15,-0.05,7.69,4.99,4.60,2.93,5.30,0.77,6.91,1.96,-1.21,1.85,5.17
1988,6.88,-2.64,5.15,4.10,9.71,-0.12,10.66,6.89,3.19,1.55,12.45,7.63,10.79,4.57,11.14,3.40,9.36,6.84,10.99,7.94,4.17,10.39,14.90,0.10,8.15,5.36,4.75,3.21,5.43,1.07,7.45,2.52,-1.12,2.00,5.80
1989,5.54,-3.94,4.05,2.78,8.33,-1.54,9.42,5.80,1.70,0.31,11.00,6.57,9.60,3.20,9.58,2.07,7.84,5.49,9.62,6.65,2.73,8.93,13.60,-1.21,6.60,3.85,3.38,1.93,4.08,-0.38,5.91,1.08,-2.46,0.66,4.28
1990,6.44,-2.84,4.58,3.80,9.34,-0.51,10.19,6.49,2.71,1.01,11.87,7.29,10.48,4.24,10.55,3.07,8.93,6.53,10.79,7.64,3.79,10.08,14.41,-0.20,7.67,4.94,4.37,2.77,5.25,0.73,6.98,1.98,-1.47,1.70,5.25
1991,6.20,-3.57,4.74,3.26,8.88,-0.91,10.41,6.28,2.18,0.90,11.88,7.52,10.11,3.71,10.26,2.47,8.29,5.92,10.13,7.04,3.27,9.42,14.62,-0.82,7.02,4.35,3.94,2.40,4.56,0.26,6.34,1.62,-2.03,1.19,4.83
