Variable:,pr
,Vietnam,"An Giang","Ba Ria-Vung Tau","Bac Kan","Bac Giang","Bac Lieu","Bac Ninh","Ben Tre","Binh Dinh","Binh Duong","Binh Phuoc","Binh Thuan","Cao Bang","Ca Mau","Da Nang City","Dong Nai","Dong Thap","Gia Lai","Ha Giang","Ha Nam","Ha Noi City","Ha Tay","Ha Tinh","Hai Duong","Hai Phong City","Ho Chi Minh City","Hoa Binh","Hung Yen","Khanh Hoa","Kien Giang","Kon Tum","Lam Dong","Lang Son","Long An","Nam Dinh","Nghe An","Ninh Binh","Ninh Thuan","Phu Tho","Phu Yen","Quang Binh","Quang Nam","Quang Ngai","Quang Ninh","Quang Tri","Soc Trang","Son La","Tay Ninh","Thai Binh","Thai Nguyen","Thanh Hoa","Thua Thien - Hue","Tien Giang","Tra Vinh","Tuyen Quang","Vinh Long","Vinh Phuc","Yen Bai","Can Tho city","Dak Lak","Dak Nong","Dien Bien","Hau Giang","Lai Chau","Lao Cai"
1959,1742.92,1869.99,1911.82,1483.15,1686.15,2156.87,1670.51,1954.12,1840.03,1821.39,1761.97,1851.58,1410.94,2056.76,1903.80,1886.58,1810.68,1765.76,1460.26,1779.44,1662.42,1705.18,1748.42,1770.50,1768.07,1930.60,1704.41,1796.24,1784.33,2010.73,1809.81,1813.60,1579.03,1838.57,1846.19,1709.33,1758.92,1851.16,1618.10,1706.56,1704.44,1923.73,1932.26,1707.25,1689.11,2045.91,1636.62,1667.07,1792.28,1576.05,1664.47,1845.17,1942.16,2012.88,1517.71,1949.54,1632.74,1632.19,1941.88,1750.54,1773.68,1567.73,2052.64,1580.24,1606.64
1960,1852.40,2018.86,1952.07,1414.16,1612.79,2229.89,1671.31,2001.63,1854.68,1839.00,1778.99,1890.47,1283.41,2115.41,2357.97,1909.28,1908.07,1875.36,1404.20,1895.03,1730.72,1824.47,2181.46,1759.87,1781.89,1951.63,1878.53,1825.90,1802.45,2175.47,2146.38,1837.22,1434.87,1889.02,1946.15,1935.74,1949.17,1881.54,1710.54,1715.34,2365.79,2355.02,2129.05,1586.97,2494.19,2114.11,1711.36,1715.39,1830.77,1560.76,1918.09,2509.54,1989.09,2071.75,1512.83,2011.17,1694.39,1662.53,2036.16,1788.80,1797.67,1535.74,2128.40,1482.30,1542.11
1961,1938.52,2285.55,1947.57,1540.94,1657.78,2281.38,1697.39,2012.51,1864.76,1861.41,1800.61,1887.40,1430.34,2184.98,2369.27,1904.45,2090.81,1903.78,1549.21,1848.20,1732.64,1785.42,2510.43,1771.97,1754.32,1953.81,1882.67,1811.98,1805.61,2410.36,2210.63,1839.72,1541.48,1978.50,1892.61,2221.35,1917.32,1883.84,1756.26,1718.90,2592.97,2408.87,2110.30,1647.21,2635.77,2139.36,1800.33,1817.52,1819.00,1641.43,2035.08,2579.17,2023.31,2068.72,1600.87,2082.17,1721.65,1762.70,2212.43,1812.55,1821.06,1637.91,2209.64,1628.69,1738.01
1962,1733.18,1559.56,2017.81,1279.28,1389.78,2204.30,1441.98,2044.49,1835.43,1844.45,1818.87,1953.03,1194.87,2045.65,2088.04,1959.85,1641.63,1835.58,1250.20,1527.09,1457.36,1503.37,2212.03,1441.17,1419.01,1983.94,1533.34,1471.07,1835.94,1734.18,2037.70,1898.62,1287.99,1791.44,1540.67,1873.08,1558.78,1933.08,1431.41,1727.99,2404.60,2126.43,1943.21,1331.16,2339.45,2147.67,1460.96,1617.16,1460.48,1370.07,1645.22,2247.65,1984.61,2145.97,1317.06,1951.96,1432.93,1424.86,1795.21,1815.94,1852.18,1331.09,2056.93,1275.15,1347.77
1963,1916.69,2216.74,2145.07,1339.95,1487.16,2495.92,1531.26,2210.68,1871.52,1940.48,1887.36,2074.37,1206.61,2296.54,2129.04,2046.06,2096.48,1949.36,1356.86,1808.50,1600.86,1696.67,2475.49,1635.15,1710.85,2079.12,1830.12,1699.74,1892.76,2378.52,2141.39,1987.50,1331.01,2039.56,1920.49,2149.43,1985.58,2026.96,1625.42,1754.56,2520.32,2196.92,1987.52,1496.72,2504.48,2389.42,1797.35,1821.10,1763.82,1456.02,2074.61,2362.17,2176.78,2335.21,1435.51,2221.50,1573.44,1623.91,2260.92,1902.92,1936.08,1660.19,2384.04,1555.95,1563.19
1964,1875.28,1834.30,1898.32,1341.01,1587.46,2140.74,1562.81,1939.23,1869.40,1808.33,1760.98,1838.57,1234.36,2032.17,2411.94,1875.74,1780.06,1924.10,1352.14,1861.00,1625.33,1723.01,2446.28,1680.49,1876.91,1919.48,1856.03,1732.36,1776.36,1993.58,2229.54,1799.15,1419.30,1817.11,2076.19,2183.60,2077.11,1839.46,1637.42,1704.21,2611.46,2403.80,2129.64,1651.33,2657.08,2028.13,1822.71,1657.64,1866.76,1463.48,2087.18,2577.49,1926.82,1996.59,1441.94,1931.21,1590.40,1644.06,1912.64,1783.33,1779.47,1650.81,2033.87,1535.28,1578.71
1965,1758.33,1894.08,1905.10,1431.40,1632.23,2148.31,1632.82,1949.41,1828.44,1821.59,1753.01,1845.08,1353.49,2045.54,1953.42,1881.42,1828.72,1741.23,1410.62,1732.53,1631.16,1655.12,1991.43,1714.26,1716.66,1928.07,1726.32,1733.33,1780.37,2025.89,1821.05,1806.26,1534.20,1848.76,1810.11,1929.00,1769.98,1845.32,1599.23,1704.27,1908.79,1953.75,1896.29,1661.05,1921.95,2038.47,1673.81,1678.08,1760.09,1529.37,1790.43,2003.14,1941.64,2005.43,1467.47,1951.20,1607.97,1596.34,1952.28,1733.11,1757.23,1539.80,2048.41,1484.78,1526.36
1966,1914.90,1987.48,2107.36,1439.03,1554.74,2375.88,1615.01,2156.11,1839.40,1956.17,1937.85,2040.08,1319.83,2226.35,2196.79,2041.28,1951.49,1876.98,1429.30,1836.07,1669.88,1779.76,2383.63,1679.16,1642.25,2068.49,1863.15,1750.88,1899.22,2141.37,2134.21,2021.78,1434.78,1978.59,1832.88,1998.98,1897.20,2019.78,1688.58,1753.72,2655.52,2271.69,1970.49,1512.32,2751.44,2295.56,1757.59,1809.79,1722.09,1548.15,1941.97,2557.64,2116.11,2251.58,1508.18,2133.25,1640.87,1681.02,2101.38,1899.65,1981.44,1667.47,2268.60,1622.95,1622.60
1967,1737.27,1881.44,2053.46,1363.71,1506.86,2330.11,1530.60,2102.12,1840.89,1867.17,1804.70,1986.35,1288.49,2165.37,1854.84,1976.47,1865.09,1806.44,1328.54,1618.57,1516.74,1557.71,1884.61,1581.44,1582.42,2009.50,1576.10,1601.92,1842.93,2050.93,1868.42,1900.22,1410.77,1903.76,1649.74,1764.31,1646.08,1951.56,1483.25,1732.10,1897.70,1942.18,1913.21,1521.61,1876.48,2240.65,1492.64,1692.05,1602.50,1447.30,1664.42,1948.08,2061.50,2213.18,1382.39,2070.20,1493.09,1474.83,2020.46,1806.77,1834.11,1442.15,2200.21,1417.71,1420.88
1968,1780.05,1648.91,1898.32,1570.92,1718.80,2095.22,1766.20,1928.79,1835.26,1796.07,1748.48,1838.57,1469.89,1986.44,1777.21,1875.26,1664.84,1782.83,1568.18,1850.56,1815.01,1833.38,1886.45,1788.31,1704.64,1913.82,1872.44,1818.49,1776.36,1808.17,1838.38,1799.07,1598.49,1765.27,1865.90,1880.93,1886.64,1839.46,1811.19,1703.17,1824.49,1873.67,1877.64,1629.43,1797.67,2005.48,1763.19,1603.57,1787.00,1695.04,1889.72,1869.52,1901.47,1991.96,1659.45,1882.60,1809.80,1783.57,1797.71,1745.64,1761.60,1595.71,1972.40,1635.96,1715.10
