Variable:,tasmin
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
1915,5.64,3.84,8.04,7.46,4.02,6.95,7.33,6.17,3.59,4.79,5.84,3.96,3.98,6.20,4.88,6.06,6.15,6.52,6.31,5.42,3.52,3.69,4.21,5.48,5.92,7.66,5.65,6.23,6.09
1916,6.19,4.39,8.50,7.89,4.59,7.48,7.86,6.67,4.18,5.35,6.48,4.47,4.59,6.80,5.40,6.66,6.77,7.12,6.88,5.97,4.01,4.26,4.81,6.03,6.54,8.10,6.25,6.88,6.69
1917,5.23,3.61,7.51,6.71,3.62,6.59,6.90,5.84,3.38,4.41,5.49,3.66,3.74,5.77,4.53,5.47,5.63,5.95,5.65,4.98,3.20,3.39,3.94,5.10,5.43,6.99,5.22,5.89,5.71
1918,5.48,3.66,7.83,7.20,3.90,6.78,7.16,5.97,3.40,4.66,5.72,3.79,3.81,6.11,4.70,5.95,6.07,6.38,6.15,5.26,3.32,3.54,4.07,5.31,5.80,7.41,5.55,6.09,6.00
1919,5.29,3.56,7.69,7.04,3.67,6.63,7.01,5.81,3.27,4.43,5.50,3.63,3.65,5.85,4.51,5.71,5.77,6.19,5.93,5.12,3.17,3.36,3.90,5.13,5.59,7.26,5.30,5.80,5.75
1920,4.89,3.28,7.05,6.35,3.28,6.16,6.47,5.39,3.10,4.07,5.35,3.27,3.48,5.54,4.13,5.17,5.34,5.62,5.37,4.61,2.77,3.06,3.60,4.70,5.10,6.58,4.91,5.91,5.49
1921,5.02,3.38,7.19,6.48,3.41,6.26,6.58,5.48,3.18,4.23,5.50,3.42,3.58,5.68,4.27,5.33,5.50,5.78,5.51,4.71,2.91,3.21,3.76,4.81,5.28,6.77,5.05,6.18,5.64
1922,5.00,3.34,7.42,6.62,3.43,6.41,6.77,5.63,3.04,4.10,5.09,3.40,3.40,5.45,4.30,5.31,5.42,5.78,5.51,4.87,2.97,3.11,3.64,4.94,5.23,6.83,4.99,5.44,5.41
1923,6.25,4.51,8.53,7.84,4.66,7.55,7.91,6.76,4.28,5.48,6.60,4.60,4.70,6.92,5.49,6.60,6.75,7.03,6.78,6.01,4.12,4.39,4.93,6.08,6.48,8.08,6.29,7.06,6.84
1924,4.88,3.23,7.20,6.46,3.25,6.19,6.55,5.40,2.95,4.04,5.15,3.30,3.34,5.41,4.17,5.18,5.29,5.63,5.37,4.66,2.82,3.03,3.57,4.73,5.07,6.69,4.84,5.56,5.39
1925,5.68,3.88,8.02,7.41,4.07,6.99,7.35,6.19,3.59,4.87,5.93,4.02,3.99,6.33,4.91,6.10,6.22,6.56,6.31,5.46,3.54,3.74,4.25,5.53,6.00,7.60,5.73,6.34,6.21
1926,5.99,4.30,8.28,7.57,4.34,7.30,7.60,6.52,4.10,5.18,6.33,4.37,4.52,6.61,5.24,6.29,6.41,6.74,6.50,5.71,3.89,4.15,4.71,5.77,6.18,7.86,5.95,6.82,6.55
1927,6.07,4.49,8.36,7.49,4.45,7.46,7.74,6.70,4.26,5.23,6.34,4.53,4.65,6.58,5.39,6.25,6.40,6.72,6.43,5.83,4.05,4.30,4.88,5.93,6.17,7.81,5.99,6.78,6.60
1928,5.20,3.72,7.32,6.45,3.58,6.52,6.73,5.79,3.49,4.40,5.64,3.73,3.92,5.75,4.56,5.32,5.49,5.76,5.50,4.90,3.25,3.52,4.10,5.02,5.27,6.78,5.10,6.13,5.78
1929,4.61,2.93,6.88,6.24,2.97,5.92,6.24,5.14,2.77,3.76,5.05,2.93,3.22,5.22,3.80,4.91,5.05,5.37,5.15,4.31,2.47,2.79,3.39,4.41,4.80,6.42,4.57,5.51,5.18
1930,5.88,4.15,8.03,7.47,4.29,7.14,7.41,6.36,3.95,5.15,6.33,4.21,4.42,6.65,5.09,6.26,6.41,6.64,6.44,5.60,3.72,4.07,4.64,5.67,6.15,7.60,5.95,6.80,6.60
1931,4.95,3.31,7.13,6.59,3.33,6.16,6.47,5.44,3.10,4.19,5.34,3.35,3.54,5.60,4.17,5.32,5.47,5.72,5.55,4.60,2.84,3.16,3.72,4.72,5.18,6.76,4.96,5.74,5.59
1932,4.68,2.93,6.90,6.48,3.04,5.79,6.22,5.00,2.76,3.88,5.13,2.99,3.18,5.39,3.83,5.21,5.32,5.57,5.44,4.39,2.45,2.82,3.36,4.40,5.03,6.58,4.75,5.54,5.38
1933,3.79,2.13,6.02,5.48,2.13,4.96,5.36,4.19,1.96,2.94,4.25,2.16,2.41,4.40,2.99,4.17,4.28,4.57,4.41,3.47,1.63,1.99,2.54,3.55,4.00,5.62,3.76,4.66,4.43
1934,5.57,3.80,7.61,7.30,3.98,6.53,6.95,5.73,3.66,4.86,6.20,3.84,4.15,6.44,4.73,6.13,6.28,6.45,6.39,5.20,3.26,3.75,4.26,5.27,5.97,7.38,5.70,6.79,6.40
1935,4.90,3.27,7.08,6.50,3.30,6.12,6.45,5.38,3.07,4.12,5.33,3.29,3.51,5.56,4.14,5.26,5.41,5.63,5.48,4.53,2.78,3.11,3.67,4.70,5.11,6.65,4.90,5.77,5.53
1936,5.77,3.94,7.94,7.58,4.17,6.81,7.23,6.00,3.81,5.03,6.30,4.01,4.25,6.57,4.90,6.29,6.44,6.66,6.56,5.47,3.45,3.90,4.45,5.48,6.12,7.67,5.88,6.85,6.53
1937,5.93,4.14,8.23,7.68,4.34,7.17,7.54,6.37,3.92,5.14,6.27,4.21,4.34,6.60,5.16,6.38,6.51,6.78,6.59,5.63,3.72,4.02,4.57,5.75,6.21,7.85,5.97,6.68,6.49
1938,5.45,3.61,7.72,7.26,3.87,6.65,7.04,5.84,3.41,4.69,5.85,3.70,3.83,6.21,4.66,5.89,6.04,6.31,6.19,5.20,3.18,3.52,4.04,5.26,5.76,7.35,5.53,6.39,6.09
1939,5.57,3.79,7.82,7.34,3.98,6.78,7.15,5.99,3.54,4.81,5.94,3.85,3.98,6.30,4.78,6.06,6.18,6.44,6.27,5.30,3.35,3.66,4.20,5.36,5.92,7.47,5.66,6.40,6.18
1940,4.49,2.80,6.97,6.19,2.86,6.01,6.30,5.28,2.56,3.62,4.57,2.85,2.93,4.93,3.78,4.69,4.82,5.27,4.89,4.32,2.47,2.61,3.19,4.40,4.58,6.45,4.40,4.79,4.87
1941,4.70,3.05,6.92,6.33,3.10,5.97,6.32,5.20,2.81,3.91,4.98,3.12,3.20,5.29,3.97,5.00,5.15,5.44,5.24,4.40,2.62,2.88,3.43,4.52,4.91,6.52,4.70,5.34,5.27
1942,4.57,3.01,6.78,5.95,2.95,5.94,6.13,5.21,2.75,3.78,4.94,3.05,3.18,5.14,3.89,4.79,4.95,5.25,4.85,4.27,2.56,2.81,3.36,4.40,4.76,6.21,4.54,5.34,5.14
1943,5.19,3.57,7.26,6.63,3.59,6.37,6.65,5.59,3.37,4.46,5.73,3.62,3.82,5.90,4.46,5.54,5.70,5.90,5.69,4.91,3.08,3.45,4.00,4.98,5.42,6.80,5.22,6.19,5.89
1944,5.34,3.64,7.62,7.03,3.71,6.55,6.92,5.79,3.44,4.56,5.74,3.69,3.88,6.03,4.55,5.72,5.87,6.08,5.93,5.01,3.17,3.53,4.08,5.08,5.53,7.18,5.34,6.14,5.96
1945,4.94,3.41,6.98,6.24,3.29,6.21,6.46,5.45,3.32,4.15,5.49,3.44,3.76,5.59,4.20,5.13,5.26,5.53,5.34,4.58,2.87,3.26,3.86,4.76,4.97,6.51,4.85,6.01,5.61
1946,5.76,4.20,7.89,7.25,4.16,7.06,7.32,6.32,4.05,4.97,6.12,4.17,4.44,6.40,5.04,6.04,6.17,6.43,6.19,5.43,3.71,3.98,4.62,5.59,5.93,7.45,5.75,6.68,6.36
1947,5.66,4.18,7.78,6.99,4.08,6.99,7.23,6.23,4.03,4.87,6.02,4.14,4.39,6.26,4.99,5.84,5.99,6.25,5.99,5.33,3.64,3.95,4.57,5.52,5.76,7.28,5.59,6.53,6.19
1948,4.94,3.27,7.03,6.52,3.30,6.14,6.42,5.36,3.17,4.15,5.47,3.25,3.64,5.65,4.12,5.27,5.42,5.65,5.48,4.60,2.75,3.16,3.80,4.69,5.19,6.64,4.99,6.05,5.62
1949,4.88,3.12,7.03,6.64,3.19,6.02,6.40,5.25,2.98,4.07,5.44,3.11,3.47,5.62,3.97,5.32,5.45,5.74,5.59,4.57,2.63,3.01,3.64,4.57,5.24,6.73,4.97,6.09,5.57
1950,5.75,4.05,7.81,7.29,4.14,6.98,7.29,6.21,3.87,4.98,6.29,4.07,4.32,6.48,4.96,6.16,6.28,6.51,6.32,5.44,3.58,3.93,4.51,5.53,6.00,7.51,5.80,6.85,6.43
1951,6.22,4.22,8.41,7.85,4.70,7.32,7.77,6.40,4.19,5.53,6.77,4.43,4.74,7.06,5.39,6.66,6.84,7.11,6.89,5.98,3.76,4.41,4.98,6.07,6.57,8.11,6.37,7.28,6.94
1952,6.04,4.28,8.30,7.44,4.45,7.35,7.67,6.58,4.06,5.28,6.48,4.41,4.53,6.74,5.31,6.25,6.50,6.70,6.38,5.85,3.93,4.22,4.76,5.89,6.34,7.76,6.14,6.93,6.66
1953,4.82,3.07,6.98,6.26,3.24,5.94,6.36,5.12,3.02,4.12,5.40,3.18,3.53,5.60,4.03,5.07,5.33,5.51,5.27,4.51,2.52,3.11,3.65,4.62,5.05,6.52,4.88,5.87,5.54
1954,4.95,3.23,7.33,6.41,3.32,6.39,6.71,5.61,2.96,4.10,5.22,3.28,3.39,5.56,4.23,5.25,5.45,5.67,5.37,4.75,2.95,3.02,3.55,4.82,5.22,6.70,5.03,5.65,5.45
1955,5.89,4.12,8.29,7.35,4.31,7.31,7.61,6.53,3.85,5.08,6.09,4.23,4.23,6.50,5.20,6.17,6.36,6.67,6.29,5.73,3.85,3.97,4.48,5.80,6.23,7.72,6.00,6.46,6.36
1956,4.47,2.90,6.71,5.83,2.87,5.84,6.06,5.14,2.57,3.68,4.80,2.91,2.99,5.09,3.77,4.68,4.89,5.13,4.78,4.22,2.52,2.64,3.15,4.29,4.69,6.13,4.50,5.19,5.02
1957,5.47,3.73,7.67,7.04,3.85,6.69,7.04,5.90,3.59,4.71,5.94,3.85,4.08,6.17,4.73,5.78,5.95,6.23,6.01,5.17,3.26,3.70,4.23,5.29,5.68,7.28,5.48,6.37,6.12
1958,5.77,4.01,8.02,7.32,4.17,6.99,7.34,6.20,3.85,5.02,6.22,4.07,4.27,6.51,4.99,6.09,6.29,6.53,6.29,5.51,3.55,3.95,4.49,5.59,6.08,7.55,5.84,6.59,6.41
1959,4.85,3.08,7.07,6.54,3.24,6.02,6.44,5.18,2.94,4.10,5.33,3.15,3.42,5.63,4.02,5.22,5.46,5.61,5.49,4.54,2.58,3.05,3.60,4.63,5.10,6.65,4.90,5.78,5.55
1960,5.92,4.13,8.23,7.70,4.34,7.18,7.57,6.35,3.88,5.10,6.24,4.20,4.31,6.60,5.10,6.34,6.49,6.81,6.61,5.72,3.72,3.97,4.52,5.78,6.23,7.85,6.00,6.66,6.48
1961,5.63,3.80,7.89,7.38,3.96,6.77,7.22,5.91,3.61,4.87,6.18,3.87,4.13,6.47,4.71,6.13,6.39,6.45,6.41,5.32,3.29,3.74,4.27,5.34,5.93,7.51,5.68,6.65,6.46
1962,5.64,3.95,8.08,7.48,3.97,6.97,7.35,6.20,3.57,4.72,5.76,3.97,3.89,6.17,4.83,6.14,6.28,6.56,6.36,5.46,3.59,3.61,4.10,5.48,6.04,7.63,5.67,6.03,6.05
1963,5.37,3.88,7.72,6.92,3.75,6.79,7.04,6.04,3.50,4.48,5.47,3.83,3.76,5.81,4.72,5.68,5.77,6.16,5.83,5.12,3.42,3.44,3.92,5.27,5.64,7.24,5.34,5.84,5.71
1964,5.15,3.36,7.41,6.91,3.63,6.38,6.74,5.56,3.10,4.37,5.48,3.41,3.49,5.87,4.30,5.66,5.82,6.08,5.90,4.94,2.90,3.20,3.68,4.99,5.57,7.11,5.31,5.77,5.76
1965,4.79,3.00,7.18,6.51,3.20,6.08,6.47,5.35,2.74,3.98,5.03,3.09,3.13,5.40,4.02,5.21,5.30,5.70,5.42,4.56,2.63,2.85,3.35,4.59,5.13,6.75,4.85,5.43,5.32
1966,6.61,4.48,9.06,8.47,5.18,7.88,8.39,7.06,4.20,5.85,6.81,4.73,4.72,7.30,5.82,7.20,7.29,7.59,7.37,6.56,4.35,4.56,5.11,6.50,7.12,8.63,6.87,7.11,7.16
1967,5.30,3.42,7.51,7.16,3.71,6.41,6.82,5.62,3.22,4.56,5.74,3.58,3.69,6.05,4.46,5.92,5.97,6.26,6.16,5.02,3.00,3.40,3.93,5.03,5.67,7.28,5.39,6.19,5.99
1968,5.62,3.85,7.86,7.24,4.04,6.87,7.21,6.08,3.57,4.84,6.03,3.92,4.03,6.34,4.83,6.03,6.21,6.46,6.26,5.37,3.40,3.73,4.24,5.44,5.92,7.46,5.69,6.42,6.23
1969,5.22,3.71,7.50,6.62,3.58,6.60,6.85,5.90,3.33,4.39,5.49,3.68,3.69,5.78,4.53,5.43,5.58,5.90,5.55,4.96,3.29,3.39,3.92,5.05,5.44,6.99,5.23,5.86,5.69
1970,5.78,3.88,8.18,7.55,4.23,7.11,7.52,6.33,3.54,4.95,6.00,4.01,3.93,6.47,4.97,6.26,6.43,6.73,6.46,5.65,3.66,3.76,4.25,5.63,6.13,7.79,5.90,6.30,6.32
1971,5.52,3.54,7.88,7.34,4.02,6.72,7.18,5.86,3.30,4.74,5.82,3.70,3.77,6.24,4.70,6.02,6.21,6.47,6.26,5.41,3.19,3.55,4.08,5.38,5.93,7.53,5.69,6.25,6.09
1972,5.61,3.81,7.82,7.29,4.10,6.81,7.22,5.94,3.62,4.87,5.92,3.95,4.09,6.31,4.85,5.99,6.12,6.44,6.21,5.40,3.30,3.76,4.34,5.48,5.90,7.53,5.74,6.35,6.17
1973,5.20,3.50,7.53,6.77,3.61,6.52,6.90,5.69,3.28,4.40,5.44,3.56,3.64,5.78,4.47,5.55,5.67,6.00,5.70,4.97,3.05,3.33,3.87,5.06,5.45,7.08,5.23,5.81,5.70
1974,5.39,3.51,7.69,7.17,3.79,6.67,7.06,5.83,3.31,4.60,5.73,3.65,3.70,6.06,4.59,5.84,5.97,6.27,6.10,5.13,3.10,3.46,3.99,5.25,5.69,7.35,5.45,6.18,5.97
1975,5.66,3.64,8.13,7.79,4.07,6.94,7.46,6.02,3.40,4.76,5.75,3.82,3.81,6.24,4.81,6.28,6.34,6.75,6.62,5.57,3.27,3.58,4.13,5.54,6.08,7.84,5.74,6.19,6.09
1976,4.65,2.94,6.98,6.41,3.05,5.91,6.28,5.12,2.71,3.84,4.97,2.96,3.11,5.29,3.83,5.05,5.15,5.53,5.28,4.40,2.43,2.74,3.31,4.47,4.95,6.61,4.65,5.35,5.20
1977,5.48,3.58,7.85,7.15,3.79,6.86,7.20,6.08,3.37,4.66,5.86,3.77,3.85,6.18,4.69,5.85,5.97,6.27,6.07,5.22,3.36,3.53,4.07,5.30,5.68,7.33,5.51,6.32,6.10
1978,5.16,3.28,7.66,6.80,3.60,6.68,7.00,5.90,2.94,4.30,5.19,3.48,3.29,5.68,4.49,5.50,5.57,6.03,5.66,5.07,3.15,3.11,3.63,5.15,5.49,7.08,5.25,5.53,5.52
1979,5.94,4.12,8.29,7.69,4.39,7.19,7.63,6.36,3.93,5.14,6.17,4.23,4.33,6.57,5.16,6.35,6.47,6.82,6.57,5.76,3.72,4.03,4.58,5.81,6.26,7.88,6.02,6.55,6.43
1980,4.98,3.20,7.39,6.64,3.43,6.36,6.68,5.59,2.92,4.13,5.14,3.28,3.36,5.54,4.25,5.32,5.42,5.87,5.50,4.85,2.92,2.99,3.56,4.90,5.33,6.93,5.05,5.47,5.39
1981,5.49,3.57,7.87,7.40,3.88,6.70,7.15,5.86,3.38,4.64,5.79,3.74,3.83,6.13,4.68,5.99,6.06,6.48,6.28,5.27,3.26,3.54,4.11,5.29,5.87,7.54,5.55,6.14,6.01
1982,5.36,3.70,7.70,7.15,3.68,6.56,7.03,5.70,3.60,4.48,5.64,3.77,3.92,5.87,4.58,5.70,5.79,6.23,5.95,5.09,3.13,3.53,4.03,5.14,5.63,7.31,5.29,6.10,5.80
1983,5.27,3.40,7.68,7.13,3.57,6.50,7.01,5.68,3.24,4.38,5.55,3.62,3.69,5.83,4.49,5.71,5.78,6.17,5.98,5.03,3.08,3.39,3.95,5.10,5.54,7.29,5.23,6.05,5.78
1984,5.51,3.74,7.95,7.28,3.92,6.82,7.24,5.98,3.47,4.63,5.61,3.85,3.89,5.99,4.77,5.92,5.94,6.47,6.12,5.35,3.39,3.57,4.14,5.38,5.87,7.52,5.52,5.96,5.85
1985,4.86,3.53,7.20,6.18,3.22,6.37,6.56,5.67,3.19,4.00,4.96,3.49,3.44,5.22,4.27,4.86,4.93,5.48,4.97,4.57,3.11,3.10,3.62,4.74,4.97,6.56,4.70,5.29,5.13
1986,5.38,3.79,7.72,7.08,3.78,6.71,7.06,5.92,3.50,4.48,5.51,3.84,3.82,5.79,4.70,5.67,5.74,6.25,5.92,5.16,3.36,3.52,4.04,5.25,5.68,7.29,5.35,5.96,5.67
1987,5.06,3.59,7.20,6.36,3.48,6.37,6.60,5.63,3.36,4.33,5.48,3.56,3.74,5.70,4.39,5.13,5.34,5.64,5.28,4.76,3.10,3.33,3.86,4.90,5.19,6.67,5.06,5.97,5.61
1988,5.52,3.92,7.69,7.04,3.87,6.70,7.03,5.92,3.69,4.76,6.01,3.98,4.15,6.19,4.81,5.79,5.94,6.23,5.99,5.17,3.39,3.77,4.32,5.30,5.68,7.26,5.48,6.52,6.17
1989,5.43,3.46,7.80,7.46,3.73,6.50,7.08,5.66,3.31,4.55,5.89,3.63,3.86,6.14,4.49,6.09,6.19,6.39,6.42,5.15,3.10,3.49,4.06,5.13,5.74,7.46,5.45,6.46,6.08
1990,5.70,3.95,7.97,7.52,3.97,6.94,7.30,6.14,3.78,4.84,6.07,4.07,4.19,6.32,4.90,6.13,6.23,6.54,6.41,5.31,3.59,3.84,4.39,5.44,5.89,7.63,5.63,6.53,6.26
1991,5.35,3.54,7.63,7.11,3.79,6.62,7.01,5.78,3.33,4.55,5.69,3.74,3.75,5.98,4.61,5.70,5.83,6.18,5.98,5.14,3.17,3.49,4.04,5.22,5.60,7.23,5.40,6.06,5.91
1992,5.32,3.47,7.47,6.97,3.79,6.45,6.89,5.59,3.45,4.64,5.88,3.66,3.90,6.10,4.55,5.63,5.77,6.07,5.87,5.00,2.99,3.56,4.09,5.14,5.53,7.10,5.33,6.38,6.06
1993,5.00,3.32,7.22,6.56,3.40,6.29,6.63,5.49,3.09,4.25,5.42,3.42,3.51,5.65,4.30,5.24,5.35,5.66,5.43,4.70,2.88,3.19,3.74,4.84,5.13,6.73,4.97,5.87,5.63
1994,6.57,4.69,8.80,8.14,5.05,7.72,8.14,6.89,4.64,5.86,7.02,4.92,5.01,7.36,5.83,6.96,7.10,7.35,7.12,6.31,4.26,4.75,5.26,6.42,6.88,8.33,6.68,7.53,7.26
1995,5.70,3.90,8.02,7.37,4.17,6.97,7.38,6.14,3.72,4.92,5.96,4.04,4.11,6.35,4.94,6.08,6.19,6.50,6.27,5.51,3.50,3.79,4.37,5.57,5.95,7.56,5.78,6.42,6.24
1996,5.66,3.84,7.88,7.29,4.09,6.88,7.30,6.02,3.74,4.88,6.01,4.01,4.17,6.35,4.93,6.03,6.20,6.39,6.26,5.44,3.39,3.81,4.38,5.55,5.86,7.42,5.75,6.54,6.27
1997,5.20,3.61,7.35,6.68,3.53,6.40,6.72,5.70,3.49,4.42,5.69,3.69,3.86,5.85,4.49,5.38,5.58,5.84,5.60,4.86,3.09,3.49,4.05,4.98,5.34,6.90,5.13,6.20,5.87
1998,5.90,4.31,8.18,7.49,4.28,7.27,7.53,6.60,4.03,5.07,6.15,4.36,4.43,6.42,5.23,6.11,6.26,6.60,6.28,5.64,3.94,4.06,4.65,5.73,6.06,7.69,5.84,6.60,6.43
1999,6.54,4.86,8.89,8.40,4.93,7.91,8.20,7.19,4.52,5.62,6.64,4.92,4.90,7.01,5.82,6.93,6.97,7.48,7.18,6.37,4.56,4.57,5.15,6.39,6.82,8.55,6.55,7.03,6.93
2000,6.26,4.50,8.47,8.02,4.69,7.42,7.83,6.59,4.38,5.56,6.72,4.58,4.80,6.98,5.52,6.60,6.69,7.09,6.87,6.01,3.95,4.45,5.02,6.08,6.45,8.14,6.20,7.18,6.94
2001,6.28,4.63,8.55,7.89,4.71,7.65,7.93,6.95,4.43,5.48,6.50,4.74,4.75,6.84,5.57,6.52,6.63,7.07,6.70,6.06,4.28,4.43,4.96,6.15,6.49,8.15,6.28,6.78,6.79
2002,6.59,4.87,8.66,8.19,5.06,7.68,8.07,6.89,4.81,5.94,7.17,5.01,5.24,7.36,5.84,6.85,7.03,7.27,7.08,6.24,4.29,4.91,5.44,6.39,6.78,8.33,6.60,7.67,7.33
2003,5.66,4.22,7.68,7.11,4.03,6.90,7.09,6.28,4.01,4.91,6.06,4.19,4.36,6.29,5.00,5.85,6.01,6.28,6.06,5.24,3.69,3.97,4.55,5.42,5.75,7.30,5.57,6.58,6.30
2004,6.07,4.35,8.23,7.68,4.56,7.27,7.61,6.50,4.24,5.35,6.47,4.44,4.60,6.77,5.32,6.39,6.55,6.83,6.61,5.81,3.86,4.28,4.83,5.93,6.31,7.86,6.15,6.85,6.71
2005,5.88,4.07,8.20,7.73,4.36,7.20,7.57,6.38,3.85,5.03,6.01,4.15,4.23,6.43,5.13,6.31,6.39,6.78,6.55,5.71,3.75,3.92,4.48,5.80,6.22,7.87,5.98,6.40,6.33
2006,5.88,4.09,8.03,7.54,4.34,7.14,7.41,6.33,3.93,5.15,6.33,4.25,4.33,6.57,5.22,6.19,6.30,6.62,6.40,5.56,3.72,4.05,4.56,5.76,6.07,7.67,5.88,6.73,6.53
2007,6.86,4.87,8.98,8.68,5.39,7.94,8.32,7.05,4.86,6.19,7.38,5.12,5.31,7.63,6.12,7.36,7.44,7.71,7.61,6.56,4.40,5.03,5.52,6.73,7.16,8.75,6.95,7.95,7.57
2008,6.81,4.97,8.90,8.44,5.36,7.93,8.23,7.18,4.96,6.13,7.31,5.22,5.34,7.50,6.17,7.21,7.29,7.56,7.41,6.47,4.52,5.06,5.59,6.67,7.01,8.58,6.83,7.80,7.48
2009,6.82,4.98,8.93,8.50,5.34,7.93,8.28,7.11,4.92,6.15,7.32,5.21,5.33,7.57,6.10,7.22,7.35,7.60,7.41,6.52,4.50,5.06,5.57,6.68,7.09,8.63,6.91,7.82,7.52
2010,6.89,5.25,9.15,8.47,5.34,8.29,8.46,7.61,4.97,6.07,7.08,5.33,5.30,7.44,6.26,7.18,7.30,7.65,7.37,6.62,4.94,4.99,5.52,6.79,7.12,8.76,6.90,7.44,7.36
2011,5.73,4.04,7.78,7.38,4.19,6.84,7.11,6.08,3.93,5.05,6.24,4.19,4.34,6.41,5.06,6.03,6.10,6.49,6.27,5.34,3.49,4.02,4.55,5.55,5.86,7.52,5.68,6.76,6.45
2012,6.52,4.86,8.67,8.14,5.00,7.76,8.02,7.02,4.64,5.76,6.87,4.93,5.04,7.13,5.85,6.83,6.91,7.30,7.02,6.20,4.37,4.69,5.23,6.39,6.74,8.35,6.51,7.33,7.10
2013,6.84,5.13,8.94,8.53,5.32,7.93,8.24,7.14,4.93,6.12,7.23,5.27,5.35,7.55,6.11,7.26,7.38,7.69,7.46,6.52,4.61,5.05,5.59,6.66,7.16,8.72,6.93,7.68,7.47
2014,7.19,5.46,9.24,8.68,5.67,8.27,8.61,7.52,5.32,6.55,7.79,5.58,5.73,7.98,6.46,7.44,7.73,7.88,7.61,6.90,4.95,5.47,5.98,7.02,7.39,8.91,7.28,8.31,8.03
