Variable:,tasmax
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
1934,21.11,19.59,22.34,21.23,23.31,22.09,23.05
1935,21.57,20.08,22.76,21.68,23.76,22.50,23.52
1936,21.31,19.78,22.57,21.36,23.59,22.29,23.35
1937,21.77,20.28,22.98,21.87,23.98,22.73,23.75
1938,20.73,19.23,21.95,20.82,22.95,21.68,22.72
1939,21.44,19.94,22.66,21.51,23.69,22.39,23.46
1940,21.12,19.65,22.26,21.23,23.28,22.00,23.09
1941,21.13,19.65,22.33,21.23,23.33,22.07,23.11
1942,20.81,19.32,22.01,20.88,23.08,21.73,22.86
1943,20.49,19.00,21.68,20.58,22.73,21.41,22.51
1944,20.98,19.51,22.15,21.10,23.17,21.89,22.95
1945,20.72,19.23,21.91,20.81,22.93,21.64,22.72
1946,21.34,19.86,22.56,21.42,23.56,22.28,23.34
1947,22.00,20.52,23.19,22.10,24.18,22.92,23.96
1948,20.39,18.90,21.57,20.51,22.58,21.32,22.35
1949,20.17,18.68,21.34,20.27,22.38,21.08,22.17
1950,20.63,19.13,21.85,20.73,22.84,21.59,22.61
1951,21.65,20.16,22.93,21.61,23.93,22.60,23.74
1952,21.73,20.27,22.87,21.82,23.90,22.65,23.69
1953,20.66,19.19,21.83,20.68,22.92,21.57,22.72
1954,21.43,19.98,22.59,21.52,23.57,22.35,23.35
1955,22.03,20.56,23.15,22.11,24.21,22.93,24.02
1956,20.83,19.33,22.03,20.83,23.11,21.76,22.93
1957,21.12,19.63,22.36,21.16,23.40,22.06,23.20
1958,21.50,19.98,22.76,21.43,23.92,22.43,23.74
1959,20.50,19.00,21.73,20.48,22.90,21.40,22.69
1960,22.01,20.52,23.15,22.00,24.40,22.86,24.22
1961,20.75,19.26,21.97,20.85,22.96,21.68,22.72
1962,22.11,20.61,23.28,22.24,24.34,23.03,24.10
1963,21.55,20.05,22.73,21.60,23.84,22.46,23.63
1964,20.79,19.31,21.98,20.89,23.00,21.71,22.77
1965,21.18,19.69,22.40,21.18,23.48,22.10,23.27
1966,22.13,20.68,23.29,22.23,24.24,23.05,24.01
1967,20.12,18.60,21.32,20.15,22.44,21.05,22.24
1968,21.31,19.84,22.50,21.47,23.40,22.26,23.15
1969,21.43,19.97,22.63,21.56,23.50,22.40,23.25
1970,21.37,19.93,22.55,21.58,23.37,22.32,23.08
1971,20.75,19.28,21.94,20.91,22.89,21.68,22.64
1972,20.42,18.90,21.62,20.45,22.74,21.35,22.54
1973,21.11,19.65,22.32,21.27,23.19,22.06,22.92
1974,20.75,19.27,21.95,20.96,22.85,21.69,22.57
1975,20.55,19.04,21.72,20.67,22.82,21.45,22.60
1976,20.23,18.68,21.48,20.22,22.63,21.17,22.43
1977,20.73,19.23,21.89,20.80,23.00,21.63,22.80
1978,21.19,19.72,22.40,21.29,23.35,22.14,23.13
1979,21.47,19.96,22.66,21.51,23.77,22.40,23.58
1980,20.64,19.10,21.87,20.58,23.09,21.57,22.92
1981,21.15,19.67,22.39,21.24,23.29,22.13,23.05
1982,20.20,18.68,21.47,20.20,22.51,21.17,22.30
1983,20.17,18.70,21.43,20.28,22.27,21.16,22.01
1984,20.74,19.25,21.94,20.76,22.98,21.68,22.77
1985,21.22,19.72,22.46,21.24,23.50,22.16,23.29
1986,21.14,19.67,22.29,21.30,23.27,22.05,23.06
1987,20.97,19.49,22.17,21.08,23.14,21.91,22.91
1988,20.86,19.33,22.07,20.89,23.18,21.82,22.99
1989,21.23,19.77,22.44,21.34,23.39,22.17,23.16
1990,21.37,19.88,22.53,21.49,23.61,22.29,23.40
1991,20.94,19.45,22.19,20.96,23.24,21.88,23.03
1992,19.91,18.38,21.17,19.91,22.28,20.87,22.06
1993,21.09,19.57,22.37,21.10,23.43,22.05,23.16
1994,21.81,20.33,23.04,21.92,23.99,22.74,23.75
1995,21.43,19.98,22.67,21.48,23.57,22.38,23.34
1996,21.61,20.11,22.84,21.58,24.00,22.52,23.82
1997,20.69,19.13,21.97,20.59,23.22,21.63,23.05
1998,22.37,20.87,23.60,22.40,24.68,23.32,24.44
1999,22.38,20.90,23.58,22.45,24.61,23.32,24.40
2000,21.73,20.26,22.92,21.83,23.90,22.66,23.68
2001,22.48,21.01,23.64,22.62,24.61,23.42,24.38
2002,22.05,20.58,23.25,22.11,24.27,22.99,24.04
2003,21.91,20.43,23.14,21.96,24.14,22.87,23.90
2004,21.96,20.47,23.17,22.02,24.20,22.90,23.97
2005,21.76,20.26,23.01,21.78,24.04,22.72,23.81
2006,21.76,20.29,22.96,21.84,23.93,22.71,23.70
2007,22.14,20.65,23.35,22.19,24.39,23.09,24.16
2008,22.43,20.94,23.66,22.48,24.67,23.40,24.45
2009,22.20,20.68,23.47,22.19,24.52,23.19,24.28
2010,23.82,22.33,25.06,23.83,26.10,24.78,25.88
2011,21.51,19.99,22.75,21.55,23.83,22.47,23.60
2012,22.35,20.83,23.54,22.41,24.64,23.29,24.42
2013,22.32,20.83,23.55,22.38,24.58,23.26,24.34
2014,22.41,20.93,23.59,22.52,24.57,23.34,24.35
2015,22.09,20.61,23.27,22.13,24.35,23.00,24.14
2016,22.66,21.17,23.83,22.76,24.89,23.58,24.67
2017,22.34,20.85,23.47,22.43,24.58,23.23,24.39
2018,22.88,21.39,24.09,22.99,25.06,23.84,24.82
2019,22.26,20.74,23.49,22.33,24.50,23.24,24.28
2020,22.55,21.06,23.77,22.70,24.66,23.53,24.41
