Variable:,tasmax
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
2002,6.67,10.16,7.45,4.15,6.27,8.97,8.58
2003,6.78,9.69,7.33,4.73,6.56,8.53,8.35
2004,6.85,9.86,7.43,4.69,6.55,8.73,8.57
2005,7.51,10.18,8.15,5.37,7.40,9.26,9.03
2006,7.28,10.63,7.98,4.81,6.87,9.52,9.22
2007,7.32,10.47,8.02,4.95,6.97,9.49,9.11
2008,7.24,10.70,8.04,4.58,6.89,9.62,9.24
2009,6.63,9.62,7.21,4.48,6.38,8.54,8.27
2010,5.45,8.46,6.13,3.26,5.07,7.60,7.09
2011,7.79,10.78,8.46,5.47,7.49,9.86,9.56
2012,6.02,9.37,6.68,3.71,5.60,8.17,7.83
2013,7.97,10.56,8.71,5.73,7.74,9.86,9.60
2014,7.75,10.38,8.72,5.10,7.58,9.89,9.55
2015,7.90,10.63,8.85,5.23,7.66,10.11,9.76
2016,7.32,9.79,7.93,5.25,7.13,9.12,8.84
2017,6.58,9.45,7.30,4.19,6.31,8.61,8.36
2018,7.83,10.52,8.63,5.39,7.65,9.90,9.53
2019,7.14,10.41,8.33,4.00,6.80,9.86,9.29
2020,8.55,11.31,9.57,5.74,8.44,10.80,10.43
