Variable:,tasmax
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
2008,12.06,10.95,15.64,14.36,10.80,14.67,13.72,14.99,10.94,15.79,13.21,7.35
2009,11.39,10.11,15.58,14.17,9.57,14.49,13.17,14.70,10.14,15.70,12.73,6.28
2010,10.50,9.05,14.95,13.49,8.81,13.64,12.02,13.78,9.32,14.85,11.76,5.37
2011,10.85,9.61,14.78,13.44,9.33,13.70,12.56,13.97,9.66,14.87,12.09,5.92
2012,10.60,9.30,14.85,13.42,8.73,13.75,12.33,14.00,9.36,14.97,11.97,5.43
2013,11.02,9.62,15.34,13.92,9.24,14.22,12.66,14.43,9.79,15.40,12.37,5.86
2014,12.18,11.08,15.85,14.53,10.47,15.10,14.16,15.47,10.93,16.26,13.57,7.14
2015,12.18,10.97,16.08,14.71,10.46,15.19,14.04,15.52,10.96,16.34,13.60,7.08
2016,12.00,10.66,16.20,14.80,9.99,15.23,13.95,15.57,10.67,16.38,13.50,6.75
2017,12.24,11.02,16.07,14.74,10.51,15.28,14.17,15.67,10.97,16.42,13.68,7.15
2018,11.76,10.49,15.74,14.33,10.03,14.80,13.67,15.15,10.50,15.96,13.18,6.66
2019,12.75,11.53,16.53,15.21,11.08,15.72,14.67,16.11,11.50,16.80,14.18,7.72
2020,12.13,10.87,16.00,14.67,10.44,15.12,14.03,15.50,10.91,16.22,13.54,7.06
