Variable:,tasmin
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1920,8.45,8.12,9.57,12.35,10.06,8.07,4.98,9.97,8.63,5.14,8.27,9.38,5.77,11.14,11.36,13.54,8.72,-0.71,8.25,-0.53,9.32
1921,8.15,7.72,9.27,12.00,9.71,7.70,4.51,9.65,8.42,4.92,7.80,9.00,5.59,10.81,11.46,13.20,8.28,-1.10,7.92,-0.71,8.90
1922,7.59,7.13,9.12,12.21,9.49,6.82,3.67,9.10,7.45,3.91,7.18,8.55,4.56,10.60,11.08,13.46,7.59,-2.13,7.26,-1.78,8.04
1923,8.06,7.64,9.40,12.27,9.71,7.52,4.36,9.56,8.24,4.71,7.75,9.02,5.41,11.12,11.10,13.22,8.18,-1.37,7.87,-0.86,8.77
1924,7.82,7.31,9.14,12.19,9.57,7.19,3.89,9.27,7.80,4.28,7.41,8.69,4.95,10.64,11.20,13.59,7.90,-1.76,7.47,-1.37,8.38
1925,7.67,7.28,9.11,12.08,9.49,7.06,3.97,9.17,7.67,4.25,7.37,8.65,4.84,10.72,10.57,13.14,7.70,-1.75,7.40,-1.39,8.25
1926,8.28,7.86,9.55,12.51,9.94,7.78,4.76,9.74,8.34,4.91,7.99,9.22,5.53,11.21,11.32,13.54,8.38,-1.02,8.03,-0.75,9.02
1927,8.33,7.99,9.82,12.80,10.19,7.65,4.43,9.91,8.26,4.74,7.99,9.41,5.38,11.48,11.53,13.91,8.39,-1.31,8.09,-0.88,8.82
1928,8.26,7.78,9.47,12.41,9.87,7.67,4.41,9.72,8.53,4.92,7.81,9.15,5.75,11.12,11.56,13.62,8.35,-1.22,7.92,-0.46,8.78
1929,7.47,7.12,8.68,11.59,9.11,6.85,3.66,9.08,7.65,3.96,7.10,8.44,4.80,10.34,10.92,12.82,7.63,-2.05,7.24,-1.45,8.02
1930,8.27,7.90,9.55,12.41,9.92,7.66,4.66,9.76,8.47,4.82,7.99,9.25,5.66,11.23,11.43,13.46,8.37,-1.11,8.00,-0.58,8.89
1931,7.48,6.97,9.09,12.16,9.44,6.62,3.53,8.97,7.39,3.72,7.02,8.31,4.54,10.50,11.03,13.46,7.36,-2.31,7.10,-1.74,7.91
1932,7.73,7.25,9.13,12.11,9.50,7.06,4.07,9.16,7.72,4.11,7.35,8.58,4.88,10.62,11.05,13.33,7.79,-1.70,7.37,-1.38,8.35
1933,7.25,6.52,8.56,11.61,8.95,6.56,3.31,8.60,7.47,3.77,6.66,7.82,4.69,9.96,10.95,12.96,7.24,-2.35,6.79,-1.58,7.78
1934,8.29,8.01,9.71,12.56,10.07,7.67,4.84,9.80,8.25,4.73,8.03,9.46,5.41,11.42,11.21,13.64,8.34,-1.05,8.03,-0.79,8.94
1935,7.67,7.15,9.12,12.14,9.44,6.98,3.90,9.12,7.82,4.21,7.24,8.50,5.02,10.67,10.77,13.21,7.64,-1.88,7.35,-1.18,8.23
1936,8.02,7.70,9.33,12.24,9.71,7.48,4.53,9.50,8.16,4.59,7.81,9.06,5.37,11.01,10.82,13.24,8.12,-1.36,7.83,-0.87,8.79
1937,8.08,7.52,9.42,12.45,9.74,7.45,4.37,9.45,8.36,4.71,7.64,8.86,5.58,10.98,11.15,13.54,8.11,-1.30,7.72,-0.70,8.68
1938,7.71,7.32,8.98,11.94,9.33,7.14,4.04,9.23,7.90,4.27,7.40,8.63,5.04,10.62,10.85,12.98,7.85,-1.66,7.50,-1.23,8.38
1939,7.83,7.37,9.21,12.19,9.55,7.22,4.22,9.27,7.95,4.37,7.49,8.72,5.11,10.80,10.96,13.19,7.90,-1.60,7.55,-1.15,8.48
1940,6.86,6.15,8.12,11.22,8.46,6.17,2.93,8.22,7.14,3.31,6.25,7.44,4.30,9.57,10.70,12.54,6.90,-2.75,6.40,-1.97,7.41
1941,7.17,6.63,8.60,11.68,8.92,6.47,3.23,8.62,7.25,3.54,6.71,8.00,4.39,10.10,10.59,12.92,7.27,-2.47,6.81,-1.86,7.59
1942,7.84,7.34,9.21,12.21,9.60,7.20,3.86,9.34,7.97,4.19,7.42,8.68,5.04,10.67,11.31,13.53,8.01,-1.79,7.55,-1.24,8.37
1943,8.58,8.04,9.82,12.76,10.24,7.96,4.63,10.05,9.00,5.15,8.09,9.37,6.21,11.31,11.88,13.98,8.72,-0.96,8.24,-0.05,9.08
1944,7.65,7.06,8.94,11.96,9.29,6.98,3.75,9.02,8.05,4.20,7.15,8.47,5.30,10.49,11.05,13.13,7.64,-1.99,7.22,-0.96,8.16
1945,8.20,7.78,9.52,12.42,9.91,7.51,4.25,9.75,8.57,4.72,7.77,9.13,5.74,11.09,11.63,13.50,8.27,-1.38,7.95,-0.52,8.67
1946,8.22,7.80,9.67,12.59,10.02,7.55,4.61,9.69,8.30,4.71,7.87,9.18,5.52,11.24,11.31,13.65,8.20,-1.23,7.90,-0.70,8.87
1947,8.48,7.95,9.88,12.91,10.27,7.72,4.50,9.88,8.61,4.92,7.97,9.34,5.86,11.39,11.94,14.19,8.47,-1.11,8.05,-0.33,8.78
1948,8.22,7.71,9.36,12.19,9.78,7.71,4.62,9.61,8.43,4.88,7.84,8.99,5.63,10.88,11.61,13.48,8.32,-1.00,7.88,-0.63,8.95
1949,8.28,7.86,9.40,12.21,9.85,7.77,4.49,9.80,8.57,4.95,7.95,9.10,5.86,10.92,11.63,13.50,8.43,-1.13,8.10,-0.34,8.94
1950,8.49,8.22,9.85,12.69,10.32,7.83,4.64,10.14,8.52,4.88,8.27,9.56,5.77,11.40,11.73,13.87,8.61,-1.12,8.36,-0.39,8.99
1951,8.48,8.33,9.78,12.45,10.17,8.08,5.05,10.06,8.62,5.09,8.43,9.63,5.73,11.46,11.54,13.12,8.69,-0.83,8.37,-0.55,9.38
1952,8.22,8.01,9.85,12.60,10.18,7.47,4.07,9.92,8.32,4.40,8.03,9.35,5.39,11.35,11.82,13.56,8.39,-1.76,8.09,-0.93,8.46
1953,8.06,7.57,8.94,11.68,9.43,7.82,4.59,9.55,8.55,5.00,7.89,8.82,5.71,10.51,11.24,12.63,8.36,-1.05,7.93,-0.57,8.99
1954,7.58,7.18,8.79,11.67,9.29,7.06,3.87,9.22,7.84,4.08,7.32,8.47,4.95,10.36,11.04,12.52,7.85,-1.91,7.46,-1.36,8.28
1955,8.20,7.74,9.57,12.48,10.04,7.55,4.06,9.81,8.50,4.48,7.77,9.10,5.47,11.04,11.95,13.68,8.47,-1.71,7.98,-0.94,8.50
1956,7.21,6.82,8.47,11.37,8.91,6.63,3.40,8.82,7.53,3.64,6.89,8.12,4.58,10.00,10.70,12.44,7.42,-2.43,6.97,-1.82,7.81
1957,8.06,7.89,9.37,12.09,9.88,7.51,4.72,9.73,8.09,4.56,7.94,9.24,5.18,10.99,11.28,12.88,8.23,-1.13,7.90,-1.09,8.87
1958,8.37,8.07,9.62,12.45,10.03,7.86,4.68,9.91,8.51,4.92,8.18,9.37,5.65,11.23,11.78,13.42,8.58,-1.12,8.18,-0.54,9.06
1959,8.31,7.75,8.92,11.83,9.51,8.06,4.75,9.79,8.88,5.25,8.05,8.95,6.00,10.55,11.75,13.09,8.75,-0.87,8.16,-0.31,9.22
1960,8.29,7.96,9.58,12.43,9.96,7.81,4.54,9.85,8.48,4.79,8.08,9.28,5.50,11.14,11.61,13.45,8.59,-1.24,8.14,-0.86,9.00
1961,8.40,7.79,9.29,12.07,9.65,8.18,4.88,9.75,8.97,5.26,8.15,9.00,6.12,10.88,11.69,13.18,8.77,-0.80,8.18,-0.20,9.18
1962,7.59,7.18,9.09,12.13,9.37,7.03,3.48,9.16,7.85,3.88,7.29,8.59,4.81,10.66,11.06,12.99,7.80,-2.32,7.35,-1.73,7.83
1963,7.78,7.41,9.26,12.20,9.51,7.21,3.90,9.35,8.02,4.10,7.51,8.79,4.93,10.83,11.22,13.03,8.03,-1.90,7.58,-1.59,8.30
1964,8.09,7.41,9.19,12.10,9.50,7.71,4.41,9.39,8.75,4.91,7.60,8.63,5.88,10.72,11.43,13.09,8.29,-1.25,7.64,-0.45,8.68
1965,7.45,6.84,8.85,11.82,9.17,6.78,3.73,8.81,7.70,3.85,6.92,8.25,4.86,10.38,11.00,12.93,7.49,-2.06,7.00,-1.44,7.91
1966,8.22,7.60,9.42,12.22,9.75,7.82,4.86,9.52,8.58,4.92,7.84,8.91,5.80,11.00,11.35,13.22,8.40,-1.03,7.88,-0.44,9.14
1967,8.01,7.29,9.03,12.00,9.43,7.61,4.66,9.33,8.45,4.68,7.61,8.56,5.56,10.55,11.40,13.15,8.22,-1.19,7.69,-0.77,8.90
1968,8.00,7.48,9.14,12.15,9.53,7.47,4.43,9.44,8.23,4.53,7.67,8.79,5.37,10.72,11.43,13.26,8.19,-1.35,7.72,-0.90,8.73
1969,7.93,7.53,9.25,12.21,9.61,7.38,4.16,9.46,8.07,4.37,7.66,8.82,5.13,10.80,11.25,13.23,8.14,-1.58,7.73,-1.16,8.59
1970,7.84,7.43,9.16,12.02,9.59,7.23,3.91,9.40,8.13,4.28,7.45,8.77,5.25,10.72,11.37,13.14,7.99,-1.80,7.52,-1.09,8.25
1971,7.91,7.52,9.12,11.95,9.53,7.39,4.42,9.36,8.21,4.61,7.48,8.79,5.35,10.75,11.16,12.91,8.02,-1.33,7.50,-0.99,8.73
1972,8.17,7.84,9.41,12.19,9.84,7.76,4.64,9.66,8.43,4.86,7.91,9.15,5.52,11.01,11.08,13.11,8.41,-1.09,7.94,-0.84,9.08
1973,7.86,7.31,9.09,12.21,9.46,7.25,4.19,9.20,8.12,4.49,7.32,8.59,5.33,10.62,11.20,13.30,7.91,-1.50,7.39,-0.96,8.42
1974,7.99,7.46,8.96,11.80,9.42,7.56,4.65,9.35,8.29,4.85,7.61,8.69,5.71,10.55,11.03,12.93,8.17,-1.00,7.63,-0.39,8.84
1975,7.98,7.44,8.85,11.71,9.29,7.63,4.96,9.31,8.34,4.93,7.66,8.64,5.72,10.47,10.88,12.85,8.14,-0.88,7.64,-0.32,9.10
1976,7.77,7.35,8.76,11.66,9.24,7.30,4.17,9.27,8.18,4.56,7.42,8.51,5.54,10.29,10.94,12.74,7.99,-1.50,7.47,-0.54,8.35
1977,8.17,7.56,9.07,11.91,9.55,7.68,4.78,9.61,8.57,4.93,7.81,8.85,5.83,10.64,11.49,13.28,8.40,-0.89,7.93,-0.35,9.08
1978,7.47,7.00,8.56,11.45,9.08,6.86,3.72,9.00,7.91,4.13,7.04,8.28,5.13,10.06,10.84,12.72,7.62,-1.90,7.19,-1.10,8.13
1979,8.28,7.98,9.50,12.26,10.04,7.76,4.46,9.89,8.61,4.86,7.99,9.34,5.75,11.08,11.42,13.42,8.50,-1.21,8.08,-0.55,8.85
1980,7.56,6.88,8.58,11.50,9.07,7.25,3.89,8.86,8.15,4.50,7.07,8.21,5.33,10.09,10.47,12.65,7.83,-1.72,7.21,-0.95,8.33
1981,7.81,7.06,8.78,11.77,9.22,7.40,4.13,9.08,8.27,4.66,7.32,8.38,5.53,10.28,10.99,13.15,8.01,-1.47,7.44,-0.69,8.47
1982,8.70,8.08,9.74,12.58,10.22,8.25,5.07,10.05,9.06,5.52,8.29,9.37,6.33,11.22,11.82,13.91,8.92,-0.52,8.38,0.12,9.50
1983,8.17,7.38,9.15,12.03,9.56,7.66,4.68,9.42,8.66,5.13,7.58,8.67,6.03,10.65,11.38,13.29,8.29,-0.85,7.69,-0.07,9.03
1984,7.90,7.43,9.18,12.16,9.60,7.33,4.07,9.33,8.14,4.56,7.47,8.78,5.40,10.67,10.89,13.28,8.02,-1.55,7.57,-0.77,8.54
1985,8.20,7.61,9.33,12.42,9.77,7.73,4.09,9.66,8.62,4.88,7.80,8.94,5.57,10.79,11.49,13.75,8.53,-1.47,7.98,-0.90,8.76
1986,8.38,7.73,9.52,12.49,9.85,7.92,4.40,9.76,8.93,5.17,7.87,9.04,6.01,10.99,11.60,13.76,8.59,-1.08,8.02,-0.36,8.96
1987,8.41,7.76,9.53,12.58,9.94,7.93,4.48,9.85,8.85,5.08,7.95,9.09,5.92,10.96,11.69,13.82,8.71,-1.11,8.12,-0.29,8.97
1988,8.64,7.86,9.59,12.67,10.09,8.16,4.89,9.87,9.11,5.51,8.06,9.19,6.44,11.10,11.79,14.13,8.76,-0.66,8.12,0.36,9.28
1989,8.18,7.36,9.02,11.99,9.42,7.63,4.78,9.37,8.79,5.19,7.48,8.71,6.19,10.60,11.33,13.50,8.21,-0.71,7.55,0.13,8.98
1990,8.62,8.05,9.61,12.56,10.08,8.14,4.91,10.00,9.06,5.44,8.13,9.32,6.37,11.17,11.89,13.88,8.77,-0.71,8.18,0.19,9.28
1991,7.99,7.42,8.98,11.98,9.48,7.51,4.35,9.36,8.46,4.83,7.47,8.73,5.75,10.53,11.02,13.35,8.11,-1.23,7.55,-0.41,8.58
1992,8.69,8.25,9.61,12.35,10.13,8.36,5.32,10.16,9.10,5.53,8.55,9.53,6.33,11.17,11.55,13.59,8.98,-0.29,8.52,0.10,9.59
1993,8.33,7.73,9.23,12.12,9.69,7.95,4.90,9.66,8.79,5.20,7.98,9.02,6.00,10.81,11.33,13.42,8.55,-0.69,8.04,-0.32,9.26
1994,9.38,8.74,10.31,13.11,10.68,9.04,6.04,10.60,9.86,6.32,9.03,10.01,7.19,11.90,12.41,14.43,9.53,0.36,9.03,0.95,10.31
1995,8.37,7.54,9.20,12.17,9.58,8.02,4.84,9.51,8.98,5.29,7.90,8.82,6.30,10.77,11.61,13.61,8.62,-0.79,7.94,0.06,9.14
1996,8.30,7.61,9.35,12.26,9.78,7.91,4.48,9.58,8.86,5.00,7.81,8.93,5.93,10.88,11.65,13.56,8.59,-1.14,7.95,-0.46,8.87
1997,8.83,7.96,9.49,12.38,9.97,8.62,5.25,10.01,9.54,5.87,8.40,9.23,6.72,11.04,12.23,13.82,9.23,-0.29,8.53,0.46,9.68
1998,8.66,8.03,9.59,12.50,9.95,8.39,5.35,9.85,9.05,5.62,8.32,9.28,6.34,11.24,11.38,13.68,8.92,-0.34,8.35,0.11,9.64
1999,8.92,8.18,9.87,12.85,10.22,8.54,5.48,10.07,9.42,5.70,8.46,9.45,6.67,11.50,12.03,14.22,9.09,-0.24,8.49,0.50,9.75
2000,9.18,8.61,10.04,12.89,10.47,8.87,5.94,10.40,9.68,6.05,8.97,9.87,6.95,11.73,12.10,14.15,9.38,0.15,8.90,0.76,10.19
2001,8.99,8.44,10.21,13.10,10.63,8.45,5.14,10.37,9.38,5.52,8.53,9.83,6.49,11.78,12.39,14.50,9.15,-0.65,8.60,0.17,9.56
2002,9.31,8.72,10.15,12.96,10.54,9.02,5.95,10.58,9.78,6.24,9.06,9.90,7.01,11.85,12.31,14.34,9.56,0.26,9.03,0.75,10.28
2003,9.09,8.51,10.21,13.15,10.60,8.58,5.18,10.45,9.62,5.73,8.64,9.80,6.69,11.81,12.38,14.51,9.28,-0.43,8.75,0.33,9.73
2004,8.81,8.26,9.83,12.70,10.23,8.42,5.03,10.20,9.40,5.52,8.45,9.49,6.49,11.46,11.99,14.00,9.08,-0.64,8.54,0.17,9.56
2005,8.33,7.66,9.44,12.41,9.78,7.81,4.50,9.61,8.80,5.05,7.81,8.96,6.02,11.03,11.60,13.84,8.46,-1.09,7.88,-0.22,8.97
2006,9.02,8.43,9.89,12.73,10.30,8.69,5.28,10.31,9.64,5.75,8.66,9.62,6.75,11.53,12.30,14.23,9.41,-0.26,8.80,0.49,9.78
2007,9.28,8.82,10.40,13.20,10.72,8.93,5.81,10.68,9.60,5.87,9.09,10.05,6.71,12.09,12.20,14.50,9.60,-0.06,9.15,0.49,10.21
2008,9.33,9.00,10.59,13.37,10.95,8.84,5.73,10.84,9.52,5.74,9.15,10.25,6.57,12.25,12.43,14.78,9.52,-0.22,9.19,0.25,10.09
2009,9.36,8.99,10.57,13.34,11.00,8.81,5.62,10.90,9.73,5.82,9.04,10.29,6.83,12.25,12.51,14.74,9.56,-0.25,9.17,0.56,9.99
2010,8.88,8.43,10.47,13.47,10.73,8.09,4.79,10.40,8.99,5.06,8.45,9.84,6.03,12.01,12.33,14.86,8.88,-1.10,8.50,-0.30,9.27
2011,9.34,8.82,10.09,12.79,10.56,9.18,5.90,10.67,9.88,6.34,9.16,9.92,7.07,11.78,12.18,14.14,9.82,0.35,9.24,0.85,10.27
2012,9.19,8.65,10.21,13.06,10.52,8.82,5.76,10.51,9.51,5.82,9.01,9.86,6.66,11.90,12.29,14.43,9.46,-0.07,9.05,0.40,10.06
2013,9.08,8.57,10.31,13.19,10.61,8.63,5.58,10.41,9.30,5.68,8.86,9.82,6.47,11.93,12.04,14.43,9.26,-0.30,8.85,0.14,9.96
2014,9.78,9.16,10.51,13.27,10.93,9.52,6.44,11.01,10.43,6.74,9.60,10.28,7.69,12.20,12.85,14.71,10.11,0.60,9.61,1.41,10.80
2015,9.58,9.03,10.43,13.22,10.89,9.27,6.09,10.91,10.11,6.52,9.29,10.20,7.33,12.10,12.53,14.63,9.87,0.39,9.39,1.10,10.49
2016,9.49,8.94,10.52,13.41,10.91,9.10,5.86,10.81,9.90,6.22,9.23,10.14,7.05,12.14,12.53,14.82,9.78,0.11,9.29,0.73,10.32
2017,9.20,8.70,10.22,13.02,10.60,8.77,5.48,10.57,9.66,5.98,8.91,9.90,6.86,11.87,12.27,14.48,9.44,-0.17,9.07,0.62,9.95
2018,9.96,9.48,11.02,13.80,11.46,9.61,6.45,11.35,10.51,6.75,9.71,10.72,7.70,12.72,12.69,14.95,10.30,0.60,9.82,1.51,10.79
2019,9.68,9.21,10.86,13.65,11.19,9.20,6.21,11.09,9.97,6.33,9.50,10.48,7.20,12.56,12.52,14.87,9.90,0.32,9.59,1.00,10.52
2020,9.60,8.96,10.56,13.41,10.96,9.23,6.10,10.87,10.05,6.45,9.29,10.20,7.30,12.20,12.58,14.76,9.87,0.38,9.34,1.15,10.42
