Variable:,tasmin
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
1971,18.67,17.83,22.54,12.39,22.43,18.21,11.29,19.15
1972,19.13,18.31,22.94,12.85,22.87,18.69,11.75,19.59
1973,19.58,18.85,23.25,13.28,23.07,19.24,12.22,20.03
1974,19.05,18.47,22.67,12.73,22.25,18.77,11.71,19.55
1975,19.21,18.55,22.78,12.88,22.55,18.95,11.79,19.65
1976,19.56,18.96,23.03,13.18,22.89,19.32,12.13,19.99
1977,19.29,18.48,22.99,13.03,22.94,18.93,11.95,19.72
1978,19.83,19.08,23.54,13.55,23.40,19.44,12.47,20.31
1979,20.37,19.65,24.07,14.06,23.91,19.98,12.98,20.86
1980,20.53,19.69,24.27,14.30,24.22,20.14,13.15,20.97
1981,19.60,19.02,23.13,13.06,23.02,19.31,12.04,20.07
1982,19.78,18.77,23.57,13.63,23.83,19.30,12.46,20.16
1983,19.91,18.92,23.65,13.84,23.81,19.51,12.64,20.29
1984,19.90,19.30,23.25,13.52,23.04,19.82,12.47,20.29
1985,19.75,19.12,23.23,13.39,22.99,19.60,12.33,20.15
1986,19.69,18.77,23.41,13.58,23.43,19.32,12.39,20.07
1987,19.31,18.41,23.21,13.09,23.24,18.84,11.92,19.73
1988,19.46,18.53,23.22,13.28,23.36,19.06,12.04,19.82
1989,19.05,18.22,22.92,12.73,22.92,18.52,11.59,19.55
1990,19.84,18.98,23.62,13.66,23.60,19.44,12.51,20.26
1991,20.27,19.42,23.93,14.09,23.92,19.94,12.93,20.66
1992,19.68,18.67,23.30,13.71,23.40,19.44,12.50,19.97
1993,20.23,19.49,23.73,14.08,23.53,20.07,12.98,20.61
1994,20.08,19.25,23.73,13.97,23.57,19.83,12.86,20.48
1995,19.91,18.99,23.60,13.85,23.64,19.52,12.70,20.31
1996,20.25,19.48,23.92,14.10,23.75,19.93,13.03,20.69
1997,19.89,19.03,23.51,13.70,23.56,19.61,12.55,20.23
1998,20.22,19.44,23.96,14.02,23.79,19.85,12.95,20.68
1999,20.08,19.53,23.74,13.69,23.23,19.81,12.75,20.62
2000,20.08,19.36,23.73,13.80,23.50,19.78,12.76,20.54
2001,20.19,19.52,23.83,13.88,23.55,19.91,12.87,20.67
2002,20.56,19.82,24.20,14.29,23.99,20.26,13.25,21.01
2003,20.29,19.54,23.97,14.02,23.83,19.96,12.95,20.74
2004,20.13,19.37,23.81,13.79,23.70,19.79,12.75,20.57
2005,20.51,19.87,24.12,14.15,23.86,20.21,13.12,20.98
2006,20.22,19.47,23.88,13.94,23.75,19.89,12.89,20.67
2007,20.17,19.47,23.87,13.90,23.60,19.82,12.84,20.65
2008,20.27,19.63,23.95,13.99,23.51,19.98,13.00,20.80
2009,20.98,20.26,24.64,14.71,24.40,20.68,13.66,21.44
2010,21.18,20.66,24.78,14.89,24.27,20.92,13.88,21.71
2011,20.50,19.72,24.18,14.30,23.96,20.22,13.22,20.94
2012,20.66,19.98,24.36,14.44,23.96,20.35,13.38,21.16
2013,20.73,20.01,24.37,14.47,24.09,20.45,13.42,21.18
2014,20.57,19.93,24.16,14.28,23.85,20.29,13.23,21.05
2015,20.97,20.28,24.62,14.69,24.29,20.68,13.69,21.46
2016,21.17,20.51,24.74,14.96,24.42,20.95,13.91,21.62
2017,20.88,20.22,24.48,14.62,24.21,20.59,13.59,21.36
2018,20.53,19.88,24.18,14.22,23.86,20.23,13.18,21.00
2019,20.27,19.50,23.91,13.96,23.90,19.97,12.89,20.65
2020,20.08,19.33,23.73,13.85,23.56,19.78,12.76,20.52
