Variable:,pr
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
1936,919.09,1360.18,369.33,1213.24,1405.44,677.44,1281.31,817.50,1370.26,654.17,1192.39,431.84
1937,860.84,1054.64,347.81,1182.08,1356.13,676.97,1147.31,827.80,1080.82,682.46,1080.85,475.52
1938,795.27,1080.82,352.76,1201.20,1456.43,412.88,1282.59,527.50,1189.67,867.48,950.19,266.10
1939,762.97,1069.61,277.51,1001.54,1294.66,488.70,1162.24,622.00,1072.07,482.82,1031.23,329.49
1940,793.45,1015.82,303.22,1043.27,1246.10,457.62,1127.75,579.10,1155.41,559.16,1028.73,384.11
1941,808.38,1080.60,276.59,1061.20,1258.41,471.64,1136.50,645.60,1134.78,514.74,1047.77,428.90
1942,780.18,1128.27,299.98,1103.35,1257.90,386.24,1105.19,523.70,1088.53,699.54,1004.32,332.73
1943,725.50,1049.03,274.07,1066.95,1169.94,319.37,1010.33,477.30,1026.27,705.57,931.61,280.58
1944,796.48,1064.61,309.01,1063.82,1230.31,478.44,1168.14,593.90,1163.15,562.67,1052.76,353.14
1945,778.37,1008.62,222.40,1058.65,1322.89,435.28,1354.53,582.40,1269.54,536.97,1011.25,294.12
1946,880.92,1324.50,370.84,1255.76,1516.53,671.54,1353.77,866.00,1152.87,648.27,1142.07,375.09
1947,868.53,1393.45,308.25,1163.10,1399.35,635.80,1318.59,785.30,1370.21,470.23,1163.23,350.72
1948,792.36,1278.58,255.39,1128.90,1239.68,418.79,1144.87,577.60,1073.33,530.31,1062.91,348.92
1949,803.70,1333.21,309.17,1153.82,1313.51,466.17,1221.74,609.70,1123.12,516.64,1100.21,287.70
1950,912.66,1702.76,578.85,1682.60,1362.86,612.31,1082.02,741.10,1025.84,838.74,1097.01,324.71
1951,801.68,722.39,251.82,807.66,1243.67,644.38,1220.43,848.90,1144.68,534.43,1030.51,543.42
1952,706.23,1065.18,280.17,1007.90,1191.25,472.61,1038.00,570.90,967.09,527.56,921.21,292.43
1953,755.28,773.38,353.03,1078.39,1294.80,509.90,1105.28,691.60,974.08,712.68,924.64,352.48
1954,841.14,1157.73,458.64,1304.25,1459.20,688.46,1232.69,845.00,1086.63,690.73,1009.33,355.24
1955,749.73,1092.97,353.96,1136.12,1325.55,518.57,1178.26,639.50,1053.82,578.10,936.74,273.36
1956,747.97,883.59,377.47,1038.79,1215.18,638.48,1164.50,764.80,1037.55,694.23,908.28,342.57
1957,832.64,1049.13,415.29,1118.71,1056.92,761.43,1061.15,886.00,1105.45,708.68,1039.40,470.90
1958,859.56,1533.06,366.95,1244.51,1453.49,627.44,1242.34,795.10,1219.86,574.96,1150.02,306.93
1959,771.22,1083.19,326.44,1089.69,1206.29,472.68,1134.29,596.80,1073.11,675.66,992.41,325.56
1960,741.85,1024.62,339.25,1012.56,1061.57,519.66,1089.41,672.30,998.42,525.80,959.82,366.02
1961,1031.40,1222.06,541.70,1163.15,1668.01,651.35,1497.92,793.40,1613.46,653.99,1363.15,486.11
1962,765.39,912.11,348.61,984.60,1255.30,517.19,1219.86,591.30,1161.83,537.74,956.77,363.03
1963,910.08,1314.61,392.44,1034.35,1142.79,643.60,1271.89,809.80,1328.39,643.21,1216.08,516.11
1964,943.97,1330.69,499.49,1385.95,1314.59,821.23,1239.03,988.40,1226.28,907.81,1189.69,424.43
1965,749.42,1034.45,285.78,1056.44,1174.81,408.65,1042.80,511.50,976.41,507.78,970.90,373.90
1966,847.97,1392.81,303.20,1011.75,1347.13,486.07,1245.42,664.80,1247.34,454.59,1179.61,397.40
1967,1082.36,1304.63,489.37,1452.54,1646.27,830.27,1362.09,1027.30,1388.14,604.46,1376.03,631.22
1968,892.22,1153.12,365.73,1058.95,1321.12,846.18,1101.73,994.90,1102.01,491.44,1167.80,588.55
1969,777.65,1209.29,361.63,1069.77,1181.80,621.31,1065.87,754.70,982.34,455.20,1022.32,395.18
1970,817.73,1153.99,388.85,1092.56,1333.41,624.18,1240.07,722.50,1083.92,505.02,1062.08,394.31
1971,821.90,1232.62,335.80,1291.60,1045.25,599.88,1042.61,797.90,1013.92,500.90,1053.91,425.78
1972,842.86,1139.13,331.16,1212.21,1124.48,646.98,961.71,754.40,1049.02,534.76,1072.97,500.25
1973,755.97,944.52,284.19,1276.71,1197.74,423.04,1053.09,597.90,958.62,572.86,917.03,335.01
1974,794.31,1126.95,301.07,1174.67,1463.31,590.43,1146.36,779.20,1049.19,545.81,1041.17,311.00
1975,901.29,1262.20,406.17,1372.67,1586.63,634.64,1205.10,903.20,1171.14,828.41,1150.73,338.53
1976,896.37,1056.81,311.54,1173.57,1404.94,823.24,1167.73,1115.80,1092.51,588.55,1149.31,549.36
1977,964.92,1379.63,377.90,1154.85,1094.99,709.71,1044.20,985.70,1297.24,768.00,1319.95,571.44
1978,772.47,1023.08,280.52,852.89,1032.19,552.48,1224.01,699.50,1213.68,659.41,1017.87,408.59
1979,772.21,1117.61,325.95,1079.18,1168.02,581.09,906.15,799.20,993.48,639.00,1003.96,384.20
1980,704.63,1004.65,313.25,1031.62,1041.56,463.10,962.41,625.80,961.50,751.85,912.93,269.56
1981,794.49,1112.97,345.24,1068.11,1158.94,523.09,1100.14,611.80,1100.99,617.91,999.01,418.63
1982,928.02,1138.19,394.47,927.27,1073.76,760.40,1216.82,960.40,1436.92,556.90,1278.99,561.64
1983,837.77,1303.38,359.98,1022.33,1028.08,649.47,1097.52,777.40,1338.21,559.37,1134.05,401.92
1984,629.57,966.54,205.56,859.61,1144.90,377.89,898.56,527.20,846.89,418.77,842.30,274.85
1985,807.27,1177.24,312.60,1167.64,1453.93,556.52,1016.15,722.70,983.82,575.96,1047.01,383.81
1986,710.29,1032.48,340.31,985.00,1056.10,521.35,867.85,657.60,952.02,611.46,905.34,346.14
1987,748.11,967.23,309.02,887.66,966.96,571.26,896.66,762.80,1026.00,588.48,981.78,451.47
1988,817.86,1145.37,390.93,1055.96,1098.96,585.61,1187.77,697.80,1284.97,706.27,1041.32,373.84
1989,824.57,1193.11,367.05,1075.99,1115.96,574.97,1099.48,680.40,1153.27,507.17,1035.39,486.07
1990,737.26,1147.84,288.79,886.95,1090.07,503.87,1053.00,570.50,1011.11,386.39,1024.82,377.74
1991,746.17,1000.12,304.55,1030.83,1327.94,515.08,1130.67,626.40,1057.92,572.90,947.19,320.74
1992,759.56,1054.84,362.43,919.78,1025.84,711.38,1130.93,912.90,1126.64,537.44,1042.17,338.13
1993,846.93,1202.65,382.84,1192.55,1366.20,694.96,1040.94,844.20,1123.37,612.16,1129.77,364.33
1994,811.76,1062.24,373.18,1187.46,1463.31,577.37,1107.17,714.30,984.54,601.41,1001.29,404.11
1995,728.64,1040.62,378.54,1029.07,998.82,612.91,995.12,707.10,1001.71,571.86,914.13,355.61
1996,855.05,1417.33,405.19,1172.23,1176.37,738.66,1165.90,965.50,1208.93,528.29,1143.02,385.38
1997,865.20,1113.42,337.40,1070.27,1120.38,614.17,1162.28,849.90,1290.30,518.41,1137.81,482.67
1998,859.59,1254.35,417.68,1229.50,1264.25,621.71,1046.75,772.10,1172.10,724.09,1095.62,397.08
1999,742.05,1041.55,390.79,1138.14,1237.92,708.71,1012.96,872.40,908.00,560.80,898.52,355.80
2000,847.47,1165.23,391.03,1329.91,1371.12,697.58,1152.31,885.80,1053.52,685.27,1026.78,402.30
2001,801.45,1141.65,389.23,1107.02,1188.39,689.75,1211.94,883.70,1116.61,607.36,1027.34,361.22
2002,723.25,914.29,307.64,973.11,1077.83,445.45,1001.66,586.90,962.98,568.29,911.87,389.38
2003,769.06,1092.53,340.59,1106.01,1152.23,523.64,1014.41,720.10,983.89,647.89,965.95,388.57
2004,803.41,1150.32,347.47,1019.04,1071.60,618.24,875.18,814.00,1070.34,500.56,1083.88,452.93
2005,844.94,1304.57,369.65,1186.98,1227.16,550.70,1010.96,721.40,1132.07,661.86,1112.16,396.77
2006,859.65,1313.94,395.61,1198.70,1257.35,684.90,1050.81,837.20,1178.31,634.47,1106.70,420.98
2007,841.36,1196.48,347.39,1155.02,1279.29,583.45,994.40,845.30,1104.78,645.83,1075.27,450.10
2008,841.10,1109.59,330.76,1155.38,1302.26,509.47,1039.53,700.70,1184.76,594.48,1096.52,405.31
2009,756.73,1094.02,320.32,1010.67,1098.21,478.72,1036.21,665.70,1084.13,520.72,998.74,356.88
2010,843.94,1158.29,367.62,1125.94,1335.00,656.83,1131.73,816.90,1194.15,589.07,1096.73,401.24
2011,818.21,1258.63,361.53,1056.19,1144.72,614.36,1084.22,752.60,1098.44,496.19,1101.66,423.55
2012,844.14,1197.82,353.46,1140.95,1267.98,573.58,1146.66,726.90,1237.97,532.06,1108.84,390.41
2013,898.65,1190.16,410.48,1130.23,1192.67,896.73,1014.48,1239.90,1158.57,571.95,1196.36,529.30
2014,903.11,1200.79,383.97,1277.29,1446.97,694.07,1215.33,986.70,1247.46,678.92,1136.00,434.15
2015,822.78,1100.69,291.07,969.53,1211.81,527.71,1132.67,771.50,1226.16,529.74,1092.59,449.25
2016,901.76,1399.38,405.19,1235.51,1295.29,745.31,1112.95,927.70,1177.32,637.50,1196.39,446.31
2017,912.79,1172.46,400.11,1232.38,1232.03,783.64,972.67,1064.60,1125.06,610.76,1151.58,582.87
2018,889.10,1182.26,413.25,1240.03,1316.42,763.14,1110.38,902.70,1158.03,719.68,1123.00,462.11
2019,986.73,1298.15,380.61,1293.86,1458.09,693.07,1176.73,877.90,1369.28,683.96,1295.40,523.55
2020,905.84,1349.64,406.66,1289.33,1301.26,681.07,1152.98,837.10,1299.98,719.45,1153.88,417.64
