Variable:,tasmin
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1911,1.56,4.72,3.60,3.74,4.93,4.68,2.27,3.03,4.48,1.02,-1.90,4.52,3.83,3.95,-0.27,-0.34,3.24,4.94,3.12,4.91,5.18,1.04,-1.14,-1.49,2.83,4.74,4.79
1912,0.89,3.99,2.99,3.12,4.22,3.88,1.57,2.29,3.84,0.41,-2.51,3.75,3.12,3.15,-0.91,-0.98,2.62,4.24,2.45,4.21,4.50,0.42,-1.78,-2.17,2.08,4.03,4.09
1913,1.28,4.41,3.31,3.44,4.66,4.38,1.99,2.75,4.26,0.73,-2.18,4.23,3.52,3.64,-0.56,-0.63,2.94,4.66,2.83,4.65,4.87,0.78,-1.42,-1.76,2.55,4.43,4.49
1914,0.99,4.12,3.07,3.20,4.35,4.03,1.69,2.41,3.90,0.49,-2.41,3.91,3.25,3.29,-0.83,-0.90,2.70,4.35,2.54,4.34,4.59,0.53,-1.69,-2.06,2.19,4.14,4.20
1915,0.95,4.08,2.99,3.13,4.27,3.98,1.64,2.39,3.90,0.41,-2.48,3.88,3.19,3.30,-0.90,-0.97,2.62,4.32,2.50,4.27,4.55,0.50,-1.77,-2.07,2.19,4.11,4.16
1916,1.27,4.41,3.32,3.46,4.67,4.40,1.97,2.77,4.27,0.73,-2.15,4.27,3.50,3.68,-0.61,-0.68,2.96,4.72,2.82,4.67,4.92,0.76,-1.50,-1.82,2.56,4.44,4.52
1917,0.34,3.45,2.37,2.50,3.71,3.39,1.03,1.81,3.39,-0.20,-3.07,3.34,2.56,2.74,-1.51,-1.58,2.00,3.70,1.86,3.72,3.91,-0.14,-2.38,-2.71,1.63,3.46,3.53
1918,1.19,4.33,3.24,3.36,4.60,4.35,1.90,2.70,4.08,0.65,-2.23,4.19,3.42,3.57,-0.65,-0.72,2.86,4.63,2.70,4.59,4.81,0.68,-1.53,-1.90,2.43,4.30,4.39
1919,0.62,3.71,2.63,2.77,3.93,3.56,1.33,2.05,3.69,0.08,-2.82,3.54,2.88,2.95,-1.13,-1.20,2.26,3.80,2.14,3.95,4.09,0.19,-2.02,-2.36,1.88,3.73,3.74
1920,1.77,4.87,3.85,3.98,5.08,4.68,2.44,3.17,4.65,1.28,-1.59,4.60,4.01,4.01,-0.02,-0.09,3.48,5.06,3.34,5.08,5.32,1.35,-0.88,-1.28,2.94,4.92,4.96
1921,1.62,4.80,3.74,3.88,5.04,4.68,2.26,2.94,4.43,1.16,-1.71,4.36,3.91,3.79,-0.14,-0.21,3.37,5.02,3.23,4.97,5.25,1.22,-1.01,-1.48,2.67,4.82,4.88
1922,0.56,3.72,2.58,2.72,4.02,3.68,1.25,1.98,3.48,0.03,-2.83,3.41,2.83,2.84,-1.24,-1.31,2.22,3.88,2.07,3.97,4.06,0.18,-2.12,-2.52,1.72,3.67,3.72
1923,1.45,4.60,3.48,3.62,4.89,4.57,2.15,2.89,4.37,0.91,-1.97,4.36,3.71,3.78,-0.38,-0.45,3.11,4.79,2.98,4.85,5.01,0.99,-1.25,-1.60,2.65,4.59,4.64
1924,0.96,4.12,2.96,3.11,4.43,4.07,1.67,2.40,3.89,0.43,-2.46,3.85,3.24,3.26,-0.85,-0.92,2.60,4.20,2.50,4.39,4.40,0.52,-1.73,-2.10,2.14,4.11,4.13
1925,1.00,4.23,3.05,3.18,4.52,4.27,1.71,2.42,3.83,0.47,-2.45,3.88,3.32,3.32,-0.77,-0.84,2.68,4.43,2.59,4.43,4.63,0.54,-1.66,-2.08,2.15,4.20,4.26
1926,1.63,4.81,3.73,3.87,5.06,4.68,2.29,3.00,4.45,1.16,-1.72,4.44,3.90,3.85,-0.18,-0.25,3.37,5.06,3.24,5.01,5.29,1.19,-1.02,-1.47,2.74,4.83,4.90
1927,1.45,4.61,3.49,3.63,4.88,4.40,2.17,2.91,4.38,0.93,-2.00,4.36,3.74,3.74,-0.36,-0.43,3.12,4.80,3.02,4.89,4.98,1.02,-1.21,-1.60,2.66,4.62,4.67
1928,1.75,4.90,3.75,3.88,5.13,4.66,2.48,3.20,4.71,1.20,-1.73,4.60,4.05,4.00,-0.00,-0.07,3.37,5.02,3.28,5.13,5.22,1.33,-0.87,-1.24,2.95,4.87,4.90
1929,0.71,3.82,2.69,2.82,4.07,3.61,1.43,2.20,3.71,0.16,-2.73,3.53,2.97,2.97,-1.06,-1.13,2.32,4.00,2.24,4.07,4.18,0.24,-1.92,-2.26,1.94,3.82,3.86
1930,1.65,4.77,3.66,3.79,5.04,4.62,2.41,3.19,4.68,1.06,-1.88,4.64,3.88,4.05,-0.22,-0.29,3.29,5.02,3.14,5.06,5.21,1.12,-1.13,-1.34,2.96,4.75,4.83
1931,0.44,3.53,2.34,2.49,3.80,3.35,1.23,2.01,3.46,-0.18,-3.11,3.43,2.69,2.82,-1.39,-1.46,1.98,3.63,1.92,3.84,3.83,0.01,-2.25,-2.49,1.76,3.51,3.54
1932,0.86,4.00,2.89,3.03,4.27,3.90,1.58,2.34,3.87,0.31,-2.62,3.78,3.09,3.21,-1.03,-1.10,2.53,4.28,2.40,4.26,4.49,0.35,-1.90,-2.16,2.12,4.00,4.08
1933,0.56,3.68,2.53,2.67,3.91,3.46,1.32,2.08,3.57,-0.01,-2.97,3.47,2.83,2.90,-1.26,-1.33,2.16,3.78,2.08,3.93,4.00,0.12,-2.11,-2.37,1.83,3.67,3.69
1934,1.51,4.72,3.56,3.69,4.96,4.60,2.21,2.95,4.38,0.98,-1.95,4.36,3.80,3.79,-0.30,-0.37,3.19,5.01,3.09,4.92,5.19,0.98,-1.17,-1.55,2.69,4.70,4.78
1935,1.01,4.11,2.94,3.07,4.40,4.02,1.77,2.55,4.04,0.39,-2.51,4.01,3.24,3.42,-0.82,-0.89,2.57,4.30,2.47,4.42,4.50,0.52,-1.71,-1.96,2.33,4.06,4.12
1936,1.38,4.53,3.36,3.50,4.82,4.42,2.13,2.88,4.34,0.80,-2.15,4.34,3.65,3.74,-0.46,-0.53,3.00,4.72,2.89,4.82,4.91,0.89,-1.32,-1.62,2.63,4.49,4.55
1937,1.48,4.58,3.53,3.67,4.81,4.41,2.18,2.90,4.48,0.95,-1.96,4.32,3.73,3.73,-0.31,-0.38,3.16,4.76,3.00,4.80,5.03,1.05,-1.16,-1.49,2.67,4.59,4.63
1938,0.94,4.07,2.99,3.13,4.32,3.93,1.62,2.31,3.88,0.44,-2.44,3.72,3.22,3.13,-0.82,-0.89,2.62,4.24,2.49,4.28,4.47,0.52,-1.69,-2.09,2.07,4.09,4.12
1939,1.03,4.14,3.11,3.25,4.37,4.04,1.71,2.46,4.01,0.52,-2.39,3.89,3.26,3.32,-0.79,-0.86,2.73,4.38,2.56,4.36,4.60,0.60,-1.65,-1.99,2.24,4.15,4.21
1940,0.06,3.14,2.01,2.15,3.39,2.95,0.82,1.56,3.17,-0.53,-3.44,2.96,2.31,2.38,-1.73,-1.80,1.64,3.22,1.52,3.41,3.44,-0.38,-2.60,-2.86,1.35,3.11,3.12
1941,0.27,3.33,2.29,2.42,3.62,3.22,0.99,1.76,3.35,-0.30,-3.19,3.17,2.47,2.61,-1.58,-1.65,1.92,3.57,1.77,3.62,3.78,-0.16,-2.47,-2.71,1.54,3.35,3.41
1942,0.82,3.86,2.81,2.95,4.11,3.58,1.54,2.30,3.93,0.26,-2.61,3.68,3.03,3.09,-1.06,-1.13,2.44,4.02,2.31,4.16,4.26,0.38,-1.89,-2.11,2.09,3.89,3.92
1943,1.89,4.89,3.84,3.97,5.11,4.60,2.64,3.43,5.11,1.28,-1.60,4.79,4.08,4.22,0.04,-0.03,3.47,5.06,3.34,5.18,5.31,1.40,-0.84,-0.95,3.23,4.93,4.96
1944,1.07,4.11,2.98,3.12,4.35,3.93,1.86,2.65,4.23,0.44,-2.48,4.06,3.28,3.46,-0.77,-0.84,2.61,4.21,2.52,4.40,4.46,0.61,-1.63,-1.79,2.42,4.10,4.12
1945,1.52,4.60,3.53,3.66,4.83,4.40,2.26,2.97,4.60,0.97,-1.94,4.41,3.78,3.80,-0.25,-0.32,3.15,4.73,3.03,4.85,4.98,1.04,-1.11,-1.40,2.76,4.61,4.64
1946,1.41,4.47,3.42,3.56,4.68,4.27,2.12,2.89,4.48,0.85,-2.03,4.28,3.62,3.72,-0.46,-0.53,3.05,4.71,2.90,4.70,4.94,0.96,-1.31,-1.52,2.67,4.49,4.55
1947,1.79,4.88,3.81,3.93,5.12,4.79,2.51,3.23,4.84,1.22,-1.68,4.67,4.01,4.10,-0.01,-0.08,3.43,5.09,3.28,5.10,5.29,1.34,-0.87,-1.14,3.02,4.86,4.92
1948,1.59,4.73,3.70,3.83,4.95,4.62,2.23,2.91,4.50,1.12,-1.75,4.34,3.84,3.77,-0.18,-0.25,3.32,4.99,3.17,4.90,5.20,1.18,-1.03,-1.46,2.69,4.74,4.81
1949,1.79,4.85,3.86,3.99,5.06,4.68,2.46,3.14,4.80,1.30,-1.60,4.56,4.02,3.98,0.05,-0.02,3.48,5.02,3.34,5.05,5.25,1.40,-0.80,-1.18,2.93,4.90,4.94
1950,1.72,4.80,3.72,3.85,5.05,4.58,2.45,3.18,4.78,1.16,-1.75,4.58,3.97,3.98,-0.08,-0.15,3.35,5.00,3.23,5.07,5.21,1.27,-0.95,-1.22,2.97,4.82,4.86
1951,1.59,4.50,3.63,3.76,4.74,4.27,2.26,2.99,4.63,1.12,-1.71,4.28,3.70,3.72,-0.16,-0.24,3.27,4.86,3.14,4.76,5.14,1.24,-0.91,-1.39,2.74,4.61,4.70
1952,1.16,4.26,3.04,3.18,4.53,4.17,1.93,2.68,4.43,0.55,-2.38,4.11,3.40,3.51,-0.57,-0.63,2.70,4.49,2.67,4.53,4.67,0.69,-1.52,-1.79,2.51,4.26,4.32
1953,1.54,4.58,3.53,3.66,4.68,4.23,2.21,2.94,4.60,1.06,-1.78,4.27,3.75,3.65,-0.21,-0.29,3.18,4.88,3.16,4.71,5.05,1.14,-1.03,-1.43,2.69,4.71,4.76
1954,0.76,3.84,2.78,2.92,4.04,3.67,1.45,2.23,3.96,0.21,-2.67,3.62,2.99,3.04,-1.06,-1.13,2.41,4.09,2.26,4.05,4.26,0.27,-1.95,-2.22,2.06,3.86,3.92
1955,0.99,4.00,2.88,3.00,4.24,3.83,1.70,2.44,4.23,0.38,-2.44,3.80,3.18,3.21,-0.78,-0.84,2.52,4.15,2.43,4.26,4.35,0.61,-1.68,-1.88,2.28,4.01,4.04
1956,0.23,3.34,2.14,2.28,3.55,3.15,0.95,1.71,3.45,-0.35,-3.25,3.11,2.47,2.51,-1.59,-1.66,1.79,3.53,1.74,3.56,3.67,-0.23,-2.46,-2.70,1.52,3.34,3.38
1957,1.24,4.47,3.42,3.54,4.59,4.29,1.86,2.66,4.14,0.78,-2.13,4.13,3.50,3.49,-0.66,-0.75,3.04,4.85,2.95,4.57,5.05,0.71,-1.44,-1.94,2.37,4.55,4.64
1958,1.54,4.63,3.47,3.59,4.82,4.38,2.23,3.01,4.68,0.98,-1.88,4.36,3.76,3.79,-0.26,-0.33,3.12,4.90,3.09,4.84,5.04,1.11,-1.11,-1.44,2.80,4.67,4.73
1959,1.76,4.72,3.74,3.86,4.90,4.50,2.42,3.27,4.91,1.25,-1.57,4.52,3.90,4.04,-0.03,-0.10,3.38,4.95,3.33,4.93,5.22,1.40,-0.82,-1.22,3.03,4.86,4.90
1960,1.28,4.41,3.28,3.40,4.61,4.37,1.96,2.71,4.42,0.70,-2.13,4.13,3.50,3.57,-0.53,-0.59,2.91,4.65,2.80,4.57,4.86,0.88,-1.46,-1.74,2.53,4.41,4.48
1961,1.99,5.10,4.03,4.17,5.32,4.98,2.68,3.40,5.03,1.50,-1.43,4.84,4.22,4.20,0.19,0.11,3.67,5.40,3.59,5.31,5.62,1.57,-0.61,-1.04,3.15,5.15,5.23
1962,0.32,3.32,2.28,2.40,3.54,3.05,1.01,1.72,3.49,-0.22,-3.01,3.06,2.50,2.44,-1.45,-1.52,1.92,3.47,1.82,3.57,3.68,-0.06,-2.30,-2.61,1.53,3.37,3.40
1963,0.45,3.36,2.54,2.67,3.58,3.07,1.10,1.83,3.48,0.02,-2.82,3.15,2.57,2.55,-1.34,-1.42,2.17,3.61,2.04,3.62,3.90,0.11,-2.09,-2.52,1.59,3.53,3.57
1964,1.58,4.59,3.54,3.68,4.81,4.32,2.29,3.07,4.63,1.06,-1.84,4.38,3.77,3.79,-0.20,-0.27,3.19,4.78,3.14,4.85,5.04,1.18,-1.00,-1.37,2.78,4.67,4.71
1965,0.67,3.87,2.70,2.83,4.07,3.74,1.37,2.18,3.82,0.09,-2.80,3.62,2.94,3.02,-1.20,-1.27,2.32,4.11,2.22,4.07,4.25,0.14,-2.09,-2.35,1.97,3.85,3.91
1966,1.66,4.81,3.63,3.76,5.00,4.69,2.37,3.13,4.80,1.08,-1.82,4.50,3.92,3.91,-0.13,-0.19,3.26,5.01,3.17,4.98,5.19,1.21,-1.03,-1.30,2.91,4.78,4.83
1967,1.34,4.46,3.46,3.59,4.65,4.24,2.00,2.76,4.42,0.84,-2.04,4.16,3.57,3.58,-0.52,-0.60,3.07,4.68,2.90,4.65,4.92,0.90,-1.36,-1.70,2.55,4.50,4.55
1968,1.22,4.36,3.31,3.44,4.59,4.23,1.91,2.64,4.27,0.71,-2.19,4.06,3.47,3.43,-0.60,-0.67,2.93,4.61,2.81,4.57,4.80,0.77,-1.45,-1.79,2.40,4.40,4.46
1969,0.93,4.03,2.97,3.11,4.28,3.93,1.61,2.34,4.02,0.43,-2.46,3.80,3.16,3.15,-0.90,-0.98,2.61,4.23,2.50,4.27,4.44,0.51,-1.74,-2.09,2.13,4.08,4.13
1970,0.99,4.16,2.94,3.08,4.36,4.02,1.70,2.44,4.17,0.41,-2.50,3.89,3.26,3.26,-0.81,-0.88,2.58,4.36,2.51,4.35,4.50,0.54,-1.70,-1.98,2.26,4.12,4.18
1971,1.17,4.11,3.29,3.42,4.27,3.78,1.81,2.56,4.12,0.77,-2.07,3.80,3.31,3.22,-0.59,-0.67,2.92,4.35,2.76,4.31,4.68,0.87,-1.35,-1.83,2.27,4.26,4.30
1972,1.23,4.10,3.34,3.47,4.31,3.80,1.86,2.60,4.27,0.81,-1.97,3.86,3.33,3.32,-0.54,-0.62,2.96,4.36,2.77,4.35,4.64,0.97,-1.30,-1.74,2.38,4.26,4.30
1973,1.26,4.29,3.30,3.43,4.52,4.09,1.95,2.69,4.34,0.77,-2.09,4.02,3.45,3.42,-0.51,-0.58,2.93,4.46,2.82,4.53,4.68,0.86,-1.35,-1.74,2.46,4.36,4.40
1974,1.86,5.10,3.97,4.12,5.30,4.95,2.54,3.29,4.97,1.32,-1.64,4.77,4.17,4.16,0.02,-0.05,3.59,5.32,3.47,5.28,5.49,1.37,-0.85,-1.19,3.11,5.10,5.16
1975,1.86,4.95,3.94,4.08,5.17,4.74,2.55,3.23,4.92,1.40,-1.54,4.67,4.09,4.05,0.09,0.01,3.57,5.17,3.47,5.18,5.39,1.38,-0.72,-1.13,3.05,5.02,5.07
1976,1.55,4.64,3.60,3.74,4.90,4.44,2.28,3.08,4.78,1.02,-1.97,4.50,3.79,3.92,-0.26,-0.33,3.22,4.72,3.06,4.94,4.95,1.02,-1.12,-1.40,2.91,4.65,4.66
1977,1.92,5.04,4.03,4.17,5.30,4.90,2.64,3.38,4.98,1.38,-1.57,4.83,4.17,4.22,0.11,0.04,3.64,5.29,3.46,5.31,5.48,1.43,-0.78,-1.11,3.16,5.05,5.12
1978,1.16,4.33,3.21,3.36,4.57,4.10,1.90,2.64,4.20,0.62,-2.40,4.10,3.47,3.49,-0.62,-0.69,2.84,4.52,2.73,4.59,4.67,0.66,-1.51,-1.86,2.42,4.34,4.38
1979,1.65,4.79,3.63,3.78,5.05,4.57,2.40,3.16,4.80,1.07,-1.86,4.60,3.95,4.00,-0.14,-0.20,3.26,4.88,3.13,5.08,5.03,1.23,-1.07,-1.35,2.95,4.75,4.77
1980,1.18,4.27,3.12,3.27,4.49,4.01,1.90,2.60,4.32,0.62,-2.26,4.00,3.43,3.38,-0.56,-0.62,2.76,4.42,2.65,4.51,4.56,0.88,-1.48,-1.76,2.40,4.24,4.28
1981,1.49,4.71,3.48,3.62,4.93,4.50,2.20,2.91,4.54,0.92,-2.00,4.41,3.81,3.77,-0.33,-0.40,3.11,4.87,3.02,4.93,4.98,1.06,-1.27,-1.54,2.71,4.66,4.71
1982,2.22,5.29,4.28,4.41,5.52,5.02,2.92,3.65,5.28,1.70,-1.19,5.07,4.45,4.50,0.42,0.35,3.90,5.48,3.72,5.55,5.66,1.83,-0.47,-0.74,3.45,5.31,5.35
1983,2.11,5.27,4.20,4.33,5.47,4.92,2.80,3.51,5.04,1.61,-1.33,4.97,4.41,4.38,0.29,0.22,3.82,5.50,3.68,5.51,5.69,1.59,-0.57,-0.92,3.29,5.30,5.34
1984,1.30,4.46,3.32,3.45,4.68,4.16,2.01,2.72,4.43,0.73,-2.18,4.20,3.61,3.60,-0.51,-0.58,2.93,4.60,2.76,4.71,4.73,0.90,-1.44,-1.66,2.58,4.40,4.44
1985,1.13,4.09,3.10,3.23,4.26,3.61,1.77,2.38,4.10,0.66,-2.10,3.72,3.33,3.16,-0.60,-0.67,2.74,4.17,2.60,4.31,4.39,0.97,-1.40,-1.79,2.21,4.13,4.13
1986,1.65,4.58,3.61,3.75,4.76,4.08,2.34,2.99,4.72,1.14,-1.64,4.25,3.85,3.71,-0.03,-0.09,3.25,4.67,3.10,4.82,4.89,1.37,-0.91,-1.20,2.81,4.64,4.64
1987,1.70,4.77,3.69,3.82,4.96,4.38,2.40,3.09,4.74,1.19,-1.69,4.44,3.96,3.84,-0.06,-0.13,3.32,4.91,3.21,5.00,5.05,1.38,-0.90,-1.24,2.86,4.78,4.81
1988,2.42,5.63,4.39,4.53,5.80,5.37,3.14,3.86,5.52,1.82,-1.10,5.27,4.74,4.71,0.62,0.56,4.02,5.78,3.93,5.79,5.91,1.93,-0.32,-0.52,3.67,5.58,5.62
1989,2.27,5.41,4.49,4.63,5.57,5.07,2.92,3.62,5.26,1.83,-1.16,5.06,4.55,4.51,0.46,0.38,4.10,5.69,3.93,5.59,5.96,1.72,-0.35,-0.72,3.43,5.52,5.58
1990,2.37,5.54,4.45,4.59,5.72,5.22,3.08,3.77,5.39,1.87,-1.15,5.19,4.69,4.60,0.60,0.53,4.08,5.67,3.98,5.73,5.89,1.91,-0.26,-0.62,3.56,5.58,5.60
1991,1.66,4.74,3.69,3.82,4.98,4.36,2.39,3.14,4.78,1.10,-1.74,4.50,3.94,3.94,-0.11,-0.17,3.31,4.76,3.13,5.03,4.99,1.15,-1.06,-1.26,2.95,4.75,4.74
1992,2.38,5.59,4.54,4.68,5.79,5.30,3.07,3.76,5.35,1.87,-1.01,5.23,4.71,4.61,0.56,0.49,4.15,5.78,3.95,5.80,6.00,1.82,-0.35,-0.69,3.54,5.59,5.63
1993,1.94,5.09,4.04,4.18,5.27,4.78,2.63,3.32,4.96,1.43,-1.37,4.72,4.22,4.11,0.14,0.07,3.66,5.29,3.45,5.27,5.45,1.46,-0.78,-1.10,3.08,5.07,5.12
1994,3.24,6.43,5.24,5.38,6.66,6.23,3.99,4.70,6.33,2.63,-0.21,6.13,5.56,5.53,1.45,1.39,4.86,6.55,4.68,6.65,6.71,2.73,0.45,0.26,4.48,6.34,6.38
1995,2.19,5.39,4.18,4.31,5.61,5.17,2.94,3.66,5.32,1.56,-1.29,5.13,4.50,4.51,0.38,0.32,3.80,5.46,3.66,5.62,5.62,1.67,-0.60,-0.77,3.48,5.31,5.33
1996,1.47,4.43,3.54,3.67,4.63,4.00,2.13,2.89,4.64,0.97,-1.75,4.18,3.63,3.65,-0.34,-0.41,3.16,4.43,2.93,4.70,4.65,1.07,-1.22,-1.42,2.72,4.50,4.48
1997,2.48,5.44,4.55,4.68,5.66,5.11,3.13,3.88,5.66,1.99,-0.78,5.21,4.63,4.68,0.67,0.60,4.17,5.57,3.95,5.70,5.80,2.10,-0.16,-0.43,3.71,5.49,5.52
1998,2.23,5.33,4.29,4.42,5.48,5.06,2.86,3.54,5.30,1.71,-1.02,4.92,4.45,4.35,0.41,0.34,3.91,5.52,3.71,5.46,5.67,1.81,-0.45,-0.74,3.39,5.31,5.35
1999,2.51,5.61,4.45,4.58,5.90,5.39,3.24,4.01,5.73,1.89,-0.95,5.44,4.76,4.89,0.65,0.58,4.07,5.68,3.94,5.93,5.84,2.04,-0.21,-0.38,3.88,5.55,5.57
2000,2.99,6.19,4.98,5.12,6.46,5.99,3.72,4.49,6.12,2.41,-0.51,5.95,5.29,5.38,1.15,1.08,4.61,6.28,4.49,6.47,6.47,2.42,0.27,-0.01,4.31,6.12,6.15
2001,2.22,5.31,4.14,4.27,5.66,5.03,3.02,3.76,5.42,1.59,-1.32,5.16,4.48,4.59,0.43,0.37,3.77,5.43,3.66,5.71,5.61,1.72,-0.51,-0.68,3.57,5.25,5.29
2002,2.92,5.97,4.93,5.07,6.21,5.62,3.62,4.38,6.07,2.37,-0.52,5.70,5.15,5.17,1.14,1.07,4.56,6.12,4.41,6.24,6.31,2.53,0.27,-0.04,4.18,5.99,6.02
2003,2.19,5.15,4.11,4.25,5.39,4.82,2.87,3.62,5.36,1.62,-1.15,4.95,4.34,4.42,0.38,0.31,3.75,5.28,3.60,5.44,5.49,1.89,-0.49,-0.69,3.46,5.16,5.19
2004,2.09,5.14,4.02,4.15,5.44,4.83,2.85,3.64,5.23,1.48,-1.40,4.93,4.33,4.42,0.27,0.21,3.65,5.27,3.49,5.48,5.46,1.69,-0.63,-0.79,3.41,5.09,5.13
2005,1.80,4.88,3.76,3.89,5.21,4.69,2.58,3.33,4.94,1.19,-1.73,4.76,4.02,4.16,-0.05,-0.12,3.38,5.04,3.22,5.24,5.20,1.32,-0.95,-1.10,3.14,4.82,4.87
2006,2.46,5.49,4.46,4.60,5.76,5.22,3.15,3.91,5.63,1.92,-0.97,5.31,4.65,4.77,0.64,0.57,4.09,5.68,3.93,5.80,5.86,2.07,-0.23,-0.44,3.76,5.50,5.55
2007,2.55,5.63,4.60,4.74,5.91,5.38,3.27,4.00,5.58,2.02,-0.89,5.41,4.78,4.79,0.79,0.73,4.22,5.84,4.06,5.94,6.01,2.12,-0.12,-0.44,3.77,5.64,5.69
2008,2.25,5.32,4.29,4.42,5.53,4.99,2.89,3.60,5.24,1.74,-1.12,5.00,4.46,4.40,0.45,0.38,3.92,5.52,3.77,5.55,5.70,1.92,-0.40,-0.70,3.40,5.35,5.39
2009,2.49,5.60,4.44,4.57,5.81,5.32,3.18,3.92,5.55,1.92,-0.96,5.31,4.74,4.76,0.66,0.58,4.07,5.72,3.96,5.83,5.90,2.11,-0.18,-0.38,3.75,5.56,5.59
2010,1.61,4.71,3.50,3.63,4.96,4.38,2.35,3.11,4.66,0.97,-1.89,4.40,3.87,3.88,-0.20,-0.27,3.13,4.79,3.06,4.98,4.97,1.21,-1.10,-1.25,2.89,4.66,4.68
2011,2.92,5.94,4.97,5.10,6.17,5.67,3.56,4.30,5.96,2.42,-0.42,5.69,5.10,5.14,1.13,1.06,4.59,6.15,4.43,6.20,6.31,2.61,0.27,-0.07,4.12,5.99,6.04
2012,2.46,5.51,4.48,4.61,5.72,5.18,3.12,3.89,5.48,1.92,-0.90,5.16,4.67,4.66,0.66,0.59,4.11,5.69,3.97,5.73,5.90,2.09,-0.24,-0.50,3.69,5.56,5.60
2013,2.34,5.41,4.40,4.53,5.57,5.05,2.99,3.77,5.35,1.83,-1.02,5.07,4.56,4.56,0.52,0.45,4.03,5.68,3.87,5.59,5.87,1.97,-0.34,-0.66,3.54,5.46,5.52
2014,3.52,6.63,5.52,5.65,6.85,6.42,4.23,4.98,6.60,2.97,0.06,6.33,5.76,5.78,1.67,1.60,5.15,6.86,5.02,6.84,7.04,3.15,0.83,0.55,4.76,6.61,6.67
2015,3.27,6.37,5.33,5.47,6.54,6.08,3.95,4.67,6.19,2.79,-0.14,6.06,5.52,5.43,1.52,1.45,4.96,6.56,4.83,6.55,6.73,2.91,0.66,0.27,4.38,6.41,6.44
2016,2.83,5.95,4.92,5.06,6.07,5.64,3.48,4.17,5.75,2.37,-0.53,5.63,5.09,4.98,1.07,1.00,4.55,6.15,4.43,6.09,6.35,2.47,0.20,-0.19,3.94,6.01,6.05
2017,2.79,5.90,4.84,4.98,6.07,5.71,3.47,4.19,5.82,2.29,-0.66,5.69,5.04,5.05,1.02,0.95,4.47,6.07,4.36,6.09,6.23,2.40,0.14,-0.22,3.99,5.95,5.98
2018,3.56,6.67,5.56,5.71,6.91,6.53,4.27,5.02,6.73,3.02,0.05,6.50,5.81,5.88,1.77,1.70,5.19,6.82,5.10,6.93,6.99,3.14,0.89,0.57,4.86,6.69,6.72
