Variable:,tasmin
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1981,-0.34,-2.42,4.14,2.35,-1.75,3.01,1.59,3.34,-1.50,4.61,1.14,-5.91
1982,0.49,-1.59,5.15,3.42,-1.14,3.97,2.46,4.22,-0.72,5.51,1.98,-5.21
1983,0.53,-1.58,5.28,3.52,-1.28,4.12,2.54,4.37,-0.66,5.69,2.10,-5.25
1984,-0.14,-2.22,4.63,2.84,-1.92,3.41,1.79,3.62,-1.26,4.90,1.41,-5.90
1985,0.20,-1.99,5.21,3.45,-1.59,3.91,1.98,3.90,-0.89,5.25,1.70,-5.58
1986,-0.18,-2.25,4.49,2.70,-1.79,3.30,1.74,3.56,-1.33,4.80,1.33,-5.87
1987,0.24,-1.95,5.25,3.51,-1.75,4.01,2.27,4.18,-0.96,5.44,1.93,-5.73
1988,0.34,-1.72,4.90,3.15,-1.18,3.75,2.33,4.08,-0.82,5.26,1.87,-5.30
1989,0.88,-1.30,5.76,3.98,-0.82,4.54,2.75,4.74,-0.25,5.94,2.44,-4.91
1990,1.28,-0.93,6.31,4.54,-0.53,5.00,3.18,5.04,0.09,6.46,2.81,-4.58
1991,0.38,-1.74,5.14,3.35,-1.26,3.90,2.32,4.06,-0.79,5.41,1.86,-5.32
1992,0.64,-1.46,5.47,3.74,-1.07,4.19,2.48,4.29,-0.46,5.65,2.12,-5.06
1993,0.25,-1.82,4.87,3.11,-1.29,3.71,2.15,3.89,-0.91,5.21,1.69,-5.38
1994,1.21,-0.98,6.15,4.37,-0.55,4.89,3.16,4.96,0.03,6.31,2.76,-4.62
1995,0.80,-1.18,5.25,3.63,-0.67,4.06,2.66,4.24,-0.24,5.48,2.19,-4.70
1996,0.20,-1.89,5.03,3.25,-1.49,3.74,2.17,3.84,-0.97,5.13,1.70,-5.53
1997,0.79,-1.32,5.65,3.87,-0.96,4.39,2.79,4.45,-0.39,5.85,2.32,-4.98
1998,1.53,-0.64,6.44,4.66,-0.16,5.14,3.48,5.18,0.33,6.60,3.01,-4.22
1999,0.95,-1.18,5.84,4.01,-0.75,4.57,2.92,4.64,-0.26,6.03,2.45,-4.82
2000,0.43,-1.82,5.52,3.64,-1.30,4.12,2.36,4.15,-0.77,5.57,1.96,-5.39
2001,0.48,-1.81,5.69,3.79,-1.35,4.29,2.48,4.33,-0.81,5.81,2.07,-5.46
2002,1.04,-1.01,5.74,3.97,-0.68,4.61,3.12,4.73,-0.19,6.11,2.59,-4.70
2003,1.02,-0.97,5.65,3.88,-0.69,4.50,3.07,4.62,-0.15,5.96,2.52,-4.66
2004,1.46,-0.61,6.12,4.36,-0.26,5.01,3.54,5.14,0.31,6.42,3.02,-4.28
2005,0.43,-1.78,5.31,3.50,-1.18,4.09,2.40,4.18,-0.78,5.48,1.97,-5.37
2006,0.90,-1.23,5.85,4.01,-0.87,4.57,2.91,4.63,-0.34,5.99,2.43,-4.89
2007,1.70,-0.45,6.42,4.66,0.27,5.19,3.59,5.29,0.50,6.58,3.14,-3.93
2008,1.10,-1.11,6.02,4.18,-0.34,4.65,3.00,4.69,-0.15,6.10,2.51,-4.60
2009,0.61,-1.68,5.85,4.02,-1.21,4.41,2.51,4.43,-0.65,5.85,2.17,-5.29
2010,0.70,-1.58,5.85,4.01,-1.01,4.36,2.57,4.41,-0.43,5.68,2.20,-5.09
2011,0.34,-1.89,5.39,3.56,-1.28,3.99,2.20,4.02,-0.87,5.43,1.83,-5.46
2012,0.22,-2.03,5.26,3.46,-1.33,3.84,2.06,3.87,-0.98,5.25,1.66,-5.51
2013,0.79,-1.50,5.90,4.09,-0.90,4.53,2.64,4.57,-0.40,5.92,2.31,-5.04
2014,1.05,-1.15,5.95,4.20,-0.67,4.71,2.97,4.80,-0.12,6.22,2.58,-4.74
2015,1.38,-0.80,6.26,4.51,-0.27,4.95,3.28,4.99,0.21,6.41,2.80,-4.33
2016,1.28,-0.99,6.53,4.66,-0.47,5.04,3.03,4.97,0.09,6.54,2.72,-4.54
2017,1.12,-1.07,6.02,4.21,-0.52,4.74,2.95,4.77,-0.03,6.27,2.58,-4.66
2018,1.06,-1.15,6.03,4.23,-0.55,4.65,2.86,4.64,-0.06,6.13,2.49,-4.68
2019,1.58,-0.63,6.57,4.74,-0.01,5.17,3.40,5.14,0.46,6.66,3.00,-4.17
2020,1.54,-0.63,6.36,4.60,0.04,5.05,3.34,5.07,0.45,6.52,2.94,-4.13
