Variable:,tasmin
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
1932,6.23,7.53,8.92,4.38,4.90,2.60,1.11,7.85,2.95,2.15,5.93,9.34
1933,6.08,7.43,8.79,4.27,4.67,2.52,0.88,7.69,2.68,1.99,5.77,9.25
1934,6.24,7.57,8.91,4.41,4.97,2.67,1.14,7.71,2.95,2.27,5.98,9.28
1935,6.88,8.14,9.51,4.98,5.71,3.32,1.91,8.27,3.70,2.93,6.67,9.84
1936,6.87,8.10,9.53,4.97,5.65,3.31,1.83,8.30,3.61,2.94,6.69,9.86
1937,7.12,8.30,9.79,5.22,5.99,3.50,2.11,8.50,3.97,3.25,6.96,10.03
1938,7.19,8.55,9.88,5.35,5.84,3.71,2.00,8.69,3.73,3.18,6.89,10.34
1939,7.14,8.41,9.83,5.26,5.80,3.56,2.00,8.74,3.86,3.10,6.85,10.29
1940,7.17,8.42,9.86,5.28,5.79,3.56,2.05,8.84,4.00,3.08,6.90,10.32
1941,6.63,7.99,9.34,4.80,5.14,3.03,1.35,8.41,3.22,2.45,6.23,9.93
1942,6.59,7.77,9.32,4.74,5.28,2.86,1.51,8.27,3.36,2.54,6.37,9.65
1943,6.44,7.63,9.13,4.53,5.21,2.78,1.38,8.04,3.23,2.46,6.21,9.46
1944,7.12,8.44,9.82,5.29,5.75,3.62,1.94,8.67,3.73,3.08,6.82,10.27
1945,5.50,6.76,8.20,3.62,4.16,1.83,0.39,7.14,2.27,1.42,5.23,8.60
1946,6.22,7.51,8.89,4.34,4.92,2.66,1.13,7.69,3.06,2.20,5.99,9.27
1947,6.91,8.13,9.60,5.06,5.66,3.31,1.85,8.43,3.79,2.90,6.70,9.90
1948,6.44,7.73,9.17,4.63,5.06,2.92,1.25,8.02,3.08,2.43,6.17,9.52
1949,5.77,7.03,8.46,3.92,4.47,2.20,0.68,7.27,2.56,1.75,5.53,8.81
1950,6.02,7.22,8.71,4.12,4.79,2.41,0.97,7.54,2.77,2.03,5.83,9.02
1951,6.62,7.76,9.34,4.70,5.36,2.96,1.67,8.14,3.48,2.58,6.53,9.56
1952,6.90,8.05,9.64,4.96,5.68,3.21,1.99,8.36,3.83,2.85,6.85,9.81
1953,6.47,7.75,9.19,4.57,5.11,2.87,1.46,8.01,3.27,2.32,6.31,9.56
1954,6.74,7.86,9.44,4.74,5.50,3.07,1.84,8.22,3.79,2.68,6.68,9.68
1955,7.56,8.79,10.27,5.67,6.32,4.00,2.59,8.94,4.49,3.53,7.43,10.50
1956,5.44,6.70,8.11,3.49,4.07,1.83,0.41,7.09,2.25,1.29,5.26,8.58
1957,6.79,8.07,9.48,4.88,5.47,3.23,1.80,8.21,3.72,2.73,6.62,9.79
1958,6.62,7.86,9.29,4.72,5.34,3.05,1.56,8.13,3.43,2.62,6.40,9.68
1959,5.78,6.89,8.44,3.79,4.59,2.17,0.83,7.23,2.74,1.79,5.66,8.74
1960,6.79,7.87,9.49,4.91,5.69,3.15,1.87,8.15,3.83,2.88,6.70,9.63
1961,7.26,8.43,9.93,5.43,5.97,3.76,2.28,8.73,4.10,3.31,7.14,10.21
1962,7.75,8.77,10.40,5.88,6.66,4.22,2.91,9.07,4.76,3.89,7.73,10.52
1963,7.49,8.53,10.17,5.44,6.38,3.78,2.67,9.10,4.46,3.43,7.44,10.37
1964,6.04,7.48,8.69,4.26,4.67,2.61,0.91,7.49,2.60,1.98,5.78,9.20
1965,6.59,7.99,9.25,4.72,5.22,2.96,1.52,8.23,3.31,2.41,6.33,9.76
1966,8.46,9.25,11.10,6.54,7.60,4.83,3.75,9.76,5.59,4.78,8.51,11.02
1967,6.46,7.60,9.08,4.57,5.31,2.91,1.56,7.90,3.23,2.54,6.38,9.42
1968,7.02,8.05,9.70,5.06,5.95,3.33,2.15,8.54,3.88,3.05,7.01,9.85
1969,6.03,6.63,8.73,3.97,5.20,2.10,1.57,7.58,3.58,2.10,6.35,8.46
1970,7.26,7.95,9.94,5.41,6.41,3.61,2.56,8.49,4.43,3.56,7.39,9.78
1971,6.72,7.87,9.32,4.98,5.54,3.42,1.60,7.97,3.36,2.93,6.47,9.73
1972,5.46,6.81,8.05,3.66,4.17,2.21,0.21,6.84,1.86,1.50,5.11,8.70
1973,5.94,7.55,8.65,4.19,4.41,2.48,0.51,7.65,2.20,1.78,5.43,9.34
1974,6.24,7.62,8.92,4.50,4.97,2.88,0.97,7.55,2.66,2.39,5.88,9.34
1975,6.90,8.35,9.58,5.20,5.55,3.65,1.55,8.25,3.19,2.98,6.47,10.11
1976,6.36,7.72,9.11,4.55,4.93,2.78,1.19,7.97,3.01,2.29,6.10,9.48
1977,6.52,7.93,9.26,4.63,5.08,2.91,1.32,8.20,3.21,2.39,6.20,9.70
1978,6.88,8.08,9.63,4.99,5.59,3.26,1.81,8.46,3.72,2.88,6.65,9.85
1979,7.73,8.85,10.44,5.78,6.49,4.12,2.73,9.23,4.75,3.81,7.55,10.64
1980,7.00,8.20,9.77,5.16,5.64,3.33,1.89,8.62,3.83,3.05,6.78,9.98
1981,7.81,9.11,10.51,5.97,6.53,4.31,2.64,9.20,4.42,3.93,7.52,10.85
1982,6.21,7.56,8.94,4.39,4.83,2.67,1.01,7.73,2.84,2.24,5.91,9.29
1983,6.86,8.36,9.59,5.04,5.41,3.33,1.55,8.40,3.46,2.76,6.47,10.09
1984,6.91,8.02,9.63,5.10,5.80,3.34,1.90,8.23,3.80,3.11,6.77,9.70
1985,6.65,7.99,9.43,4.86,5.16,2.92,1.55,8.31,3.48,2.52,6.49,9.70
1986,7.20,8.45,9.91,5.36,5.97,3.61,2.15,8.60,3.99,3.17,7.03,10.20
1987,6.98,8.08,9.72,5.10,5.83,3.25,1.99,8.52,3.89,3.00,6.82,9.85
1988,7.19,8.60,9.90,5.41,5.85,3.65,1.99,8.66,3.68,3.18,6.89,10.33
1989,7.38,8.76,10.09,5.62,6.13,3.91,2.21,8.65,3.86,3.48,7.11,10.44
1990,7.04,8.41,9.72,5.31,5.85,3.60,1.82,8.36,3.38,3.11,6.74,10.14
1991,7.09,8.27,9.72,5.27,5.94,3.56,2.00,8.55,3.85,3.29,6.83,10.08
1992,5.88,7.16,8.54,4.09,4.43,2.44,0.72,7.49,2.49,2.00,5.63,9.00
1993,6.05,7.20,8.75,4.16,4.71,2.42,1.07,7.63,2.95,2.01,5.94,9.07
1994,7.01,8.00,9.69,5.05,5.92,3.26,2.21,8.47,4.12,3.08,7.01,9.82
1995,7.66,8.92,10.30,5.92,6.30,4.30,2.62,9.02,4.34,3.80,7.48,10.68
1996,7.76,8.75,10.44,5.83,6.64,4.10,2.96,9.22,4.82,3.84,7.76,10.54
1997,7.09,8.28,9.79,5.25,5.73,3.53,2.11,8.63,3.87,3.10,6.96,10.11
1998,8.15,9.31,10.87,6.29,6.88,4.49,3.21,9.72,4.95,4.16,8.07,11.06
1999,8.00,9.14,10.66,6.17,6.79,4.47,3.02,9.42,4.87,4.14,7.85,10.92
2000,7.77,9.07,10.48,5.97,6.34,4.24,2.69,9.34,4.44,3.79,7.56,10.84
2001,8.17,9.29,10.91,6.23,6.83,4.52,3.23,9.82,4.90,4.21,8.08,11.15
2002,7.46,8.76,10.23,5.60,5.86,3.84,2.37,9.19,4.03,3.39,7.31,10.60
2003,7.38,8.47,10.14,5.43,6.11,3.62,2.47,8.99,4.23,3.39,7.34,10.30
2004,7.56,9.00,10.27,5.73,5.90,4.21,2.34,9.12,4.06,3.59,7.29,10.77
2005,7.71,9.01,10.43,5.84,6.32,4.17,2.67,9.26,4.22,3.73,7.57,10.80
2006,7.85,9.07,10.56,5.97,6.52,4.26,2.82,9.48,4.58,3.81,7.72,10.87
2007,7.45,8.78,10.17,5.50,6.04,3.87,2.32,9.08,3.94,3.47,7.21,10.60
2008,7.41,8.60,10.13,5.52,6.08,3.73,2.42,9.06,4.16,3.38,7.28,10.41
2009,7.82,9.04,10.51,5.95,6.51,4.31,2.78,9.33,4.54,3.86,7.65,10.85
2010,9.09,10.11,11.76,7.15,7.99,5.53,4.19,10.54,6.05,5.23,9.03,11.92
2011,7.24,8.49,9.94,5.37,5.83,3.69,2.13,8.86,3.89,3.23,7.02,10.34
2012,8.00,9.23,10.71,6.14,6.59,4.35,2.99,9.68,4.76,3.89,7.88,11.04
2013,7.92,9.29,10.62,6.14,6.38,4.52,2.67,9.69,4.49,3.80,7.60,11.09
2014,8.04,9.22,10.68,6.12,6.89,4.39,3.07,9.56,5.01,4.04,7.86,11.02
2015,8.07,9.37,10.80,6.26,6.64,4.57,2.89,9.67,4.79,4.04,7.78,11.20
2016,7.57,8.87,10.30,5.80,6.15,4.12,2.29,9.19,4.17,3.53,7.23,10.71
2017,7.65,8.96,10.38,5.87,6.23,4.23,2.44,9.24,4.26,3.65,7.35,10.76
2018,8.91,10.01,11.62,7.06,7.75,5.27,3.93,10.47,5.90,4.95,8.77,11.78
2019,8.32,9.62,11.03,6.47,6.93,4.79,3.13,9.90,5.04,4.29,8.02,11.44
2020,8.10,9.32,10.76,6.26,6.85,4.60,3.04,9.51,4.95,4.22,7.84,11.07
