Variable:,tasmin
,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
1964,11.33,10.01,10.55,11.58,13.00,9.14,12.74,12.73,14.29,16.27,11.36,11.38,10.69,8.71,11.46,10.76
1965,10.93,9.64,10.19,11.14,12.56,8.73,12.30,12.30,13.84,15.83,10.94,10.90,10.30,8.28,11.06,10.40
1966,11.09,9.81,10.23,11.31,12.79,8.83,12.34,12.44,14.07,16.19,11.17,11.00,10.51,8.48,11.06,10.42
1967,10.82,9.50,10.04,11.06,12.53,8.61,12.17,12.20,13.72,15.71,10.88,10.78,10.20,8.22,10.88,10.27
1968,11.08,9.86,10.38,11.42,12.80,9.07,12.58,12.55,13.74,15.69,11.10,11.19,10.36,8.59,11.32,10.72
1969,11.07,9.80,10.25,11.50,12.85,9.02,12.58,12.68,13.85,15.86,11.13,11.24,10.37,8.57,11.33,10.67
1970,11.07,9.72,10.05,11.36,12.86,8.74,12.37,12.49,14.10,16.07,11.24,11.05,10.57,8.51,11.05,10.36
1971,10.20,8.82,9.40,10.50,12.01,7.96,11.67,11.68,13.04,15.07,10.33,10.22,9.58,7.61,10.48,9.77
1972,10.23,8.88,9.31,10.62,12.15,8.00,11.73,11.81,13.00,14.89,10.45,10.34,9.65,7.71,10.50,9.75
1973,10.75,9.37,9.77,11.01,12.56,8.36,11.99,12.13,13.81,15.77,10.97,10.69,10.28,8.19,10.69,10.03
1974,10.69,9.33,9.70,11.03,12.60,8.37,12.06,12.18,13.58,15.42,10.95,10.71,10.19,8.19,10.79,10.06
1975,10.67,9.31,9.64,11.01,12.49,8.33,12.02,12.14,13.68,15.74,10.86,10.67,10.14,8.15,10.77,10.01
1976,10.59,9.21,9.62,10.92,12.49,8.26,11.95,12.10,13.53,15.54,10.82,10.59,10.04,8.04,10.73,9.96
1977,11.02,9.72,10.26,11.40,12.81,8.89,12.47,12.58,13.78,15.87,11.09,11.12,10.32,8.48,11.23,10.56
1978,11.36,10.02,10.47,11.79,13.22,9.20,12.86,12.98,14.23,16.22,11.48,11.52,10.69,8.85,11.53,10.83
1979,11.24,9.95,10.61,11.55,12.96,9.20,12.71,12.73,13.98,16.09,11.23,11.32,10.49,8.65,11.49,10.93
1980,11.31,10.01,10.56,11.68,13.17,9.16,12.74,12.83,14.08,16.10,11.45,11.39,10.63,8.79,11.44,10.84
1981,11.47,10.14,10.62,11.83,13.36,9.22,12.83,12.99,14.30,16.22,11.66,11.51,10.88,8.97,11.50,10.85
1982,11.27,9.98,10.66,11.64,13.04,9.16,12.77,12.80,13.95,15.81,11.33,11.40,10.54,8.72,11.52,10.87
1983,11.63,10.29,10.75,11.88,13.43,9.31,12.96,13.03,14.60,16.62,11.79,11.60,11.09,9.05,11.67,10.98
1984,11.10,9.77,10.23,11.43,12.90,8.93,12.53,12.58,13.97,15.92,11.23,11.17,10.50,8.56,11.27,10.62
1985,11.57,10.17,10.79,11.91,13.43,9.34,13.04,13.09,14.42,16.36,11.73,11.67,10.94,8.99,11.80,11.08
1986,11.03,9.64,10.35,11.33,12.83,8.82,12.45,12.51,13.89,15.93,11.13,11.08,10.36,8.42,11.25,10.54
1987,11.96,10.53,11.09,12.33,13.80,9.72,13.26,13.48,14.99,17.03,12.11,11.99,11.34,9.39,12.00,11.35
1988,11.43,10.00,10.67,11.78,13.32,9.25,12.88,12.96,14.26,16.27,11.59,11.50,10.76,8.83,11.69,11.00
1989,11.82,10.38,11.14,12.17,13.71,9.62,13.32,13.36,14.55,16.45,11.98,11.87,11.15,9.21,12.20,11.51
1990,11.71,10.24,10.86,11.97,13.50,9.41,13.08,13.12,14.71,16.70,11.87,11.67,11.13,9.06,11.87,11.21
1991,10.79,9.25,9.84,11.10,12.69,8.41,12.22,12.29,13.85,15.93,11.04,10.80,10.23,8.13,11.04,10.21
1992,10.84,9.28,9.84,11.13,12.81,8.32,12.16,12.35,13.97,16.02,11.16,10.74,10.37,8.21,10.96,10.11
1993,10.74,9.26,9.97,11.04,12.61,8.41,12.03,12.21,13.70,15.73,10.93,10.68,10.14,8.10,10.84,10.18
1994,11.54,10.14,10.81,11.88,13.46,9.25,12.86,13.04,14.38,16.28,11.76,11.54,10.95,8.99,11.60,10.96
1995,12.15,10.71,11.16,12.57,14.12,9.75,13.50,13.74,15.13,17.09,12.45,12.19,11.62,9.60,12.22,11.46
1996,11.61,10.19,10.67,12.09,13.52,9.39,13.12,13.30,14.51,16.53,11.79,11.76,10.96,9.05,11.89,11.14
1997,12.18,10.78,11.39,12.53,14.03,9.98,13.63,13.76,15.07,17.08,12.32,12.25,11.52,9.58,12.44,11.73
1998,11.86,10.42,10.82,12.15,13.71,9.51,13.18,13.35,15.01,17.12,12.05,11.81,11.32,9.24,11.88,11.15
1999,11.57,10.17,10.76,11.82,13.35,9.31,12.84,12.97,14.58,16.63,11.68,11.50,10.96,8.92,11.59,11.00
2000,11.68,10.33,10.75,11.97,13.53,9.30,12.99,13.12,14.67,16.63,11.90,11.65,11.17,9.13,11.66,10.90
2001,12.32,10.97,11.31,12.68,14.12,10.06,13.72,13.80,15.32,17.37,12.48,12.40,11.74,9.78,12.35,11.69
2002,11.96,10.59,10.85,12.36,13.87,9.60,13.28,13.51,15.02,17.04,12.20,12.01,11.45,9.44,11.94,11.19
2003,12.05,10.64,11.10,12.43,13.94,9.76,13.45,13.61,15.01,17.00,12.25,12.11,11.47,9.50,12.19,11.42
2004,11.71,10.28,10.68,12.07,13.60,9.30,13.06,13.25,14.75,16.76,11.97,11.70,11.21,9.15,11.80,11.00
2005,11.66,10.25,10.45,11.91,13.54,9.05,12.63,13.02,14.92,16.87,12.04,11.44,11.35,9.14,11.29,10.59
2006,12.07,10.71,11.17,12.37,13.89,9.76,13.39,13.52,15.00,16.94,12.27,12.06,11.53,9.51,12.15,11.45
2007,11.63,10.24,10.55,11.91,13.50,9.17,12.77,13.02,14.73,16.71,11.93,11.50,11.21,9.08,11.51,10.79
2008,11.62,10.17,10.56,11.91,13.50,9.17,12.87,13.04,14.74,16.77,11.90,11.53,11.16,9.05,11.63,10.85
2009,12.14,10.72,11.01,12.45,14.05,9.69,13.38,13.58,15.23,17.18,12.46,12.09,11.73,9.59,12.15,11.40
2010,12.55,11.18,11.30,12.94,14.45,10.20,13.86,14.06,15.64,17.63,12.83,12.61,12.09,10.05,12.50,11.85
2011,12.04,10.66,11.14,12.28,13.83,9.69,13.30,13.40,15.02,16.93,12.26,11.96,11.54,9.46,12.06,11.37
2012,11.90,10.52,10.77,12.16,13.84,9.33,12.91,13.26,15.08,17.07,12.26,11.73,11.55,9.35,11.57,10.89
2013,11.80,10.39,10.61,12.07,13.59,9.38,13.03,13.16,15.01,17.17,12.08,11.73,11.36,9.26,11.65,10.94
2014,12.14,10.80,11.22,12.43,13.92,9.81,13.39,13.48,15.10,17.08,12.37,12.09,11.64,9.62,12.08,11.43
2015,12.21,10.91,11.40,12.39,13.94,9.89,13.37,13.46,15.12,17.05,12.40,12.07,11.73,9.66,12.10,11.52
2016,12.46,11.17,11.62,12.71,14.17,10.22,13.76,13.81,15.31,17.28,12.58,12.41,11.90,9.93,12.51,11.89
2017,12.53,11.17,11.54,12.72,14.29,10.10,13.63,13.79,15.60,17.61,12.76,12.35,12.11,9.95,12.35,11.72
2018,11.39,10.06,10.57,11.71,13.23,9.17,12.82,12.87,14.22,16.24,11.55,11.44,10.77,8.83,11.60,10.89
2019,11.91,10.58,11.03,12.17,13.67,9.61,13.21,13.28,14.88,17.00,12.05,11.85,11.35,9.34,11.94,11.27
2020,12.29,10.97,11.54,12.54,14.02,10.04,13.56,13.63,15.23,17.47,12.36,12.21,11.66,9.72,12.33,11.70
