Variable:,tasmax
,Namibia,Caprivi,Erongo,Hardap,Karas,Kavango,Khomas,Kunene,Ohangwena,Omaheke,Omusati,Oshana,Oshikoto,Otjozondjupa
1923,27.50,30.87,26.28,28.34,26.01,30.82,27.81,22.76,31.27,29.16,27.14,30.14,31.19,29.55
1924,27.33,30.19,26.28,28.09,25.70,30.57,27.70,22.77,31.24,28.90,27.16,30.13,31.14,29.42
1925,27.30,29.74,26.28,28.16,25.88,30.18,27.70,22.76,31.11,28.77,27.14,30.09,31.00,29.23
1926,27.38,30.13,26.28,28.26,25.88,30.42,27.77,22.76,31.17,28.96,27.14,30.12,31.07,29.36
1927,27.51,30.14,26.28,28.48,26.35,30.43,27.82,22.76,31.16,29.04,27.15,30.10,31.06,29.36
1928,27.56,30.88,26.29,28.37,26.01,31.01,27.84,22.78,31.36,29.31,27.15,30.18,31.27,29.67
1929,27.52,30.33,26.29,28.38,26.07,30.80,27.83,22.77,31.31,29.20,27.13,30.15,31.24,29.59
1930,27.43,30.16,26.28,28.30,26.05,30.49,27.77,22.77,31.22,28.98,27.14,30.13,31.11,29.39
1931,27.73,31.37,26.50,28.61,26.27,31.13,28.09,22.85,31.36,29.46,27.20,30.22,31.31,29.78
1932,27.65,30.71,26.38,28.64,26.44,30.74,27.97,22.79,31.25,29.26,27.15,30.15,31.18,29.56
1933,27.86,30.24,26.81,28.99,26.55,30.81,28.43,22.95,31.32,29.51,27.26,30.26,31.30,29.80
1934,27.46,30.28,26.01,28.26,26.18,30.79,27.61,22.69,31.30,29.14,27.11,30.10,31.18,29.46
1935,27.12,30.08,25.71,27.76,25.63,30.51,27.20,22.59,31.20,28.73,27.04,30.00,31.03,29.17
1936,27.34,30.02,26.15,28.20,25.94,30.41,27.64,22.72,31.18,28.91,27.12,30.09,31.07,29.31
1937,27.41,30.12,26.22,28.39,26.25,30.22,27.70,22.75,31.10,28.87,27.14,30.08,31.00,29.23
1938,27.33,30.33,25.93,28.12,25.89,30.65,27.50,22.66,31.23,29.00,27.08,30.05,31.10,29.34
1939,27.32,29.22,26.07,28.14,26.06,30.30,27.59,22.73,31.24,28.84,27.16,30.12,31.09,29.27
1940,27.68,30.27,26.43,28.55,26.25,31.00,28.03,22.85,31.62,29.32,27.31,30.36,31.47,29.74
1941,28.14,30.74,27.20,29.32,26.78,31.25,28.86,23.03,31.77,29.83,27.41,30.48,31.63,30.09
1942,27.96,30.95,26.64,28.97,26.58,31.42,28.47,22.87,31.82,29.75,27.34,30.42,31.61,29.97
1943,27.37,30.18,26.16,28.02,25.59,30.91,27.74,22.73,31.55,29.16,27.22,30.25,31.35,29.57
1944,27.85,30.48,26.65,28.90,26.59,30.99,28.29,22.89,31.57,29.51,27.30,30.33,31.42,29.78
1945,28.13,30.16,27.24,29.40,27.05,30.92,28.78,23.06,31.53,29.66,27.34,30.39,31.48,29.98
1946,27.91,30.56,26.90,29.01,26.61,30.95,28.47,22.94,31.42,29.59,27.25,30.28,31.37,29.85
1947,27.88,30.74,26.79,28.98,26.66,30.89,28.38,22.91,31.30,29.54,27.20,30.19,31.27,29.77
1948,27.58,29.97,26.54,28.57,26.24,30.52,28.05,22.82,31.16,29.20,27.15,30.12,31.13,29.52
1949,27.95,31.00,26.60,28.96,26.77,31.29,28.24,22.91,31.72,29.55,27.34,30.40,31.56,29.91
1950,27.32,30.53,25.97,27.96,25.71,30.85,27.44,22.73,31.43,28.99,27.19,30.19,31.25,29.48
1951,27.44,30.10,26.23,28.21,25.97,30.70,27.71,22.79,31.41,29.04,27.22,30.22,31.26,29.51
1952,27.59,30.41,26.23,28.39,26.20,30.96,27.78,22.82,31.60,29.20,27.29,30.33,31.41,29.63
1953,27.31,29.57,26.17,28.16,25.95,30.29,27.59,22.74,31.14,28.81,27.13,30.09,31.06,29.29
1954,27.11,30.24,25.79,27.71,25.47,30.51,27.22,22.64,31.19,28.73,27.10,30.06,31.05,29.22
1955,26.84,29.88,25.53,27.24,24.96,30.42,26.87,22.59,31.16,28.45,27.07,30.02,31.00,29.07
1956,26.97,29.77,25.61,27.56,25.29,30.26,27.08,22.59,31.08,28.66,27.05,29.99,30.94,29.09
1957,27.54,31.05,26.13,28.33,26.01,31.07,27.79,22.74,31.51,29.28,27.20,30.22,31.32,29.62
1958,27.57,30.26,26.29,28.49,26.20,30.70,27.91,22.80,31.32,29.25,27.21,30.20,31.25,29.57
1959,27.57,30.96,26.35,28.25,25.91,31.06,27.84,22.94,31.52,29.26,27.33,30.34,31.42,29.73
1960,27.57,30.56,26.27,28.37,26.17,30.92,27.80,22.84,31.48,29.17,27.26,30.25,31.33,29.61
1961,27.32,29.93,26.13,28.21,25.92,30.36,27.64,22.69,31.08,28.90,27.07,30.00,30.98,29.26
1962,27.48,30.09,26.19,28.52,26.20,30.40,27.91,22.69,31.02,29.26,27.06,29.99,30.96,29.35
1963,27.39,29.74,26.38,28.43,26.24,30.05,27.83,22.75,30.86,28.82,27.04,29.92,30.80,29.15
1964,27.48,30.49,26.28,28.41,26.03,30.54,27.85,22.81,31.07,29.20,27.14,30.08,31.08,29.47
1965,27.38,30.48,26.13,28.29,25.94,30.54,27.71,22.71,31.06,29.06,27.08,30.01,30.98,29.34
1966,27.61,30.51,26.38,28.62,26.35,30.66,28.02,22.80,31.23,29.23,27.15,30.12,31.13,29.50
1967,27.25,29.91,26.11,27.99,25.75,30.35,27.48,22.76,31.11,28.74,27.12,30.08,31.05,29.29
1968,27.20,30.73,25.99,27.85,25.49,30.65,27.36,22.72,31.13,28.79,27.08,30.04,31.05,29.33
1969,27.59,29.94,26.43,28.57,26.22,30.49,28.03,22.88,31.21,29.28,27.21,30.17,31.17,29.53
1970,27.52,31.20,26.15,28.26,25.82,31.08,27.76,22.83,31.39,29.33,27.22,30.23,31.31,29.67
1971,27.22,30.48,25.89,27.90,25.54,30.69,27.38,22.67,31.24,28.88,27.11,30.08,31.12,29.35
1972,27.62,30.38,26.48,28.64,26.47,30.62,28.01,22.82,31.19,29.11,27.16,30.12,31.12,29.48
1973,27.70,30.68,26.61,28.54,26.21,30.99,28.04,22.96,31.50,29.28,27.32,30.33,31.43,29.79
1974,26.88,29.36,25.81,27.62,25.24,29.85,27.11,22.61,30.85,28.30,26.99,29.88,30.73,28.88
1975,27.25,30.00,26.06,28.01,25.65,30.41,27.50,22.75,31.23,28.87,27.17,30.13,31.13,29.32
1976,26.82,29.32,25.70,27.58,25.21,29.79,27.07,22.53,30.81,28.30,26.94,29.81,30.68,28.81
1977,27.49,30.59,26.23,28.28,25.96,30.80,27.79,22.78,31.41,29.21,27.21,30.21,31.28,29.57
1978,27.46,29.49,26.30,28.41,26.09,30.25,27.86,22.81,31.18,29.14,27.19,30.17,31.15,29.44
1979,27.73,30.27,26.53,28.72,26.42,30.65,28.16,22.92,31.32,29.44,27.27,30.27,31.31,29.72
1980,27.74,30.15,26.61,28.71,26.45,30.71,28.13,22.90,31.39,29.34,27.28,30.31,31.40,29.73
1981,27.49,30.10,26.33,28.36,26.00,30.58,27.84,22.81,31.27,29.18,27.21,30.21,31.23,29.55
1982,27.64,30.72,26.32,28.57,26.24,30.98,27.99,22.77,31.44,29.39,27.18,30.19,31.30,29.66
1983,27.77,31.49,26.25,28.83,26.51,31.30,28.10,22.66,31.56,29.49,27.18,30.22,31.35,29.68
1984,27.98,30.91,26.64,29.21,27.02,31.13,28.48,22.80,31.48,29.66,27.20,30.20,31.32,29.76
1985,27.88,30.62,26.67,28.95,26.66,31.06,28.31,22.89,31.56,29.52,27.27,30.30,31.41,29.82
1986,27.76,30.25,26.61,28.91,26.64,30.60,28.17,22.86,31.24,29.27,27.20,30.18,31.20,29.63
1987,28.06,31.85,26.69,29.04,26.72,31.78,28.36,22.91,31.88,29.71,27.38,30.48,31.75,30.11
1988,27.61,30.76,26.40,28.40,26.09,31.07,27.83,22.86,31.58,29.16,27.31,30.36,31.48,29.70
1989,27.63,30.68,26.55,28.48,26.12,30.83,27.97,22.91,31.43,29.22,27.27,30.29,31.35,29.66
1990,27.74,31.28,26.41,28.62,26.21,31.33,28.05,22.81,31.68,29.45,27.29,30.35,31.53,29.80
1991,27.65,30.96,26.61,28.53,26.05,30.99,28.02,22.89,31.41,29.29,27.24,30.26,31.34,29.70
1992,28.23,31.91,27.04,29.23,26.57,31.78,28.71,23.13,31.91,30.14,27.55,30.70,31.95,30.44
1993,27.82,30.66,26.68,29.01,26.64,30.96,28.28,22.79,31.46,29.38,27.21,30.21,31.30,29.68
1994,27.82,31.08,26.63,28.75,26.39,31.18,28.23,22.89,31.65,29.48,27.33,30.40,31.55,29.87
1995,27.88,31.57,26.55,28.68,26.20,31.75,28.19,22.89,32.03,29.63,27.44,30.57,31.86,30.07
1996,27.52,31.00,26.33,28.02,25.39,31.57,27.79,22.88,31.86,29.33,27.34,30.44,31.75,29.95
1997,27.69,30.99,26.40,28.40,26.03,31.56,27.96,22.82,31.95,29.37,27.36,30.46,31.73,29.88
1998,28.10,31.54,26.81,28.90,26.43,32.03,28.45,23.00,32.22,29.90,27.52,30.71,32.11,30.38
1999,27.91,30.83,26.53,29.01,26.85,31.34,28.24,22.76,31.60,29.52,27.16,30.19,31.44,29.80
2000,27.81,30.28,26.65,28.69,26.42,31.26,28.21,22.88,31.72,29.42,27.31,30.39,31.61,29.88
2001,27.91,30.99,26.62,28.67,26.20,31.59,28.33,22.97,31.93,29.79,27.46,30.60,31.87,30.19
2002,27.93,31.35,26.56,28.71,26.30,31.63,28.25,22.97,31.94,29.78,27.47,30.61,31.88,30.17
2003,28.03,31.43,26.50,28.91,26.58,31.85,28.34,22.89,32.13,29.80,27.48,30.64,31.97,30.17
2004,28.14,31.32,26.83,29.30,26.97,31.32,28.73,22.91,31.62,29.97,27.31,30.38,31.55,30.10
2005,28.23,32.46,26.81,29.09,26.76,32.11,28.61,22.99,32.07,30.11,27.45,30.59,31.91,30.39
2006,27.87,30.60,26.81,28.88,26.56,30.81,28.39,22.97,31.36,29.57,27.29,30.31,31.38,29.88
2007,27.94,30.91,26.72,29.05,26.82,30.79,28.44,22.91,31.33,29.71,27.24,30.26,31.31,29.84
2008,28.01,31.11,26.85,29.15,26.77,30.87,28.58,22.95,31.34,29.85,27.27,30.30,31.36,29.95
2009,28.31,31.27,27.32,29.33,26.87,31.53,28.98,23.17,31.65,30.21,27.44,30.54,31.73,30.46
2010,28.26,31.30,27.04,29.46,27.23,31.33,28.83,23.00,31.63,30.00,27.34,30.41,31.57,30.16
2011,27.84,30.87,26.76,28.81,26.52,30.84,28.27,22.98,31.36,29.51,27.29,30.32,31.39,29.84
2012,27.93,31.18,26.77,28.92,26.69,30.95,28.31,22.98,31.36,29.67,27.29,30.32,31.39,29.90
2013,28.14,30.79,27.12,29.24,26.99,30.94,28.67,23.11,31.43,29.84,27.38,30.44,31.54,30.11
2014,28.31,30.83,27.44,29.46,27.11,30.99,29.00,23.23,31.48,30.03,27.45,30.53,31.67,30.32
2015,28.66,31.83,27.65,29.94,27.68,31.44,29.35,23.28,31.61,30.48,27.49,30.60,31.81,30.61
2016,28.56,31.68,27.28,29.87,27.73,31.58,29.11,23.12,31.66,30.32,27.42,30.50,31.69,30.40
2017,28.12,31.08,26.51,29.32,27.41,31.26,28.40,22.83,31.66,29.72,27.29,30.36,31.55,29.89
2018,27.90,31.07,26.46,29.13,27.03,30.76,28.29,22.78,31.27,29.62,27.16,30.14,31.18,29.64
2019,28.35,32.14,26.67,29.73,27.77,31.43,28.78,22.80,31.46,30.20,27.17,30.18,31.39,30.05
2020,27.84,30.82,26.50,29.01,26.78,30.75,28.34,22.78,31.28,29.60,27.16,30.14,31.18,29.67
