Variable:,tasmax
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1982,-1.26,5.00,5.23,1.75,9.20,2.28,-5.91,10.57,-11.98,5.40,9.69,1.66,3.93,-2.79
1983,-0.23,6.60,6.26,3.49,10.06,3.40,-4.87,11.38,-11.32,6.66,10.61,2.29,5.67,-2.02
1984,-0.05,6.84,5.98,3.72,9.66,3.03,-4.53,11.22,-11.02,6.65,10.34,2.39,6.13,-1.14
1985,-0.26,6.42,5.81,2.51,9.03,2.69,-4.60,10.05,-10.11,5.35,9.16,2.20,4.95,-1.32
1986,-0.06,7.66,6.92,3.56,8.90,2.75,-4.32,10.24,-11.43,6.33,9.24,1.80,6.52,-0.63
1987,1.32,9.41,7.96,5.62,9.67,3.68,-2.62,10.56,-10.35,8.04,9.64,2.97,8.35,0.38
1988,0.54,8.11,6.82,3.82,9.47,3.29,-3.74,10.62,-9.83,6.32,9.75,2.35,6.92,-0.53
1989,-0.23,6.97,7.03,2.69,8.98,2.90,-3.91,10.40,-11.23,5.56,9.45,1.47,5.56,-0.33
1990,-0.26,6.98,6.60,3.28,10.06,2.48,-4.95,11.45,-11.53,6.75,10.58,2.03,6.07,-1.64
1991,0.33,7.82,7.03,3.72,9.84,2.14,-4.03,11.12,-10.50,6.93,10.27,2.26,6.54,-0.52
1992,-0.37,7.61,7.20,2.95,8.76,1.70,-4.10,10.11,-11.34,5.28,9.18,0.84,6.38,-1.21
1993,0.05,7.64,7.22,2.90,8.89,1.97,-3.04,10.18,-11.02,5.66,9.22,1.42,5.73,0.99
1994,0.22,7.07,6.86,3.49,9.36,2.78,-3.58,10.94,-10.15,6.22,10.06,1.90,5.89,-0.81
1995,0.21,6.80,6.83,3.16,9.66,3.01,-3.78,10.74,-10.26,6.10,9.89,2.38,5.66,-0.32
1996,-0.60,4.63,4.72,1.85,9.42,3.81,-4.77,10.64,-10.13,5.36,10.06,2.54,3.80,-2.79
1997,0.32,7.45,6.95,3.65,8.67,2.46,-3.39,10.06,-10.24,6.21,9.17,1.94,6.36,-0.06
1998,1.73,8.53,7.64,5.21,10.35,3.95,-1.83,11.59,-8.79,8.29,10.75,3.69,7.52,0.25
