Variable:,pr
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1972,705.39,77.99,1396.09,83.02,1428.80,1337.01,324.01,1164.66,672.24,1235.58,844.82,1572.61,68.77,164.45,1799.01,629.95
1973,537.17,70.46,1053.30,26.91,1304.35,742.09,100.78,509.26,657.81,611.58,327.97,1381.03,60.39,131.26,1509.16,257.45
1974,524.17,45.16,989.17,30.44,1208.09,862.26,117.28,696.15,533.36,807.30,516.31,1370.95,51.21,123.00,1410.68,414.02
1975,590.81,82.23,1075.11,67.36,1319.40,1011.14,173.92,596.58,595.09,867.88,333.32,1717.06,69.17,177.34,1484.19,275.51
1976,569.49,136.25,925.14,72.78,1294.68,769.69,172.08,472.60,769.31,586.90,340.72,1480.38,59.15,143.61,1438.64,282.61
1977,709.28,91.78,1390.04,49.78,1621.76,1198.60,196.18,889.80,652.54,984.67,622.81,1943.90,69.75,164.57,1819.94,502.57
1978,589.63,51.85,1243.65,28.37,1172.84,1044.97,164.08,833.87,659.81,881.63,580.37,1608.39,22.85,68.40,1740.40,408.95
1979,592.83,62.01,1133.47,39.14,1351.25,994.35,44.06,630.95,726.47,792.36,395.77,1616.90,32.20,95.91,1655.65,262.50
1980,679.49,40.27,1449.04,66.46,1409.27,1292.96,173.09,889.25,736.63,1034.83,597.17,1825.27,15.68,50.20,1903.87,466.91
1981,581.55,62.59,1133.98,52.14,1215.56,988.30,151.59,550.55,721.13,676.93,425.21,1664.11,36.59,109.20,1616.54,354.92
1982,667.09,36.84,1365.06,47.88,1214.05,1374.31,266.94,1287.63,657.27,1251.40,985.20,1627.05,30.46,103.53,1729.22,737.07
1983,493.88,42.66,936.92,82.90,1078.69,812.00,252.52,538.97,592.50,632.47,495.78,1237.78,9.09,25.72,1217.02,454.97
1984,611.51,74.23,1302.21,121.37,1025.70,1200.69,304.11,937.29,571.28,1055.60,733.87,1579.36,59.02,169.71,1722.65,625.67
1985,542.15,88.17,1072.28,39.46,1230.57,873.90,67.27,391.54,674.73,571.44,301.24,1557.23,40.48,143.03,1518.46,205.67
1986,611.62,98.23,1275.66,64.27,1223.58,1232.30,195.96,818.72,600.58,985.39,611.00,1401.39,51.14,152.51,1826.48,481.45
1987,615.14,143.57,1056.12,190.18,1089.22,1014.43,457.67,994.97,584.36,900.44,1020.29,1362.16,33.45,60.30,1547.01,899.84
1988,441.71,41.57,896.87,25.17,1008.32,808.32,56.11,387.08,569.00,628.69,226.72,1148.85,19.07,78.28,1149.99,168.69
1989,484.62,60.51,995.45,47.35,1161.16,756.80,167.53,459.44,546.00,497.95,392.51,1224.66,34.86,93.24,1292.90,319.20
1990,540.25,82.21,1043.62,28.81,1270.85,781.39,66.57,389.61,717.18,524.26,270.02,1563.62,22.95,85.19,1534.47,162.63
1991,578.20,52.97,1197.85,51.07,1174.03,1047.02,232.22,732.33,624.48,836.64,585.21,1511.18,19.51,65.39,1638.32,497.21
1992,621.57,79.54,1350.38,61.61,1174.61,1278.21,316.38,895.21,596.76,999.14,673.13,1548.59,17.64,51.68,1617.11,620.77
1993,565.16,46.59,1398.54,38.35,1035.06,1110.10,160.97,632.00,636.47,704.21,440.18,1662.16,26.82,101.82,1732.06,351.71
1994,565.23,58.03,1166.13,38.57,1250.20,904.68,65.83,568.57,685.66,699.26,369.04,1643.41,32.25,90.63,1614.21,232.30
1995,514.59,41.02,1093.86,24.07,1116.06,859.79,54.69,559.38,643.43,669.81,331.68,1445.74,12.74,51.51,1497.94,255.43
1996,451.53,43.09,793.18,25.95,1141.45,626.19,97.05,340.49,631.91,434.40,260.59,1213.13,17.20,65.23,1139.30,230.60
1997,688.69,50.10,1392.74,74.10,1239.13,1223.46,395.41,1129.99,687.02,1042.33,1011.70,1758.94,55.82,163.75,1905.85,899.99
1998,381.94,49.19,583.11,51.43,1018.65,482.13,53.20,164.52,658.46,250.42,157.82,931.77,20.31,65.04,867.65,117.27
1999,490.86,51.68,1036.90,35.24,968.23,959.29,156.60,612.10,522.87,669.19,501.10,1294.04,45.77,139.46,1415.03,365.17
2000,593.43,47.64,1209.92,60.19,1058.56,1020.93,255.55,809.68,709.28,805.72,659.16,1633.10,43.63,127.20,1797.82,528.82
2001,583.87,60.19,1150.74,42.30,1136.97,1108.52,215.63,822.67,590.64,899.50,562.48,1592.49,70.59,175.91,1672.39,439.41
2002,728.69,47.75,1377.18,100.12,1444.83,1298.03,438.65,1003.46,733.12,1107.12,844.17,1849.99,42.71,132.05,2043.18,769.13
2003,527.89,43.92,1061.50,23.42,1196.34,819.49,154.20,502.96,696.28,510.34,351.11,1415.70,18.40,64.50,1619.74,275.16
2004,538.34,46.08,1191.33,52.71,989.93,928.66,167.95,546.60,626.65,700.64,449.27,1550.74,39.23,101.65,1858.88,405.86
2005,624.60,45.39,1398.28,38.75,1138.49,1183.99,200.51,934.54,673.20,980.32,737.04,1626.15,38.97,103.44,1980.79,494.97
2006,641.85,45.98,1368.86,26.22,1227.78,1172.46,122.61,735.59,761.07,874.22,533.11,1853.32,42.86,112.96,2152.72,417.29
2007,407.79,49.44,957.23,28.49,694.25,684.42,86.29,327.94,649.25,455.46,253.41,1137.95,32.99,92.90,1314.17,208.15
2008,565.95,49.32,1138.76,46.47,1015.99,952.53,230.07,716.94,760.44,777.25,585.71,1511.42,28.04,93.67,1659.69,473.62
2009,558.62,44.88,1278.63,33.42,1194.43,975.17,128.21,538.73,617.42,657.96,410.80,1611.68,18.61,57.94,1703.96,317.70
2010,472.69,45.43,915.39,44.08,1125.92,729.67,183.43,400.48,554.50,467.72,346.82,1291.53,17.39,46.28,1308.74,280.20
2011,499.97,55.14,1026.95,86.69,1028.41,843.83,187.71,415.47,641.12,614.02,259.77,1293.57,69.96,233.43,1357.08,221.78
2012,511.84,63.51,923.84,20.52,1225.04,726.25,72.22,506.13,611.28,540.33,401.04,1453.19,46.41,121.05,1402.01,318.13
2013,467.71,44.20,829.36,57.61,1064.21,647.58,135.96,365.89,621.95,487.45,301.18,1374.39,35.07,95.92,1245.46,226.15
2014,510.02,35.56,1123.50,45.51,1048.04,1012.49,98.88,504.59,609.25,699.46,307.04,1388.03,12.80,42.48,1517.53,234.32
2015,525.06,73.34,1146.52,70.81,1001.23,888.88,199.93,524.78,659.46,666.79,395.02,1385.97,34.33,88.15,1544.89,331.61
2016,408.24,58.44,722.90,53.11,754.53,678.99,168.84,585.77,529.79,614.27,531.10,1013.46,37.45,110.17,1073.71,401.05
2017,553.89,49.66,993.18,53.38,1314.74,840.38,154.09,575.17,633.72,672.04,427.06,1512.70,25.65,81.20,1486.39,335.78
2018,459.47,57.34,971.88,50.11,985.90,715.27,83.42,340.41,611.96,453.31,230.99,1310.10,29.16,106.72,1398.15,177.98
2019,407.64,45.26,741.94,42.91,922.03,570.54,74.13,250.20,670.52,343.39,200.17,1077.69,29.72,85.22,1092.56,162.08
2020,458.96,53.45,801.18,47.70,1042.12,672.19,115.92,468.96,599.01,529.49,319.74,1247.93,36.21,113.94,1222.38,258.84
