Variable:,pr
,"Congo (Republic of the)",Bouenza,Cuvette,Cuvette-Ouest,Lekoumou,Likouala,Niari,Plateaux,Sangha,Pool,Brazzaville,Kouilou,Point-Noire
1998,1597.53,1578.20,1430.17,1602.26,1836.97,1578.13,1756.46,1744.79,1443.73,1699.94,1604.00,1529.46,1416.25
1999,1853.79,1609.80,1838.66,1944.98,1878.71,1837.70,1733.68,2058.96,1883.58,1797.02,1651.30,1597.39,1526.89
2000,1634.63,1383.22,1653.31,1660.90,1661.83,1688.90,1558.37,1776.79,1643.43,1556.61,1410.30,1333.55,1239.25
2001,1510.21,1192.39,1502.18,1591.77,1404.32,1663.44,1281.35,1560.67,1642.44,1402.28,1312.30,1092.30,1045.45
2002,1707.73,1476.68,1711.72,1789.93,1817.32,1551.87,1589.47,2094.79,1657.33,1808.89,1645.80,1299.26,1211.10
2003,1561.50,1473.16,1512.30,1627.97,1700.47,1461.56,1604.46,1713.22,1541.74,1584.97,1471.30,1394.64,1322.81
2004,1494.88,1433.49,1438.84,1478.98,1601.47,1487.75,1504.28,1607.60,1443.61,1536.72,1448.50,1396.34,1341.68
2005,1477.80,1242.35,1468.94,1514.65,1477.46,1534.06,1369.10,1633.97,1481.53,1442.66,1323.60,1196.91,1122.05
2006,1618.68,1638.52,1524.53,1615.35,1802.92,1547.17,1718.04,1725.61,1548.04,1663.28,1567.30,1647.35,1579.92
2007,1649.28,1612.09,1548.26,1682.01,1847.91,1542.15,1802.73,1825.01,1568.53,1660.93,1529.00,1637.77,1543.46
2008,1767.41,1585.72,1765.61,1815.88,1791.52,1783.14,1668.53,1927.16,1779.22,1721.80,1597.90,1497.85,1457.81
2009,1673.95,1582.09,1612.53,1648.22,1817.13,1666.00,1723.91,1845.14,1583.54,1691.28,1569.20,1570.14,1494.95
2010,1648.66,1518.46,1644.21,1719.76,1785.40,1545.01,1691.66,1859.29,1578.64,1627.68,1470.00,1540.79,1447.17
2011,1639.78,1470.35,1574.34,1688.79,1704.08,1648.64,1606.83,1805.96,1626.90,1630.44,1510.20,1409.79,1311.64
2012,1606.10,1391.86,1570.64,1691.64,1631.24,1673.85,1557.40,1686.80,1653.08,1510.57,1426.80,1270.58,1182.69
2013,1585.78,1377.63,1599.52,1679.64,1601.39,1541.24,1566.00,1789.21,1554.38,1553.43,1442.90,1361.68,1249.82
2014,1508.93,1271.25,1523.46,1580.32,1536.44,1514.78,1538.11,1619.28,1535.78,1378.08,1249.60,1290.66,1164.82
2015,1493.10,1390.75,1462.01,1484.08,1616.57,1480.39,1479.51,1704.15,1372.79,1552.44,1420.30,1333.27,1262.27
2016,1723.72,1508.61,1706.69,1792.14,1742.42,1730.89,1611.73,1918.21,1747.14,1670.78,1525.20,1431.59,1357.26
2017,1753.12,1560.46,1675.39,1819.95,1892.11,1692.12,1682.39,2008.91,1730.27,1823.25,1662.50,1386.84,1298.43
2018,1616.82,1381.30,1637.03,1652.21,1628.21,1642.54,1456.12,1846.79,1598.46,1618.49,1476.90,1240.12,1165.67
2019,1790.74,1610.30,1700.93,1838.22,1921.03,1739.09,1872.43,1925.63,1825.54,1725.82,1558.30,1644.63,1529.28
2020,1723.34,1655.38,1691.89,1710.92,1922.25,1542.56,1707.60,2063.40,1606.27,1914.67,1762.40,1465.27,1372.13
