Variable:,tasmin
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
1991,5.88,6.84,4.18,5.87,8.04,7.00,7.12,3.85,5.58,6.73,4.69
1992,5.76,6.79,4.22,5.87,7.73,6.84,6.80,3.94,5.48,6.44,4.60
1993,6.10,7.15,4.47,6.18,8.27,7.24,7.28,4.14,5.73,6.88,4.86
1994,4.84,5.91,3.04,4.77,7.06,6.02,6.09,2.77,4.50,5.71,3.60
1995,5.78,6.97,4.11,5.85,7.89,6.95,6.94,3.79,5.39,6.52,4.56
1996,5.64,6.75,4.04,5.70,7.77,6.78,6.82,3.68,5.23,6.41,4.40
1997,5.72,6.75,4.17,5.74,7.70,6.76,6.83,3.87,5.41,6.52,4.51
1998,5.91,7.01,4.21,5.92,8.03,7.03,7.15,3.92,5.52,6.78,4.64
1999,6.13,7.26,4.27,6.11,8.45,7.37,7.48,3.94,5.71,7.08,4.80
2000,5.54,6.60,3.95,5.60,7.70,6.67,6.73,3.56,5.15,6.33,4.29
2001,5.95,7.09,4.19,6.01,8.27,7.18,7.22,3.82,5.47,6.76,4.66
2002,5.47,6.51,3.82,5.50,7.70,6.63,6.67,3.49,5.09,6.26,4.23
2003,5.55,6.61,3.93,5.61,7.81,6.73,6.77,3.52,5.11,6.35,4.27
2004,6.04,7.12,4.39,6.10,8.31,7.23,7.26,3.99,5.60,6.83,4.77
2005,5.77,6.82,4.18,5.84,8.01,6.93,6.96,3.78,5.35,6.54,4.50
2006,5.56,6.62,3.90,5.60,7.81,6.73,6.77,3.55,5.15,6.36,4.29
2007,5.52,6.62,3.84,5.55,7.80,6.73,6.75,3.46,5.10,6.32,4.25
2008,5.81,6.89,4.18,5.86,8.05,6.99,7.02,3.77,5.37,6.60,4.53
2009,5.76,6.83,4.05,5.78,8.04,6.95,6.99,3.70,5.33,6.57,4.48
2010,5.96,7.00,4.23,5.95,8.26,7.14,7.22,3.88,5.56,6.82,4.68
2011,5.43,6.48,3.73,5.45,7.67,6.60,6.65,3.41,5.05,6.25,4.19
2012,5.41,6.46,3.65,5.39,7.65,6.59,6.65,3.37,5.05,6.25,4.17
2013,5.21,6.20,3.42,5.15,7.50,6.38,6.49,3.13,4.87,6.12,3.94
2014,5.71,6.73,3.99,5.69,7.98,6.89,6.96,3.67,5.33,6.56,4.45
2015,6.01,7.02,4.25,5.97,8.29,7.17,7.26,3.96,5.63,6.87,4.75
2016,6.26,7.28,4.51,6.23,8.53,7.44,7.51,4.20,5.90,7.13,5.00
2017,5.65,6.71,4.01,5.70,7.88,6.81,6.86,3.64,5.25,6.47,4.39
2018,5.80,6.85,4.18,5.86,8.01,6.95,6.98,3.81,5.38,6.57,4.53
2019,6.36,7.43,4.71,6.40,8.61,7.53,7.56,4.34,5.95,7.16,5.10
2020,5.72,6.81,4.10,5.79,7.98,6.90,6.91,3.71,5.28,6.49,4.44
