Variable:,tasmax
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2000,28.25,17.32,NaN,24.10,31.14,20.83,29.25,26.78,15.51,20.33,28.95
2001,28.61,17.81,NaN,24.69,31.49,21.31,30.30,26.52,15.33,20.26,29.05
2002,29.76,18.06,NaN,25.55,33.17,21.44,31.17,27.50,15.36,20.73,30.38
2003,29.21,17.52,NaN,24.60,32.59,20.82,30.61,26.99,15.28,20.19,29.94
2004,29.12,17.89,NaN,24.94,32.42,21.48,30.48,27.07,14.71,20.12,29.72
2005,29.65,17.96,NaN,25.20,33.22,21.48,30.93,27.52,15.43,20.62,30.28
2006,29.01,18.50,NaN,25.30,32.00,21.45,30.14,27.23,14.79,20.73,29.63
2007,29.14,18.05,NaN,25.00,32.28,21.09,29.88,27.48,15.58,20.97,29.99
2008,28.86,17.28,NaN,24.21,32.50,20.42,29.76,26.82,14.96,20.17,29.71
2009,29.38,18.37,NaN,25.20,32.70,21.39,30.32,27.45,15.07,20.90,30.16
2010,28.21,17.37,NaN,23.68,31.03,20.76,28.79,25.78,15.40,19.84,29.76
2011,28.44,17.34,NaN,24.36,31.15,20.75,29.45,26.59,15.21,20.10,29.41
2012,29.15,17.47,NaN,24.70,32.22,20.91,30.06,27.12,15.68,20.51,30.21
2013,30.03,18.74,NaN,25.75,33.53,22.09,31.28,27.99,15.85,21.20,30.61
2014,29.80,18.70,NaN,25.75,32.71,21.96,30.91,27.86,16.04,21.37,30.65
2015,29.52,18.08,NaN,24.98,32.63,21.46,30.82,27.13,15.43,20.70,30.50
2016,29.35,18.46,NaN,25.16,32.88,22.13,30.72,26.87,15.70,20.69,29.96
2017,29.84,18.79,NaN,25.88,33.11,22.22,31.43,27.67,15.77,21.16,30.26
2018,29.95,18.83,NaN,25.89,33.38,22.14,31.27,27.81,15.90,21.38,30.45
2019,30.33,19.14,NaN,26.01,33.63,22.55,31.10,28.15,15.91,21.30,31.44
2020,29.72,18.00,NaN,24.95,33.18,21.49,31.03,27.00,15.34,20.37,30.76
