Variable:,tasmin
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
1953,4.15,4.51,4.66,4.37,3.62,5.40,2.56,4.02,4.32,3.50,3.13,4.76,3.76,3.70,3.75,4.88,5.14
1954,3.11,3.17,3.47,3.33,2.86,3.93,1.63,3.21,3.13,2.64,2.54,3.55,2.69,2.81,2.99,3.52,3.69
1955,3.16,3.06,3.53,3.37,3.10,3.92,1.85,3.27,3.06,2.95,2.62,3.47,2.75,2.99,2.98,3.51,3.66
1956,2.22,2.44,2.67,2.38,1.85,3.36,0.84,2.09,2.29,1.81,1.41,2.64,1.83,1.86,1.91,2.80,3.01
1957,4.09,4.13,4.51,4.26,3.83,4.97,2.60,4.17,4.03,3.59,3.63,4.45,3.59,3.77,4.06,4.53,4.65
1958,3.90,4.08,4.18,4.21,3.88,4.76,2.75,3.95,4.07,3.82,3.04,3.93,3.65,3.84,3.40,4.34,4.30
1959,4.11,4.11,4.51,4.32,3.90,4.91,2.62,4.24,4.01,3.71,3.50,4.59,3.61,3.80,3.97,4.55,4.77
1960,3.94,4.06,4.18,4.22,3.91,4.82,2.78,3.96,4.08,3.84,3.11,4.04,3.70,3.85,3.45,4.37,4.44
1961,4.38,4.43,4.89,4.54,4.13,5.22,2.78,4.47,4.30,3.83,3.83,4.94,3.78,3.99,4.38,4.86,5.01
1962,3.08,3.00,3.50,3.24,3.04,3.83,1.68,3.23,2.90,2.79,2.55,3.42,2.55,2.87,2.95,3.42,3.60
1963,2.52,2.63,2.86,2.69,2.49,3.49,1.17,2.53,2.49,2.29,1.73,2.79,2.11,2.32,2.14,2.96,3.14
1964,3.23,3.44,3.74,3.46,2.87,4.32,1.68,3.17,3.30,2.68,2.35,3.71,2.84,2.88,2.88,3.84,4.07
1965,2.79,3.04,3.20,3.04,2.56,3.88,1.40,2.74,2.84,2.41,1.83,3.12,2.42,2.55,2.34,3.37,3.53
1966,4.16,4.50,4.38,4.60,4.23,5.11,3.24,4.14,4.52,4.28,2.97,3.93,4.12,4.30,3.35,4.67,4.51
1967,4.59,4.85,5.07,4.94,4.33,5.68,3.11,4.58,4.71,4.10,3.52,4.89,4.21,4.35,4.06,5.28,5.36
1968,3.76,3.94,4.14,4.01,3.71,4.79,2.58,3.68,3.85,3.67,2.61,4.03,3.46,3.65,3.07,4.34,4.52
1969,2.66,3.17,2.91,3.00,2.44,3.80,1.70,2.35,3.14,2.67,1.17,2.90,2.66,2.61,1.67,3.29,3.53
1970,3.27,3.47,3.43,3.63,3.38,4.08,2.44,3.22,3.54,3.49,2.22,3.16,3.22,3.45,2.57,3.68,3.63
1971,3.88,3.93,4.40,4.05,3.62,4.87,2.36,3.87,3.81,3.45,3.14,4.34,3.39,3.53,3.63,4.45,4.66
1972,3.89,3.92,4.24,4.10,3.78,4.59,2.56,3.94,3.95,3.70,3.29,4.24,3.51,3.66,3.72,4.26,4.36
1973,3.83,3.93,4.33,4.06,3.54,4.72,2.33,3.83,3.88,3.38,3.04,4.36,3.38,3.49,3.58,4.37,4.57
1974,4.57,4.82,4.91,4.92,4.32,5.48,3.39,4.50,4.88,4.33,3.62,4.82,4.39,4.45,4.11,5.10,5.12
1975,4.89,4.86,5.33,5.17,4.74,5.62,3.42,5.00,4.86,4.49,4.36,5.25,4.46,4.68,4.77,5.29,5.38
1976,3.06,3.69,3.38,3.41,2.68,4.31,2.02,2.74,3.64,2.90,1.61,3.25,3.09,2.94,2.09,3.79,3.97
1977,4.18,4.45,4.62,4.46,4.00,5.26,2.89,4.10,4.36,3.89,3.09,4.40,3.89,4.03,3.57,4.79,4.86
1978,3.30,3.70,3.77,3.59,2.86,4.55,1.93,3.13,3.57,2.86,2.14,3.69,3.03,3.01,2.72,4.03,4.17
1979,3.37,3.76,3.61,3.74,3.25,4.33,2.54,3.20,3.86,3.50,2.18,3.35,3.39,3.42,2.60,3.89,3.78
1980,2.87,3.11,3.27,3.18,2.59,3.89,1.64,2.76,3.10,2.61,1.85,3.20,2.65,2.71,2.33,3.44,3.58
1981,3.85,4.18,4.21,4.18,3.58,4.92,2.61,3.75,4.20,3.56,2.91,4.00,3.69,3.66,3.34,4.44,4.40
1982,4.01,4.32,4.43,4.30,3.69,5.15,2.43,4.02,4.16,3.47,3.17,4.32,3.55,3.64,3.64,4.64,4.72
1983,4.72,4.82,5.28,4.98,4.39,5.69,3.07,4.78,4.72,4.09,4.04,5.13,4.20,4.34,4.55,5.33,5.36
1984,4.01,4.03,4.45,4.24,3.78,4.80,2.52,4.10,4.03,3.62,3.46,4.44,3.53,3.70,3.88,4.44,4.51
1985,2.76,3.01,3.27,3.01,2.44,3.91,1.33,2.71,2.92,2.35,1.82,3.03,2.40,2.46,2.31,3.45,3.50
1986,3.30,3.47,3.72,3.50,3.11,4.23,1.88,3.30,3.36,3.02,2.59,3.59,2.84,3.03,3.03,3.80,3.86
1987,2.57,3.12,2.91,2.87,2.23,3.77,1.49,2.30,3.09,2.47,1.24,2.73,2.49,2.39,1.79,3.24,3.32
1988,4.33,4.72,4.80,4.58,3.87,5.58,2.80,4.17,4.54,3.79,3.39,4.71,3.96,3.99,3.91,5.02,5.18
1989,4.96,4.89,5.45,5.07,4.70,5.82,3.22,5.05,4.74,4.36,4.61,5.55,4.25,4.56,5.03,5.37,5.71
1990,4.98,5.03,5.53,5.09,4.62,6.05,3.13,4.97,4.81,4.22,4.52,5.68,4.23,4.49,4.95,5.55,5.92
1991,4.13,3.99,4.64,4.29,3.96,4.97,2.43,4.25,3.87,3.63,3.71,4.71,3.41,3.77,4.15,4.58,4.78
1992,4.59,4.83,5.06,4.74,4.20,5.75,3.01,4.53,4.64,4.06,3.89,5.08,4.03,4.17,4.38,5.18,5.43
1993,3.78,3.99,4.22,3.94,3.51,4.79,2.41,3.71,3.91,3.44,3.03,4.20,3.37,3.52,3.48,4.29,4.43
1994,4.82,5.15,5.16,5.12,4.67,5.91,3.71,4.71,5.11,4.76,3.72,4.95,4.63,4.77,4.11,5.39,5.44
1995,4.07,4.34,4.46,4.24,3.72,5.17,2.56,4.00,4.17,3.62,3.47,4.46,3.60,3.69,3.86,4.60,4.81
1996,2.59,2.75,2.86,2.70,2.42,3.55,1.38,2.46,2.66,2.53,1.94,2.90,2.22,2.33,2.24,3.02,3.27
1997,3.80,3.92,4.24,3.92,3.37,4.88,2.17,3.74,3.75,3.25,3.21,4.39,3.23,3.33,3.71,4.33,4.69
1998,4.38,4.76,4.79,4.60,4.01,5.65,2.86,4.29,4.58,3.91,3.52,4.66,4.00,4.02,3.96,5.01,5.17
1999,4.75,4.91,5.12,4.94,4.56,5.84,3.21,4.71,4.74,4.41,4.12,5.04,4.25,4.46,4.49,5.28,5.48
2000,5.29,5.58,5.69,5.50,5.02,6.41,3.66,5.29,5.39,4.75,4.63,5.65,4.82,4.93,5.00,5.83,6.03
2001,4.35,4.44,4.77,4.51,4.12,5.35,2.82,4.33,4.31,3.98,3.70,4.79,3.80,4.02,4.13,4.82,5.13
2002,4.85,5.03,5.27,5.06,4.60,5.87,3.35,4.84,4.86,4.52,4.12,5.23,4.32,4.50,4.56,5.36,5.61
2003,3.97,4.16,4.40,4.11,3.65,5.02,2.40,3.98,3.97,3.46,3.34,4.40,3.39,3.62,3.76,4.49,4.79
2004,4.32,4.50,4.72,4.57,4.08,5.28,2.86,4.35,4.42,3.98,3.59,4.61,3.85,4.08,4.01,4.84,4.98
2005,4.03,4.21,4.57,4.12,3.67,5.22,2.23,4.00,3.84,3.43,3.37,4.58,3.32,3.56,3.79,4.66,5.05
2006,4.43,4.62,5.00,4.47,3.90,5.74,2.58,4.31,4.22,3.71,3.76,5.16,3.64,3.85,4.29,5.13,5.60
2007,5.30,5.50,5.78,5.41,4.99,6.39,3.76,5.25,5.18,4.93,4.62,5.71,4.70,4.92,5.04,5.91,6.09
2008,5.49,5.44,5.94,5.71,5.27,6.23,3.96,5.60,5.37,5.07,5.02,5.87,5.00,5.23,5.47,5.92,6.01
2009,4.68,4.91,5.05,4.89,4.45,5.56,3.45,4.63,4.81,4.47,3.95,4.92,4.39,4.51,4.37,5.18,5.19
2010,3.66,3.61,3.88,3.90,3.81,4.25,2.58,3.76,3.65,3.81,3.19,3.61,3.37,3.75,3.34,3.90,3.88
2011,4.72,4.85,5.32,4.83,4.29,5.84,2.95,4.68,4.61,4.02,4.14,5.31,4.11,4.25,4.64,5.34,5.57
2012,4.41,4.56,4.89,4.63,4.13,5.34,3.01,4.41,4.49,3.99,3.67,4.79,4.09,4.18,4.12,4.91,5.04
2013,4.74,4.65,5.06,4.93,4.68,5.44,3.37,4.86,4.66,4.51,4.36,4.97,4.32,4.60,4.64,5.05,5.12
2014,5.66,6.03,6.14,5.95,5.18,6.82,4.34,5.49,5.93,5.20,4.57,6.02,5.46,5.42,5.12,6.36,6.46
2015,5.53,5.71,6.04,5.78,5.23,6.43,4.00,5.55,5.60,5.04,4.93,5.90,5.13,5.24,5.35,6.07,6.06
2016,5.24,5.41,5.79,5.51,4.90,6.20,3.64,5.23,5.27,4.68,4.54,5.68,4.79,4.95,5.01,5.85,5.90
2017,5.11,5.22,5.72,5.32,4.71,6.10,3.36,5.16,5.02,4.41,4.51,5.65,4.53,4.69,4.97,5.72,5.86
2018,5.58,5.87,6.11,5.89,5.19,6.56,4.10,5.55,5.68,5.06,4.75,5.95,5.20,5.28,5.22,6.24,6.19
2019,5.82,5.85,6.36,6.05,5.58,6.70,4.21,5.91,5.71,5.31,5.22,6.27,5.28,5.50,5.69,6.37,6.43
2020,5.84,5.91,6.45,6.02,5.49,6.78,4.00,5.94,5.65,5.16,5.38,6.40,5.12,5.37,5.87,6.42,6.55
