Variable:,tasmax
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1953,6.08,9.87,8.58,7.51,2.81,6.94,8.31,6.89,6.93,5.18,10.78,5.23,9.61,9.07,6.93,7.69,6.82,3.06,9.24,10.60
1954,4.79,8.29,7.18,6.05,2.12,5.33,6.94,5.48,5.47,3.94,9.18,3.73,8.07,7.74,5.40,6.33,5.40,2.00,7.89,9.02
1955,4.06,8.68,7.45,6.34,-0.26,5.45,7.04,5.31,4.65,2.05,9.69,3.85,8.48,7.90,5.20,6.29,5.69,-0.29,8.12,9.50
1956,4.03,7.86,6.88,5.74,0.63,4.86,6.62,5.03,4.54,2.70,8.83,3.38,7.67,7.39,4.84,5.99,5.10,0.60,7.57,8.68
1957,4.84,8.74,7.65,6.39,1.85,5.58,7.21,5.53,5.35,3.64,9.76,3.95,8.52,8.09,5.46,6.46,5.81,1.72,8.33,9.62
1958,4.26,8.06,7.07,5.85,1.13,4.93,6.72,5.02,4.68,3.11,9.08,3.41,7.85,7.57,4.83,6.05,5.26,1.20,7.79,8.90
1959,5.92,9.88,8.55,7.44,2.77,6.86,8.14,6.67,6.69,4.75,10.90,5.13,9.60,8.94,6.73,7.49,6.73,2.78,9.20,10.61
1960,4.79,8.33,7.27,6.15,2.17,5.32,7.12,5.50,5.18,3.76,9.24,3.80,8.09,7.86,5.32,6.46,5.53,2.03,7.98,9.09
1961,5.56,9.52,8.14,7.06,2.36,6.48,7.81,6.39,6.42,4.41,10.49,4.76,9.27,8.60,6.46,7.17,6.37,2.24,8.80,10.25
1962,4.02,7.81,6.74,5.54,0.79,4.73,6.43,4.87,4.75,2.95,8.82,3.18,7.60,7.26,4.80,5.78,4.93,0.78,7.49,8.62
1963,4.58,7.73,6.43,5.46,1.95,5.13,6.39,5.38,5.70,4.09,8.55,3.48,7.43,7.01,5.48,6.04,4.67,2.15,7.20,8.29
1964,5.03,8.63,7.32,6.21,2.17,5.75,7.06,5.71,6.00,4.25,9.58,3.99,8.37,7.81,5.83,6.49,5.51,2.23,8.04,9.29
1965,3.97,7.85,6.74,5.58,0.44,4.83,6.48,4.92,4.80,2.84,8.81,3.24,7.63,7.28,4.87,5.85,4.93,0.51,7.53,8.61
1966,3.37,7.51,6.43,5.24,-0.37,4.36,6.15,4.44,3.92,1.82,8.46,2.83,7.29,6.93,4.25,5.50,4.60,-0.39,7.17,8.25
1967,4.86,8.80,7.65,6.44,1.83,5.69,7.27,5.67,5.40,3.50,9.80,4.05,8.57,8.12,5.59,6.61,5.80,1.53,8.39,9.59
1968,4.13,8.33,7.32,6.03,0.29,5.12,6.89,5.18,4.73,2.60,9.43,3.59,8.14,7.75,5.02,6.16,5.44,0.38,8.10,9.21
1969,4.53,8.53,7.14,6.15,1.01,5.52,6.92,5.57,5.23,3.32,9.45,3.92,8.31,7.66,5.48,6.35,5.42,1.23,7.83,9.17
1970,4.25,7.66,6.59,5.48,1.64,4.82,6.42,5.00,4.91,3.26,8.49,3.26,7.46,7.14,4.93,5.86,4.80,1.45,7.34,8.33
1971,4.85,9.27,8.01,6.85,0.79,6.10,7.62,5.93,5.46,3.24,10.24,4.43,9.03,8.45,5.87,6.86,6.21,0.97,8.67,10.03
1972,5.30,8.75,7.52,6.40,2.95,5.84,7.24,5.88,6.04,4.47,9.67,4.17,8.48,8.04,5.88,6.67,5.74,2.71,8.21,9.47
1973,4.95,9.26,7.98,6.76,1.53,6.06,7.45,5.72,5.58,3.43,10.33,4.28,9.00,8.33,5.78,6.65,6.13,1.32,8.59,10.09
1974,5.79,9.56,8.40,7.27,3.03,6.49,8.12,6.46,6.33,4.59,10.52,4.89,9.31,8.90,6.33,7.42,6.63,2.79,9.06,10.33
1975,5.80,10.33,8.75,7.66,2.10,7.13,8.29,6.59,6.57,4.34,11.32,5.21,10.03,9.09,6.74,7.49,6.94,2.07,9.35,11.01
1976,4.58,8.69,7.54,6.37,1.20,5.52,7.12,5.43,5.05,3.19,9.73,3.90,8.47,7.98,5.32,6.40,5.74,1.16,8.19,9.58
1977,4.13,8.25,7.12,5.90,0.89,5.00,6.70,4.88,4.54,2.71,9.28,3.38,8.02,7.59,4.73,5.91,5.30,0.72,7.80,9.13
1978,4.01,8.09,7.01,5.85,0.56,4.90,6.69,4.93,4.34,2.58,9.11,3.35,7.91,7.50,4.73,5.95,5.22,0.64,7.70,8.93
1979,3.63,7.03,5.92,4.73,1.25,4.07,5.59,4.17,4.30,2.97,8.04,2.45,6.78,6.39,4.11,4.99,4.08,1.15,6.61,7.84
1980,4.30,7.96,6.96,5.77,1.23,4.95,6.66,5.09,4.92,3.31,8.93,3.41,7.75,7.49,4.96,5.97,5.17,1.26,7.74,8.75
1981,3.76,7.86,6.73,5.50,0.31,4.72,6.33,4.70,4.35,2.37,8.90,3.10,7.61,7.18,4.58,5.63,4.88,0.20,7.45,8.67
1982,4.98,8.99,7.78,6.68,1.62,5.86,7.49,5.83,5.53,3.75,10.01,4.25,8.76,8.33,5.70,6.78,6.05,1.62,8.46,9.81
1983,5.06,9.42,8.09,6.92,1.53,6.17,7.60,5.86,5.59,3.60,10.51,4.44,9.16,8.49,5.81,6.79,6.31,1.40,8.68,10.30
1984,5.02,8.80,7.70,6.54,2.09,5.74,7.37,5.79,5.58,3.85,9.81,4.15,8.56,8.21,5.64,6.64,5.95,1.88,8.32,9.71
1985,3.32,6.88,6.15,4.94,0.12,3.92,5.96,4.38,3.76,2.03,7.91,2.58,6.72,6.76,4.04,5.36,4.38,0.02,6.93,7.88
1986,4.21,7.99,6.78,5.69,1.19,4.98,6.48,4.96,4.86,3.17,8.97,3.35,7.75,7.29,4.91,5.81,5.05,1.15,7.42,8.83
1987,3.66,7.05,6.33,5.12,0.40,4.21,6.21,4.68,4.39,2.63,8.01,2.81,6.84,6.96,4.47,5.61,4.58,0.43,7.06,7.98
1988,5.10,9.14,8.19,6.90,1.38,6.10,7.76,6.13,5.84,3.67,10.15,4.49,8.91,8.67,6.06,7.00,6.38,1.33,8.85,10.09
1989,6.14,10.25,9.04,7.75,3.08,7.07,8.47,6.77,6.73,4.79,11.35,5.28,9.97,9.42,6.84,7.63,7.18,2.85,9.65,11.18
1990,6.18,10.19,9.09,7.78,2.93,7.02,8.57,6.84,6.78,5.03,11.29,5.31,9.94,9.50,6.83,7.75,7.22,3.04,9.74,11.15
1991,5.30,9.15,8.04,6.83,2.20,6.07,7.69,6.00,5.93,4.15,10.15,4.41,8.90,8.55,6.00,6.92,6.26,2.16,8.73,10.04
1992,5.71,9.73,8.70,7.36,2.51,6.54,8.22,6.37,6.20,4.41,10.81,4.85,9.47,9.16,6.32,7.38,6.84,2.49,9.40,10.69
1993,4.74,8.56,7.48,6.21,1.77,5.43,7.08,5.33,5.25,3.73,9.58,3.77,8.30,7.94,5.26,6.29,5.68,1.86,8.11,9.46
1994,4.96,9.01,7.89,6.58,2.16,5.69,7.34,5.55,5.24,3.62,10.14,4.03,8.79,8.27,5.44,6.53,6.01,1.88,8.59,9.94
1995,4.89,8.82,7.94,6.53,1.76,5.65,7.38,5.54,5.39,3.60,9.92,4.01,8.58,8.39,5.48,6.52,6.04,1.62,8.67,9.84
1996,4.44,7.87,6.70,5.61,1.89,5.00,6.46,5.04,5.17,3.71,8.84,3.34,7.60,7.23,5.01,5.84,4.98,1.78,7.40,8.65
1997,5.71,9.72,8.59,7.36,2.24,6.68,8.17,6.45,6.37,4.55,10.74,4.93,9.45,9.05,6.44,7.36,6.80,2.43,9.22,10.59
1998,4.53,8.39,7.45,6.10,0.86,5.39,7.11,5.37,5.36,3.55,9.43,3.74,8.14,7.97,5.34,6.32,5.61,1.18,8.16,9.29
1999,5.36,9.34,8.41,7.05,1.87,6.27,7.97,6.15,5.89,4.09,10.41,4.62,9.10,8.89,6.07,7.15,6.55,1.94,9.15,10.24
2000,5.96,9.86,8.72,7.47,2.95,6.85,8.17,6.64,6.56,4.82,10.89,5.10,9.60,9.10,6.67,7.51,6.85,2.77,9.39,10.64
2001,4.91,8.70,7.63,6.24,2.13,5.68,7.13,5.51,5.42,3.77,9.67,3.90,8.38,8.10,5.54,6.41,5.72,1.94,8.38,9.48
2002,5.79,9.82,8.66,7.43,2.32,6.82,8.15,6.65,6.49,4.58,10.78,5.08,9.52,9.06,6.66,7.47,6.81,2.34,9.38,10.57
2003,5.98,9.63,8.50,7.39,2.93,6.84,8.21,6.77,6.67,4.94,10.56,5.17,9.35,8.95,6.78,7.60,6.68,2.89,9.21,10.37
2004,5.93,9.68,8.54,7.39,2.99,6.80,8.17,6.70,6.52,4.74,10.64,5.12,9.39,8.99,6.68,7.52,6.74,2.79,9.25,10.44
2005,6.03,9.76,8.51,7.37,3.34,6.84,8.05,6.62,6.66,5.02,10.75,5.09,9.45,8.89,6.69,7.42,6.71,3.11,9.20,10.49
2006,6.30,10.25,9.00,7.90,2.93,7.36,8.59,7.17,7.05,5.10,11.21,5.63,9.95,9.40,7.19,7.96,7.22,2.91,9.69,10.94
2007,5.98,9.88,8.75,7.44,3.08,6.79,8.17,6.59,6.54,4.85,10.96,5.01,9.61,9.19,6.59,7.41,6.92,2.93,9.48,10.68
2008,6.08,10.24,9.19,7.84,2.49,7.07,8.60,6.95,6.71,4.74,11.30,5.37,9.95,9.62,6.89,7.83,7.33,2.50,9.92,11.04
2009,5.61,9.43,8.39,7.12,2.54,6.35,8.03,6.39,6.20,4.44,10.46,4.72,9.17,8.92,6.27,7.32,6.54,2.49,9.16,10.24
2010,3.90,7.43,6.42,5.22,1.60,4.32,6.17,4.41,4.30,2.84,8.50,2.74,7.17,6.98,4.26,5.42,4.60,1.21,7.20,8.31
2011,6.40,10.11,8.74,7.66,3.51,7.26,8.42,7.09,7.30,5.51,11.14,5.45,9.80,9.17,7.24,7.85,6.97,3.46,9.39,10.81
2012,4.95,8.90,7.80,6.53,2.02,5.75,7.36,5.70,5.35,3.59,9.99,4.09,8.64,8.28,5.58,6.62,5.98,1.71,8.49,9.78
2013,6.07,9.56,8.23,7.14,3.84,6.66,7.88,6.52,6.82,5.28,10.57,4.88,9.25,8.68,6.67,7.26,6.46,3.61,8.86,10.25
2014,6.67,10.88,9.64,8.46,3.04,7.74,9.17,7.63,7.30,5.27,11.85,6.07,10.64,10.04,7.56,8.48,7.83,3.08,10.33,11.60
2015,6.29,10.01,8.80,7.73,3.35,7.02,8.51,7.04,6.98,5.27,10.95,5.40,9.78,9.24,6.99,7.91,7.04,3.30,9.48,10.77
2016,5.94,9.50,8.42,7.24,3.52,6.48,8.07,6.55,6.43,4.87,10.52,4.89,9.27,8.87,6.46,7.43,6.58,3.30,9.11,10.35
2017,5.59,9.39,8.28,7.16,2.43,6.39,8.02,6.45,6.24,4.38,10.41,4.80,9.18,8.80,6.34,7.36,6.49,2.42,8.99,10.24
2018,6.14,9.92,8.78,7.55,3.54,6.80,8.29,6.70,6.65,4.94,11.01,5.15,9.69,9.14,6.67,7.59,6.94,3.36,9.46,10.81
2019,5.66,9.84,8.80,7.44,2.10,6.62,8.22,6.61,6.24,4.18,10.95,5.00,9.61,9.11,6.44,7.52,6.90,2.09,9.49,10.75
2020,6.80,10.78,9.60,8.37,3.79,7.68,9.06,7.59,7.32,5.48,11.75,6.00,10.54,9.89,7.53,8.42,7.73,3.63,10.30,11.56
