Variable:,tasmax
,"Kyrgyz Republic",Batken,Jalal-Abad,Naryn,Osh,Talas,Ysyk-Kol,Bishkek,Chuy
1957,6.21,9.35,9.15,4.06,6.04,7.02,4.19,8.93,7.15
1958,7.27,10.86,10.23,5.15,7.31,7.98,4.99,9.82,8.06
1959,6.79,10.57,9.75,4.63,6.98,7.46,4.42,9.31,7.56
1960,6.59,10.26,9.55,4.47,6.73,7.29,4.21,9.07,7.35
1961,8.10,11.61,11.09,5.96,8.14,8.88,5.81,10.62,8.91
1962,7.61,10.93,10.57,5.43,7.50,8.40,5.52,10.32,8.52
1963,8.27,11.77,11.19,6.11,8.23,8.94,6.14,10.93,9.11
1964,6.48,9.92,9.45,4.33,6.58,7.19,4.22,9.08,7.28
1965,7.86,10.95,10.83,5.74,7.67,8.71,5.82,10.59,8.79
1966,7.60,11.35,10.72,5.39,7.62,8.54,5.13,10.19,8.43
1967,6.88,10.33,9.96,4.69,6.90,7.79,4.56,9.53,7.77
1968,7.40,10.62,10.27,5.33,7.36,8.04,5.33,10.06,8.26
1969,5.86,9.16,8.71,3.78,5.97,6.43,3.78,8.42,6.58
1970,7.75,11.65,10.73,5.54,7.93,8.46,5.37,10.25,8.46
1971,8.30,12.09,11.37,6.05,8.48,9.14,5.87,10.78,9.05
1972,5.95,9.17,8.72,3.90,6.01,6.47,3.95,8.52,6.71
1973,8.03,11.30,10.90,5.95,8.08,8.63,5.92,10.66,8.86
1974,6.57,10.15,9.56,4.38,6.70,7.35,4.27,9.11,7.35
1975,7.41,10.67,10.43,5.22,7.23,8.35,5.31,10.02,8.29
1976,6.92,10.38,9.90,4.76,7.02,7.67,4.69,9.38,7.65
1977,7.79,11.23,10.75,5.62,7.75,8.58,5.64,10.34,8.61
1978,7.60,10.96,10.44,5.46,7.49,8.26,5.62,10.28,8.46
1979,7.85,11.26,10.75,5.76,7.83,8.55,5.72,10.42,8.63
1980,8.27,11.54,11.06,6.20,8.25,8.79,6.30,10.87,9.05
1981,7.55,11.25,10.53,5.33,7.59,8.33,5.27,10.16,8.40
1982,7.29,10.40,10.13,5.19,7.16,7.96,5.34,10.02,8.22
1983,8.34,11.66,11.30,6.13,8.18,9.19,6.25,11.11,9.30
1984,6.69,10.38,9.73,4.50,6.95,7.44,4.27,9.10,7.41
1985,7.46,11.32,10.41,5.28,7.66,8.13,5.05,10.01,8.20
1986,7.55,11.17,10.63,5.34,7.64,8.46,5.16,10.08,8.36
1987,7.43,10.97,10.32,5.31,7.39,8.12,5.24,10.08,8.28
1988,7.97,12.00,11.13,5.69,8.21,8.90,5.32,10.40,8.73
1989,7.22,10.81,10.20,5.00,7.17,8.03,5.02,9.84,8.09
1990,8.28,11.65,11.20,6.21,8.37,8.94,6.02,10.93,9.15
1991,7.69,10.76,10.66,5.60,7.59,8.49,5.55,10.48,8.67
1992,7.40,10.60,10.29,5.36,7.40,8.01,5.25,10.06,8.32
1993,6.64,10.07,9.39,4.60,6.82,7.07,4.51,9.11,7.41
1994,7.62,10.92,10.52,5.52,7.70,8.28,5.46,10.17,8.42
1995,8.06,11.63,11.24,5.79,8.01,9.08,5.69,10.78,8.99
1996,6.98,10.64,10.03,4.73,7.09,7.81,4.66,9.43,7.75
1997,8.75,11.48,11.65,6.77,8.51,9.47,6.83,11.53,9.73
1998,7.89,11.02,10.80,5.83,7.87,8.58,5.81,10.46,8.69
1999,8.56,11.85,11.46,6.47,8.55,9.23,6.45,11.16,9.38
2000,8.43,11.85,11.40,6.29,8.54,9.17,6.18,11.03,9.26
2001,8.61,12.22,11.64,6.39,8.77,9.40,6.28,11.22,9.40
2002,8.54,11.99,11.51,6.36,8.48,9.36,6.36,11.19,9.43
2003,7.29,10.90,10.33,5.07,7.39,8.08,5.00,9.74,8.02
2004,8.67,12.26,11.73,6.38,8.75,9.57,6.41,11.22,9.50
2005,8.18,11.77,11.28,5.85,8.22,9.16,5.87,10.81,9.09
2006,8.67,12.06,11.66,6.49,8.68,9.46,6.47,11.32,9.55
2007,9.05,12.32,11.96,6.91,9.10,9.75,6.96,11.56,9.83
2008,8.34,11.60,11.24,6.18,8.27,9.11,6.30,10.95,9.23
2009,8.20,11.64,11.08,6.09,8.15,8.88,6.10,10.64,8.97
2010,8.35,12.06,11.49,6.09,8.36,9.36,5.96,10.87,9.19
2011,7.95,11.40,10.97,5.77,8.01,8.78,5.72,10.52,8.72
2012,7.59,10.97,10.59,5.43,7.56,8.46,5.38,10.18,8.46
2013,8.99,12.21,11.96,6.83,8.83,9.91,6.90,11.71,9.95
2014,7.60,11.13,10.56,5.41,7.67,8.37,5.37,10.13,8.37
2015,8.68,11.84,11.59,6.56,8.50,9.55,6.63,11.44,9.67
2016,9.07,12.46,12.10,6.89,8.93,10.00,6.85,11.77,10.02
2017,8.45,11.84,11.42,6.27,8.26,9.34,6.35,11.15,9.38
2018,8.46,12.07,11.50,6.25,8.51,9.25,6.21,10.94,9.22
2019,8.87,12.01,11.75,6.74,8.57,9.71,6.94,11.58,9.84
2020,8.35,11.36,11.15,6.23,8.05,9.07,6.54,11.13,9.35
