"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","8399229108.35576","10948234834.7012","14726601164.442","14612255950.6217","12748203735.7556","12459885762.845","15000933835.0456","18482464846.4267","21495903580.0191","20906830880.537","19631686878.0644","19385911622.6188","20469650220.1726","23034262941.2841","26554303286.9657","28686460019.6468","30263526734.0559","32618765129.8636","33713368746.4798","35343162541.9433","35844144873.4445","36601374716.9646","39239825917.2574","43235500965.4096","47648031016.8178","51007260846.2321","52908196769.0807","55712709024.3031","57006615191.3699","57885640079.8332","62202314641.6736","69524380790.8107","76597955075.9008","80892598776.8431","86321635004.4349","95700151953.9638","106129586446.968","118314359190.562","133342217808.458","146862470186.409","158833016482.288","171249750509.081","191313721797.989","216290502384.726","242749969790.188","282036307618.056","315420844247.44","333827770333.618",
"Bulgaria","BGR","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","21029650794.1277","18679756142.8742","18027947125.2923","17466578583.0786","19588769136.6426","24404178344.7924","27889860110.0377","25143313521.8322","19583467212.1755","14005767678.5812","12201065683.6504","10582125372.5616","10500067823.3448","12748662446.9137","13263972941.957","12128228398.5139","11855960469.3213","12146721709.703","13562584129.8185","14192483969.3365","15421001980.6288","18444487403.544","23597331638.8242","29128952320.2959","32658173897.1711","36337167950.814","45507367496.8388","49729339559.0676","51816658806.2171","53342439812.4788","54725754546.3163","55162790187.3338","55633086275.0869","53308555835.1754","52731824712.769","53879918046.7691","59916014385.6315","66240537215.9521","66791503467.3147",
"Bahrain","BHR","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","3287840336.09538","3628805042.16455","3790810479.71292","3314646401.74777","3132765171.32566","3458355359.85297","3628046131.58081","3686362523.73833","4497900920.50104","4994683450.83884","5171129921.90473","5380447652.48455","5321909006.93661","5852426580.91212","6244712082.78858","6133273925.83325","6178095357.58624","6284400090.4542","7269717483.55216","8019540764.10052","8864867961.01945","10077169513.2275","12089682733.131","14713723046.3239","17146154926.9953","20366230214.6577","23250102238.276","22319121664.1292","23537720533.6013","23212673261.2075","28613156266.7933","31282350546.3857","32157332383.8057","30981591728.3138","30761273467.3951","31742032640.9979","34527882737.8061","36484588996.2953","33866883599.5187",
"Bahamas, The","BHS","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","188281882.393754","210284029.492962","235353815.9397","266062954.50581","299223721.05686","339896179.473505","389425886.293748","453681723.337591","494517977.217599","541492640.275627","567006845.57913","679535213.255205","710279951.8564","876724605.230371","601319732.616971","663176664.520563","750413498.012593","1070542472.61847","1274477880.52557","1246649509.33012","1400928838.26378","1494485086.20786","1770748663.59365","1996436628.08703","2246851633.69545","2626461031.86154","2898852368.40102","3130723131.16885","3040510047.84692","2956545711.49774","3073669668.81329","3066883019.30724","3199907511.15253","3995583277.41652","4524381727.67078","4362559560.34548","4885306931.42772","7100424592.57431","7855582976.062","8038548294.44533","8364123666.12771","8693932489.73068","9332502852.54449","9932036863.30333","10182278481.4864","10489890865.5093","10639068961.462","10143357541.8318","10067914082.1872","10080299475.654","10381999070.5158","10091680024.5363","10416754746.191","10727123109.5577","10966035784.5756","11485560963.9811","12013453661.2374","12564419861.4066","10252351172.0143",
"Bosnia and Herzegovina","BIH","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2875913655.61321","3782196012.27002","4960116456.10225","5240677899.11382","5789624293.23856","6072375309.29898","6574101991.36153","7650178875.46593","10155393866.5451","11522373332.8334","12847196052.8174","14754551658.5226","17762613037.9592","18577015825.4916","18361025738.6456","18340665917.9448","17985619610.8886","18660623752.4037","18451762908.8157","17877274356.4833","17386832596.0869","17158705387.9478","19106770138.7999","20405633481.1277","19938462449.3093",
"Belarus","BLR","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63970265115.5882","","53304630000","22346690618.6365","15415127623.1398","15402126553.7511","15723273619.3955","14150592414.3234","13783451446.7233","12931779951.366","13638872110.7013","15937601829.8095","21129900246.8092","27219203595.9616","33759602161.1195","41172729097.2472","52095420825.8657","53840616033.095","58336346106.3858","60022482821.7481","62621145141.2099","66403547591.7565","72028850764.456","63815956049.3666","53365699036.1236","50355259254.7067","54056894139.6782","59972960904.2964","59619132494.7266",
"Belize","BLZ","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","31789828.6326715","33772556.5778029","35977587.1028116","39090352.1317307","43098505.6325732","47247511.0679165","48696673.2378802","49636626.1263502","51620036.2934176","56173515.782971","65850449.0234358","77516233.6474191","95608918.4033438","112442977.523589","107821099.247793","117099226.025236","128662105.974328","158196087.822751","205133422.388101","211220402.898531","195610956.876918","179372316.884239","186159782.678322","198229225.56433","229547539.986729","280639803.509746","335542573.297096","380883572.155822","423127553.559446","462894347.554981","520563496.855285","551150277.770006","559917026.146862","592249388.868045","615195213.644683","639870875.772269","640811118.201173","687685831.152218","780037995.232972","798072874.400613","838974401.080885","922029147.13558","985760260.913671","1028056003.93135","1090541872.28543","1098507727.07015","1190383926.45271","1273785815.9432","1252587852.16942","1338213551.98239","1385601088.38005","1444056128.85199","1506788201.43695","1588804476.13632","1599461144.80598","1660272177.07102","1768127768.06068","1829358146.32669","1632468403.54951",
"Bermuda","BMU","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6739210221.81121","6560076917.15152","6486349907.8492","6614504760.55766","6508284316.16824","6596440014.57268","6689406375.36548","7213810392.16825","7478205654.45156","7524883567.13582","7172754511.54474",
"Bolivia","BOL","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","2790114807.8604","3054660541.68047","3490234430.15379","4129443830.70152","4580628942.14839","5149282230.43944","4999268471.44106","4973849664.1949","5153886820.7211","5162581523.22395","4672827392.71064","4615380370.25085","4683537118.39512","4826758444.59626","4935699967.73487","5187895352.03736","5500518681.70792","5786270397.5888","6076528713.58884","6481999490.43049","6996581528.75781","7562667182.89145","8000748522.72846","8051803265.07012","8287259661.88602","8178363432.57643","8013344090.32899","8087236435.26905","8660892405.38561","9396877378.2063","10417503109.9376","11706825418.478","14340348813.1805","16050435913.7676","17900898940.1936","20429831901.7954","23313229391.6893","27255049573.2473","30352501120.7314","32208419873.4679","33490607688.642","34575847662.5343","38242657844.9965","40531306508.1951","37149637531.8692",
"Brazil","BRA","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","23428802130.985","27795653841.604","34017867385.1613","38640523529.7992","42977060150.8237","49687780077.3057","59085858298.3785","74789444943.6948","100938976441.527","126679141384.613","154047551448.018","170929419811.933","196340138745.356","235935293928.207","262863196815.961","262247722091.284","261017275932.853","229782137420.119","222631329073.746","209172766958.47","242176941988.207","286104428228.85","331238967344.406","365087359366.383","349490590450.518","362470814300.841","361423559520.369","362434918476.657","425960539937.937","555771506923.818","715663910272.581","838765679086.134","822017838549.981","710361000527.762","687477614111.464","593934988748.697","556554319223.9","543480898892.152","616154479444.584","743914400328.575","912923792366.96","1177507338896.77","1462688129612.04","1614029601194.33","1887913977335.48","2188955777059.35","2453809846828.16","2571101638560.99","2457007472610.68","2084246948516.13","1839991635500.36","1808496325077.86","1920049773473.57","1957242782226.85","1669115455408.21",
